"id"	"蛋氨酸"	"科名"	"小穗形"	"品种名称"	"谷氨酸"	"内稃色"	"棕榈酸"	"天冬氨酸"	"精氨酸"	"苏氨酸"	"丙氨酸"	"总和"	"油酸"	"有效分蘖"	"亚麻酸"	"外稃色"	"省"	"生育日数"	"保存编号"	"保存单位"	"亚油酸"	"幼苗习性"	"卵块"	"旗叶叶相"	"占脂肪酸"	"统一编号"	"主穗长"	"苯丙氨酸"	"学名"	"脂肪"	"胱氨酸"	"组氨酸"	"倒伏性"	"蛋白质"	"芒颜色"	"样品类型"	"亮氨酸"	"库编号"	"主穗小穗数"	"原产地"	"黑穗病率"	"不饱脂肪酸"	"甘氨酸"	"芒形状"	"蚜虫"	"氨"	"幼虫"	"主穗粒重"	"缬氨酸"	"黑穗病抗性"	"色氨酸"	"单株粒重"	"粒色"	"酩氨酸"	"脯氨酸"	"赖氨酸"	"皮裸"	"千粒重"	"丝氨酸"	"属名"	"译名"	"幼苗颜色"	"粒型"	"抗旱性"	"红叶病抗性"	"轮层数"	"株高"	"穗形"	"异亮氨酸"	"红叶病病级"
"11"	"0.54"	"Gramineae(禾本科)"	"串铃"	"苏联9号燕麦"	"3.75"	"褐"	"34.05"	"1.29"	"1.19"	"0.55"	"0.81"	"16.85"	"38.36"	"3.7"	"--"	"黄"	"国外"	"98"	"N0003006"	"--"	"--"	"中"	"0.5"	"下披"	"27.57"	"ZY000705"	"21.6"	"0.95"	"Avena nuda L.(裸燕麦)"	"7.69"	"0.15"	"0.37"	"低抗"	"14.34"	"--"	"国外"	"1.35"	"I1F00648"	"25.90"	"苏联"	"97.6"	"44.00"	"0.82"	"--"	"9"	"0.49"	"23.6"	"1.0"	"1.02"	"--"	"0.25"	"3.8"	"黄"	"0.75"	"0.89"	"0.68"	"裸"	"22.90"	"0.75"	"Avena(燕麦属)"	"SU LIAN 9 HAO YAN MAI"	"淡绿"	"长圆"	"低抗"	"--"	"6.8"	"115.6"	"周散"	"0.74"	"2"
"12"	"0.37"	"Gramineae(禾本科)"	"串铃"	"BuP-1998"	"4.17"	"黄"	"--"	"1.56"	"1.40"	"0.66"	"0.87"	"18.33"	"--"	"3.7"	"--"	"黄"	"国外"	"94"	"N0003007"	"--"	"38.12"	"中"	"1.2"	"上举"	"--"	"ZY000706"	"24.5"	"1.05"	"Avena nuda L.(裸燕麦)"	"7.24"	"0.41"	"0.42"	"中抗"	"14.54"	"--"	"国外"	"1.43"	"I1F00649"	"27.90"	"苏联"	"20.0"	"--"	"0.88"	"--"	"9"	"0.48"	"64.6"	"1.5"	"0.98"	"--"	"0.27"	"4.5"	"黄"	"0.75"	"0.77"	"0.75"	"裸"	"22.50"	"0.88"	"Avena(燕麦属)"	"BuP-1998"	"淡绿"	"纺锤"	"中抗"	"--"	"5.6"	"117.6"	"周散"	"0.71"	"2"
"13"	"0.18"	"Gramineae(禾本科)"	"串铃"	"BuP-2301"	"4.29"	"黄"	"--"	"1.58"	"1.45"	"0.67"	"0.91"	"18.54"	"--"	"2.7"	"--"	"黄"	"国外"	"89"	"N0003008"	"--"	"41.90"	"中"	"0.9"	"下披"	"--"	"ZY000707"	"23.1"	"1.07"	"Avena nuda L.(裸燕麦)"	"6.26"	"0.47"	"0.42"	"中抗"	"15.96"	"--"	"国外"	"1.47"	"I1F00650"	"25.80"	"苏联"	"52.8"	"--"	"0.91"	"--"	"9"	"0.52"	"63.7"	"1.4"	"0.99"	"--"	"0.27"	"3.2"	"黄"	"0.76"	"0.70"	"0.77"	"裸"	"22.90"	"0.91"	"Avena(燕麦属)"	"BuP-2301"	"淡绿"	"纺锤"	"低抗"	"--"	"6.2"	"116.6"	"周散"	"0.72"	"3"
"14"	"0.34"	"Gramineae(禾本科)"	"串铃"	"BuP-1767"	"4.22"	"黄"	"--"	"1.55"	"1.43"	"0.66"	"0.89"	"18.43"	"--"	"1.8"	"--"	"淡黄"	"国外"	"87"	"N0003009"	"--"	"41.37"	"中"	"1.2"	"平展"	"--"	"ZY000708"	"23.1"	"1.05"	"Avena nuda L.(裸燕麦)"	"6.52"	"0.46"	"0.41"	"中抗"	"15.79"	"--"	"国外"	"1.43"	"I1F00651"	"28.60"	"苏联"	"48.8"	"--"	"0.89"	"--"	"7"	"0.49"	"58.4"	"1.1"	"0.97"	"--"	"0.29"	"2.7"	"黄"	"0.76"	"0.72"	"0.75"	"裸"	"21.60"	"0.90"	"Avena(燕麦属)"	"BuP-1767"	"淡绿"	"长圆"	"低抗"	"--"	"7.2"	"114.9"	"周散"	"0.71"	"2"
"15"	"0.33"	"Gramineae(禾本科)"	"串铃"	"BuP-8498"	"4.18"	"黄"	"--"	"1.58"	"1.47"	"0.66"	"0.90"	"18.47"	"--"	"5.1"	"--"	"黄"	"国外"	"89"	"N0003010"	"--"	"42.12"	"中"	"0.9"	"平展"	"--"	"ZY000709"	"22.1"	"1.05"	"Avena nuda L.(裸燕麦)"	"6.45"	"0.45"	"0.42"	"中抗"	"15.17"	"--"	"国外"	"1.44"	"I1F00652"	"22.40"	"苏联"	"68.4"	"--"	"0.90"	"--"	"9"	"0.48"	"58.1"	"1.0"	"0.99"	"--"	"0.30"	"5.0"	"黄"	"0.75"	"0.66"	"0.77"	"裸"	"23.10"	"0.90"	"Avena(燕麦属)"	"BuP-8498"	"淡绿"	"纺锤"	"低抗"	"--"	"6.3"	"117.2"	"周散"	"0.72"	"3"
"16"	"0.23"	"Gramineae(禾本科)"	"串铃"	"BuP-1796"	"4.10"	"黄"	"--"	"1.51"	"1.34"	"0.64"	"0.86"	"17.79"	"--"	"3.6"	"--"	"淡黄"	"国外"	"89"	"N0003011"	"--"	"39.14"	"中"	"1.5"	"平展"	"--"	"ZY000710"	"24.3"	"1.03"	"Avena nuda L.(裸燕麦)"	"6.32"	"0.45"	"0.41"	"中抗"	"15.96"	"--"	"国外"	"1.40"	"I1F00653"	"28.60"	"苏联"	"32.0"	"--"	"0.86"	"--"	"9"	"0.48"	"65.8"	"1.1"	"0.96"	"--"	"0.27"	"4.2"	"黄"	"0.73"	"0.70"	"0.72"	"裸"	"20.10"	"0.87"	"Avena(燕麦属)"	"BuP-1796"	"淡绿"	"长圆"	"低抗"	"--"	"7.0"	"116.1"	"周散"	"0.71"	"2"
"17"	"0.32"	"Gramineae(禾本科)"	"串铃"	"ΠouHop"	"4.03"	"褐黄"	"--"	"1.48"	"1.34"	"0.67"	"0.87"	"17.84"	"--"	"3.9"	"--"	"黄"	"国外"	"93"	"N0003012"	"--"	"41.94"	"中"	"0.6"	"平展"	"--"	"ZY000711"	"23.1"	"1.03"	"Avena nuda L.(裸燕麦)"	"6.30"	"0.42"	"0.42"	"低抗"	"15.85"	"--"	"国外"	"1.38"	"I1F00654"	"27.30"	"苏联"	"90.4"	"--"	"0.87"	"--"	"9"	"0.45"	"42.3"	"0.9"	"0.94"	"--"	"0.27"	"4.2"	"黄"	"0.74"	"0.73"	"0.74"	"裸"	"18.70"	"0.89"	"Avena(燕麦属)"	"ΠouHop"	"淡绿"	"长圆"	"低抗"	"--"	"7.5"	"119.4"	"周散"	"0.70"	"2"
"18"	"0.30"	"Gramineae(禾本科)"	"串铃"	"苏1998大铃早(华北二号)"	"3.82"	"褐"	"--"	"1.43"	"1.30"	"0.61"	"0.83"	"16.97"	"--"	"3.8"	"--"	"黄"	"国外"	"88"	"N0003028"	"--"	"37.90"	"直立"	"1.8"	"平展"	"--"	"ZY000712"	"24.6"	"0.98"	"Avena nuda L.(裸燕麦)"	"7.58"	"0.43"	"0.39"	"高抗"	"15.27"	"--"	"国外"	"1.34"	"I1F00670"	"30.30"	"苏联"	"35.0"	"--"	"0.83"	"--"	"7"	"0.43"	"73.2"	"1.2"	"0.93"	"--"	"0.24"	"4.1"	"黄"	"0.71"	"0.61"	"0.71"	"裸"	"20.30"	"0.82"	"Avena(燕麦属)"	"SU 1998 DA LING ZAO (HUA BEI ER HAO)"	"淡绿"	"长圆"	"低抗"	"--"	"6.0"	"115.2"	"周散"	"0.69"	"1"
"19"	"0.35"	"Gramineae(禾本科)"	"串铃"	"坝选三号(ФЦьины)"	"3.94"	"白"	"--"	"1.55"	"1.40"	"0.64"	"0.90"	"17.93"	"--"	"1.1"	"--"	"黄"	"国外"	"84"	"N0003029"	"--"	"--"	"中"	"0.9"	"上举"	"--"	"ZY000713"	"15.5"	"1.01"	"Avena nuda L.(裸燕麦)"	"--"	"0.34"	"0.43"	"高抗"	"--"	"--"	"国外"	"1.36"	"I1F00671"	"24.80"	"苏联"	"--"	"--"	"0.92"	"--"	"--"	"0.49"	"157.9"	"1.3"	"1.03"	"--"	"0.25"	"4.3"	"白黄"	"0.74"	"0.69"	"0.75"	"裸"	"22.00"	"0.86"	"Avena(燕麦属)"	"BA XUAN SAN HAO (Фиьины)"	"深绿"	"纺锤"	"--"	"--"	"5.0"	"111.9"	"周散"	"0.77"	"1"
"20"	"0.64"	"Gramineae(禾本科)"	"串铃"	"坝选四号先驱植物"	"3.53"	"白"	"33.22"	"1.29"	"1.13"	"0.56"	"0.75"	"15.96"	"35.08"	"1.1"	"--"	"黄"	"国外"	"84"	"N0003030"	"--"	"--"	"直立"	"1.4"	"上举"	"31.70"	"ZY000714"	"16.5"	"0.84"	"Avena nuda L.(裸燕麦)"	"--"	"0.36"	"0.35"	"高抗"	"--"	"--"	"国外"	"1.25"	"I1F00672"	"21.50"	"苏联"	"--"	"47.47"	"0.74"	"--"	"--"	"0.44"	"134.3"	"0.5"	"0.93"	"--"	"0.26"	"4.6"	"白黄"	"0.69"	"0.58"	"0.63"	"裸"	"26.50"	"0.74"	"Avena(燕麦属)"	"BA XUAN SI HAO XIAN QU ZHI WU"	"绿"	"纺锤"	"--"	"--"	"5.0"	"114.7"	"周散"	"0.69"	"1"
"21"	"0.37"	"Gramineae(禾本科)"	"串铃"	"1-6-873"	"4.44"	"褐"	"--"	"1.62"	"1.43"	"0.71"	"0.95"	"19.28"	"--"	"3.4"	"--"	"黄"	"国外"	"81"	"N0003018"	"--"	"40.96"	"中"	"0.3"	"上举"	"--"	"ZY000715"	"20.1"	"1.09"	"Avena nuda L.(裸燕麦)"	"6.69"	"0.45"	"0.46"	"高抗"	"16.20"	"--"	"国外"	"1.51"	"I1F00660"	"22.50"	"匈牙利"	"98.0"	"--"	"0.96"	"--"	"5"	"0.53"	"37.1"	"1.0"	"0.99"	"--"	"0.26"	"3.1"	"黄"	"0.82"	"0.69"	"0.78"	"裸"	"16.90"	"1.00"	"Avena(燕麦属)"	"1-6-873"	"淡绿"	"纺锤"	"中抗"	"--"	"4.9"	"96.7"	"周散"	"0.75"	"1"
"22"	"0.37"	"Gramineae(禾本科)"	"串铃"	"1-6-800"	"4.16"	"褐"	"--"	"1.66"	"1.50"	"0.68"	"0.92"	"18.84"	"--"	"3.3"	"--"	"黄"	"国外"	"89"	"N0003019"	"--"	"45.28"	"中"	"0.9"	"上举"	"--"	"ZY000716"	"21.2"	"1.08"	"Avena nuda L.(裸燕麦)"	"3.81"	"0.43"	"0.44"	"高抗"	"15.30"	"--"	"国外"	"1.46"	"I1F00661"	"29.50"	"匈牙利"	"7.2"	"--"	"0.91"	"--"	"7"	"0.47"	"30.6"	"1.0"	"1.00"	"--"	"0.29"	"3.6"	"黄"	"0.78"	"0.67"	"0.80"	"裸"	"21.70"	"0.92"	"Avena(燕麦属)"	"1-6-800"	"淡绿"	"纺锤"	"中抗"	"--"	"6.9"	"103.8"	"周散"	"0.77"	"1"
"23"	"0.39"	"Gramineae(禾本科)"	"串铃"	"1-6-793/56"	"3.66"	"褐"	"36.51"	"1.45"	"1.23"	"0.58"	"0.78"	"16.72"	"25.93"	"2.0"	"--"	"黄"	"国外"	"89"	"N0003020"	"--"	"46.62"	"中"	"0.5"	"平展"	"37.57"	"ZY000717"	"20.2"	"0.93"	"Avena nuda L.(裸燕麦)"	"3.87"	"0.39"	"0.39"	"高抗"	"15.40"	"--"	"国外"	"1.25"	"I1F00662"	"24.80"	"匈牙利"	"10.0"	"59.17"	"0.82"	"--"	"9"	"0.48"	"73.1"	"0.9"	"0.89"	"--"	"0.29"	"2.9"	"黄"	"0.64"	"0.85"	"0.70"	"裸"	"22.70"	"0.80"	"Avena(燕麦属)"	"1-6-793/56"	"淡绿"	"纺锤"	"中抗"	"--"	"5.8"	"101.3"	"周散"	"0.68"	"1"
"24"	"0.45"	"Gramineae(禾本科)"	"串铃"	"1-5-800/55"	"4.55"	"褐"	"34.12"	"1.76"	"1.45"	"0.66"	"0.92"	"19.85"	"32.94"	"7.3"	"--"	"黄"	"国外"	"98"	"N0003004"	"--"	"--"	"中"	"1.4"	"上举"	"32.94"	"ZY000718"	"17.2"	"1.11"	"Avena nuda L.(裸燕麦)"	"5.26"	"0.48"	"0.44"	"中抗"	"19.06"	"--"	"国外"	"1.41"	"I1F00647"	"28.40"	"匈牙利"	"100.0"	"50.00"	"0.97"	"--"	"5"	"0.57"	"84.3"	"0.3"	"1.07"	"--"	"0.31"	"1.9"	"黄"	"0.74"	"0.98"	"0.80"	"裸"	"7.40"	"0.95"	"Avena(燕麦属)"	"1-6-800/55"	"绿"	"纺锤"	"低抗"	"--"	"7.1"	"98.5"	"周散"	"0.80"	"2"
"25"	"0.53"	"Gramineae(禾本科)"	"串铃"	"Nuprime"	"3.23"	"褐"	"37.80"	"1.25"	"0.84"	"0.51"	"0.66"	"14.96"	"30.49"	"2.7"	"--"	"黄"	"国外"	"83"	"N0003026"	"--"	"48.04"	"直立"	"2.8"	"上举"	"31.71"	"ZY000719"	"19.6"	"0.73"	"Avena nuda L.(裸燕麦)"	"4.56"	"0.27"	"0.34"	"低抗"	"15.55"	"--"	"国外"	"1.19"	"I1F00668"	"27.50"	"法国"	"4.8"	"50.98"	"0.78"	"--"	"9"	"0.37"	"57.9"	"1.0"	"0.91"	"--"	"0.22"	"3.4"	"褐"	"0.73"	"0.81"	"0.65"	"裸"	"19.40"	"0.67"	"Avena(燕麦属)"	"Nuprime"	"淡绿"	"纺锤"	"中抗"	"--"	"5.3"	"95.0"	"周散"	"0.64"	"1"
"26"	"0.64"	"Gramineae(禾本科)"	"串铃"	"grosse"	"3.66"	"褐"	"39.69"	"1.37"	"1.15"	"0.57"	"0.78"	"16.55"	"29.54"	"0.4"	"--"	"黄"	"国外"	"95"	"N0003025"	"--"	"45.86"	"中"	"1.4"	"平展"	"30.77"	"ZY000720"	"24.3"	"0.86"	"Avena nuda L.(裸燕麦)"	"5.86"	"0.37"	"0.38"	"低抗"	"16.13"	"--"	"国外"	"1.26"	"I1F00667"	"28.40"	"丹麦"	"97.0"	"51.02"	"0.80"	"--"	"9"	"0.43"	"68.5"	"0.6"	"0.95"	"--"	"0.27"	"0.9"	"黄"	"0.71"	"0.63"	"0.66"	"裸"	"15.00"	"0.79"	"Avena(燕麦属)"	"grosse"	"淡绿"	"纺锤"	"低抗"	"--"	"6.3"	"124.0"	"周散"	"0.70"	"2"
"27"	"0.69"	"Gramineae(禾本科)"	"串铃"	"改良裸"	"3.91"	"黄"	"32.65"	"1.55"	"1.28"	"0.62"	"0.84"	"17.88"	"30.20"	"2.3"	"--"	"黄"	"国外"	"83"	"N0003021"	"--"	"44.88"	"中"	"1.4"	"平展"	"37.14"	"ZY000721"	"20.2"	"0.93"	"Avena nuda L.(裸燕麦)"	"5.02"	"0.40"	"0.40"	"低抗"	"14.11"	"--"	"国外"	"1.36"	"I1F00663"	"29.70"	"日本"	"1.2"	"55.15"	"0.85"	"--"	"5"	"0.45"	"121.3"	"1.2"	"1.00"	"--"	"0.29"	"2.9"	"黄"	"0.76"	"0.66"	"0.72"	"裸"	"20.20"	"0.84"	"Avena(燕麦属)"	"GAI LIANG LUO"	"淡绿"	"纺锤"	"低抗"	"--"	"5.6"	"109.0"	"周散"	"0.78"	"2"
"28"	"0.63"	"Gramineae(禾本科)"	"串铃"	"拉萨美156燕麦"	"3.64"	"褐黄"	"32.75"	"1.35"	"1.15"	"0.59"	"0.78"	"16.67"	"33.80"	"3.5"	"--"	"黄"	"国外"	"93"	"N0003027"	"--"	"41.30"	"匍伏"	"1.9"	"平展"	"33.45"	"ZY000722"	"23.3"	"0.84"	"Avena nuda L.(裸燕麦)"	"5.70"	"0.38"	"0.37"	"低抗"	"15.77"	"--"	"国外"	"1.24"	"I1F00669"	"28.60"	"--"	"96.8"	"49.74"	"0.79"	"--"	"7"	"0.44"	"72.2"	"2.8"	"0.94"	"--"	"0.29"	"2.8"	"黄"	"0.71"	"0.81"	"0.66"	"裸"	"17.50"	"0.81"	"Avena(燕麦属)"	"LA SA MEI 156 YAN MAI"	"淡绿"	"长圆"	"中抗"	"--"	"7.0"	"117.4"	"周散"	"0.69"	"1"
"29"	"0.56"	"Gramineae(禾本科)"	"--"	"Nobgen navre"	"3.08"	"--"	"31.68"	"1.30"	"1.07"	"0.52"	"0.71"	"15.23"	"33.75"	"2.0"	"--"	"--"	"国外"	"101"	"H0003154"	"--"	"--"	"直立"	"0.9"	"下披"	"34.57"	"ZY000915"	"21.7"	"0.84"	"Avena sativa L.(普通燕麦)"	"4.49"	"0.41"	"0.35"	"低抗"	"18.06"	"黄"	"国外"	"1.16"	"I1F01023"	"30.90"	"DNK"	"2.7"	"50.60"	"0.71"	"弯"	"7"	"0.40"	"88.9"	"0.8"	"0.87"	"--"	"0.26"	"2.0"	"黄"	"0.65"	"0.74"	"0.62"	"皮"	"25.20"	"0.71"	"Avena(燕麦属)"	"Nobgen navre"	"淡绿"	"纺锤"	"中抗"	"--"	"6.0"	"115.9"	"侧紧"	"0.67"	"1"
