"id"	"标题"	"链接"
"33"	"辽宁省盘山县国家现代农业示范区"	"http://www.panshan.gov.cn/"
"34"	"辽宁省北镇市国家现代农业示范区"	"http://www.bzs.gov.cn/"
"35"	"辽宁省东港市国家现代农业示范区"	"http://www.donggang.gov.cn/ny.html"
"36"	"辽宁省昌图县国家现代农业示范区"	"http://www.changtu.gov.cn/"
"37"	"辽宁省绥中县国家现代农业示范区"	"http://www.suizhong.gov.cn/"
"38"	"辽宁省凌源县国家现代农业示范区"	"http://www.lysnygxq.com/"
"39"	"辽宁省辽阳市国家现代农业示范区"	"http://www.lysny.net/"
"40"	"辽宁省大连市国家现代农业示范区"	"http://www.dl.gov.cn/gov/"
"41"	"吉林省公主岭市国家现代农业示范区"	"http://gongzhuling.jlagri.gov.cn/sites/gongzhuling/"
"42"	"吉林省榆树市国家现代农业示范区"	"http://www.yushu.jl.cn/"
"43"	"吉林省永吉县国家现代农业示范区"	"http://www.jlyj.gov.cn/Main/Index.asp"
"44"	"吉林省农安县国家现代农业示范区"	"http://www.nong-an.gov.cn/"
"45"	"吉林省前郭县国家现代农业示范区"	"http://qianguo.jlagri.gov.cn/sites/qianguo/"
"46"	"吉林省梅河口市国家现代农业示范区"	"http://meihe.jlagri.gov.cn/sites/meihe/"
"47"	"吉林省洮南市国家现代农业示范区"	"http://taonan.jlagri.gov.cn/sites/taonan/"
"48"	"吉林省梨树县国家现代农业示范区"	"http://lishu.jlagri.gov.cn/sites/lishu/"
"49"	"吉林省东辽县国家现代农业示范区"	"http://www.dongliao.gov.cn/"
"50"	"吉林省抚松县国家现代农业示范区"	"http://fusong.jlagri.gov.cn/sites/fusong/"
"51"	"黑龙江省五常市国家现代农业示范区"	"http://www.hljwch.gov.cn/"
"52"	"黑龙江垦区国家现代化大农业示范区"	"http://bdhzw.chinabdh.com/bdhzw/Default.aspx"
"53"	"黑龙江省富锦市国家现代农业示范区"	"http://www.fujin.gov.cn/zjfj/"
"54"	"黑龙江省双城市国家现代农业示范区"	"http://www.scsnw.gov.cn/indexsc/"
"55"	"黑龙江省宝清县国家现代农业示范区"	"http://baoq.hljagri.gov.cn/"
"56"	"黑龙江省宁安市国家现代农业示范区"	"http://www.ningan.gov.cn/"
"57"	"黑龙江省克山县国家现代农业示范区"	"http://www.keshan.gov.cn/jone/keshan/default.asp"
"58"	"黑龙江省密山市国家现代农业示范区"	"http://www.hljms.gov.cn/"
"59"	"黑龙江省逊克县国家现代农业示范区"	"http://xunkewang.cn/"
"60"	"黑龙江省萝北县国家现代农业示范区"	"http://www.luobei.gov.cn/"
"61"	"黑龙江省铁力县国家现代农业示范区"	"http://www.tls.gov.cn/out.do?viewType=outViewIndex"
"62"	"黑龙江省桦川县国家现代农业示范区"	"http://www.huachuan.gov.cn/e/action/ListInfo/?classid=104"
"63"	"黑龙江省绥化市国家现代农业示范区"	"http://sh.hljagri.gov.cn/"
"64"	"黑龙江省大庆市国家现代农业示范区"	"http://www.daqing.gov.cn/jrdq/index.shtml"
"65"	"上海市国家现代农业示范区"	"http://www.shagri.gov.cn/index.html"
"66"	"江苏省昆山市国家现代农业示范区"	"http://www.ksny.gov.cn/ksnl/"
"67"	"江苏省铜山县国家现代农业示范区"	"http://www.tsny.gov.cn/"
"68"	"江苏省无锡市国家现代农业示范区"	"http://www.wxagri.cn/"
"69"	"江苏省太仓市国家现代农业示范区"	"http://nl.taicang.gov.cn/"
"70"	"江苏省苏州市相城区国家现代农业示范区"	"http://www.szxcnyj.gov.cn/"
"71"	"江苏省建湖县国家现代农业示范区"	"http://www.jhnyw.gov.cn/index.html"
"72"	"江苏省沛县国家现代农业示范区"	"http://www.pxnyj.com/"
"73"	"江苏省泰州市国家现代农业示范区"	"http://www.tzagri.gov.cn/tznw/index.php"
"74"	"江苏省扬州市江都区国家现代农业示范区"	"http://www.jdagri.gov.cn/"
"75"	"江苏省洪泽县国家现代农业示范区"	"http://www.hongze.gov.cn/"
"76"	"江苏省句容县国家现代农业示范区"	"http://www.jsjrny.com/"
"77"	"江苏省连云港市赣榆区国家现代农业示范区"	"http://www.gyagri.gov.cn/"
"78"	"江苏省东台市国家现代农业示范区"	"http://www.dongtai.gov.cn/"
"79"	"江苏省苏州市吴江区国家现代农业示范区"	"http://www.wjaginfo.gov.cn/"
"80"	"江苏省南通市国家现代农业示范区"	"http://www.ntagri.gov.cn/"
"81"	"江苏省常州市国家现代农业示范区"	"http://www.czagri.gov.cn/"
"82"	"江苏省南京市国家现代农业示范区"	"http://www.njaf.gov.cn/"
"83"	"浙江省平湖市国家现代农业示范区"	"http://www.phagri.gov.cn/"
"84"	"浙江省诸暨市国家现代农业示范区"	"http://www.zjnyj.gov.cn/"
"85"	"浙江省湖州市国家现代农业示范区"	"http://www.hzag.gov.cn/html/main/gb2312/index.html?sessrwb=1389681513587"
"86"	"浙江省杭州市萧山区国家现代农业示范区"	"http://www.xiaoshan.gov.cn/"
"87"	"浙江省乐清市国家现代农业示范区"	"http://www.yqny.gov.cn/html/main/gb2312/index.html"
"88"	"浙江省金华市婺城区国家现代农业示范区"	"http://www.jhnyxx.com/"
"89"	"浙江省温岭市国家现代农业示范区"	"http://www.wlnw.gov.cn/html/main/gb2312/"
"90"	"浙江省三门县国家现代农业示范区"	"http://www.smag.gov.cn/"
"91"	"浙江省嘉兴市秀洲区国家现代农业示范区"	"http://www.xzny.gov.cn/html/main/gb2312/index.html"
"92"	"浙江省衢州市衢江区国家现代农业示范区"	"http://qj.nj110.com/html/main/gb2312/index.html"
"93"	"浙江省宁波市国家现代农业示范区"	"http://www.nbnyj.gov.cn/"
"94"	"浙江省遂昌县国家现代农业示范区"	"http://www.scnj110.com/"
"95"	"安徽省宿州市埇桥区国家现代农业示范区"	"http://www.szyq.gov.cn/"
"96"	"安徽省南陵县国家现代农业示范区"	"http://www.nlx.gov.cn/"
"97"	"安徽省庐江县国家现代农业示范区"	"http://www.lj.gov.cn/welcome/"
"98"	"安徽省铜陵市国家现代农业示范区"	"http://www.tlsnw.gov.cn/"
"99"	"安徽省涡阳县国家现代农业示范区"	"http://www.gy.gov.cn/"
"100"	"安徽省颍上县国家现代农业示范区"	"http://www.ysny.gov.cn/"
"101"	"安徽省六安市金安区国家现代农业示范区"	"http://www.janw.gov.cn/"
"102"	"安徽省黄山市黄山区国家现代农业示范区"	"http://www.hsqnw.gov.cn/"
"103"	"安徽省当涂县国家现代农业示范区"	"http://www.dtnw.gov.cn/"
"104"	"安徽省全椒县国家现代农业示范区"	"http://www.cznywlw.gov.cn/"
"105"	"安徽省太和县国家现代农业示范区"	"http://nw.taihe.gov.cn/"
"106"	"安徽省郎溪县国家现代农业示范区"	"http://www.ahlx.gov.cn/web/index.aspx"
"107"	"安徽省桐城市国家现代农业示范区"	"http://www.tongcheng.gov.cn/"
"108"	"福建省福清市国家现代农业示范区"	"http://www.fuqing.gov.cn/"
"109"	"福建省漳州市国家现代农业示范区"	"http://www.zpnyj.gov.cn/default.aspx"
"110"	"福建省永安市国家现代农业示范区"	"http://www.fjya.agri.gov.cn/sites/MainSite/"
"111"	"福建省仙游县国家现代农业示范区"	"http://www.nyj.xianyou.gov.cn/nonye/index.htm"
"112"	"福建省上杭县国家现代农业示范区"	"http://nyj.shanghang.gov.cn/"
"113"	"福建省建瓯市国家现代农业示范区"	"http://njy.jianou.gov.cn/"
"114"	"福建省安溪县国家现代农业示范区"	"http://www.axny.gov.cn/"
"115"	"福建省福安市国家现代农业示范区"	"http://www.faagri.cn/"
"116"	"福建省尤溪县国家现代农业示范区"	"http://www.fjyx.gov.cn/"
"117"	"江西省南昌县国家现代农业示范区"	"http://nyj.ncx.gov.cn/"
"118"	"江西省吉安县国家现代农业示范区"	"http://www.jaagri.gov.cn/index.asp"
"119"	"江西省万载县国家现代农业示范区"	"http://www.wanzai.gov.cn/"
"120"	"江西省赣县国家现代农业示范区"	"http://www.ganxian.gov.cn/"
"121"	"江西省分宜县国家现代农业示范区"	"http://www.fenyi.gov.cn/"
"122"	"江西省抚州市临川区国家现代农业示范区"	"http://nyj.jxfz.gov.cn/"
"123"	"江西省贵溪市国家现代农业示范区"	"http://www.guixi.gov.cn/"
"124"	"江西省万年县国家现代农业示范区"	"http://www.wnsnw.cn/"
"125"	"江西省信丰县国家现代农业示范区"	"http://www.xfa.gov.cn/"
"126"	"江西省泸溪县国家现代农业示范区"	"http://www.luxi.gov.cn/"
"127"	"江西省乐平县国家现代农业示范区"	"http://www.lpnync.com/"
"128"	"山东省威海市国家现代农业示范区"	"http://www.whagri.gov.cn/"
"129"	"山东省东营市国家现代农业示范区"	"http://www.dongying.gov.cn/"
"130"	"山东省莱州市国家现代农业示范区"	"http://www.laizhou.gov.cn/"
"131"	"山东省泰安市岱岳区国家现代农业示范区"	"http://www.dyagri.gov.cn/"
"132"	"山东省沂水县国家现代农业示范区"	"http://www.ysagri.gov.cn/sites/MainSite/"
"133"	"山东省章丘市国家现代农业示范区"	"http://www.zhangqiu.gov.cn/publish/portal1/"
"134"	"山东省金乡县国家现代农业示范区"	"http://www.jxxnyj.gov.cn/"
"135"	"山东省淄博市临淄区国家现代农业示范区"	"http://www.linzi.gov.cn/"
"136"	"山东省莒县国家现代农业示范区"	"http://www.juxian.gov.cn/"
"137"	"山东省滨州市滨城区国家现代农业示范区"	"http://www.bincheng.gov.cn/"
"138"	"山东省巨野县国家现代农业示范区"	"http://www.juye.gov.cn/"
"139"	"山东省博兴县国家现代农业示范区"	"http://www.bxny.gov.cn/"
"140"	"山东省聊城市国家现代农业示范区"	"http://www.lcagr.cn/"
"141"	"山东省潍坊市国家现代农业示范区"	"http://www.wfny.gov.cn/"
"142"	"山东省德州市国家现代农业示范区"	"http://www.dzny.gov.cn/"
"143"	"山东省青岛市国家现代农业示范区"	"http://www.qingdaoagri.gov.cn/"
"144"	"山东省枣庄市国家现代农业示范区"	"http://www.zzszny.gov.cn/"
"145"	"山东省招远市国家现代农业示范区"	"http://www.zhaoyuan.gov.cn/main/"
"146"	"河南省济源市国家现代农业示范区"	"http://nmj.jiyuan.gov.cn/index/"
"147"	"河南省许昌县国家现代农业示范区"	"http://www.xcagri.gov.cn/"
"148"	"河南省固始县国家现代农业示范区"	"http://www.gushi.gov.cn/gsxrmzf/index.htm"
"149"	"河南省中牟县国家现代农业示范区"	"http://www.zhongmu.gov.cn/sitesources/zmxzf/page_pc/index.html"
"150"	"河南省永城市国家现代农业示范区"	"http://www.ycsny.gov.cn/"
"151"	"河南省新野县国家现代农业示范区"	"http://www.xyxagri.gov.cn/"
"152"	"河南省泌阳市国家现代农业示范区"	"http://www.bynyj.cn/"
"153"	"河南省渑池县国家现代农业示范区"	"http://mianchi.smx.gov.cn/"
"154"	"河南省叶县国家现代农业示范区"	"http://www.yexian.gov.cn/"
"155"	"河南省温县国家现代农业示范区"	"http://www.wenxian.gov.cn/"
"156"	"河南省新郑市国家现代农业示范区"	"http://www.xzsnw.gov.cn/"
"157"	"河南省新乡县国家现代农业示范区"	"http://www.xxagri.gov.cn/"
"158"	"河南省安阳县国家现代农业示范区"	"http://www.hqqagri.gov.cn/index.jsp"
"159"	"河南省漯河市国家现代农业示范区"	"http://www.hlhagri.gov.cn/"
"160"	"河南省鹤壁市国家现代农业示范区"	"http://www.hnhbnw.gov.cn/"
"161"	"湖北省监利县国家现代农业示范区"	"http://www.jianli.net/"
"162"	"湖北省宜昌市夷陵区国家现代农业示范区"	"http://nj.10.gov.cn/"
"163"	"湖北省仙桃市国家现代农业示范区"	"http://nyj.cnxiantao.com/"
"164"	"湖北省孝感市孝南区国家现代农业示范区"	"http://www.hbxnagri.gov.cn/"
"165"	"湖北省天门市国家现代农业示范区"	"http://www.tmny.gov.cn/"
"166"	"湖北省潜江市国家现代农业示范区"	"http://www.qjnyj.gov.cn/"
"167"	"湖北省随县国家现代农业示范区"	"http://www.zgsuixian.gov.cn/index.html"
"168"	"湖北省鄂州市梁子湖区国家现代农业示范区"	"http://www.ezagri.gov.cn/?AspxAutoDetectCookieSupport=1"
"169"	"湖北省荆门市国家现代农业示范区"	"http://www.jmnj110.com/"
"170"	"湖北省武汉市国家现代农业示范区"	"http://fwb.wuhanagri.gov.cn/"
"171"	"湖北省襄阳市国家现代农业示范区"	"http://www.xf-agri.gov.cn/"
"172"	"湖南省长沙县国家现代农业示范区"	"http://xdny.csx.cn/"
"173"	"湖南省屈原管理区国家现代农业示范区"	"http://www.quyuan.gov.cn/"
"174"	"湖南省永州市冷水滩区国家现代农业示范区"	"http://www.yzshnagri.gov.cn/"
"175"	"湖南省华容县国家现代农业示范区"	"http://nyj.huarong.gov.cn/"
"176"	"湖南省常德市西湖西洞庭管理区国家现代农业示范区"	"http://www.cdsagri.gov.cn/"
"177"	"湖南省株洲县国家现代农业示范区"	"http://www.zzxagri.gov.cn/"
"178"	"湖南省衡南县国家现代农业示范区"	"http://www.hnxnjw.com/"
"179"	"湖南省洞口县国家现代农业示范区"	"http://nyj.dongkou.gov.cn/"
"180"	"湖南省临武县国家现代农业示范区"	"http://www.lwx.gov.cn/lwmh/"
"181"	"湖南省涟源市国家现代农业示范区"	"http://www.lysagri.gov.cn/"
"182"	"湖南省靖州县国家现代农业示范区·"	"http://www.jzx.gov.cn/Category_138/Index.aspx"
"183"	"湖南省桃源县国家现代农业示范区"	"http://nyj.taoyuan.gov.cn/"
"184"	"湖南省湘潭市国家现代农业示范区"	"http://nb.xiangtan.gov.cn/"
"185"	"湖南省益阳市国家现代农业示范区"	"http://www.yysny.com/"
"186"	"广东省开平市国家现代农业示范区"	"http://nongye.kaiping.gov.cn/"
"187"	"广东省农垦湛江垦区国家现代农业示范区"	"http://www.zjnk.com/Sites/Pages/Default.aspx"
"188"	"广东省仁化县国家现代农业示范区"	"http://www.gdrh.agri.gov.cn/sites/MainSite/"
"189"	"广东省梅州市梅县区国家现代农业示范区"	"http://www.mxagri.gov.cn/"
"190"	"广东省惠州市惠城区国家现代农业示范区"	"http://hcqnyj.hcq.gov.cn/"
"191"	"广东省汕头市澄海区国家现代农业示范区"	"http://www.chagri.gov.cn/"
"192"	"广东省佛山市顺德区国家现代农业示范区"	"http://nyj.shunde.gov.cn/"
"193"	"广东省阳江市阳东县国家现代农业示范区"	"http://www.ydny.gov.cn/"
"194"	"广东省廉江市国家现代农业示范区"	"http://www.gdljnyj.gov.cn/"
"195"	"广东省徐闻县国家现代农业示范区"	"http://www.ny.xwie.com/"
"196"	"广东省河源市灯塔盆地国家现代农业示范区"	"http://www.hydtpd.com/"
"197"	"广西壮族自治区合浦县国家现代农业示范区"	"http://www.gxny.gov.cn/beihai/hepu/"
"198"	"广西壮族自治区田东县国家现代农业示范区"	"http://www.gxny.gov.cn/baise/tiandong/"
"199"	"广西壮族自治区兴业县国家现代农业示范区"	"http://www.gxxy.gov.cn/"
"200"	"广西壮族自治区贵港市港北区国家现代农业示范区"	"http://www.gxny.gov.cn/guigang/"
"201"	"广西壮族自治区全州县国家现代农业示范区"	"http://www.gxny.gov.cn/guilin/quanzhou/"
"202"	"广西壮族自治区横县国家现代农业示范区"	"http://www.gxny.gov.cn/nanning/hengxian/"
"203"	"广西壮族自治区武鸣县国家现代农业示范区"	"http://www.gxny.gov.cn/nanning/wuming/"
"204"	"海南省乐东黎族自治县国家现代农业示范区"	"http://www.hiagri.gov.cn/sites/ldnyxxw/"
"205"	"海南省澄迈县国家现代农业示范区"	"http://xxgk.hainan.gov.cn/cmxxgk/nyj/"
"206"	"海南省屯昌县国家现代农业示范区"	"http://hiagri.gov.cn/sites/dcnyxxw/"
"207"	"海南省南田农场国家现代农业示范区"	"http://www.hifarms.com.cn/"
"208"	"海南省琼海市国家现代农业示范区"	"http://www.qionghai.gov.cn/"
"209"	"海南省海口市国家现代农业示范区"	"http://www.hkagri.gov.cn/"
"210"	"重庆市潼南县国家现代农业示范区"	"http://www.tnxny.gov.cn/"
"211"	"重庆市南川区国家现代农业示范区"	"http://www.ncny.gov.cn/"
"212"	"重庆市荣昌县国家现代农业示范区"	"http://www.rcxagri.gov.cn/Default.aspx"
"213"	"重庆市忠县国家现代农业示范区"	"http://www.zxny.com.cn/"
"214"	"重庆市江津区国家现代农业示范区"	"http://www.cqjjny.gov.cn/"
"215"	"四川省成都市国家现代农业示范区"	"http://www.cdagri.gov.cn/"
"216"	"四川省广安市国家现代农业示范区"	"http://www.gaxdnyyq.com/"
"217"	"四川省南充市国家现代农业示范区"	"http://ncsnw.cnncw.cn/"
"218"	"四川省攀枝花市国家现代农业示范区"	"http://www.pzhagri.gov.cn/"
"219"	"四川省泸州市江阳区国家现代农业示范区"	"http://www.lz-agri.gov.cn/Index.html"
"220"	"四川省眉山市东坡区国家现代农业示范区"	"http://www.dpqnyj.gov.cn/"
"221"	"四川省苍溪县国家现代农业示范区"	"http://www.cncx.gov.cn/xhtml/index.html"
"222"	"四川省江油市国家现代农业示范区"	"http://nyj.jy.gov.cn/"
"223"	"四川省蓬溪县国家现代农业示范区"	"http://www.pengxi.gov.cn/"
"224"	"四川省大竹县国家现代农业示范区"	"http://www.dazhu.gov.cn/main/"
"225"	"四川省安岳县国家现代农业示范区"	"http://www.aysc.gov.cn/"
"226"	"四川省红原县国家现代农业示范区"	"http://www.hongyuan.gov.cn/hongyuan/"
"227"	"四川省犍为县国家现代农业示范区"	"http://www.qianwei.gov.cn/"
"228"	"贵州省湄潭县国家现代农业示范区"	"http://www.meitan.gov.cn/"
"229"	"贵州省清镇市国家现代农业示范区"	"http://www.gzqz.gov.cn/sites/qzny/"
"230"	"贵州省兴义市国家现代农业示范区"	"http://www.gzxy.gov.cn/"
"231"	"贵州省龙里县国家现代农业示范区"	"http://www.longli.gov.cn/"
"232"	"贵州省金沙县国家现代农业示范区"	"http://www.gzjinsha.gov.cn/"
"233"	"云南省宣威市国家现代农业示范区"	"http://www.xwagri.com/qj/xws/"
"234"	"云南省嵩明县国家现代农业示范区"	"http://www.kmsmagri.gov.cn/km/sm/"
"235"	"云南省砚山县国家现代农业示范区"	"http://www.wsysagri.gov.cn/ws/ys/"
"236"	"云南省石林县国家现代农业示范区"	"http://www.shilin.gov.cn/"
"237"	"云南省保山市隆阳区国家现代农业示范区"	"http://www.nyj.longyang.gov.cn/"
"238"	"云南省新平县国家现代农业示范区"	"http://xp.yxag.gov.cn/yx/xp/"
"239"	"云南省红河州国家现代农业示范区"	"http://www.hongheagri.gov.cn/hh/"
"240"	"西藏自治区曲水县才纳乡国家现代农业示范区"	"http://www.xzqsx.gov.cn/"
"241"	"西藏自治区白朗县嘎东镇国家现代农业示范区"	"http://www.xzbl.gov.cn/"
"242"	"西藏自治区乃东县国家现代农业示范区"	"http://www.xznd.gov.cn/"
"243"	"陕西省富平县国家现代农业示范区"	"http://fuping.sxny.gov.cn/templet/fuping/"
"244"	"陕西省安康市汉滨区国家现代农业示范区"	"http://www.akagri.gov.cn/"
"245"	"陕西省宝鸡市陈仓区国家现代农业示范区"	"http://chencang.sxny.gov.cn/templet/chencang/"
"246"	"陕西省西咸新区泾河新城国家现代农业示范区"	"http://www.jinghenewcity.gov.cn/"
"247"	"陕西省平利县国家现代农业示范区"	"http://www.pingli.gov.cn/"
"248"	"陕西省延安市国家现代农业示范区"	"http://yanan.sxny.gov.cn/templet/yanan/index.jsp"
"249"	"甘肃省甘州区国家现代农业示范区"	"http://www.gzqny.com/index.html"
"250"	"甘肃省酒泉市肃州区国家现代农业示范区"	"http://www.jqszny.com/"
"251"	"甘肃省定西市安定区国家现代农业示范区"	"http://www.dingxi.gov.cn/portal/index.htm"
"252"	"甘肃省武威市凉州区国家现代农业示范区"	"http://www.wwnmj.gov.cn/"
"253"	"甘肃省敦煌市国家现代农业示范区"	"http://www.dunhuang.gov.cn/"
"254"	"青海省大通回族土族自治县国家现代农业示范区"	"http://www.dtagri.gov.cn/"
"255"	"青海省互助县国家现代农业示范区"	"http://www.qhagri.gov.cn/sites/huzhu/"
"256"	"青海省海晏县国家现代农业示范区"	"http://www.qh.xinhuanet.com/haiyan/index.htm"
"257"	"青海省门源县国家现代农业示范区"	"http://www.qhagri.gov.cn/sites/menyuan/"
"258"	"宁夏回族自治区贺兰县国家现代农业示范区"	"http://hl.agriyc.gov.cn/"
"259"	"宁夏回族自治区永宁县国家现代农业示范区"	"http://yn.agriyc.gov.cn/"
"260"	"宁夏回族自治区吴忠市利通区国家现代农业示范区"	"http://www.nxwzny.gov.cn/"
"261"	"宁夏回族自治区中卫市沙坡头区国家现代农业示范区"	"http://www.zwny.gov.cn/"
"262"	"宁夏农垦国家现代农业示范区"	"http://www.nxnk.com/"
"263"	"新疆维吾尔自治区呼图壁县国家现代农业示范区"	"http://nyj.htb.gov.cn/"
"264"	"新疆维吾尔自治区沙湾县国家现代农业示范区"	"http://www.xjswx.gov.cn/"
"265"	"新疆维吾尔自治区沙雅县国家现代农业示范区"	"http://www.xjsy.gov.cn/"
"266"	"新疆维吾尔自治区泽普县国家现代农业示范区"	"http://www.zepu.gov.cn/"
"267"	"新疆维吾尔自治区玛纳斯县国家现代农业示范区"	"http://www.mns.gov.cn/"
"268"	"新疆维吾尔自治区博乐市国家现代农业示范区"	"http://www.xjboz.gov.cn/"
"269"	"新疆维吾尔自治区克拉玛依市克拉玛依区国家现代农业示范区"	"http://www.klmy.gov.cn/Pages/default.aspx"
"270"	"新疆生产建设兵团农六师五家渠垦区国家现代农业示范区"	"http://www.wjq.gov.cn/"
"271"	"新疆生产建设兵团农一师阿拉尔垦区国家现代农业示范区"	"http://www.ale.gov.cn/structure/index1.htm"
"272"	"新疆生产建设兵团第三师图木舒克市国家现代农业示范区"	"http://www.xjbtnss.gov.cn/"
"273"	"新疆建设兵团第八师石河子垦区国家现代农业示范区"	"http://www.xjbt.gov.cn/"
"274"	"沈阳军区讷河嫩江片区农副产品基地国家现代农业示范区"	"http://lgbj.nehe.gov.cn/main/index.jsp"
"275"	"沈阳军区绥北片区农副产品基地国家现代农业示范区"	"http://sh.hljagri.gov.cn/"
