"id"	"熟性"	"保存编号"	"品种名称"	"生长习性"	"译名"	"单瓜重"	"省"	"霜霉发病率"	"瓜面腊粉"	"分枝性"	"商瓜皮色"	"老瓜次色"	"疫病抗指"	"叶形"	"风味"	"老瓜斑纹"	"疫病发病率"	"亩产"	"瓜刺色"	"老瓜皮色"	"备注"	"瓜形"	"瓜刺多少"	"肉质"	"雌首花节位"	"霜霉病抗指"	"枯萎发病率"	"统一编号"	"保存单位"	"白粉发病率"	"枯萎病抗指"	"抗逆性"	"种质库编号"	"种子来源"	"商瓜次色"	"白粉病抗指"	"栽培季节"	"商瓜斑纹"	"瓜棱形状"
"11"	"早"	"B144"	"北京大刺"	"攀援蔓生"	"BEI JING DA CI"	"0.1"	"北京"	"90.0"	"--"	"弱"	"绿"	"--"	"1.120"	"掌状"	"--"	"--"	"3.33"	"--"	"白"	"--"	"--"	"圆柱形"	"少"	"软"	"4"	"0.350"	"83.30"	"V05A0011"	"北京蔬菜研究中心"	"100.0"	"1.180"	"--"	"Ⅱ5A0219"	"北京"	"--"	"-0.030"	"--"	"--"	"具瘤"
"12"	"早"	"88-B-2"	"建宁白皮黄瓜"	"攀援蔓生"	"JIAN NING BAI PI HUANG GUA"	"0.5"	"福建"	"73.0"	"--"	"中"	"绿"	"--"	"1.170"	"掌状"	"甜"	"--"	"76.00"	"1500"	"--"	"奶油色"	"--"	"圆柱形"	"--"	"圆滑致密"	"--"	"1.480"	"85.00"	"V05A0012"	"福州市蔬菜科研所"	"50.0"	"1.390"	"--"	"Ⅱ5A0547"	"福建建宁县"	"--"	"2.340"	"3上-4上,5上-6中"	"--"	"平"
"13"	"早"	"88-B-2"	"建宁白皮黄瓜"	"攀援蔓生"	"JIAN NING BAI PI HUANG GUA"	"0.5"	"福建"	"73.0"	"--"	"中"	"绿"	"--"	"1.170"	"掌状"	"甜"	"--"	"76.00"	"1500"	"--"	"奶油色"	"--"	"圆柱形"	"--"	"圆滑致密"	"--"	"1.480"	"85.00"	"V05A0012"	"福州市蔬菜科研所"	"50.0"	"1.390"	"--"	"Ⅱ5A0547"	"福建建宁县"	"--"	"2.340"	"3上-4上,5上-6中"	"--"	"平"
"14"	"早"	"89-B-31"	"连江黄瓜"	"攀援蔓生"	"LIAN JIANG HUANG GUA"	"0.3"	"福建"	"77.0"	"--"	"弱"	"绿"	"--"	"2.540"	"掌状"	"--"	"--"	"82.00"	"1250"	"--"	"桔黄色"	"--"	"圆柱形"	"--"	"圆滑致密"	"4"	"1.020"	"77.00"	"V05A0013"	"福州市蔬菜科研所"	"65.0"	"1.500"	"中"	"Ⅱ5A0826"	"福建连江县"	"--"	"0.120"	"2上-2下,4中下-5下"	"--"	"--"
"15"	"中"	"89-B-12-1"	"龙岩黄皮四月瓜"	"攀援蔓生"	"LONG YAN HUANG PI SI YUE GUA"	"0.5"	"福建"	"83.0"	"--"	"强"	"绿"	"--"	"2.100"	"掌状"	"--"	"--"	"93.00"	"1500"	"--"	"桔黄色"	"--"	"圆柱形"	"--"	"圆滑致密"	"7"	"0.530"	"70.00"	"V05A0014"	"福州市蔬菜科研所"	"63.0"	"1.140"	"强"	"Ⅱ5A0825"	"福建龙岩市"	"--"	"0.950"	"2上-3上,4中-5上"	"--"	"--"
"16"	"中"	"88-B-12"	"龙岩青皮四月瓜"	"攀援蔓生"	"LONG YAN QING PI SI YUE GUA"	"0.5"	"福建"	"80.0"	"少"	"强"	"绿"	"--"	"0.740"	"掌状"	"--"	"--"	"82.00"	"1000"	"--"	"褐色"	"--"	"圆柱形"	"--"	"圆滑致密"	"7"	"0.650"	"57.00"	"V05A0015"	"福州市蔬菜科研所"	"10.0"	"1.700"	"中"	"Ⅱ5A0551"	"福建龙岩市"	"--"	"3.990"	"2中-3下,5中-6上"	"--"	"--"
"17"	"早"	"88-B-17"	"延平黄瓜"	"攀援蔓生"	"YAN PING HUANG GUA"	"0.7"	"福建"	"97.0"	"无"	"弱"	"绿"	"--"	"1.630"	"掌状"	"--"	"--"	"53.00"	"1500"	"--"	"桔黄色"	"--"	"圆柱形"	"--"	"圆滑致密"	"6"	"1.100"	"58.00"	"V05A0016"	"福州市蔬菜科研所"	"65.0"	"1.900"	"中"	"Ⅱ5A0557"	"福建南平县"	"--"	"0.280"	"2上-2下,4下-5上"	"--"	"--"
"18"	"中"	"88-B-4"	"沙县夏茂黄瓜"	"攀援蔓生"	"SHA XIAN XIA MAO HUANG GUA"	"0.8"	"福建"	"73.0"	"--"	"中"	"绿"	"--"	"1.890"	"掌状"	"甜"	"--"	"68.00"	"1125"	"--"	"褐色"	"--"	"圆柱形"	"--"	"圆滑致密"	"--"	"1.550"	"75.00"	"V05A0017"	"福州市蔬菜科研所"	"77.0"	"0.470"	"--"	"Ⅱ5A0548"	"福建沙县"	"--"	"0.860"	"3上-4上,4下-6下"	"--"	"棱"
"19"	"早"	"90-B-1"	"邵武拿口黄瓜"	"攀援蔓生"	"SHAO WU NA KOU HUANG GUA"	"0.5"	"福建"	"--"	"少"	"强"	"绿"	"--"	"--"	"掌状"	"微甜"	"--"	"--"	"688"	"白"	"奶油色"	"--"	"圆柱形"	"少"	"圆滑致密"	"4"	"--"	"--"	"V05A0018"	"福州市蔬菜科研所"	"--"	"--"	"中"	"Ⅱ5A1045"	"福建邵武市"	"--"	"--"	"2下-4下-,4下-6上"	"--"	"--"
"20"	"晚"	"89-B-6"	"厦门郊区早春黄瓜"	"攀援蔓生"	"XIA MEN JIAO QU ZAO CHUN HUANG GUA"	"0.6"	"福建"	"77.0"	"少"	"弱"	"绿"	"--"	"2.020"	"掌状"	"--"	"--"	"83.00"	"1250"	"--"	"褐色"	"--"	"圆柱形"	"--"	"圆滑致密"	"8"	"0.290"	"90.00"	"V05A0019"	"福州市蔬菜科研所"	"90.0"	"0.380"	"中"	"Ⅱ5A0824"	"福建厦门市"	"--"	"-0.530"	"2中-3下,5下-6下"	"--"	"具刺"
"21"	"中"	"88-B-15"	"永定青黄瓜"	"攀援蔓生"	"YONG DING QING HUANG GUA"	"0.7"	"福建"	"96.0"	"--"	"中"	"绿"	"--"	"1.300"	"掌状"	"--"	"--"	"74.00"	"1250"	"--"	"奶油色"	"--"	"圆柱形"	"--"	"圆滑致密"	"9"	"1.040"	"75.00"	"V05A0020"	"福州市蔬菜科研所"	"56.0"	"1.310"	"强"	"Ⅱ5A0554"	"福建永定县"	"--"	"1.260"	"2上-3上,4上-6中"	"--"	"具刺"
"22"	"早"	"甘Ⅱ5A003"	"成县地黄瓜"	"葡匐蔓生"	"CHENG XIAN DI HUANG GUA"	"0.2"	"甘肃"	"93.1"	"--"	"中"	"黄"	"--"	"0.170"	"心形"	"甜"	"--"	"100.00"	"3750"	"白"	"奶油色"	"*"	"圆柱形"	"中"	"圆滑致密"	"5"	"-1.250"	"75.90"	"V05A0028"	"甘肃农科院蔬菜所"	"60.7"	"0.410"	"--"	"Ⅱ5A0247"	"甘肃成县"	"--"	"0.510"	"3中-4上-5中"	"--"	"具瘤"
"23"	"中"	"甘Ⅱ5A008"	"安宁刺瓜"	"攀援蔓生"	"AN NING CI GUA"	"0.3"	"甘肃"	"100.0"	"--"	"弱"	"绿"	"--"	"1.930"	"心形"	"甜"	"--"	"20.00"	"5000"	"白"	"奶油色"	"*"	"圆柱形"	"多"	"圆滑致密"	"4"	"-1.320"	"79.30"	"V05A0029"	"甘肃农科院蔬菜所"	"100.0"	"0.140"	"--"	"Ⅱ5A0246"	"甘肃兰州市"	"绿色"	"-0.220"	"4上-6中 2中-5上"	"线条状"	"具瘤"
"24"	"中"	"甘Ⅱ5A005"	"兰州刺黄瓜"	"葡匐蔓生"	"LAN ZHOU CI HUANG GUA"	"0.3"	"甘肃"	"100.0"	"--"	"中"	"绿"	"--"	"1.380"	"心形"	"甜"	"网纹"	"73.30"	"2500"	"白"	"褐色"	"*早年引自陕西西安,砂田播种"	"圆柱形"	"多"	"圆滑致密"	"4"	"-0.580"	"50.00"	"V05A0030"	"甘肃农科院蔬菜所"	"38.5"	"-0.390"	"--"	"Ⅱ5A0632"	"甘肃兰州市"	"黄色"	"0.940"	"4上-6中"	"线条状"	"具瘤"
"25"	"晚"	"甘Ⅱ5A012"	"秋黄瓜"	"攀援蔓生"	"QIU HUANG GUA"	"0.2"	"甘肃"	"100.0"	"--"	"弱"	"绿"	"--"	"0.120"	"心形"	"甜"	"--"	"96.70"	"1000"	"白"	"奶油色"	"*"	"圆柱形"	"少"	"圆滑致密"	"5"	"-0.560"	"73.30"	"V05A0031"	"甘肃农科院蔬菜所"	"89.5"	"-0.870"	"不耐寒旱"	"Ⅱ5A0634"	"甘肃兰州市"	"--"	"0.170"	"5下-8上"	"--"	"具瘤"
"26"	"中"	"甘Ⅱ5A010"	"白肚郎黄瓜(白肚瓤)"	"葡匐蔓生"	"BAI DU LANG HUANG GUA (BAI DU RANG)"	"0.3"	"甘肃"	"83.3"	"--"	"强"	"绿"	"--"	"0.820"	"心形"	"甜"	"--"	"79.30"	"2250"	"棕"	"褐色"	"*"	"圆柱形"	"少"	"圆滑致密"	"4"	"-0.780"	"90.00"	"V05A0032"	"甘肃农科院蔬菜所"	"60.6"	"0.100"	"--"	"Ⅱ5A0245"	"甘肃临洮县"	"--"	"0.630"	"4上-6下"	"线条状"	"具瘤"
"27"	"早"	"G30-20"	"黄阁青"	"攀援蔓生"	"HUANG GE QING"	"0.2"	"广东"	"88.0"	"少"	"--"	"绿"	"--"	"0.320"	"掌状"	"--"	"--"	"97.00"	"1000"	"--"	"桔黄色"	"白刺"	"圆柱形"	"--"	"--"	"6"	"2.380"	"84.00"	"V05A0043"	"广东农科院经作所"	"68.0"	"0.780"	"耐寒"	"Ⅱ5A0288"	"广东番禺县"	"--"	"0.800"	"春1-3月"	"--"	"具瘤"
"28"	"中"	"G30-16"	"全青"	"攀援蔓生"	"QUAN QING"	"0.2"	"广东"	"92.0"	"少"	"弱"	"绿"	"--"	"0.920"	"掌状"	"--"	"--"	"90.00"	"875"	"--"	"桔黄色"	"白刺"	"圆柱形"	"--"	"--"	"7"	"2.030"	"92.00"	"V05A0044"	"广东农科院经作所"	"74.0"	"0.100"	"耐热"	"Ⅱ5A0285"	"广东番禺县"	"--"	"1.000"	"春1-3月秋8-9月上"	"--"	"具瘤"
"29"	"晚"	"G30-7"	"澜石"	"攀援蔓生"	"LAN SHI"	"0.3"	"广东"	"72.0"	"--"	"强"	"绿"	"--"	"1.940"	"掌状"	"--"	"--"	"76.00"	"1750"	"白"	"桔黄色"	"--"	"圆柱形"	"--"	"圆滑致密"	"10"	"3.080"	"53.00"	"V05A0045"	"广东农科院经作所"	"68.0"	"1.190"	"耐寒"	"Ⅱ5A0282"	"广东佛山市"	"--"	"0.460"	"春1冬10"	"--"	"--"
"30"	"早"	"G30-13"	"二青"	"攀援蔓生"	"ER QING"	"0.1"	"广东"	"88.0"	"多"	"弱"	"绿"	"--"	"0.080"	"掌状"	"--"	"网纹"	"94.00"	"1250"	"黑"	"褐色"	"--"	"圆柱形"	"--"	"圆滑致密"	"5"	"1.080"	"78.00"	"V05A0046"	"广东农科院经作所"	"69.0"	"0.020"	"--"	"Ⅱ5A0222"	"广东广州市"	"--"	"0.080"	"1-38-9"	"--"	"--"
"31"	"中"	"G30-27"	"窖心"	"蔓生"	"JIAO XIN"	"0.3"	"广东"	"100.0"	"中"	"弱"	"绿"	"--"	"1.530"	"掌状"	"中"	"--"	"88.00"	"600"	"白"	"黄色"	"--"	"圆柱形"	"少"	"中"	"10"	"2.190"	"100.00"	"V05A0047"	"广东农科院经作所"	"50.0"	"-2.800"	"弱"	"Ⅱ5A0291"	"广东广州市"	"--"	"0.200"	"2上-4上"	"--"	"平"
"32"	"早"	"200109"	"拉友黄瓜"	"蔓生"	"LA YOU HUANG GUA"	"0.2"	"广西"	"--"	"少"	"中"	"黄"	"--"	"--"	"掌状"	"中"	"--"	"--"	"875"	"白"	"褐色"	"--"	"圆柱形"	"--"	"圆滑致密"	"7"	"--"	"--"	"V05A0075"	"广西农科院园艺所"	"--"	"--"	"中"	"Ⅱ5A0819"	"广西金城江"	"--"	"--"	"2中下"	"--"	"平"
"33"	"早"	"200016"	"高旺早黄瓜"	"蔓生"	"GAO WANG ZAO HUANG GUA"	"0.2"	"广西"	"70.0"	"少"	"中"	"黄"	"--"	"3.040"	"掌状"	"甜"	"--"	"68.00"	"407"	"黑"	"褐色"	"--"	"圆柱形"	"--"	"圆滑致密"	"6"	"1.570"	"27.00"	"V05A0076"	"广西农科院园艺所"	"73.0"	"2.070"	"弱"	"Ⅱ5A0037"	"广西梧州市"	"--"	"0.640"	"2中下"	"--"	"平"
"34"	"中"	"5-A-22-20"	"道真本黄瓜"	"攀援蔓生"	"DAO ZHEN BEN HUANG GUA"	"0.3"	"贵州"	"71.0"	"--"	"强"	"绿"	"--"	"0.780"	"心形"	"淡而无味"	"--"	"82.00"	"--"	"黑"	"褐色"	"--"	"圆柱形"	"--"	"水分多"	"5"	"1.410"	"76.00"	"V05A0077"	"贵州农科院园艺所"	"62.0"	"1.280"	"--"	"Ⅱ5A0305"	"贵州道真县"	"--"	"0.260"	"3-8"	"--"	"平"
"35"	"早"	"5-A-22-61"	"青皮黄瓜"	"攀援蔓生"	"QING PI HUANG GUA"	"0.2"	"贵州"	"84.0"	"多"	"强"	"绿"	"--"	"1.870"	"掌状"	"--"	"--"	"67.00"	"600"	"--"	"褐色"	"--"	"圆柱形"	"无"	"味甜头苦"	"7"	"0.640"	"64.00"	"V05A0078"	"贵州农科院园艺所"	"44.0"	"2.020"	"中"	"Ⅱ5A0310"	"贵州都匀市"	"--"	"1.470"	"4上-7中"	"--"	"网状"
"36"	"早"	"5-A-22-16"	"本地黄瓜"	"攀援蔓生"	"BEN DI HUANG GUA"	"0.2"	"贵州"	"76.0"	"--"	"强"	"绿"	"--"	"1.770"	"心形"	"--"	"--"	"53.00"	"--"	"黑"	"褐色"	"--"	"圆柱形"	"--"	"味淡"	"5"	"0.900"	"70.00"	"V05A0079"	"贵州农科院园艺所"	"76.0"	"2.140"	"中"	"Ⅱ5A0297"	"贵州都匀市"	"--"	"0.180"	"3月-8月"	"--"	"平"
"37"	"中"	"黄47号"	"油条"	"蔓生"	"YOU TIAO"	"0.2"	"河北"	"100.0"	"--"	"中"	"绿"	"--"	"-0.050"	"心形"	"--"	"--"	"100.00"	"2600"	"--"	"--"	"--"	"圆柱形"	"--"	"圆滑致密"	"6"	"0.660"	"57.10"	"V05A0104"	"河北农科院蔬菜所"	"100.0"	"-0.850"	"中"	"Ⅱ5A0737"	"河北霸县"	"--"	"-0.330"	"3月-7月"	"--"	"具瘤"
"38"	"中"	"黄39号"	"保定黄瓜"	"攀援蔓生"	"BAO DING HUANG GUA"	"0.2"	"河北"	"100.0"	"--"	"中"	"绿"	"--"	"0.740"	"心形"	"--"	"--"	"35.70"	"2500"	"--"	"--"	"--"	"圆柱形"	"多"	"甜脆"	"5"	"-1.840"	"30.00"	"V05A0105"	"河北农科院蔬菜所"	"100.0"	"0.890"	"强"	"Ⅱ5A0728"	"河北保定市"	"--"	"-0.270"	"3月-7月"	"--"	"具瘤"
"39"	"中"	"黄25号"	"白皮秋黄瓜"	"攀援蔓生"	"BAI PI QIU HUANG GUA"	"0.2"	"河北"	"100.0"	"--"	"中"	"黄"	"--"	"0.800"	"掌状"	"--"	"--"	"93.30"	"2175"	"--"	"--"	"--"	"圆柱形"	"少"	"圆滑致密"	"7"	"0.930"	"3.45"	"V05A0106"	"河北农科院蔬菜所"	"100.0"	"1.050"	"强"	"Ⅱ5A0720"	"河北承德县"	"--"	"-0.230"	"3月-7月,7月-10月"	"--"	"平"
"40"	"中"	"黄49号"	"叶里三黄瓜"	"蔓生"	"YE LI SAN HUANG GUA"	"0.2"	"河北"	"100.0"	"--"	"中"	"绿"	"--"	"0.090"	"心形"	"--"	"--"	"93.30"	"2450"	"--"	"--"	"--"	"圆柱形"	"--"	"圆滑致密"	"6"	"-0.270"	"16.70"	"V05A0107"	"河北农科院蔬菜所"	"100.0"	"2.770"	"中"	"Ⅱ5A0755"	"河北大名县"	"--"	"-0.860"	"3月-7月"	"--"	"具瘤"
"41"	"中"	"黄28号"	"东光地爬瓜"	"攀援蔓生"	"DONG GUANG DI PA GUA"	"0.2"	"河北"	"100.0"	"--"	"中"	"绿"	"--"	"0.120"	"心形"	"--"	"--"	"100.00"	"2000"	"--"	"--"	"--"	"圆柱形"	"--"	"圆滑致密"	"6"	"1.220"	"44.80"	"V05A0108"	"河北农科院蔬菜所"	"100.0"	"1.100"	"强"	"Ⅱ5A0721"	"河北东光县"	"--"	"-0.120"	"3月-7月"	"--"	"具瘤"
"42"	"早"	"6A0016"	"灵宝地黄瓜"	"攀援蔓生"	"LING BAO DI HUANG GUA"	"0.2"	"河南"	"100.0"	"--"	"中"	"--"	"--"	"1.110"	"心形"	"--"	"--"	"70.00"	"1500"	"--"	"--"	"--"	"圆柱形"	"--"	"--"	"3"	"-0.590"	"23.30"	"V05A0178"	"河南农科院园艺所"	"100.0"	"0.340"	"--"	"Ⅱ5A0629"	"河南灵宝县"	"--"	"-0.390"	"4下-6下"	"--"	"平"
"43"	"早"	"6A0061"	"鹿邑线黄瓜"	"攀援蔓生"	"LU YI XIAN HUANG GUA"	"0.2"	"河南"	"90.0"	"--"	"中"	"--"	"--"	"1.480"	"心形"	"--"	"--"	"36.70"	"2000"	"--"	"--"	"--"	"圆柱形"	"--"	"--"	"4"	"0.040"	"100.00"	"V05A0179"	"河南农科院园艺所"	"100.0"	"-0.710"	"--"	"Ⅱ5A0083"	"河南鹿邑县"	"--"	"0.020"	"4下-7上"	"--"	"--"
"44"	"中"	"90-158"	"新郑地黄瓜"	"攀援蔓生"	"XIN ZHENG DI HUANG GUA"	"0.2"	"河南"	"--"	"无"	"强"	"绿"	"--"	"--"	"圆形"	"甜"	"--"	"--"	"1500"	"白"	"黄色"	"--"	"圆柱形"	"多"	"圆滑致密"	"6"	"--"	"--"	"V05A0180"	"天津市黄瓜所"	"--"	"--"	"中"	"Ⅱ5A1052"	"河南洛阳"	"--"	"--"	"2上-7下"	"--"	"具瘤"
"45"	"中"	"6A0074"	"南阳黄黄瓜"	"攀援蔓生"	"NAN YANG HUANG HUANG GUA"	"0.2"	"河南"	"73.3"	"--"	"中"	"--"	"--"	"2.070"	"心形"	"--"	"--"	"23.30"	"1500"	"--"	"--"	"--"	"圆柱形"	"--"	"--"	"6"	"0.820"	"35.00"	"V05A0181"	"河南农科院园艺所"	"100.0"	"3.890"	"--"	"Ⅱ5A0086"	"河南南阳县"	"--"	"0.160"	"4下-6下"	"--"	"平"
"46"	"中"	"6A0097"	"夏丰一号"	"攀援蔓生"	"XIA FENG YI HAO"	"0.3"	"河南"	"96.7"	"--"	"弱"	"--"	"--"	"0.830"	"心形"	"--"	"--"	"56.70"	"2750"	"--"	"--"	"--"	"圆柱形"	"--"	"--"	"4"	"0.380"	"100.00"	"V05A0182"	"河南农科院园艺所"	"100.0"	"-3.730"	"--"	"Ⅱ5A0088"	"河南农科院"	"--"	"0.230"	"4下-7中"	"--"	"平"
"47"	"早"	"12-131"	"何旱"	"葡匐蔓生"	"HE HAN"	"0.1"	"黑龙江"	"85.7"	"少"	"强"	"绿"	"--"	"7.630"	"掌状"	"微甜"	"--"	"3.70"	"4250"	"白"	"奶油色"	"*"	"椭圆形"	"少"	"圆滑致密"	"5"	"0.580"	"10.00"	"V05A0207"	"黑龙江省园艺所"	"100.0"	"3.160"	"强"	"Ⅱ5A0229"	"黑龙江哈尔滨市"	"--"	"-0.470"	"4下-6下.7下"	"--"	"平"
"48"	"早"	"12-135"	"长春密刺"	"蔓生"	"CHANG CHUN MI CI"	"0.2"	"黑龙江"	"100.0"	"中"	"弱"	"绿"	"--"	"2.050"	"其它"	"--"	"--"	"16.00"	"1500"	"白"	"奶油色"	"--"	"圆柱形"	"中"	"圆滑致密"	"3"	"-0.370"	"36.70"	"V05A0208"	"黑龙江省园艺所"	"100.0"	"0.560"	"--"	"Ⅱ5A0025"	"黑龙江哈尔滨市"	"--"	"-0.270"	"4下-6下-7下"	"--"	"棱"
"49"	"早"	"12-2"	"民主叶三"	"葡匐蔓生"	"MIN ZHU YE SAN"	"0.4"	"黑龙江"	"100.0"	"少"	"中"	"绿"	"--"	"4.540"	"掌状"	"微甜"	"--"	"12.30"	"2500"	"白"	"奶油色"	"*"	"圆柱形"	"多"	"圆滑致密"	"3"	"0.860"	"17.00"	"V05A0209"	"黑龙江省园艺所"	"100.0"	"0.630"	"耐热"	"Ⅱ5A0030"	"黑龙江哈尔滨市"	"--"	"-0.050"	"4下-6下.8下"	"--"	"棱"
"50"	"早"	"12-133"	"小旱黄瓜"	"葡匐蔓生"	"XIAO HAN HUANG GUA"	"0.1"	"黑龙江"	"100.0"	"少"	"弱"	"绿"	"--"	"4.500"	"掌状"	"--"	"--"	"60.00"	"2250"	"黑"	"褐色"	"*"	"椭圆形"	"少"	"圆滑致密"	"3"	"-1.500"	"53.30"	"V05A0210"	"黑龙江省园艺所"	"100.0"	"-0.590"	"耐寒"	"Ⅱ5A0487"	"黑龙江哈尔滨市"	"--"	"-1.240"	"4下-6下.7下"	"--"	"平"
"51"	"早"	"12-33"	"老来少"	"葡匐蔓生"	"LAO LAI SHAO"	"0.2"	"黑龙江"	"90.0"	"少"	"中"	"绿"	"--"	"7.440"	"掌状"	"--"	"--"	"6.70"	"1250"	"黑"	"褐色"	"*"	"椭圆形"	"少"	"圆滑致密"	"3"	"4.180"	"29.10"	"V05A0211"	"黑龙江省园艺所"	"60.0"	"-0.380"	"强"	"Ⅱ5A0231"	"黑龙江绥棱县"	"--"	"-1.110"	"4下-6中.8上"	"--"	"平"
