"id"	"邯郸穗粒重"	"品种名称"	"邯郸穗粒数"	"哈市穗粒数"	"杭州成熟型"	"耐盐芽期"	"黄花叶病"	"原产地"	"统一编号"	"北京成熟型"	"邯郸千粒重"	"条纹病"	"杭州千粒重"	"哈市成熟型"	"哈市穗粒重"	"北京穗粒数"	"哈市株粒重"	"白粉病"	"北京株高"	"北京株粒重"	"邯郸株高"	"优异性状"	"哈市千粒重"	"西宁成熟型"	"NO"	"哈市株高"	"西宁穗粒数"	"棱型"	"皮裸"	"杭州株高"	"杭州穗粒数"	"邯郸成熟型"	"耐盐苗期"	"西宁株高"	"北京千粒重"	"赤霉病"	"北京穗粒重"	"杭州穗粒重"	"西宁株粒重"	"西宁千粒重"	"邯郸株粒重"	"西宁穗粒重"	"杭州株粒重"
"11"	"1"	"Suyin31"	"23"	"18"	"特早"	"5"	"HR"	"日本"	"WDM05754"	"特早"	"44"	"HS"	"40.2"	"早"	".9"	"24"	"3.7"	"HS"	"75"	"4.9"	"66"	"高抗黄花叶病,中抗赤霉病,矮秆"	"48.5"	"特早"	"12"	"59"	"22"	"2"	"皮"	"82"	"17"	"早"	"3"	"85"	"43"	"MR"	".9"	".7"	"7.9"	"52.3"	"6.8"	"1"	"3.7"
"12"	"1"	"Suyin32"	"24"	"18"	"早"	"4"	"HR"	"日本"	"WDM05755"	"早"	"43.4"	"MS"	"36.6"	"早"	"1"	"25"	"6.2"	"HS"	"78"	"5.6"	"70"	"高抗黄花叶病,中抗赤霉病,早熟"	"47"	"特早"	"13"	"58"	"22"	"2"	"皮"	"82"	"21"	"早"	"4"	"86"	"42.6"	"MR"	".9"	".8"	"4.9"	"47.8"	"5.6"	".9"	"3.1"
"13"	"1.8"	"Triton"	"47"	"57"	"极晚"	"5"	"S"	"瑞士"	"WDM05814"	"晚"	"38.5"	"R"	"39.3"	"晚"	"2.4"	"55"	"4.3"	"HR"	"91"	"3.9"	"81"	"抗白粉病、赤霉病、条纹病"	"41"	"极晚"	"14"	"77"	"55"	"6"	"皮"	"88"	"38"	"晚"	"3"	"102"	"34.7"	"R"	"1.2"	"1.5"	"5.8"	"48.1"	"11.9"	"1.8"	"5.2"
"14"	"1.6"	"行幸大麦"	"50"	"48"	"晚"	"5"	"HR"	"日本"	"WDM06252"	"中"	"33.5"	"S"	"33"	"早"	"1.2"	"65"	"5"	"HR"	"89"	"5.5"	"79"	"高抗黄花叶病、白粉病"	"22"	"晚"	"15"	"67"	"55"	"6"	"皮"	"92"	"28"	"中"	"3"	"92"	"35.1"	"HS"	"1.6"	".9"	"2.2"	"27.4"	"9.5"	"1"	"3.7"
"15"	"1.6"	"御岛裸"	"55"	"57"	"晚"	"5"	"HR"	"日本"	"WDM06256"	"中"	"30.6"	"HS"	"26.4"	"晚"	"1.5"	"59"	"2.1"	"MS"	"71"	"3.6"	"74"	"高抗黄花叶病"	"25.9"	"中"	"16"	"50"	"62"	"6"	"裸"	"85"	"50"	"中"	"4"	"80"	"25.4"	"HS"	"1"	"1.3"	"8.2"	"29.5"	"8.4"	"1.8"	"5.5"
"16"	"1.5"	"中国东北"	"50"	"25"	"晚"	"5"	"HR"	"日本"	"WDM06258"	"中"	"29.7"	"S"	"27.5"	"晚"	".7"	"64"	"1.6"	"HS"	"62"	"4.9"	"65"	"高抗黄花叶病,矮秆"	"24"	"极晚"	"17"	"60"	"53"	"6"	"皮"	"65"	"51"	"中"	"3"	"68"	"35"	"HS"	"1.3"	"1.4"	"2.2"	"33.3"	"10.8"	".6"	"5"
"17"	"1.1"	"莆3024"	"47"	"25"	"中"	"1"	"HR"	"福建莆田"	"待编目"	"早"	"25.4"	"R"	"23.5"	"早"	".8"	"52"	"6"	"HS"	"65"	"6"	"69"	"高抗黄花叶病,抗条纹病,矮秆"	"28.4"	"特早"	"18"	"43"	"47"	"6"	"裸"	"50"	"30"	"早"	"4"	"76"	"32.9"	"HS"	"1.4"	".7"	"8"	"32.6"	"9"	"1.4"	"2.9"
"18"	"1.5"	"50845"	"44"	"53"	"晚"	"3"	"R"	"江苏盐城"	"ZDM08489"	"中"	"33.3"	"S"	"34.3"	"晚"	"1.2"	"57"	"3.6"	"MS"	"60"	"5.3"	"51"	"抗黄花叶病,矮秆,农艺性状好"	"23.2"	"极晚"	"19"	"61"	"41"	"6"	"皮"	"82"	"34"	"早"	"4"	"60"	"35.7"	"HS"	"1.4"	"1.2"	"4.2"	"35.4"	"9.5"	"1.6"	"4.8"
"19"	"1.4"	"72-5-5"	"54"	"51"	"中"	"4"	"HR"	"江苏南通"	"ZDM08490"	"中"	"26.3"	"HS"	"27"	"早"	"1.3"	"68"	"4.5"	"HS"	"65"	"4.7"	"70"	"高抗黄花叶病,矮秆"	"25.4"	"特早"	"20"	"49"	"47"	"6"	"裸"	"81"	"34"	"中"	"4"	"74"	"28.4"	"S"	"1.6"	".9"	"7.6"	"25.8"	"7.3"	"1.2"	"3.7"
"20"	"1.5"	"77-5-5(182)"	"51"	"50"	"中"	"5"	"HR"	"江苏南通"	"ZDM08491"	"中"	"29.9"	"S"	"34.1"	"晚"	"1.3"	"61"	"2.8"	"HS"	"66"	"4.5"	"67"	"高抗黄花叶病,矮秆"	"24.5"	"极晚"	"21"	"60"	"48"	"6"	"裸"	"88"	"25"	"中"	"4"	"64"	"33.5"	"HS"	"1.3"	".8"	"2.5"	"26.1"	"9"	".9"	"3.6"
"21"	"1.6"	"8-2"	"51"	"64"	"中"	"5"	"HR"	"江苏"	"ZDM08492"	"早"	"30.1"	"R"	"32.6"	"晚"	"1.7"	"65"	"3.3"	"HS"	"71"	"4.8"	"67"	"高抗黄花叶病,抗条纹病,矮秆"	"25.1"	"极晚"	"22"	"70"	"54"	"6"	"皮"	"87"	"41"	"早"	"3"	"67"	"33.1"	"HS"	"1.4"	"1.4"	"3.9"	"37.7"	"11.9"	"1.1"	"5.3"
"22"	"1.8"	"六担准"	"53"	"47"	"晚"	"5"	"HR"	"四川阿坝"	"ZDM08738"	"中"	"29.9"	"R"	"26.8"	"中"	"1.3"	"65"	"3.9"	"HS"	"67"	"4.7"	"71"	"高抗黄花叶病,抗条纹病,矮秆"	"28.1"	"早"	"23"	"48"	"50"	"6"	"裸"	"88"	"46"	"中"	"4"	"76"	"31.5"	"HS"	"1.4"	"1.2"	"8.5"	"32"	"9.8"	"1.4"	"4.3"
"23"	"1.5"	"六棱谷老麦"	"54"	"44"	"晚"	"5"	"HR"	"贵州凯里"	"ZDM09009"	"中"	"27.9"	"HS"	"29.9"	"晚"	"1.3"	"65"	"2.5"	"HS"	"67"	"5.7"	"65"	"高抗黄花叶病,矮秆"	"28.5"	"晚"	"24"	"55"	"53"	"6"	"裸"	"84"	"40"	"晚"	"4"	"73"	"31.9"	"HS"	"1.6"	"1.2"	"5.4"	"31"	"8.4"	"1.5"	"4.3"
"24"	"1"	"吉8701"	"23"	"28"	"中"	"5"	"HR"	"吉林省农科院"	"ZDM09246"	"中"	"44.3"	"HS"	"34.9"	"中"	"1.4"	"32"	"5.7"	"IM"	"86"	"4.7"	"78"	"高抗黄花叶病,白粉病免疫,中抗赤霉病"	"48.8"	"早"	"25"	"76"	"30"	"2"	"皮"	"72"	"16"	"中"	"4"	"97"	"36.3"	"MR"	".9"	".5"	"8.1"	"48.6"	"7.2"	"1.4"	"2"
"25"	"1.1"	"杂38"	"23"	"20"	"早"	"5"	"HR"	"吉林省农科院"	"ZDM09285"	"早"	"44.9"	"HS"	"36.1"	"早"	"1"	"25"	"5.5"	"HS"	"82"	"3.8"	"79"	"高抗黄花叶病,抗赤霉病"	"47.3"	"特早"	"26"	"69"	"23"	"2"	"皮"	"80"	"21"	"早"	"3"	"87"	"39.6"	"R"	".8"	".7"	"7.1"	"47.4"	"6.9"	"1"	"3.5"
"26"	"1.4"	"1815D"	"51"	"43"	"晚"	"5"	"HR"	"北京农业大学"	"ZDM09331"	"早"	"28.8"	"HS"	"17.2"	"中"	"1.1"	"56"	"3.1"	"MS"	"52"	"3.2"	"58"	"高抗黄花叶病,矮秆"	"22.9"	"晚"	"27"	"48"	"47"	"6"	"裸"	"76"	"29"	"中"	"4"	"59"	"30.4"	"HS"	".9"	".5"	"3.1"	"25.2"	"7"	".6"	"2"
"27"	"1.2"	"916259"	"27"	"23"	"早"	"5"	"S"	"上海市农科院"	"ZDM09350"	"中"	"41.5"	"HS"	"36.9"	"早"	"1.1"	"29"	"5.4"	"HS"	"59"	"3.6"	"59"	"中抗赤霉病,矮秆"	"45.8"	"早"	"28"	"52"	"27"	"2"	"皮"	"63"	"25"	"中"	"4"	"68"	"36.5"	"MR"	".8"	".9"	"6.7"	"46.5"	"6.6"	"1.2"	"4.7"
"28"	"1.4"	"916269"	"26"	"22"	"早"	"4"	"S"	"上海市农科院"	"ZDM09351"	"早"	"47.2"	"S"	"40.7"	"早"	"1.1"	"27"	"6.4"	"HS"	"67"	"4.8"	"66"	"抗赤霉病,矮秆"	"49.8"	"早"	"29"	"57"	"24"	"2"	"皮"	"76"	"26"	"中"	"4"	"82"	"40.8"	"R"	".9"	"1"	"5.6"	"48.8"	"8.5"	"1"	"4.6"
"29"	"1.5"	"苏农0030"	"49"	"23"	"特早"	"5"	"R"	"江苏农学院"	"ZDM09362"	"早"	"30.9"	"S"	"27.8"	"早"	".7"	"46"	"1.3"	"MS"	"43"	"1.8"	"56"	"抗黄花叶病,矮秆,早熟"	"27.2"	"早"	"30"	"35"	"37"	"6"	"皮"	"67"	"22"	"早"	"5"	"59"	"34.5"	"HS"	".6"	".6"	"2.3"	"30.7"	"7.2"	".7"	"2.1"
"30"	"1.7"	"苏农684"	"51"	"32"	"特早"	"4"	"R"	"江苏农学院"	"ZDM09391"	"早"	"31.8"	"S"	"33.7"	"早"	"1"	"48"	"2.7"	"HS"	"49"	"3"	"50"	"抗黄花叶病,矮秆,早熟"	"32.8"	"特早"	"31"	"35"	"33"	"6"	"皮"	"72"	"33"	"早"	"4"	"60"	"37.8"	"S"	".8"	"1.1"	"3.5"	"36.4"	"7.5"	"1"	"4.1"
"31"	"1.6"	"苏农7630"	"51"	"45"	"中"	"5"	"R"	"江苏农学院"	"ZDM09399"	"早"	"29.8"	"S"	"32"	"早"	"1.7"	"53"	"4.6"	"HS"	"72"	"5"	"67"	"抗黄花叶病,农艺性状好"	"36.5"	"早"	"32"	"59"	"38"	"6"	"皮"	"84"	"36"	"早"	"4"	"83"	"34.9"	"S"	"1.3"	"1.1"	"5.3"	"40.1"	"9.3"	"1.4"	"4.5"
"32"	"1"	"如东14-42"	"25"	"20"	"早"	"3"	"R"	"江苏如东县技术推广中心"	"ZDM09410"	"早"	"41.4"	"MS"	"37"	"早"	"1"	"23"	"4.2"	"HS"	"65"	"3.8"	"65"	"抗黄花叶病、赤霉病,矮秆"	"47.8"	"早"	"33"	"53"	"22"	"2"	"皮"	"75"	"22"	"早"	"4"	"82"	"45"	"R"	".8"	".8"	"5.8"	"45.4"	"5.7"	".9"	"4.1"
"33"	"1.1"	"如东8-5"	"25"	"21"	"早"	"3"	"R"	"江苏如东县技术推广中心"	"ZDM09423"	"早"	"43"	"MR"	"37.6"	"早"	"1"	"27"	"4.5"	"HS"	"79"	"4.3"	"71"	"抗黄花叶病,中抗赤霉病、条纹病"	"48"	"早"	"34"	"61"	"24"	"2"	"皮"	"81"	"25"	"早"	"5"	"91"	"40"	"MR"	".8"	".9"	"5.4"	"42.3"	"6.6"	".9"	"4.2"
"34"	"1.1"	"如东87-14-48"	"25"	"20"	"早"	"4"	"R"	"江苏如东县技术推广中心"	"ZDM09429"	"早"	"43.1"	"R"	"39.2"	"早"	"1"	"25"	"3.9"	"HS"	"67"	"2.9"	"63"	"抗黄花叶病、赤霉病、条纹病"	"49.5"	"早"	"35"	"58"	"24"	"2"	"皮"	"72"	"26"	"早"	"4"	"84"	"37.7"	"R"	".8"	"1"	"6.1"	"49.5"	"7.3"	"1.1"	"4.1"
"35"	"1.2"	"如东87-8-16"	"25"	"23"	"中"	"4"	"R"	"江苏如东县技术推广中心"	"ZDM09434"	"早"	"46.9"	"HS"	"47.5"	"中"	"1.2"	"25"	"5.2"	"MS"	"79"	"3.8"	"74"	"抗黄花叶病、中抗赤霉病"	"51.5"	"早"	"36"	"68"	"23"	"2"	"皮"	"87"	"25"	"中"	"4"	"93"	"42.4"	"MR"	".9"	"1.2"	"4.4"	"45.4"	"10.4"	"1.1"	"5"
"36"	"1.2"	"如东87-8-30"	"26"	"24"	"早"	"3"	"R"	"江苏如东县技术推广中心"	"ZDM09435"	"早"	"48.2"	"HS"	"45.4"	"早"	"1.2"	"26"	"5.2"	"HS"	"78"	"5.6"	"71"	"抗黄花叶病、赤霉病"	"47.7"	"特早"	"37"	"69"	"26"	"2"	"皮"	"82"	"26"	"中"	"4"	"93"	"42.1"	"R"	"1"	"1.2"	"6.8"	"50.1"	"6.8"	"1.1"	"4.1"
"37"	"1.7"	"苏72-44-16(2)"	"55"	"57"	"中"	"4"	"R"	"江苏沿江地区农科所"	"ZDM09477"	"中"	"29.5"	"HS"	"36"	"中"	"1.6"	"59"	"4"	"HS"	"64"	"4.4"	"62"	"抗黄花叶病,矮秆"	"28.4"	"早"	"38"	"48"	"44"	"6"	"裸"	"87"	"27"	"中"	"4"	"65"	"33.8"	"HS"	"1.4"	"1.1"	"4.1"	"29.2"	"9.2"	"1.4"	"3.7"
"38"	"1.2"	"苏72-49"	"39"	"44"	"极晚"	"2"	"HR"	"江苏沿江地区农科所"	"ZDM09478"	"中"	"31.6"	"HS"	"24.4"	"中"	"1.2"	"71"	"5.7"	"MS"	"71"	"5.5"	"62"	"高抗黄花叶病"	"27.1"	"早"	"39"	"57"	"49"	"6"	"裸"	"92"	"31"	"晚"	"4"	"74"	"34.1"	"S"	"1.2"	".8"	"7.7"	"31.2"	"5.4"	"1.7"	"3.5"
"39"	"1"	"通83-43"	"24"	"23"	"早"	"2"	"R"	"江苏沿江地区农科所"	"ZDM09483"	"早"	"39"	"HS"	"36.9"	"早"	"1"	"26"	"6.8"	"MS"	"80"	"3.9"	"67"	"抗黄花叶病,中抗赤霉病,熟相好"	"44"	"特早"	"40"	"72"	"23"	"2"	"皮"	"87"	"22"	"早"	"3"	"97"	"41.4"	"MR"	".9"	".8"	"6.4"	"44.3"	"7.7"	"1"	"3.5"
"40"	"1.4"	"通83-6-5"	"23"	"20"	"特早"	"5"	"R"	"江苏沿江地区农科所"	"ZDM09484"	"早"	"54.5"	"HS"	"45.7"	"早"	"1.1"	"25"	"5.3"	"HS"	"76"	"4.1"	"67"	"抗黄花叶病,抗赤霉病,早熟"	"54"	"特早"	"41"	"69"	"23"	"2"	"皮"	"87"	"21"	"早"	"4"	"91"	"49.2"	"R"	"1"	"1"	"6.2"	"52"	"7.1"	"1"	"3.6"
"41"	"1.2"	"通鉴43"	"23"	"18"	"特早"	"4"	"HR"	"江苏沿江地区农科所"	"ZDM09489"	"早"	"51.4"	"R"	"39.7"	"早"	".8"	"22"	"3.7"	"HS"	"69"	"4.9"	"63"	"高抗黄花叶病,抗赤霉病、条纹病,早熟,大粒"	"46.7"	"特早"	"42"	"53"	"19"	"2"	"皮"	"78"	"18"	"中"	"5"	"84"	"49.8"	"MR"	".9"	".7"	"5.7"	"52.6"	"6.1"	"1"	"2.8"
"42"	"1.1"	"吾阿斯基201"	"24"	"28"	"中"	"5"	"HS"	"苏联"	"WDM00070"	"晚"	"45.7"	"S"	"33.3"	"中"	"1.3"	"29"	"6.8"	"HS"	"97"	"3.8"	"86"	"抗赤霉病"	"45.1"	"早"	"43"	"94"	"23"	"2"	"皮"	"88"	"19"	"晚"	"5"	"98"	"36.6"	"R"	".7"	".6"	"4.4"	"37.7"	"6.9"	".8"	"4.1"
"43"	".9"	"匈牙利大麦"	"22"	"26"	"中"	"5"	"HS"	"苏联"	"WDM00077"	"晚"	"42.5"	"R"	"20.9"	"中"	"1.2"	"28"	"6.6"	"IM"	"95"	"3.7"	"85"	"白粉病免疫,抗条纹病"	"43.5"	"早"	"44"	"91"	"25"	"2"	"皮"	"92"	"17"	"晚"	"5"	"104"	"37.8"	"MS"	".6"	".3"	"3.6"	"31.1"	"6.9"	".7"	"1.9"
"44"	"1.7"	"U.S.D.A2474"	"52"	"57"	"中"	"3"	"HS"	"美农部"	"WDM02763"	"晚"	"33.7"	"HS"	"31.1"	"中"	"2.2"	"67"	"10.1"	"HR"	"111"	"4.3"	"96"	"高抗白粉病"	"38"	"特早"	"45"	"109"	"55"	"6"	"皮"	"116"	"50"	"晚"	"5"	"139"	"28.4"	"S"	"1.3"	"1.6"	"4.1"	"38.6"	"10.4"	"1.5"	"6.2"
"45"	"1.5"	"W.E.87"	"49"	"45"	"中"	"4"	"HS"	"加拿大"	"WDM02840"	"特早"	"30.7"	"HS"	"25.2"	"早"	"1.4"	"53"	"3.6"	"HS"	"107"	"3.9"	"105"	"早熟"	"31.5"	"特早"	"46"	"88"	"31"	"6"	"皮"	"110"	"43"	"早"	"5"	"107"	"28.9"	"MS"	"1"	"1.1"	"2.7"	"31.2"	"10.5"	".9"	"4.9"
"46"	"1.1"	"库巴涅奇"	"23"	"31"	"中"	"5"	"HS"	"苏联"	"WDM03449"	"中"	"52.6"	"R"	"38.1"	"早"	"1.3"	"29"	"6.5"	"HR"	"96"	"2.4"	"73"	"高抗白粉病,中抗赤霉病,抗条纹病"	"43"	"早"	"47"	"81"	"27"	"2"	"皮"	"85"	"15"	"晚"	"5"	"107"	"44.8"	"MR"	".6"	".6"	"6.7"	"48.1"	"8.3"	"1.3"	"3"
"47"	"2.2"	"青永260"	"53"	"28"	"中"	"4"	"HS"	"青海"	"待编目"	"中"	"38"	"R"	"35.6"	"中"	"1.2"	"54"	"5.1"	"HR"	"99"	"3.6"	"83"	"高抗白粉病,抗条纹病"	"39.8"	"特早"	"48"	"74"	"40"	"6"	"皮"	"95"	"36"	"晚"	"5"	"105"	"34"	"MS"	"1"	"1.3"	"6.2"	"38.7"	"7.8"	"1.5"	"6.1"
"48"	"1.2"	"莆848104"	"26"	"20"	"早"	"2"	"HS"	"福建莆田"	"待编目"	"早"	"48.1"	"R"	"37"	"早"	"1.1"	"26"	"3.3"	"HR"	"78"	"4.6"	"64"	"高抗白粉病,抗条纹病,早熟"	"54.2"	"特早"	"49"	"58"	"23"	"2"	"皮"	"84"	"21"	"早"	"4"	"86"	"38.8"	"MS"	".9"	".8"	"5.4"	"48.7"	"6.5"	"1.2"	"4"
"49"	"1.1"	"莆846193"	"23"	"24"	"中"	"5"	"HS"	"福建莆田"	"待编目"	"晚"	"46.7"	"HS"	"36.1"	"晚"	"1.2"	"27"	"7.9"	"HR"	"88"	"3.8"	"74"	"高抗白粉病,中抗赤霉病"	"48.7"	"早"	"50"	"79"	"24"	"2"	"皮"	"84"	"16"	"晚"	"4"	"98"	"34.8"	"MR"	".7"	".7"	"6.7"	"49.7"	"7.3"	"1.1"	"3.5"
"50"	"1.4"	"83055"	"28"	"23"	"中"	"5"	"HS"	"江苏沿海地区农科所"	"ZDM09507"	"特早"	"48.4"	"HS"	"43.6"	"早"	"1.2"	"26"	"3"	"IM"	"83"	"4"	"71"	"白粉病免疫,抗赤霉病,农艺性状好"	"50.7"	"特早"	"51"	"68"	"25"	"2"	"皮"	"87"	"24"	"中"	"4"	"95"	"41.8"	"R"	".9"	"1.1"	"6"	"48.5"	"7.8"	"1.1"	"4.9"
"51"	"1.1"	"莆大麦4号"	"24"	"21"	"特早"	"4"	"HS"	"福建省莆田市农科所"	"ZDM08304"	"特早"	"47.5"	"HS"	"38.2"	"早"	".8"	"24"	"3.2"	"HS"	"77"	"4.3"	"61"	"抗赤霉病,早熟,农艺性状好"	"37.8"	"特早"	"52"	"60"	"22"	"2"	"皮"	"88"	"21"	"中"	"4"	"84"	"39.2"	"R"	".7"	".8"	"6.3"	"49.6"	"6.7"	"1"	"4"
"52"	".9"	"ZF2488"	"19"	"24"	"中"	"3"	"HS"	"法国"	"WDM06005"	"晚"	"52.5"	"R"	"47.5"	"晚"	"1.4"	"28"	"7.6"	"IM"	"80"	"3.5"	"71"	"白粉病免疫,抗赤霉、条纹病,农艺性状好"	"54.7"	"早"	"53"	"72"	"25"	"2"	"皮"	"82"	"19"	"晚"	"4"	"91"	"44.6"	"MR"	".6"	".9"	"10.1"	"55.6"	"7.1"	"1.5"	"4.7"
"53"	"1"	"ZF2510"	"48"	"26"	"晚"	"3"	"HS"	"法国"	"WDM06007"	"晚"	"44.5"	"S"	"40.5"	"中"	"1.1"	"30"	"5.6"	"IM"	"86"	"4.9"	"75"	"白粉病免疫,抗赤霉病"	"44.3"	"早"	"54"	"74"	"26"	"2"	"皮"	"76"	"22"	"晚"	"4"	"87"	"32.3"	"R"	".7"	".9"	"5.2"	"49.9"	"8.4"	"1.2"	"5.7"
"54"	"1"	"ZF2578"	"23"	"26"	"晚"	"5"	"HS"	"法国"	"WDM06010"	"晚"	"47.6"	"HS"	"43.5"	"晚"	"1.3"	"28"	"4.9"	"IM"	"80"	"2.7"	"68"	"白粉病免疫,中抗赤霉病"	"50.3"	"中"	"55"	"72"	"26"	"2"	"皮"	"77"	"18"	"晚"	"4"	"92"	"39"	"MR"	".6"	".8"	"5.6"	"53.5"	"8.1"	"1.2"	"5"
"55"	"1.2"	"ZF2652"	"24"	"23"	"晚"	"5"	"HS"	"法国"	"WDM06018"	"晚"	"49.9"	"HS"	"40.9"	"晚"	"1.3"	"32"	"6"	"IM"	"84"	"3.7"	"81"	"白粉病免疫,中抗赤霉病"	"51.1"	"中"	"56"	"70"	"27"	"2"	"皮"	"85"	"20"	"晚"	"4"	"95"	"31.3"	"MR"	".7"	".8"	"5.8"	"54"	"8.8"	"1.4"	"5.4"
"56"	"1"	"ZF2786"	"22"	"24"	"晚"	"5"	"HS"	"法国"	"WDM06027"	"中"	"44.3"	"HS"	"40.2"	"晚"	"1.1"	"26"	"6.5"	"IM"	"79"	"2.8"	"79"	"白粉病免疫,中抗赤霉病"	"47.6"	"中"	"57"	"69"	"26"	"2"	"皮"	"78"	"19"	"晚"	"4"	"88"	"30.1"	"MR"	".5"	".7"	"9.9"	"53.9"	"7.4"	"1.3"	"4.3"
