"id"	"发生与危害"	"地理分布"	"纲"	"目"	"科"	"属"	"中文名"	"综合治理策略"	"形态特征"	"相关文献"	"拉丁学名"	"记录号"	"别名"	"图片"
"41"	"一年生草本。生命力强，耐践踏。花果期6～9月份。生于山坡、路旁、田边、林缘和林下等潮湿环境。常能连片生长成为地毯状，对有些果园、旱地可造成危害。"	"东北，以及河北、安徽、江苏、福建、广东、湖南、湖北、贵州、四川、云南均有发生。"	"双子叶植物纲"	"蔷薇目"	"豆科"	"鸡眼草属"	"鸡眼草"	"农田杂草的防治方法主要有人工防治、 化学防治、机械防治、替代控制和生态防治等方法。 （一）人工防治 1.控制杂草种子入田人工防除首先是 尽量勿使杂草种子或繁殖器官进入作物田， 清除地边、路旁的杂草，严格杂草检疫制度， 精选播种材料，特别注意国内没有或尚末 广为传播的杂草必须严格禁止输入或严加控制， 防止扩散，以减少田间杂草来源。 用杂草沤制农家肥时，应将农家含有杂草种子 的肥料经过用薄膜覆盖，高温堆沤2-4周， 腐熟成有机肥料，杀死其发芽力后再用。 2.人工除草结合农事活动， 如在杂草萌发后或生长时期直接进行人工拔除或铲除， 或结合中耕施肥等农耕措施剔除杂草。 （二）机械防治 结合农事活动， 利用农机具或大天型农业机械进行各种耕翻、耙、 中耕松土等措施进行播种前、 出苗前及各生育期等到不同时期除草， 直接杀死、刈割或铲除杂草， （三）化学防除 主要特点是高效、省工， 免去繁重的田间除草劳动。 国内外已有300多种化学除草剂，并加工不同剂型的制剂， 可用于几乎所有的粮食作物、经济作物地的除草。 （四）替代控制 利用覆盖、遮光等原理， 用塑料薄膜覆盖或播种其它作物(或草种) 等方法进行除草。"	"幼苗    下胚轴极发达，有细茸毛。初生叶单叶，对生，叶片倒卵形，先端微凹。后生叶为三出掌状复叶，小叶三角状倒卵形，先端微凹。 成株    株高5～30厘米，茎常平卧、斜升或直立。三出复叶，托叶长卵形，宿存。小叶倒卵形、倒卵状长圆形或长圆形，先端圆或微凹，有小突尖，基部楔形，全缘，主脉和叶缘疏生白色毛。 花和子实    花1～3朵，腋生。深紫色。在果期为果的1／2以上或与果近等长。花冠淡红色。荚果卵状长圆形，外被有细短毛。"	"郭书普.旱田杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005 张朝贤，张跃进，倪汉文编著．农田杂草防除手册．北京：中国农业出版社，2000"	"Kummerowia striata(Thunb．)Schindl．"	"dw00109"		"agridata/images/中国农业有害生物数据库/中国旱地杂草数据库/鸡眼草.jpg"
"42"	"一年生草本。花期7～8月份，果期8～9月份，生活力强，耐践踏。种子繁殖。适生于比较湿润的土壤，常见于旱作地。常连片生长，可危害果园及旱秋作物。"	"东北，以及河北、山西、陕西、甘肃、河南、山东、江苏、浙江、安徽、江西均有发生。"	"双子叶植物纲"	"蔷薇目"	"豆科"	"鸡眼草属"	"长萼鸡眼草"	"农田杂草的防治方法主要有人工防治、 化学防治、机械防治、替代控制和生态防治等方法。 （一）人工防治 1.控制杂草种子入田人工防除首先是 尽量勿使杂草种子或繁殖器官进入作物田， 清除地边、路旁的杂草，严格杂草检疫制度， 精选播种材料，特别注意国内没有或尚末 广为传播的杂草必须严格禁止输入或严加控制， 防止扩散，以减少田间杂草来源。 用杂草沤制农家肥时，应将农家含有杂草种子 的肥料经过用薄膜覆盖，高温堆沤2-4周， 腐熟成有机肥料，杀死其发芽力后再用。 2.人工除草结合农事活动， 如在杂草萌发后或生长时期直接进行人工拔除或铲除， 或结合中耕施肥等农耕措施剔除杂草。 （二）机械防治 结合农事活动， 利用农机具或大天型农业机械进行各种耕翻、耙、 中耕松土等措施进行播种前、 出苗前及各生育期等到不同时期除草， 直接杀死、刈割或铲除杂草， （三）化学防除 主要特点是高效、省工， 免去繁重的田间除草劳动。 国内外已有300多种化学除草剂，并加工不同剂型的制剂， 可用于几乎所有的粮食作物、经济作物地的除草。 （四）替代控制 利用覆盖、遮光等原理， 用塑料薄膜覆盖或播种其它作物(或草种) 等方法进行除草。"	"幼苗   子叶椭圆形，长约0．5厘米，先端圆，近无柄，光滑无毛。初生叶倒卵形，先端微凹，顶端有小突尖，叶片常以中脉为轴微向腹面折叠，侧脉呈倒人字形向顶排列，掐断时，裂口顺侧脉呈“V”字形断口。上、下胚轴较发达，有短毛。 成株   株高10～25厘米，茎常平卧、匍匐、斜升或直立，多分枝而开展，茎和幼枝生有向上的疏硬毛。小叶倒卵形或椭圆形，先端微凹或圆形，全缘，侧脉平行。 花和子实    花1～2朵簇生于叶腋。花梗有白色硬毛，有关节。花冠上部暗紫色，长5～6毫米，龙骨瓣较长，旗瓣与翼瓣稍短，近等长。荚果卵形。种子黑色，平滑。"	"郭书普.旱田杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005 张朝贤，张跃进，倪汉文编著．农田杂草防除手册．北京：中国农业出版社，2000"	"Kummerowia stipulacea(Maxim．)Makino"	"dw00110"		"agridata/images/中国农业有害生物数据库/中国旱地杂草数据库/长萼鸡眼草.jpg"
"43"	"多年生半灌木状草本。期春夏季。花果期9～10月。为秋熟旱作地和果园杂草，华南及西南部分地区的旱地及果园发生数量大。"	"华东、华南、西南均有发生"	"双子叶植物纲"	"蔷薇目"	"豆科"	"含羞草属"	"含羞草"	"农田杂草的防治方法主要有人工防治、 化学防治、机械防治、替代控制和生态防治等方法。 （一）人工防治 1.控制杂草种子入田人工防除首先是 尽量勿使杂草种子或繁殖器官进入作物田， 清除地边、路旁的杂草，严格杂草检疫制度， 精选播种材料，特别注意国内没有或尚末 广为传播的杂草必须严格禁止输入或严加控制， 防止扩散，以减少田间杂草来源。 用杂草沤制农家肥时，应将农家含有杂草种子 的肥料经过用薄膜覆盖，高温堆沤2-4周， 腐熟成有机肥料，杀死其发芽力后再用。 2.人工除草结合农事活动， 如在杂草萌发后或生长时期直接进行人工拔除或铲除， 或结合中耕施肥等农耕措施剔除杂草。 （二）机械防治 结合农事活动， 利用农机具或大天型农业机械进行各种耕翻、耙、 中耕松土等措施进行播种前、 出苗前及各生育期等到不同时期除草， 直接杀死、刈割或铲除杂草， （三）化学防除 主要特点是高效、省工， 免去繁重的田间除草劳动。 国内外已有300多种化学除草剂，并加工不同剂型的制剂， 可用于几乎所有的粮食作物、经济作物地的除草。 （四）替代控制 利用覆盖、遮光等原理， 用塑料薄膜覆盖或播种其它作物(或草种) 等方法进行除草。"	"幼苗    子叶近方形，稍肥厚，先端微凹，基部略呈箭形，有短柄。下胚轴发达，密生短柔毛，与初生根交界处有一膨大的颈环，上胚轴不发达。初生叶偶数羽状复叶，缘具稀睫毛。第1后生叶分为二杈，每枝为偶数羽状复叶。 成株    直立，植株高30～100厘米，枝散生倒刺毛和锐刺。复叶，掌状排列，触它时小叶闭合，叶柄下垂。小叶片长圆形，叶缘及叶脉有刺毛。头状花序，2～3个生于叶腋。 花和子实   花冠淡红色，花瓣4片，基部合生，外面有短柔毛。雄蕊4个，伸出花瓣之外。荚果扁，长1．2～2厘米，宽约4毫米，边缘有刺毛，每荚节有1粒种子，成熟时从荚节处脱落。"	"郭书普.旱田杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005 张朝贤，张跃进，倪汉文编著．农田杂草防除手册．北京：中国农业出版社，2000"	"Mimosa pudica L．"	"dw00111"	"知羞草、怕丑草"	"agridata/images/中国农业有害生物数据库/中国旱地杂草数据库/含羞草.jpg"
"44"	"一或二年生草本。苗期冬季至翌年春季，花期4～5月份，果期5～6月份。夏收作物田主要杂草之一。常和大巢菜混生成群，局部地区麦田发生严重。"	"长江流域及其以北各省区均有发生"	"双子叶植物纲"	"蔷薇目"	"豆科"	"野豌豆属"	"窄叶野豌豆"	"农田杂草的防治方法主要有人工防治、 化学防治、机械防治、替代控制和生态防治等方法。 （一）人工防治 1.控制杂草种子入田人工防除首先是 尽量勿使杂草种子或繁殖器官进入作物田， 清除地边、路旁的杂草，严格杂草检疫制度， 精选播种材料，特别注意国内没有或尚末 广为传播的杂草必须严格禁止输入或严加控制， 防止扩散，以减少田间杂草来源。 用杂草沤制农家肥时，应将农家含有杂草种子 的肥料经过用薄膜覆盖，高温堆沤2-4周， 腐熟成有机肥料，杀死其发芽力后再用。 2.人工除草结合农事活动， 如在杂草萌发后或生长时期直接进行人工拔除或铲除， 或结合中耕施肥等农耕措施剔除杂草。 （二）机械防治 结合农事活动， 利用农机具或大天型农业机械进行各种耕翻、耙、 中耕松土等措施进行播种前、 出苗前及各生育期等到不同时期除草， 直接杀死、刈割或铲除杂草， （三）化学防除 主要特点是高效、省工， 免去繁重的田间除草劳动。 国内外已有300多种化学除草剂，并加工不同剂型的制剂， 可用于几乎所有的粮食作物、经济作物地的除草。 （四）替代控制 利用覆盖、遮光等原理， 用塑料薄膜覆盖或播种其它作物(或草种) 等方法进行除草。"	"幼苗   上、下胚轴均不发达，带紫红色。鳞片叶3～4片，继之出现的叶均为l对小叶所组成的复叶，顶端具小尖头或卷须，小叶线状披针形，托叶呈不对称戟形。 成株   茎蔓性，有分枝，疏生长柔毛或近无毛。偶数羽状复叶，总叶柄顶端为卷须，小叶8～12片，近对生，狭长圆形或线形，先端截、形，有短尖，两面有黄色柔毛。 花和子实   花腋生，单生或有2朵。萼筒状，有5齿。花冠红色，花柱顶端背部有髯毛。荚果条形，成熟时黑色。种子球形，表面黑褐色，近光滑或稍粗糙，无光泽。种脐倒卵形，白色至淡黄色，脐边稍凹，脐沟白色，种瘤色较深。"	"郭书普.旱田杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005 张朝贤，张跃进，倪汉文编著．农田杂草防除手册．北京：中国农业出版社，2000"	"Vicia angustifolia  L．"	"dw00112"		"agridata/images/中国农业有害生物数据库/中国旱地杂草数据库/窄叶野豌豆.jpg"
"45"	"二年生或一年生蔓性草本。苗期11月份至翌年春，花果期3～6月份。为夏熟作物田危害较为严重的杂草。冬麦区麦田发生普遍，危害较大，此外，在春麦区也有发生。同时亦危害油菜等作物。果园、桑园、荒地、路旁也大量发生。"	"全国各地均有发生，以长江以南、南岭以北地区为其发生较重区"	"双子叶植物纲"	"蔷薇目"	"豆科"	"野豌豆属"	"大巢菜"	"农田杂草的防治方法主要有人工防治、 化学防治、机械防治、替代控制和生态防治等方法。 （一）人工防治 1.控制杂草种子入田人工防除首先是 尽量勿使杂草种子或繁殖器官进入作物田， 清除地边、路旁的杂草，严格杂草检疫制度， 精选播种材料，特别注意国内没有或尚末 广为传播的杂草必须严格禁止输入或严加控制， 防止扩散，以减少田间杂草来源。 用杂草沤制农家肥时，应将农家含有杂草种子 的肥料经过用薄膜覆盖，高温堆沤2-4周， 腐熟成有机肥料，杀死其发芽力后再用。 2.人工除草结合农事活动， 如在杂草萌发后或生长时期直接进行人工拔除或铲除， 或结合中耕施肥等农耕措施剔除杂草。 （二）机械防治 结合农事活动， 利用农机具或大天型农业机械进行各种耕翻、耙、 中耕松土等措施进行播种前、 出苗前及各生育期等到不同时期除草， 直接杀死、刈割或铲除杂草， （三）化学防除 主要特点是高效、省工， 免去繁重的田间除草劳动。 国内外已有300多种化学除草剂，并加工不同剂型的制剂， 可用于几乎所有的粮食作物、经济作物地的除草。 （四）替代控制 利用覆盖、遮光等原理， 用塑料薄膜覆盖或播种其它作物(或草种) 等方法进行除草。"	"幼苗    下胚轴不发育，上胚轴发达，带紫红色。初生叶鳞片状，主茎上叶由l对小叶所成的复叶，顶端具一小尖头或卷须。小叶狭椭圆形，有短睫毛，有短柄。侧枝上的叶为倒卵形小叶所组成的羽状复叶。 成株   茎上具纵棱。偶数羽状复叶，椭圆形或倒卵形。叶顶端变为卷须。托叶戟形。 花和子实   花朵腋生，花梗具黄色疏短毛，花冠紫色或红色。花柱顶端背部有淡黄色髯毛，荚果条形，成熟时荚果棕色，含种子4～8粒。种子近球形，棕色或黑褐色，表面平滑，无光泽，有时具模糊的深色花纹。果实随熟随开裂，散出种子。"	"郭书普.旱田杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005 张朝贤，张跃进，倪汉文编著．农田杂草防除手册．北京：中国农业出版社，2000"	"Vicia sativa L．"	"dw00113"	"救荒野豌豆"	"agridata/images/中国农业有害生物数据库/中国旱地杂草数据库/大巢菜.jpg"
"46"	"一年生蔓性草本。花期4～6月份，果期5～7月份。种子繁殖。在有些地区对麦田及豆类等作物造成比较严重的危害，是长江以南麦田的重要杂草之一。"	"陕西、江苏、安徽、浙江、江西、台湾、河南、湖北、湖南、四川、云南均有发生。"	"双子叶植物纲"	"蔷薇目"	"豆科"	"野豌豆属"	"小巢菜"	"农田杂草的防治方法主要有人工防治、 化学防治、机械防治、替代控制和生态防治等方法。 （一）人工防治 1.控制杂草种子入田人工防除首先是 尽量勿使杂草种子或繁殖器官进入作物田， 清除地边、路旁的杂草，严格杂草检疫制度， 精选播种材料，特别注意国内没有或尚末 广为传播的杂草必须严格禁止输入或严加控制， 防止扩散，以减少田间杂草来源。 用杂草沤制农家肥时，应将农家含有杂草种子 的肥料经过用薄膜覆盖，高温堆沤2-4周， 腐熟成有机肥料，杀死其发芽力后再用。 2.人工除草结合农事活动， 如在杂草萌发后或生长时期直接进行人工拔除或铲除， 或结合中耕施肥等农耕措施剔除杂草。 （二）机械防治 结合农事活动， 利用农机具或大天型农业机械进行各种耕翻、耙、 中耕松土等措施进行播种前、 出苗前及各生育期等到不同时期除草， 直接杀死、刈割或铲除杂草， （三）化学防除 主要特点是高效、省工， 免去繁重的田间除草劳动。 国内外已有300多种化学除草剂，并加工不同剂型的制剂， 可用于几乎所有的粮食作物、经济作物地的除草。 （四）替代控制 利用覆盖、遮光等原理， 用塑料薄膜覆盖或播种其它作物(或草种) 等方法进行除草。"	"成株   株高10～30厘米，茎纤细，有棱，基部分枝。偶数羽状复叶，有分枝卷须。托叶半边戟形，下部裂片分裂为2个线形齿。小叶线状长圆形或倒披针形，先端截形，微凹，有短尖。 花和子实   总状花序腋生，有2～5朵花，花序轴及花梗均有短柔毛。花冠白色或淡紫色。荚果扁长圆形，长约8毫米，宽3．5～4毫米，被黄色长柔毛，含种子l～2粒。种子近球形，稍扁。表面黄褐色或棕色、或黄绿色而具紫色花斑，光滑，有光泽。"	"郭书普.旱田杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005 张朝贤，张跃进，倪汉文编著．农田杂草防除手册．北京：中国农业出版社，2000"	"Vicia hirsuta(L．)S．F．Gray—Ervum hirsutum L．"	"dw00114"	"雀野豆"	"agridata/images/中国农业有害生物数据库/中国旱地杂草数据库/小巢菜.jpg"
"47"	"多年生蔓性草本。花期6～8月份，果期8～9月份。种子繁殖。多生于山坡草地、林缘、灌丛及农田，部分麦田受害较重。"	"东北、华北，以及河南、陕西、甘肃、四川、贵州、浙江、安徽、湖北、江西、福建、广东、广西均有发生。"	"双子叶植物纲"	"蔷薇目"	"豆科"	"野豌豆属"	"广布野豌豆"	"农田杂草的防治方法主要有人工防治、 化学防治、机械防治、替代控制和生态防治等方法。 （一）人工防治 1.控制杂草种子入田人工防除首先是 尽量勿使杂草种子或繁殖器官进入作物田， 清除地边、路旁的杂草，严格杂草检疫制度， 精选播种材料，特别注意国内没有或尚末 广为传播的杂草必须严格禁止输入或严加控制， 防止扩散，以减少田间杂草来源。 用杂草沤制农家肥时，应将农家含有杂草种子 的肥料经过用薄膜覆盖，高温堆沤2-4周， 腐熟成有机肥料，杀死其发芽力后再用。 2.人工除草结合农事活动， 如在杂草萌发后或生长时期直接进行人工拔除或铲除， 或结合中耕施肥等农耕措施剔除杂草。 （二）机械防治 结合农事活动， 利用农机具或大天型农业机械进行各种耕翻、耙、 中耕松土等措施进行播种前、 出苗前及各生育期等到不同时期除草， 直接杀死、刈割或铲除杂草， （三）化学防除 主要特点是高效、省工， 免去繁重的田间除草劳动。 国内外已有300多种化学除草剂，并加工不同剂型的制剂， 可用于几乎所有的粮食作物、经济作物地的除草。 （四）替代控制 利用覆盖、遮光等原理， 用塑料薄膜覆盖或播种其它作物(或草种) 等方法进行除草。"	"幼苗   上胚轴发达，带暗红色。初生叶为羽状复叶，小叶狭椭圆形，先端急尖，叶基近圆形。后生叶均为偶数羽状复叶，顶端具卷须，托叶披针形。 成株   茎攀援，有棱。偶数羽状复叶，有分枝的卷须。小叶狭椭圆形或狭披针形，先端有突尖，基部圆形，上面无毛，下面有短柔毛。叶轴有淡黄色柔毛。 花和子实   总状花序腋生，有花7～15朵。萼斜钟形，萼齿5枚，上面2齿较长。花冠紫色或蓝紫色，花柱顶端四周被黄色腺毛。荚果长圆形，两端尖，膨胀，褐色，有柄，含有种子3～6粒。种子近球形或长圆形，黑色。"	"郭书普.旱田杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005 张朝贤，张跃进，倪汉文编著．农田杂草防除手册．北京：中国农业出版社，2000"	"Vicia cracca L."	"dw00115"	"草藤、细叶落豆秧、肥田草"	"agridata/images/中国农业有害生物数据库/中国旱地杂草数据库/广布野豌豆.jpg"
"48"	"多年生草本。花期4～5月份，果期5～6月份。根颈萌芽及种子繁殖。生于旱作地田边、路旁、山坡、草地。为果园、苗圃常见的杂草。"	"东北，河北、山东、山西、陕西、河南、湖北、甘肃、江苏均有发生。"	"双子叶植物纲"	"蔷薇目"	"豆科"	"米口袋属"	"米口袋"	"农田杂草的防治方法主要有人工防治、 化学防治、机械防治、替代控制和生态防治等方法。 （一）人工防治 1.控制杂草种子入田人工防除首先是 尽量勿使杂草种子或繁殖器官进入作物田， 清除地边、路旁的杂草，严格杂草检疫制度， 精选播种材料，特别注意国内没有或尚末 广为传播的杂草必须严格禁止输入或严加控制， 防止扩散，以减少田间杂草来源。 用杂草沤制农家肥时，应将农家含有杂草种子 的肥料经过用薄膜覆盖，高温堆沤2-4周， 腐熟成有机肥料，杀死其发芽力后再用。 2.人工除草结合农事活动， 如在杂草萌发后或生长时期直接进行人工拔除或铲除， 或结合中耕施肥等农耕措施剔除杂草。 （二）机械防治 结合农事活动， 利用农机具或大天型农业机械进行各种耕翻、耙、 中耕松土等措施进行播种前、 出苗前及各生育期等到不同时期除草， 直接杀死、刈割或铲除杂草， （三）化学防除 主要特点是高效、省工， 免去繁重的田间除草劳动。 国内外已有300多种化学除草剂，并加工不同剂型的制剂， 可用于几乎所有的粮食作物、经济作物地的除草。 （四）替代控制 利用覆盖、遮光等原理， 用塑料薄膜覆盖或播种其它作物(或草种) 等方法进行除草。"	"幼苗   下胚轴较短。子叶阔椭圆形，先端钝圆，叶基阔楔形，有短柄。初生叶单叶，阔椭圆形，先端微凹，叶基圆形，有长柄，柄上密生长柔毛，托叶三角形。第2后生叶为三出羽状复叶，小叶椭圆形，先端微凹，叶基近圆形，总叶柄长。 成株   根圆锥状。茎缩短，叶在根颈丛生。全株被有白色长柔毛。奇数羽状复叶，小叶椭圆形、长圆形或卵形；托叶三角形。 花和子实    伞形花序具4～6花，花梗极短。花萼钟状。花冠紫红色或紫色，旗瓣卵形，长约13毫米，翼瓣长约10毫米，龙骨瓣短，长5～6毫米。子房圆筒状，花柱内卷。荚果圆筒状，无假隔膜。种子多粒，肾形，有凹点，有光泽。"	"郭书普.旱田杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005 张朝贤，张跃进，倪汉文编著．农田杂草防除手册．北京：中国农业出版社，2000"	"Gueldenstaedtia multiflora Bge．"	"dw00116"		"agridata/images/中国农业有害生物数据库/中国旱地杂草数据库/米口袋.jpg"
"49"	"一年生草本。2～3月出苗，花期5～9月份，果期6～10月份。种子繁殖。适生于潮湿环境，耐干旱，为旱作物的地较常见之杂草，多生于蔬菜地、林下、苗圃、果园、温室等地。"	"全国各地均有发生"	"双子叶植物纲"	"牻牛儿苗目"	"酢浆草科"	"酢浆草属"	"酢浆草"	"农田杂草的防治方法主要有人工防治、 化学防治、机械防治、替代控制和生态防治等方法。 （一）人工防治 1.控制杂草种子入田人工防除首先是 尽量勿使杂草种子或繁殖器官进入作物田， 清除地边、路旁的杂草，严格杂草检疫制度， 精选播种材料，特别注意国内没有或尚末 广为传播的杂草必须严格禁止输入或严加控制， 防止扩散，以减少田间杂草来源。 用杂草沤制农家肥时，应将农家含有杂草种子 的肥料经过用薄膜覆盖，高温堆沤2-4周， 腐熟成有机肥料，杀死其发芽力后再用。 2.人工除草结合农事活动， 如在杂草萌发后或生长时期直接进行人工拔除或铲除， 或结合中耕施肥等农耕措施剔除杂草。 （二）机械防治 结合农事活动， 利用农机具或大天型农业机械进行各种耕翻、耙、 中耕松土等措施进行播种前、 出苗前及各生育期等到不同时期除草， 直接杀死、刈割或铲除杂草， （三）化学防除 主要特点是高效、省工， 免去繁重的田间除草劳动。 国内外已有300多种化学除草剂，并加工不同剂型的制剂， 可用于几乎所有的粮食作物、经济作物地的除草。 （四）替代控制 利用覆盖、遮光等原理， 用塑料薄膜覆盖或播种其它作物(或草种) 等方法进行除草。"	"幼苗   子叶椭圆形，先端圆，基部宽楔形，无毛，有短柄。初生叶为指状三出复叶，小叶倒心形，叶柄淡红色，叶柄及叶缘均有白色长柔毛；叶有酸味。 成株    茎柔弱，匍匐或斜生，多分枝，节上生不定根，疏生柔毛。三出复叶，互生；小叶无柄，倒心形或倒宽心形，先端心形，基部宽楔形，被柔毛；叶柄长基部有关节。 花和子实   花为伞形花序，腋生，总花梗与叶近等长。花黄色，萼片长圆形，先端急尖，被柔毛。花瓣倒卵形。蒴果，近圆柱形，长1～1．5厘米，有5棱，被短柔毛。种子多数，长圆状卵形，长1．2～1．5毫米，扁平，表面具隆起的波状横皱纹，侧缘有沟和脊棱，熟时红褐色。"	"郭书普.旱田杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005 张朝贤，张跃进，倪汉文编著．农田杂草防除手册．北京：中国农业出版社，2000"	"Oxalis corniculata L."	"dw00117"		"agridata/images/中国农业有害生物数据库/中国旱地杂草数据库/酢浆草.jpg"
"50"	"多年生草本植物。花果期4～8月份。种子繁殖。喜生于荒地、路旁草丛中，为夏收作物田中常见杂草。对麦类及油菜等作物有危害。"	"河南、安徽、江苏、浙江、江西、四川和云南均有发生。"	"双子叶植物纲"	"牻牛儿苗目"	"牻牛儿苗科"	"野老鹳草属"	"野老鹳草"	"农田杂草的防治方法主要有人工防治、 化学防治、机械防治、替代控制和生态防治等方法。 （一）人工防治 1.控制杂草种子入田人工防除首先是 尽量勿使杂草种子或繁殖器官进入作物田， 清除地边、路旁的杂草，严格杂草检疫制度， 精选播种材料，特别注意国内没有或尚末 广为传播的杂草必须严格禁止输入或严加控制， 防止扩散，以减少田间杂草来源。 用杂草沤制农家肥时，应将农家含有杂草种子 的肥料经过用薄膜覆盖，高温堆沤2-4周， 腐熟成有机肥料，杀死其发芽力后再用。 2.人工除草结合农事活动， 如在杂草萌发后或生长时期直接进行人工拔除或铲除， 或结合中耕施肥等农耕措施剔除杂草。 （二）机械防治 结合农事活动， 利用农机具或大天型农业机械进行各种耕翻、耙、 中耕松土等措施进行播种前、 出苗前及各生育期等到不同时期除草， 直接杀死、刈割或铲除杂草， （三）化学防除 主要特点是高效、省工， 免去繁重的田间除草劳动。 国内外已有300多种化学除草剂，并加工不同剂型的制剂， 可用于几乎所有的粮食作物、经济作物地的除草。 （四）替代控制 利用覆盖、遮光等原理， 用塑料薄膜覆盖或播种其它作物(或草种) 等方法进行除草。"	"幼苗   下胚轴很发达，红色。子叶肾形，先端微凹，有突尖，叶基心形，叶缘有睫毛，有叶柄。初生叶与后生叶均为掌状深裂叶，有明显掌状脉，有长叶柄。 成株   株高20～50厘米。茎直立或斜升，有倒向下的密柔毛，有分枝。叶圆肾形，下部互生，上部对生，5～7深裂，每裂又分3～5小裂。小裂片线形，先端尖，两面有柔毛。下部茎叶有10长厘米的叶柄，上部的叶柄等于或短于叶片。 花和子实   花成对集生于茎端或叶腋，花序柄短或几无柄。萼片宽卵形，有长白毛，果期增大，长5～7毫米。花瓣淡红色，与萼片等长或略长。蒴果长约2厘米，先端有长喙，成熟时裂开。种子宽椭圆形，表面有网纹。"	"郭书普.旱田杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005 张朝贤，张跃进，倪汉文编著．农田杂草防除手册．北京：中国农业出版社，2000"	"Geranium carolinianum L．"	"dw00118"		"agridata/images/中国农业有害生物数据库/中国旱地杂草数据库/野老鹳草.jpg"
"51"	"一年生或二年生草本。花期4～5月份，果期6～7月份。种子繁殖。适应性强，喜生于潮湿地区，多生于山沟、荒野、路旁、胶园、桑园、茶园及蔬菜田、油菜地，危害较重。"	"除新疆、西藏外，全国各地均有发生"	"双子叶植物纲"	"大戟目"	"大戟科"	"大戟属"	"泽漆"	"农田杂草的防治方法主要有人工防治、 化学防治、机械防治、替代控制和生态防治等方法。 （一）人工防治 1.控制杂草种子入田人工防除首先是 尽量勿使杂草种子或繁殖器官进入作物田， 清除地边、路旁的杂草，严格杂草检疫制度， 精选播种材料，特别注意国内没有或尚末 广为传播的杂草必须严格禁止输入或严加控制， 防止扩散，以减少田间杂草来源。 用杂草沤制农家肥时，应将农家含有杂草种子 的肥料经过用薄膜覆盖，高温堆沤2-4周， 腐熟成有机肥料，杀死其发芽力后再用。 2.人工除草结合农事活动， 如在杂草萌发后或生长时期直接进行人工拔除或铲除， 或结合中耕施肥等农耕措施剔除杂草。 （二）机械防治 结合农事活动， 利用农机具或大天型农业机械进行各种耕翻、耙、 中耕松土等措施进行播种前、 出苗前及各生育期等到不同时期除草， 直接杀死、刈割或铲除杂草， （三）化学防除 主要特点是高效、省工， 免去繁重的田间除草劳动。 国内外已有300多种化学除草剂，并加工不同剂型的制剂， 可用于几乎所有的粮食作物、经济作物地的除草。 （四）替代控制 利用覆盖、遮光等原理， 用塑料薄膜覆盖或播种其它作物(或草种) 等方法进行除草。"	"幼苗   子叶椭圆形，先端钝圆，叶基近圆形，全缘，有短柄。下胚轴发达，上胚轴亦很明显，绿色。初生叶对生，倒卵形，先端钝，有小突尖，有1条中脉，有长叶柄。后生叶互生。幼苗全株光滑无毛，体内含白色乳汁。 成株   株高10～30厘米。通常基部多分枝，斜生，茎无毛，基部紫红色，上部淡绿色。单叶互生，叶倒卵形或匙形，先端钝或微凹，基部楔形，在中部以上边缘有细齿。茎顶端有5枚轮生的叶状苞片，与茎生叶相似，但较大。 花和子实    多歧聚伞花序，顶生，有5伞梗，每伞梗分为2～3小伞梗，每小伞梗又分成2叉状。杯状总苞钟形，顶端4浅裂，与4个肾形肉质腺体互生。花单性，无花被。雌花子房有长柄，伸出总苞外。蒴果，无毛。种子倒卵形，暗褐色，无光泽，表面有凸起的网纹。"	"郭书普.旱田杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005 张朝贤，张跃进，倪汉文编著．农田杂草防除手册．北京：中国农业出版社，2000"	"Euphorbia helioscopia L．"	"dw00119"	"乳腺草、猫儿眼、五朵云"	"agridata/images/中国农业有害生物数据库/中国旱地杂草数据库/泽漆.jpg"
