"id"	"名称"	"种类"	"链接"
"69"	"八斑和瓢虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/八斑和瓢虫.jpg"
"70"	"八斑绢草蛉"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/八斑绢草蛉.jpg"
"71"	"八节黑猎蝽"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/八节黑猎蝽.jpg"
"72"	"六斑显盾瓢虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/六斑显盾瓢虫.jpg"
"73"	"六斑月瓢虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/六斑月瓢虫.jpg"
"74"	"六点蓟马"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/六点蓟马.jpg"
"75"	"具环扁蟌"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/具环扁蟌.jpg"
"76"	"冠毛长喙寄蝇"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/冠毛长喙寄蝇.jpg"
"77"	"准冈青步甲"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/准冈青步甲.jpg"
"78"	"凤蝶赤眼蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/凤蝶赤眼蜂.jpg"
"79"	"凤蝶金小蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/凤蝶金小蜂.jpg"
"80"	"凹带食蚜蝇"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/凹带食蚜蝇.jpg"
"81"	"切根虫绒茧蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/切根虫绒茧蜂.jpg"
"82"	"刺粉虱黑蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/刺粉虱黑蜂.jpg"
"83"	"刺腿食蚜蝇"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/刺腿食蚜蝇.jpg"
"84"	"刺蛾紫姬蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/刺蛾紫姬蜂.jpg"
"85"	"刻点小食蚜蝇"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/刻点小食蚜蝇.jpg"
"86"	"前双斑游地甲"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/前双斑游地甲.jpg"
"87"	"前旁喙蜾蠃"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/前旁喙蜾蠃.jpg"
"88"	"前突蚜茧蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/前突蚜茧蜂.jpg"
"89"	"北姬蝽"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/北姬蝽.jpg"
"90"	"北方长喙寄蝇"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/北方长喙寄蝇.jpg"
"91"	"北方黄胡蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/北方黄胡蜂.jpg"
"92"	"十一星瓢虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/十一星瓢虫.jpg"
"93"	"十三星瓢虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/十三星瓢虫.jpg"
"94"	"十二斑兼食瓢虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/十二斑兼食瓢虫.jpg"
"95"	"十二斑巧瓢虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/十二斑巧瓢虫.jpg"
"96"	"十二斑菌瓢虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/十二斑菌瓢虫.jpg"
"97"	"十五星裸瓢虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/十五星裸瓢虫.jpg"
"98"	"十斑大瓢虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/十斑大瓢虫.jpg"
"99"	"华姬猎蝽"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/华姬猎蝽.jpg"
"100"	"华姬蝽"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/华姬蝽.jpg"
"101"	"华海姬蝽"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/华海姬蝽.jpg"
"102"	"华裸瓢虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/华裸瓢虫.jpg"
"103"	"单佳盾蜾蠃"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/单佳盾蜾蠃.jpg"
"104"	"南亚大眼长蝽"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/南亚大眼长蝽.jpg"
"105"	"南方小花蝽"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/南方小花蝽.jpg"
"106"	"南普猎蝽"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/南普猎蝽.jpg"
"107"	"南盲猎蝽"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/南盲猎蝽.jpg"
"108"	"卫姬蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/卫姬蜂.jpg"
"109"	"印啮小蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/印啮小蜂.jpg"
"110"	"印度三叉蚜茧蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/印度三叉蚜茧蜂.jpg"
"111"	"印度长颈步甲"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/印度长颈步甲.jpg"
"112"	"卷叶虫姬小蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/卷叶虫姬小蜂.jpg"
"113"	"卷叶虫绒茧蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/卷叶虫绒茧蜂.jpg"
"114"	"卷蛾齐胫小蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/卷蛾齐胫小蜂.jpg"
"115"	"原姬蝽"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/原姬蝽.jpg"
"116"	"叉角厉蝽"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/叉角厉蝽.jpg"
"117"	"双七瓢虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/双七瓢虫.jpg"
"118"	"双刺胸猎蝽"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/双刺胸猎蝽.jpg"
"119"	"双带盘瓢虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/双带盘瓢虫.jpg"
"120"	"双斑截腹寄蝇"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/双斑截腹寄蝇.jpg"
"121"	"双斑撒寄蝇"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/双斑撒寄蝇.jpg"
"122"	"双斑膝芒寄蝇"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/双斑膝芒寄蝇.jpg"
"123"	"双斑葬甲"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/双斑葬甲.jpg"
"124"	"双斑长颈步甲"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/双斑长颈步甲.jpg"
"125"	"双斑青步甲"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/双斑青步甲.jpg"
"126"	"双色螯蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/双色螯蜂.jpg"
"127"	"变侧异腹胡蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/变侧异腹胡蜂.jpg"
"128"	"变斑隐势瓢虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/变斑隐势瓢虫.jpg"
"129"	"古毒蛾追寄蝇"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/古毒蛾追寄蝇.jpg"
"130"	"古铜虎甲"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/古铜虎甲.jpg"
"131"	"台湾小瓢虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/台湾小瓢虫.jpg"
"132"	"台湾弯尾姬蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/台湾弯尾姬蜂.jpg"
"133"	"台湾隐势瓢虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/台湾隐势瓢虫.jpg"
"134"	"叶卷蚁形蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/叶卷蚁形蜂.jpg"
"135"	"叶色草蛉"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/叶色草蛉.jpg"
"136"	"叶蝉寡索赤眼蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/叶蝉寡索赤眼蜂.jpg"
"137"	"叶蝉柄翅小蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/叶蝉柄翅小蜂.jpg"
"138"	"后双斑青地甲"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/后双斑青地甲.jpg"
"139"	"后黑角柱灰蜻"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/后黑角柱灰蜻.jpg"
"140"	"和马蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/和马蜂.jpg"
"141"	"咸阳黑青小蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/咸阳黑青小蜂.jpg"
"142"	"善飞狭颊寄蝇"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/善飞狭颊寄蝇.jpg"
"143"	"四带佳盾蜾蠃"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/四带佳盾蜾蠃.jpg"
"144"	"四斑小地甲"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/四斑小地甲.jpg"
"145"	"四斑小毛瓢虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/四斑小毛瓢虫.jpg"
"146"	"四斑广盾瓢虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/四斑广盾瓢虫.jpg"
"147"	"四斑显盾瓢虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/四斑显盾瓢虫.jpg"
"148"	"四斑月瓢虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/四斑月瓢虫.jpg"
"149"	"四条小食蚜蝇"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/四条小食蚜蝇.jpg"
"150"	"圆斑弯叶毛瓢虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/圆斑弯叶毛瓢虫.jpg"
"151"	"地老虎细颚姬蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/地老虎细颚姬蜂.jpg"
"152"	"地蚕大铗姬蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/地蚕大铗姬蜂.jpg"
"153"	"塔六点蓟虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/塔六点蓟虫.jpg"
"154"	"塔胡蜾蠃"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/塔胡蜾蠃.jpg"
"155"	"塞内加尔弱蟌"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/塞内加尔弱蟌.jpg"
"156"	"墙沟蜾蠃"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/墙沟蜾蠃.jpg"
"157"	"复啄蜾蠃"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/复啄蜾蠃.jpg"
"158"	"夏威夷软蚧蚜小蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/夏威夷软蚧蚜小蜂.jpg"
"159"	"多型虎甲红翅亚种"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/多型虎甲红翅亚种.jpg"
"160"	"多型虎甲铜翅亚种"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/多型虎甲铜翅亚种.jpg"
"161"	"多异瓢虫"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/多异瓢虫.jpg"
"162"	"多斑草蛉"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/多斑草蛉.jpg"
"163"	"夜蛾土蓝寄蝇"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/夜蛾土蓝寄蝇.jpg"
"164"	"夜蛾瘦姬蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/夜蛾瘦姬蜂.jpg"
"165"	"夜蛾细颚姬蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/夜蛾细颚姬蜂.jpg"
"166"	"夜蛾膝芒寄蝇"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/夜蛾膝芒寄蝇.jpg"
"167"	"大刀螳螂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/大刀螳螂.jpg"
"168"	"大斑土蜂"	"中国农业天敌昆虫数据库"	"agridata/images/中国农业有害生物数据库/中国农业天敌昆虫数据库/大斑土蜂.jpg"
