"id"	"主要危害部位"	"地理分布"	"为害症状"	"病害类型"	"中文名"	"病原中文名"	"病原拉丁学名"	"主要危害作物"	"别名"	"病原分类地位"	"病原形态特征"	"相关文献"	"防治方法"	"英文名"	"记录号"	"传播途径和发病条件"	"图片"
"11"	"果实"	"世界上分布最广的葡萄病毒病"	"卷叶病具半潜隐特性，在大部分生长季节不表现症状，多数欧亚种病株在果实成熟阶段才出现症状。在采收后到落叶前叶片症状最明显，叶缘反卷，脉间变黄或变红，仅主脉保持绿色；有的品种则叶片逐渐干枯变褐。"	"病毒"	"葡萄卷叶病"	"葡萄卷叶相关黄化病毒组"	"Grapevine Leafroll Associated Virus 简称GLRaV"	"葡萄"				"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 郭书普等编著． 桃树、葡萄病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004"	"(1)农业防治。选育具有抗病毒病的砧木是防治病毒病的根本措施。 (2)药剂防治。在造成葡萄病毒病污染的地块重新栽葡萄时，可在栽前进行土壤熏蒸，较好的土壤熏蒸剂有甲基溴和二氯丙烷，二氯丙烷用量为每667平方米用90～160千克，施用深度为75—90厘米；甲基溴用量为每667平方米用30千克，施用深度为50—75厘米。施后用薄膜覆盖。土壤熏蒸后最好间隔1年以上再种葡萄，但这种方法非常昂贵，且并非十分安全，不宜推广使用。"	"Grapevine leafroll disease"	"ed00112"	"该病可能是由复杂的病毒群侵染引起的，已检测出至少有5种类型的黄化病毒，定名为葡萄卷叶相关黄化病毒组(GLRaV)。病毒通过从病株取繁殖材料进行嫁接或扦插而传播；田间菟丝子也可传毒。"	"agridata/images/中国农业有害生物数据库/中国经济作物病毒病害数据库/葡萄卷叶病.jpg"
"12"	"全株"		"多数葡萄品种仅表现衰退，特有症状不明显。但有些品种表现为病株树势衰弱，早春延迟萌芽，春末至夏初叶片开始变黄，逐渐反卷并转红色或黄褐色，与卷叶病不同之处是卷叶病的叶脉仍保持绿色，而栓皮病则整叶变黄，栓皮病株落叶不正常，有时在霜降后枯叶仍留在植株上。植株感染栓皮病后，树势逐年衰弱，枝条脆，易折断，严重减产，浆果延迟成熟，品质明显下降，数年后，地上部分死亡，留下砧木在原地生长。"	"病毒"	"葡萄栓皮病"	"黄化病毒组织的葡萄病毒B"	"Grapevine Virus B 简称GVB"	"葡萄"				"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 郭书普等编著． 桃树、葡萄病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004"	"选用无病母株进行无性繁殖；当田间无法选出无病母株情况下，有必要对优良品种进行脱毒。把葡萄苗置于38℃及适宜光照条件下百余天，然后再取茎尖进行组织培养，经检测确认无病毒时，再扩繁应用。"		"ed00113"	"该病为病毒性病害，病原病毒借嫁接、扦插的繁殖材料进行传播。"	"agridata/images/中国农业有害生物数据库/中国经济作物病毒病害数据库/葡萄栓皮病.jpg"
"13"	"叶"		"该病发病主要表现是叶子变红。发病树春季发芽开花晚，果实成熟迟。叶芽萌动后嫩叶呈现红色，从叶尖向下逐渐干枯，不能抽生新梢，引起1年生枝局部或全部干枯，影响树冠扩展。进入5月中旬至8月显症轻或不显症，到了秋梢期又现春季症状，病叶背面又现红色，叶面粉红色，黄化或脉间失绿。"	"病毒"	"桃树红叶病"	"李坏死环斑病毒"	"Prunus necrotic ringspot virus简称PNRSV"	"桃树"				"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 郭书普等编著． 桃树、葡萄病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004"	"可试用桃树花叶病的防治方法。"	"Peach red leaf"	"ed00114"	"桃树红叶病可能是多种病毒如李坏死环斑病毒(PNRSV)和植原体复合侵染所致。桃树红叶病具有以叶片季节性红化为主的综合症状，20世纪80年代以来广泛发生，局部地区病害严重，表现出传染性病害的分布特性。大久保桃发病重。"	"agridata/images/中国农业有害生物数据库/中国经济作物病毒病害数据库/桃树红叶病.jpg"
"14"	"叶"		"发病初期病叶上出现斑驳，继而发展成黄绿色的褪绿斑块，严重时褪绿部分呈黄色、甚至黄白色。有时新梢叶片全部泼病。该病具高温隐症现象。"	"病毒"	"桃树花叶病"	"桃潜隐花叶类病毒"		"桃树"				"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 郭书普等编著． 桃树、葡萄病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004"	"杜绝从病树上剪取接穗繁育苗木，培育和利用无病苗木；桃蚜可能是传毒的媒介，应加强对果园害虫的防治。"	"Peach mosaic"	"ed00115"	"花叶病是一种病毒性病害。病毒可以通过各种组织结合传播，如通过嫁接传病，特别是接穗传播。"	"agridata/images/中国农业有害生物数据库/中国经济作物病毒病害数据库/桃树花叶病.jpg"
"15"	"叶"		"扁豆花叶病毒病主要发生在花前或花后，表现为系统花叶及斑驳，叶片生长基本正常、叶上出现轻微淡黄绿相间的斑驳，叶片变小或明脉，有的心叶不舒展或节间缩短；扭曲畸形，有的表现为系统环斑。病株矮小。"	"病毒"	"扁豆花叶病毒病"	"大豆花叶病毒和黄瓜花叶病毒"	"Soybean mosaic virus简称SMV，称大豆花叶病毒和Cucumber mosaic virus简称CMV，称黄瓜花叶病毒"	"寄主广泛"			"主要有Soybean mosaic virus简称SMV，称大豆花叶病毒和Cucumber mosaic virus简称CMV，称黄瓜花叶病毒。SMV病毒粒体长764纳米，扁豆叶组织超薄切片中可见风．轮状及束状内含体，三种免疫学测试可与大豆花叶病呈阳性反应，体外失毒温度60～65℃，稀释限点100～1000倍，保毒期2～4天，摩擦接种可系统侵染大豆、蚕豆，在苋色藜上产生褪绿斑，在菜豆上产生枯斑，CMV参见瓠瓜病毒病。此外，有报道：Dolichos Lablab yellow mosaic virus称扁豆黄花叶病毒，也是该病病原。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996"	"(1)选用白花面豆(峨眉豆)、红花面豆(红边峨眉豆)等抗病性强的品种。(2)建立无病留种田，及时拔除病株，选用确实无病、无褐斑豆粒做种。上述3种病毒具不同程度的种传力，其中SMV可达30％。(3)加强肥水管理，提高植株抗病力。(4)及早防治蚜虫，防止病毒蔓延。(5)必要时可在发病初期开始喷洒5％菌毒清可湿性粉剂300倍液或20％病毒宁水溶剂500倍液、83增抗剂100倍液、抗毒剂1号水剂300倍液、20％毒克星可湿性粉剂500倍液，隔10天左右1次，视病情防治1次或2次。采收前3天停止施药。"	"Hyacinth dolichos mosaic"	"ed00156"	"大豆花叶病毒可由桃蚜、豆蚜以非持久方式传播，黄瓜花叶病毒主要靠农事操作接触摩擦传毒。田间管理条件差、蚜量大、气候干旱发病重。"	"agridata/images/中国农业有害生物数据库/中国经济作物病毒病害数据库/扁豆花叶病毒病.jpg"
"16"	"叶片"		"染病株畸形，叶片出现深绿与浅绿或黄色相间的花叶，叶片变小，植株严重矮缩。"	"病毒"	"菠菜矮花叶病"	"蚕豆萎蔫病毒一株系"	"Broad bean wilt virus简称BBWV"	"豆科的蚕豆、豌豆、豇豆、四季豆，藜科的菠菜、昆诺藜、苋色藜、甜菜等。"			"Broad bean wilt virus简称BBWV称蚕豆萎蔫病毒一株系，属病毒。用1％醋酸双氧铀负染，在H一500电子显微镜下观察，病毒粒体球形，直径24～25纳米，稀释限点100000倍，致死温度70℃经10分钟，病汁液的侵染性在室温下保持3天。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996"	"(1)选用菠杂10号、春秋大叶、大鸟叶等抗(耐)病品种。据日本和美国报道：BBMV曾在菠菜上造成毁灭性为害，后选育出抗病品种，值得借鉴。(2)加强田间管理，提高菠菜对病毒病抵抗力。(3)及时防治蚜虫，以减少传毒。(4)发病初期开始喷洒5％菌毒清可湿性粉剂500倍液或0．5％抗毒剂1号水剂300倍液、20％毒克星可湿性粉剂500倍液、20％病毒宁水溶性粉剂500倍液，隔10天左右1次，防治1次或2次。采收前3天停止用药。"	"Spinach wilt virus"	"ed00157"	"可由桃蚜(Myzus perswae)进行非持久性传毒，发病率一般为20～30％，此外可通过汁液摩擦及农事操作传毒。干旱及蚜虫发生量大发病重。"	"agridata/images/中国农业有害生物数据库/中国经济作物病毒病害数据库/菠菜矮花叶病.jpg"
"17"	"叶"	"江苏、安徽、广东、四川、云南"	"病毒粒体线状，长740～760纳米，钝化温度55℃经10分钟，稀释限点10000倍，体外存活期22℃条件下为96小时。该病毒外壳蛋白亚基只有一条多肽链，其分子量为3600道尔顿。"	"病毒"	"薄荷病毒病"	"西葫芦黄花叶病毒"	"Zuschini yellow mosaic virus"	"苋色藜、千日红、甜瓜、西葫芦、丝瓜等"			"可由桃蚜、棉蚜以非持久性方式传毒，种子不能传毒。该病毒可侵染7科中的18种植物。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996"	"参见苦苣菜脉黄病毒病."	"Mint mosaic"	"ed00158"	"可由桃蚜、棉蚜以非持久性方式传毒，种子不能传毒。该病毒可侵染7科中的18种植物。"	"agridata/images/中国农业有害生物数据库/中国经济作物病毒病害数据库/薄荷病毒病.jpg"
"18"	"叶"		"田间表现为系统花叶或在感病的菜豆品种上形成明显的花叶或产生褪绿带和斑驳，形成矮化或叶扭曲。引起菜豆花叶病毒的种类很多，有时发生混合侵染，产生不同症状。"	"病毒"	"菜豆花叶病"	"番茄不孕病毒"	"Tomato aspermy virus简称TAV"	"能侵染菜豆、豇豆、大豆、番茄、菊花、芹菜、心叶烟、普通烟等"		"黄瓜花叶病毒组"	"Tomato aspermy virus简称TAV，称番茄不孕病毒，属黄瓜花叶病毒组病毒。用2％醋酸氧铀负染，在H一500电镜下观察，病毒粒体球状，直径27～30纳米。稀释限点100～100000倍，致死温度50～60V，体外存活期3～6天。能侵染菜豆、豇豆、大豆、番茄、菊花、芹菜、心叶烟、普通烟等，均可致病，各自表现不同症状。还可局部侵染番杏、黄瓜。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996"	"(1)选用秋抗6号、优胜者、春丰4号、早白羊角、吉农引快豆、长白7号、扬白313等抗病品种。(2)防治传毒蚜虫，喷洒50％马拉硫磷乳油1000倍液、50％抗蚜威可湿性粉剂2000～3000倍液，棉蚜对抗蚜威有抗性也可选用黄皿或银灰膜等物理避蚜法。(3)加强田间管理，及时除草，以减少毒源。(4)发病初期喷洒5％菌毒清可湿性粉剂500倍液或0．5％抗毒剂1号水剂300倍液、20％毒克星可湿性粉剂500倍液、20％病毒宁水溶性粉剂500倍液，视病情防治1次或2次。采收前4天停止用药。"	"Bean mosaic"	"ed00159"	"棉蚜(Aphis gossypii)和桃蚜(Myzus persicae)进行非持久性传毒或口针带毒。即蚜虫在感染植株上取食不足1分钟，即可传染到健株，且没有潜伏期。TAV只能在繁缕上进行种子传染。在田间TAV可以经健株中存在的病株而自然传播，可能在室外菊花苗床、田间和草地杂草上越冬，再通过蚜虫传到寄主上。"	"agridata/images/中国农业有害生物数据库/中国经济作物病毒病害数据库/菜豆花叶病.jpg"
"19"	"叶"		"植株顶端幼叶先出现明脉，后随明脉消失，叶片上出现黄绿与深绿相间的斑驳，病株矮化不明显。高温条件下，嫩叶表现隐症。人工接种时，可致大豆减产53％。"	"病毒"	"菜用大豆斑驳病毒病"	"花生斑驳病毒"	"Peanut mottle virus"	"能侵染花生、大豆、豌豆、蚕豆、望江南(cassia occidentalis)、绛车轴草(Tripolium incannatum)．局部侵染菜豆(Phaseolus vulgaris)，决明(Cassia tora)等。"			"病毒粒体呈稍弯曲的线状，散生在细胞质内，或以稀疏集团形式存在。感病的细胞质里出现风轮状或片状内含体。长750纳米，稀释限点1000～10000倍，失毒温度55～60℃经10分钟，体外保毒期3～4天。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996"	"(1)建立留种田，发现病株及时拔除，以减少毒源。(2)选用抗病品种。如华春18号、吉林3号、铁丰18、绥农8号、火红1号、长农7号、鲁豆4号、潍8640夏大豆、豫豆8号等。(3)加强肥水管理，采用配方施肥技术，施用充分腐熟有机肥，按各生育期需要适时灌水，可减轻发病。(4)及时防治蚜虫。"	"Soybean mottle virus"	"ed00160"	"种子不带毒，田间主要靠豆蚜(Aphis craccivora)、桃蚜(Myzus persicae)传毒，此外，汁液摩擦也可传病。"	"agridata/images/中国农业有害生物数据库/中国经济作物病毒病害数据库/菜用大豆斑驳病毒病.jpg"
"20"	"全株"		"蚕豆花叶病全株发病，生产上因菜豆黄斑花叶病毒的株系不同，症状有差异。分花叶型和黄化型两种类型。花叶型病株明显矮小，叶片皱缩卷曲肥厚，叶肉黄绿相间呈花叶状斑驳；轻病株矮缩不明显，但顶端心叶多变黄或卷缩，重病株较健株明显矮小，不开花结实。黄化型植株矮小，叶片黄且薄，茎直立，一般不萎蔫，后期病叶易早落。"	"病毒"	"蚕豆(BYMV)花叶病"	"菜豆黄斑花叶病毒"	"Bean yellow mosaic virus简称BYMV"	"矮牵牛、千日红,烟、心叶烟、曼陀罗"			"病毒粒体线状，致死温度55～65℃，稀释限点1000～10000倍。体外存活期1～3天，在矮牵牛、千日红上产生花叶，在普通烟、心叶烟、曼陀罗上产生坏死斑。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996"	"(1)品种间有抗病性差异，选种抗病品种，注意从无病田留种，选择无病、健康饱满的种子播种。(2)注意选择种植地块，应远离菜豆田和栽植菜豆的大棚或温室。(3)适期播种，不宜过早；苗期发现病株要及时拔除，以防形成发病中心而蔓延开来。(4)及时喷药治蚜。可用50％抗蚜威可湿性粉剂2500～3000倍液。(5)在蚕豆植株“下麻叶、中结荚、上开花”时，进行摘心，可减轻此病为害。采收前3天停止施药。"	"Broad bean yellow mosaic"	"ed00161"	"在南方病毒在豆类作物上越冬或越夏，北方主要在越冬蔬菜或温室豆类植物上越冬，翌年主要由苜蓿蚜(Aphis medicaginis)传播，发病后有明显的发病中心，菜豆田或棚室栽培蚕豆易发病，播种过早，苜蓿蚜发生多，土壤干旱、气候干燥发病重。"	"agridata/images/中国农业有害生物数据库/中国经济作物病毒病害数据库/蚕豆(BYMV)花叶病.jpg"
"21"	"整株系统性侵染"	"四川、湖北、江苏、浙江和山西等省"	"表现为系统侵染，病株叶片有的呈轻花叶、斑驳、褪色斑或畸形，有的小叶正常无明显病变，苗期、开花期前染病的，结荚少或籽粒小，其典型症状是种皮呈坏死色斑，严重时外种皮上形成连续坏死带。苗期植株矮化，顶端枯死，病叶呈褪色花叶或畸形，减产40～80％，花期后染病则影响小。"	"病毒"	"蚕豆染色病毒(BBSV)病"	"蚕豆染色病毒"	"Broad bean strain virus简称BBSV"	"豆科植物"			"Broad bean strain virus简称BBSV，属病毒。病毒粒体为等径球状体，直径25～28纳米，能与英国染色病毒的抗菌血清发生沉淀反应，与真花叶病毒抗血清不发生反应。在自然条件下侵染蚕豆和小扁豆等豆科植物。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996"	"(1)及时拔除并销毁病株，以免病毒通过种子或介体昆虫传播。(2)严格检疫制度，防止蚕豆染色病毒扩展蔓延。注意收集植物检疫信息，加强国外引种的隔离。"	"Broad bean strain virus"	"ed00162"	"蚕豆染色病毒主要由花粉和种子传病，种子带毒率一般低于10％，个别品系高达18％，在欧洲，传毒媒界昆虫主要是豆长吻象甲(Apion worax)和豌豆叶象甲(Sitana lineatu)，传毒率高达4％～16％，但我国尚未见到，据文献记载国内有长吻象甲。"	"agridata/images/中国农业有害生物数据库/中国经济作物病毒病害数据库/蚕豆染色病毒(BBSV)病.jpg"
"22"	"叶"		"大蒜嵌纹病毒病生产上见有两种。一种是植株矮化，叶变黄后萎蔫，不结鳞茎，完全无收成；另一种染病后植株叶片呈现浓绿与浅黄线条之嵌纹病症，影响光合作用和鳞茎膨大，轻则减产20％左右，严重的达40～50％。"	"病毒"	"大蒜嵌纹病毒病"	"大蒜嵌纹病毒萎缩型与嵌纹型"	"萎缩型(Yellow dwarf  type)与嵌纹型(Mosaic type)"	"大蒜"			"参见大蒜褪绿条斑病毒病。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996"	"参见大蒜褪绿条斑病毒病。"	"Garlic mosaic virus"	"ed00163"	"参见大蒜褪绿条斑病毒病。"	"agridata/images/中国农业有害生物数据库/中国经济作物病毒病害数据库/大蒜嵌纹病毒病.jpg"
"23"	"全株"		"2～3叶期染病，病株上出现明显的黄色褪绿条斑；成株染病植株呈不同程度的矮化，瘦弱，纤细，叶片无光泽，蜡质消失，呈半卷曲状，有的上下叶片捻在一起卷曲成筒状；心叶不能抽出，病株一般不能抽薹，薹上具明显的褪绿块斑，病株根短且少，黄褐色。病蒜产量、质量明显下降，种性退化。"	"病毒"	"大蒜褪绿条斑病毒病"	"大蒜褪绿条斑病毒"	"The Garlic chlorosis streak virus"	"寄主范围仅限于石蒜科和百合科"			"病毒粒体系弯曲的线状物，病毒颗粒长度不等，短的430纳米，长者2100纳米，其中700～950纳米的占50％以上，平均1059纳米，致死温度70～75℃，体外存活期7～8天，稀释限点1000～3000倍。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996"	"(1)严格选种，尽可能建立原种基地；采用轻病区大蒜的鳞茎(蒜瓣)做种，减少鳞茎带毒率。(2)大力推广营养茎尖、生殖茎尖分生组织的离体培养，脱除大蒜鳞茎中的主要病毒。(3)避免与大葱、韭菜等葱属植物邻作或连作，减少田间自然传播。(4)在蒜田及周围作物喷洒杀虫剂防治蚜虫，防止病毒的重复感染，使用药剂见本书蚜虫防治法。此外还可挂银灰膜条避蚜。(5)加强大蒜的水肥管理，避免早衰，提高植株抗病力。(6)发病初期开始喷洒5％菌毒清可湿性粉剂400倍液或0．5％抗毒剂水剂1号250～300倍液、20％毒克星可湿性粉剂或20％病毒宁水溶性粉剂500倍液、83增抗剂100倍液，隔10天左右1次，连续防治2～3次。采收前3天停止施药。"	"Garlic chlorosis streak virus"	"ed00164"	"主要靠汁液摩擦和桃蚜(Myzus persicae)传毒，寄主范围仅限于石蒜科和百合科，紫皮蒜较白皮蒜发病重，15～30℃利于发病和显症，温度过高或过低似有隐症现象。蚜虫发生量大及与其他葱属植物连作或邻作发病重。由于大蒜系无性繁殖，以鳞茎作为播种材料，因此植株带毒能长期随其营养体蒜瓣传至下代，以至田间已无不受病毒感染的植株，且不断扩大病毒繁殖系数，致大蒜退化，鳞茎变小。"	"agridata/images/中国农业有害生物数据库/中国经济作物病毒病害数据库/大蒜褪绿条斑病毒病.jpg"
"24"	"整株系统性侵染"		"其症状变化大。苗期染病，幼叶变为铜色上卷，后形成许多小黑斑，叶背面沿脉呈紫色，有的生长点死掉，茎端形成褐色坏死条斑，病株仅半边生长或完全矮化或落叶呈萎蔫状，发病早的不结果。坐果后染病，果实上出现褪绿环斑，绿果略凸起，轮纹不明显，青果上产生褐色坏死斑，呈瘤状突起，果实易脱落。成熟果实染病轮纹明显，红黄或红白相间，褪绿斑在全色期明显，严重的全果僵缩，脐部症状与脐腐病相似，但该病果实表皮变褐坏死别于脐腐病。"	"病毒"	"番茄斑萎病毒病"	"番茄斑萎病毒"	"Tomato spotted wilt virus简称TSWV"	"可系统侵染番茄、辣椒、烟草、心叶烟、百日草、莴苣等。"			"病毒粒体扁球状，直径80～96纳米，易变形，具包膜，存在于内质网和核膜腔里，有的具尾状挤出物，质粒含20％类脂，7％碳水化合物，5％RNA。致死温度40～46℃，10分钟；稀释限点100～1000倍，体外存活期3～4小时。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996"	"(1)目前尚未育出抗TSWV的专用品种，但可试用抗TMV的品种。如佳粉15号，中杂7号、9号，毛粉802，西粉3号，秦菜1号，L40z，吉农早丰，中蔬6号，薯叶早番茄，晋番茄3号，烟粉l号，霞粉，粤星，皖红1号，浙杂7号，陇番5号，兰优早红，渝抗4号，红杂16等新品种。(2)发病地区要及时铲除苦苣菜，野大丽花及田间杂草。(3)番茄苗期和定植后要注意防治媒界昆虫——蓟马，由于蓟马获毒后需经一定时间才传毒，因此使用杀虫剂治虫防病有效，喷药时最好喷到茎基部把生活在根际部的蛹杀灭效果更好。梅雨季前用药1～2次，以后蓟马增多，隔10天左右1次以消灭媒界昆虫。(4)辅之以喷洒5％菌毒清可湿性粉剂400倍液或0.5％抗毒剂1号(菇类蛋白多糖)水剂300倍液、20％毒克星可湿性粉剂400～500倍液、83增抗剂100倍液、植物病毒钝化剂912，每667m 2 用药粉75克，加少量温水调成糊状，用l kg开水浸泡12小时，混匀晾凉后对水15kg喷洒，此外也可选用弱毒疫苗N14。和卫星核糖核酸S52，对TMV、CMV及复合侵染的有效。采收前4天停止用药。"	"Tomato spotted wilt virus"	"ed00165"	"汁液可接种，种子也能传染，此外烟蓟马(Thrips tabaci)、豆蓟马(T．Setosus)、蓟马(Frankliniella schutzei)、烟草褐蓟马(F．Fusca)及苜蓿蓟马(F．Occidentatis)等均可进行持久性传毒。蓟马只能在幼虫期获得病毒。传毒需要在体内繁殖，葱蓟马经5～10天变为成虫后才能传毒，烟蓟马最短获毒期为15～30分钟，豆蓟马需30分钟，时间长传毒效率升高，蓟马一旦带毒，传毒达20天PA l，具终生传毒能力。病毒接种多在番茄叶表细胞浅表皮吸食时获取，一般经4天潜育即发病。番茄、瓜叶菊等外种皮带毒，不进入胚胎。"	"agridata/images/中国农业有害生物数据库/中国经济作物病毒病害数据库/番茄斑萎病毒病.jpg"
"25"	"整株系统性侵染"		"该病是我国对外制种的检疫对象，繁种单位要特别注意。苗期染病5天后初显环状坏死斑，叶片褪绿且迅速落叶，该病在茎组织发展很快，苗期施用氮肥过多，造成茎变软，在靠近地面处出现坏死斑，引起猝倒。系统症状为幼叶卷曲或顶部坏死，由此引致侧芽增生或出现丛生。病株下部叶片褪绿和变紫。果实除产生褪绿斑以外，还在成熟果实上产生环状或平行斑，使番茄矮缩或产生斑驳。"	"病毒"	"番茄丛矮病毒病"	"番茄丛矮病毒"	"Tomato bushy stunt virus简称ToBSV"	"系统侵染番茄、曼陀罗等。局部侵染豇豆、菜豆、黄瓜、苋色藜等，产生枯斑。"			"病毒粒体为球状，正20面多角体，直径30纳米，分散在细胞质和液泡内，有晶体排列。见图2～9。致死温度80～90℃210分钟。体外存活期为几周。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996"	"(1)通过检疫防止该病传播蔓延是最有效的措施。(2)施用酵素菌沤制的堆肥或充分腐熟的有机肥，采用配方施肥技术，防止偏施过施氮肥。(3)药剂防治参见番茄斑萎病毒病。"	"Tomato bushy stunt virus"	"ed00166"	"汁液传毒，该病毒进入寄主，必须在土壤积水的条件下，侵染方法尚未明确，但似乎可通过损伤的根细胞侵入。ToBSV不能被消化，即使通过人、畜的消化道也不能改变其传染性，因此，有推断认为人和动物是该毒源传播途径之一。此外，ToBSV在河水中发现，污水和淤泥作为肥料时，有可能传播该病毒。"	"agridata/images/中国农业有害生物数据库/中国经济作物病毒病害数据库/番茄丛矮病毒病.jpg"
"26"	"全株"		"番茄巨芽病病株新长出的叶片变小，顶部枝梢呈淡紫色，肥大，直立向上呈圆锥形，花柄肥大、花萼显著膨大，萼片联合成筒状，在叶腋处长出1个淡紫色粗短肥大的腋芽，在腋芽顶上丛生若干个直立的不定芽，病株结果少或仅结出少量坚硬的圆锥形小果实。 番茄丛枝病染病初期，病株顶部叶片黄化变小，花瓣变绿后迅速变成叶片状，顶部枝梢不肥大，不直立向上，但往往在叶腋处长出大量腋芽，在腋芽上又长出许多纤弱的不定芽或纤细的腋芽，致病株呈丛枝状，不能结实。"	"病毒"	"番茄巨芽病和丛枝病"	"类菌原体"	"Mycoplasma—like organism简写MLO"	"番茄、龙葵、蔓陀萝、茄子、野茄、辣椒、普通烟38号、心叶烟、三生烟"			"(Mycoplasma—like organism简写MLO)称类病毒。取症状明显的幼叶叶脉，切成1立方毫米，用3％戊二醛和1％锇酸双固定后，用乙醇系列和环氧丙烷脱水后，用Epon812包埋，Ureicert超薄切片机切片，再经醋酸铀——柠檬酸铅双染色后用Philips EM400电镜观察。在两病株韧皮部筛管及伴胞内都存在大量圆形或近圆形至椭圆形、哑铃形和不规则形等多形态的类菌原体。番茄巨芽病类菌原体大小147～195×240～390纳米；番茄丛枝病类菌原体大小为60～460纳米，单位膜厚度约11纳米。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996"	"(1)把病芽放在四环素溶液内，浓度为1000单位／毫升，浸2小时，用清水洗净后，采用小芽腹接法嫁接在健康番茄上，防效优异。(2)生产上发现该病时，可在发病初期喷洒医用四环素或土霉素溶液4000倍液，隔10天左右1次，防治1次或2次。"	"Tomato big—bud virus and witches'  broom"	"ed00167"	"番茄巨芽病和丛枝病可通过嫁接传染，我国有人用病株做接穗分别嫁接到20株番茄植株上，其中17株现上述典型巨芽症状，3株表现为丛枝病症状。经多次回接，结果无异。此外，采用小穗腹接法，分别把从两病株上采来的接穗嫁接到属于番茄巨芽病寄主范围的番茄、龙葵、蔓陀萝、茄子、野茄、辣椒、普通烟38号、心叶烟、三生烟上；同时还用菟丝子进行自然嫁接到长春花、酸浆、翠菊、花生、商陆和苋色藜上，三次重复试验结果表明：对于番茄巨芽病，供试植物中，除酸浆、翠菊、花生、商陆外全部染病；而番茄丛枝病只有番茄、龙葵、长春花3种植物染病。"	"agridata/images/中国农业有害生物数据库/中国经济作物病毒病害数据库/番茄巨芽病和丛枝病.jpg"
"27"	"全株"	"山东"	"番茄曲顶病又称甜菜曲顶病。在加工番茄上为害不重，但搭架番茄受害重。发病早的常引致全株死亡。发病较晚的植株变黄或生长点直立，植株矮化，叶片变厚变脆且向上卷曲，叶柄下弯，变成暗黄色和叶脉变紫，果实常提早假熟。坐果后染病的病、健果可能出现在同一茎上，未成熟果实形成暗褐色皱缩果实，是此病典型症状之一。"	"病毒"	"番茄曲顶病毒病"	"甜菜曲顶病毒"	"Beet curly—top virus"	"能侵染茄科、葫芦科、十字花科、豆科、藜科植物"	"甜菜曲顶病"		"病毒粒体球状正20面体，直径20纳米，局限在筛管的细胞核内。能侵染茄科、葫芦科、十字花科、豆科、藜科植物，引起矮缩症。"	"吕佩珂．中国蔬菜病虫原色图谱续集．呼和浩特：远方出版社，1996"	"(1)在带毒的甜菜叶蝉等昆虫向番茄田迁飞之前彻底铲除杂草并喷杀虫剂灭虫。(2)栽培番茄应与甜菜保持较远的距离。(3)可试用5％菌毒清可湿性粉剂400倍液或0．5％抗毒剂1号水剂300倍液、30％毒克星可湿性粉剂400～500倍液。隔7～10天1次，防治2～3次。"	"Tomato curly top virus"	"ed00168"	"以甜菜叶蝉(Euttetix teneilus)等刺吸式口器昆虫进行半持久性传毒。有报道种子可带毒。叶蝉传毒方式为循环性的，1分钟即可获毒，经4小时左右潜伏，2～3天即可发病。传毒媒介主要在甜菜上栖息，但因季节循环可短时间迁飞到番茄田中，尽管时间有限，但对于其传毒已足够了，在田间不发生二次感染。带毒叶蝉在雨天迁飞时传毒，传播效率高低主要与媒介昆虫带毒数量有关。"	"agridata/images/中国农业有害生物数据库/中国经济作物病毒病害数据库/番茄曲顶病毒病.jpg"
