"标题"	"目录"	"年鉴页码"	"编号"	"年鉴年份"	"CAJ"	"PDF"	"EXCEL"	"id"
"各地区农业总产值"	"二、农村社会总产值"	"20"	"N2005120871000016"	"1987"	"yearbooks/N2005120871000016.caj"	"yearbooks/N2005120871000016.pdf"	"yearbooks/N2005120871000016.xls"	"17"
"各地区农村工业总产值"	"二、农村社会总产值"	"21"	"N2005120871000017"	"1987"	"yearbooks/N2005120871000017.caj"	"yearbooks/N2005120871000017.pdf"	"yearbooks/N2005120871000017.xls"	"18"
"各地区农村建筑业总产值"	"二、农村社会总产值"	"22"	"N2005120871000018"	"1987"	"yearbooks/N2005120871000018.caj"	"yearbooks/N2005120871000018.pdf"	"yearbooks/N2005120871000018.xls"	"19"
"各地区农村运输业总产值"	"二、农村社会总产值"	"23"	"N2005120871000019"	"1987"	"yearbooks/N2005120871000019.caj"	"yearbooks/N2005120871000019.pdf"	"yearbooks/N2005120871000019.xls"	"20"
"各地区农村商业总产值"	"二、农村社会总产值"	"24"	"N2005120871000020"	"1987"	"yearbooks/N2005120871000020.caj"	"yearbooks/N2005120871000020.pdf"	"yearbooks/N2005120871000020.xls"	"21"
"现价农林牧副渔五业产值及构成"	"二、农村社会总产值"	"25-26"	"N2005120871000021"	"1987"	"yearbooks/N2005120871000021.caj"	"yearbooks/N2005120871000021.pdf"	"yearbooks/N2005120871000021.xls"	"22"
"各地区现价农林牧副渔五业产值"	"二、农村社会总产值"	"27-28"	"N2005120871000022"	"1987"	"yearbooks/N2005120871000022.caj"	"yearbooks/N2005120871000022.pdf"	"yearbooks/N2005120871000022.xls"	"23"
"现价粮食作物和经济作物产值及构成"	"二、农村社会总产值"	"29"	"N2005120871000023"	"1987"	"yearbooks/N2005120871000023.caj"	"yearbooks/N2005120871000023.pdf"	"yearbooks/N2005120871000023.xls"	"24"
"各地区现价粮食作物和经济作物产值"	"二、农村社会总产值"	"30"	"N2005120871000024"	"1987"	"yearbooks/N2005120871000024.caj"	"yearbooks/N2005120871000024.pdf"	"yearbooks/N2005120871000024.xls"	"25"
"各地区现价粮食作物和经济作物产值构成"	"二、农村社会总产值"	"31"	"N2005120871000025"	"1987"	"yearbooks/N2005120871000025.caj"	"yearbooks/N2005120871000025.pdf"	"yearbooks/N2005120871000025.xls"	"26"
"分项现价农业总产值及构成"	"二、农村社会总产值"	"32"	"N2005120871000026"	"1987"	"yearbooks/N2005120871000026.caj"	"yearbooks/N2005120871000026.pdf"	"yearbooks/N2005120871000026.xls"	"27"
"各地区农业物质消耗、净产值及比重"	"二、农村社会总产值"	"34"	"N2005120871000027"	"1987"	"yearbooks/N2005120871000027.caj"	"yearbooks/N2005120871000027.pdf"	"yearbooks/N2005120871000027.xls"	"29"
"各地区分部门农业物质消耗"	"二、农村社会总产值"	"35"	"N2005120871000028"	"1987"	"yearbooks/N2005120871000028.caj"	"yearbooks/N2005120871000028.pdf"	"yearbooks/N2005120871000028.xls"	"30"
"各地区分部门农业净产值"	"二、农村社会总产值"	"36"	"N2005120871000029"	"1987"	"yearbooks/N2005120871000029.caj"	"yearbooks/N2005120871000029.pdf"	"yearbooks/N2005120871000029.xls"	"31"
"各地区分部门农业物质消耗比重"	"二、农村社会总产值"	"37"	"N2005120871000030"	"1987"	"yearbooks/N2005120871000030.caj"	"yearbooks/N2005120871000030.pdf"	"yearbooks/N2005120871000030.xls"	"32"
"各地区分部门农业净产值比重"	"二、农村社会总产值"	"38"	"N2005120871000031"	"1987"	"yearbooks/N2005120871000031.caj"	"yearbooks/N2005120871000031.pdf"	"yearbooks/N2005120871000031.xls"	"33"
"各地区农业物质消耗分部门构成"	"二、农村社会总产值"	"39"	"N2005120871000032"	"1987"	"yearbooks/N2005120871000032.caj"	"yearbooks/N2005120871000032.pdf"	"yearbooks/N2005120871000032.xls"	"34"
"各地区农业净产值分部门构成"	"二、农村社会总产值"	"40"	"N2005120871000033"	"1987"	"yearbooks/N2005120871000033.caj"	"yearbooks/N2005120871000033.pdf"	"yearbooks/N2005120871000033.xls"	"35"
"三、主要农产品和乡村企业主要工业产品生产情况"	"三、主要农产品和乡村企业主要工业产品生产情况"	"41-118"	"N2005120871000034"	"1987"	"yearbooks/N2005120871000034.caj"	"yearbooks/N2005120871000034.pdf"		"36"
"农作物播种面积"	"三、主要农产品和乡村企业主要工业产品生产情况"	"43"	"N2005120871000035"	"1987"	"yearbooks/N2005120871000035.caj"	"yearbooks/N2005120871000035.pdf"	"yearbooks/N2005120871000035.xls"	"37"
"农作物播种面积构成"	"三、主要农产品和乡村企业主要工业产品生产情况"	"44"	"N2005120871000036"	"1987"	"yearbooks/N2005120871000036.caj"	"yearbooks/N2005120871000036.pdf"	"yearbooks/N2005120871000036.xls"	"38"
"各地区农作物播种面积"	"三、主要农产品和乡村企业主要工业产品生产情况"	"45-52"	"N2005120871000037"	"1987"	"yearbooks/N2005120871000037.caj"	"yearbooks/N2005120871000037.pdf"	"yearbooks/N2005120871000037.xls"	"39"
"各地区农作物播种面积构成"	"三、主要农产品和乡村企业主要工业产品生产情况"	"53-54"	"N2005120871000038"	"1987"	"yearbooks/N2005120871000038.caj"	"yearbooks/N2005120871000038.pdf"	"yearbooks/N2005120871000038.xls"	"40"
"分经济地带农作物播种面积"	"三、主要农产品和乡村企业主要工业产品生产情况"	"55"	"N2005120871000039"	"1987"	"yearbooks/N2005120871000039.caj"	"yearbooks/N2005120871000039.pdf"	"yearbooks/N2005120871000039.xls"	"41"
"主要农作物产量"	"三、主要农产品和乡村企业主要工业产品生产情况"	"56"	"N2005120871000040"	"1987"	"yearbooks/N2005120871000040.caj"	"yearbooks/N2005120871000040.pdf"	"yearbooks/N2005120871000040.xls"	"42"
"各地区主要粮食作物产量"	"三、主要农产品和乡村企业主要工业产品生产情况"	"57-61"	"N2005120871000041"	"1987"	"yearbooks/N2005120871000041.caj"	"yearbooks/N2005120871000041.pdf"	"yearbooks/N2005120871000041.xls"	"43"
"各地区主要经济作物产量"	"三、主要农产品和乡村企业主要工业产品生产情况"	"62-68"	"N2005120871000042"	"1987"	"yearbooks/N2005120871000042.caj"	"yearbooks/N2005120871000042.pdf"	"yearbooks/N2005120871000042.xls"	"44"
"分经济地带农作物产品产量"	"三、主要农产品和乡村企业主要工业产品生产情况"	"69"	"N2005120871000043"	"1987"	"yearbooks/N2005120871000043.caj"	"yearbooks/N2005120871000043.pdf"	"yearbooks/N2005120871000043.xls"	"45"
"全国主要农产品每亩产量"	"三、主要农产品和乡村企业主要工业产品生产情况"	"70"	"N2005120871000044"	"1987"	"yearbooks/N2005120871000044.caj"	"yearbooks/N2005120871000044.pdf"	"yearbooks/N2005120871000044.xls"	"46"
"各地区主要农产品每亩产量"	"三、主要农产品和乡村企业主要工业产品生产情况"	"71-77"	"N2005120871000045"	"1987"	"yearbooks/N2005120871000045.caj"	"yearbooks/N2005120871000045.pdf"	"yearbooks/N2005120871000045.xls"	"47"
"蚕茧、茶叶、水果产量和面积"	"三、主要农产品和乡村企业主要工业产品生产情况"	"78"	"N2005120871000046"	"1987"	"yearbooks/N2005120871000046.caj"	"yearbooks/N2005120871000046.pdf"	"yearbooks/N2005120871000046.xls"	"48"
"各地区蚕茧产量"	"三、主要农产品和乡村企业主要工业产品生产情况"	"79"	"N2005120871000047"	"1987"	"yearbooks/N2005120871000047.caj"	"yearbooks/N2005120871000047.pdf"	"yearbooks/N2005120871000047.xls"	"49"
"各地区茶叶产量"	"三、主要农产品和乡村企业主要工业产品生产情况"	"80"	"N2005120871000048"	"1987"	"yearbooks/N2005120871000048.caj"	"yearbooks/N2005120871000048.pdf"	"yearbooks/N2005120871000048.xls"	"50"
"各地区水果产量"	"三、主要农产品和乡村企业主要工业产品生产情况"	"81-83"	"N2005120871000049"	"1987"	"yearbooks/N2005120871000049.caj"	"yearbooks/N2005120871000049.pdf"	"yearbooks/N2005120871000049.xls"	"51"
"各地区桑园、柞坡面积"	"三、主要农产品和乡村企业主要工业产品生产情况"	"84"	"N2005120871000050"	"1987"	"yearbooks/N2005120871000050.caj"	"yearbooks/N2005120871000050.pdf"	"yearbooks/N2005120871000050.xls"	"52"
"各地区茶园、果园面积"	"三、主要农产品和乡村企业主要工业产品生产情况"	"85"	"N2005120871000051"	"1987"	"yearbooks/N2005120871000051.caj"	"yearbooks/N2005120871000051.pdf"	"yearbooks/N2005120871000051.xls"	"53"
"主要林产品产量"	"三、主要农产品和乡村企业主要工业产品生产情况"	"86"	"N2005120871000052"	"1987"	"yearbooks/N2005120871000052.caj"	"yearbooks/N2005120871000052.pdf"	"yearbooks/N2005120871000052.xls"	"54"
"各地区主要林产品产量"	"三、主要农产品和乡村企业主要工业产品生产情况"	"87-89"	"N2005120871000053"	"1987"	"yearbooks/N2005120871000053.caj"	"yearbooks/N2005120871000053.pdf"	"yearbooks/N2005120871000053.xls"	"55"
"主要畜产品产量"	"三、主要农产品和乡村企业主要工业产品生产情况"	"90"	"N2005120871000054"	"1987"	"yearbooks/N2005120871000054.caj"	"yearbooks/N2005120871000054.pdf"	"yearbooks/N2005120871000054.xls"	"56"
"各地区主要畜产品产量"	"三、主要农产品和乡村企业主要工业产品生产情况"	"91-95"	"N2005120871000055"	"1987"	"yearbooks/N2005120871000055.caj"	"yearbooks/N2005120871000055.pdf"	"yearbooks/N2005120871000055.xls"	"57"
"牲畜年末存栏头数"	"三、主要农产品和乡村企业主要工业产品生产情况"	"96"	"N2005120871000056"	"1987"	"yearbooks/N2005120871000056.caj"	"yearbooks/N2005120871000056.pdf"	"yearbooks/N2005120871000056.xls"	"58"
"各地区牲畜年末存栏头数"	"三、主要农产品和乡村企业主要工业产品生产情况"	"97-101"	"N2005120871000057"	"1987"	"yearbooks/N2005120871000057.caj"	"yearbooks/N2005120871000057.pdf"	"yearbooks/N2005120871000057.xls"	"59"
"水产品产量和养殖面积"	"三、主要农产品和乡村企业主要工业产品生产情况"	"103"	"N2005120871000058"	"1987"	"yearbooks/N2005120871000058.caj"	"yearbooks/N2005120871000058.pdf"	"yearbooks/N2005120871000058.xls"	"61"
"各地区水产品产量"	"三、主要农产品和乡村企业主要工业产品生产情况"	"104-105"	"N2005120871000059"	"1987"	"yearbooks/N2005120871000059.caj"	"yearbooks/N2005120871000059.pdf"	"yearbooks/N2005120871000059.xls"	"62"
"各地区水产养殖面积"	"三、主要农产品和乡村企业主要工业产品生产情况"	"106-107"	"N2005120871000060"	"1987"	"yearbooks/N2005120871000060.caj"	"yearbooks/N2005120871000060.pdf"	"yearbooks/N2005120871000060.xls"	"63"
"主要农产品产量与历史最高年比较"	"三、主要农产品和乡村企业主要工业产品生产情况"	"108-109"	"N2005120871000061"	"1987"	"yearbooks/N2005120871000061.caj"	"yearbooks/N2005120871000061.pdf"	"yearbooks/N2005120871000061.xls"	"64"
"乡村企业主要工业产品产量"	"三、主要农产品和乡村企业主要工业产品生产情况"	"110"	"N2005120871000062"	"1987"	"yearbooks/N2005120871000062.caj"	"yearbooks/N2005120871000062.pdf"	"yearbooks/N2005120871000062.xls"	"65"
"各地区乡村企业主要工业产品产量"	"三、主要农产品和乡村企业主要工业产品生产情况"	"111-118"	"N2005120871000063"	"1987"	"yearbooks/N2005120871000063.caj"	"yearbooks/N2005120871000063.pdf"	"yearbooks/N2005120871000063.xls"	"66"
"四、农村市场"	"四、农村市场"	"119-148"	"N2005120871000064"	"1987"	"yearbooks/N2005120871000064.caj"	"yearbooks/N2005120871000064.pdf"		"67"
"社会农副产品收购量"	"四、农村市场"	"121-122"	"N2005120871000065"	"1987"	"yearbooks/N2005120871000065.caj"	"yearbooks/N2005120871000065.pdf"	"yearbooks/N2005120871000065.xls"	"68"
"国营和供销合作社商业农副产品收购量"	"四、农村市场"	"123"	"N2005120871000066"	"1987"	"yearbooks/N2005120871000066.caj"	"yearbooks/N2005120871000066.pdf"	"yearbooks/N2005120871000066.xls"	"69"
"各地区国营和供销合作社商业农副产品收购量"	"四、农村市场"	"124-130"	"N2005120871000067"	"1987"	"yearbooks/N2005120871000067.caj"	"yearbooks/N2005120871000067.pdf"	"yearbooks/N2005120871000067.xls"	"70"
"城乡集市贸易情况"	"四、农村市场"	"131"	"N2005120871000068"	"1987"	"yearbooks/N2005120871000068.caj"	"yearbooks/N2005120871000068.pdf"	"yearbooks/N2005120871000068.xls"	"71"
"农民对非农业居民零售量和零售额"	"四、农村市场"	"132"	"N2005120871000069"	"1987"	"yearbooks/N2005120871000069.caj"	"yearbooks/N2005120871000069.pdf"	"yearbooks/N2005120871000069.xls"	"72"
"海关出口农副产品及加工品数量"	"四、农村市场"	"133-134"	"N2005120871000070"	"1987"	"yearbooks/N2005120871000070.caj"	"yearbooks/N2005120871000070.pdf"	"yearbooks/N2005120871000070.xls"	"73"
"全国农副产品收购价格分类指数"	"四、农村市场"	"135-136"	"N2005120871000071"	"1987"	"yearbooks/N2005120871000071.caj"	"yearbooks/N2005120871000071.pdf"	"yearbooks/N2005120871000071.xls"	"74"
"集市贸易价格分类指数"	"四、农村市场"	"137-138"	"N2005120871000072"	"1987"	"yearbooks/N2005120871000072.caj"	"yearbooks/N2005120871000072.pdf"	"yearbooks/N2005120871000072.xls"	"75"
"主要农产品与工业品的交换比价"	"四、农村市场"	"139-142"	"N2005120871000073"	"1987"	"yearbooks/N2005120871000073.caj"	"yearbooks/N2005120871000073.pdf"	"yearbooks/N2005120871000073.xls"	"76"
"主要农副产品收购混合平均价格"	"四、农村市场"	"143-144"	"N2005120871000074"	"1987"	"yearbooks/N2005120871000074.caj"	"yearbooks/N2005120871000074.pdf"	"yearbooks/N2005120871000074.xls"	"77"
"农村社会商品零售和农村居民对工业品的生活消费"	"四、农村市场"	"145-146"	"N2005120871000075"	"1987"	"yearbooks/N2005120871000075.caj"	"yearbooks/N2005120871000075.pdf"	"yearbooks/N2005120871000075.xls"	"78"
"国营和供销合作社商业销售农业生产资料情况"	"四、农村市场"	"147-148"	"N2005120871000076"	"1987"	"yearbooks/N2005120871000076.caj"	"yearbooks/N2005120871000076.pdf"	"yearbooks/N2005120871000076.xls"	"79"
"五、农村经济效益"	"五、农村经济效益"	"149-166"	"N2005120871000077"	"1987"	"yearbooks/N2005120871000077.caj"	"yearbooks/N2005120871000077.pdf"		"80"
"农村经济效益"	"五、农村经济效益"	"151-152"	"N2005120871000078"	"1987"	"yearbooks/N2005120871000078.caj"	"yearbooks/N2005120871000078.pdf"	"yearbooks/N2005120871000078.xls"	"81"
"各地区农村劳动生产率"	"五、农村经济效益"	"153-155"	"N2005120871000079"	"1987"	"yearbooks/N2005120871000079.caj"	"yearbooks/N2005120871000079.pdf"	"yearbooks/N2005120871000079.xls"	"82"
"各地区每一农业劳动力生产的主要农产品"	"五、农村经济效益"	"156-158"	"N2005120871000080"	"1987"	"yearbooks/N2005120871000080.caj"	"yearbooks/N2005120871000080.pdf"	"yearbooks/N2005120871000080.xls"	"83"
"各地区社会农副产品收购总额及占现价农业总产值比重"	"五、农村经济效益"	"159"	"N2005120871000081"	"1987"	"yearbooks/N2005120871000081.caj"	"yearbooks/N2005120871000081.pdf"	"yearbooks/N2005120871000081.xls"	"84"
"分经济地带主要农村经济效益指标"	"五、农村经济效益"	"160"	"N2005120871000082"	"1987"	"yearbooks/N2005120871000082.caj"	"yearbooks/N2005120871000082.pdf"	"yearbooks/N2005120871000082.xls"	"85"
"农产品成本、收益与劳动生产率"	"五、农村经济效益"	"161-165"	"N2005120871000083"	"1987"	"yearbooks/N2005120871000083.caj"	"yearbooks/N2005120871000083.pdf"	"yearbooks/N2005120871000083.xls"	"86"
"养猪生产成本与收益"	"五、农村经济效益"	"166"	"N2005120871000084"	"1987"	"yearbooks/N2005120871000084.caj"	"yearbooks/N2005120871000084.pdf"	"yearbooks/N2005120871000084.xls"	"87"
"六、农村经济收入及分配"	"六、农村经济收入及分配"	"167-178"	"N2005120871000085"	"1987"	"yearbooks/N2005120871000085.caj"	"yearbooks/N2005120871000085.pdf"		"88"
"农村经济收入及分配"	"六、农村经济收入及分配"	"169"	"N2005120871000086"	"1987"	"yearbooks/N2005120871000086.caj"	"yearbooks/N2005120871000086.pdf"	"yearbooks/N2005120871000086.xls"	"89"
"各地区乡村两级企业主要财务指标"	"六、农村经济收入及分配"	"171-173"	"N2005120871000087"	"1987"	"yearbooks/N2005120871000087.caj"	"yearbooks/N2005120871000087.pdf"	"yearbooks/N2005120871000087.xls"	"91"
"农村经济联合体收入及分配"	"六、农村经济收入及分配"	"174-176"	"N2005120871000088"	"1987"	"yearbooks/N2005120871000088.caj"	"yearbooks/N2005120871000088.pdf"	"yearbooks/N2005120871000088.xls"	"92"
"平均每个联合体成员的分配水平"	"六、农村经济收入及分配"	"177"	"N2005120871000089"	"1987"	"yearbooks/N2005120871000089.caj"	"yearbooks/N2005120871000089.pdf"	"yearbooks/N2005120871000089.xls"	"93"
"各地区经济联合体收入及分配"	"六、农村经济收入及分配"	"178"	"N2005120871000090"	"1987"	"yearbooks/N2005120871000090.caj"	"yearbooks/N2005120871000090.pdf"	"yearbooks/N2005120871000090.xls"	"94"
"七、农民家庭收入和生活消费"	"七、农民家庭收入和生活消费"	"179-207"	"N2005120871000091"	"1987"	"yearbooks/N2005120871000091.caj"	"yearbooks/N2005120871000091.pdf"		"95"
"农民家庭人口和平均每人纯收入"	"七、农民家庭收入和生活消费"	"181"	"N2005120871000092"	"1987"	"yearbooks/N2005120871000092.caj"	"yearbooks/N2005120871000092.pdf"	"yearbooks/N2005120871000092.xls"	"96"
"农民家庭平均每人总支出"	"七、农民家庭收入和生活消费"	"181"	"N2005120871000093"	"1987"	"yearbooks/N2005120871000093.caj"	"yearbooks/N2005120871000093.pdf"	"yearbooks/N2005120871000093.xls"	"97"
"农民家庭平均每人生活消费支出及构成"	"七、农民家庭收入和生活消费"	"182"	"N2005120871000094"	"1987"	"yearbooks/N2005120871000094.caj"	"yearbooks/N2005120871000094.pdf"	"yearbooks/N2005120871000094.xls"	"98"
"农民家庭平均每人消费的主要消费品"	"七、农民家庭收入和生活消费"	"183"	"N2005120871000095"	"1987"	"yearbooks/N2005120871000095.caj"	"yearbooks/N2005120871000095.pdf"	"yearbooks/N2005120871000095.xls"	"99"
"农民家庭平均每人商品性生活消费品支出"	"七、农民家庭收入和生活消费"	"184"	"N2005120871000096"	"1987"	"yearbooks/N2005120871000096.caj"	"yearbooks/N2005120871000096.pdf"	"yearbooks/N2005120871000096.xls"	"100"
"农民家庭平均每百户拥有的主要耐用消费品"	"七、农民家庭收入和生活消费"	"185"	"N2005120871000097"	"1987"	"yearbooks/N2005120871000097.caj"	"yearbooks/N2005120871000097.pdf"	"yearbooks/N2005120871000097.xls"	"101"
"农民家庭平均每人住房面积"	"七、农民家庭收入和生活消费"	"185"	"N2005120871000098"	"1987"	"yearbooks/N2005120871000098.caj"	"yearbooks/N2005120871000098.pdf"	"yearbooks/N2005120871000098.xls"	"102"
"各地区农民家庭平均每人纯收入"	"七、农民家庭收入和生活消费"	"186"	"N2005120871000099"	"1987"	"yearbooks/N2005120871000099.caj"	"yearbooks/N2005120871000099.pdf"	"yearbooks/N2005120871000099.xls"	"103"
"各地区农民家庭平均每人生活消费支出"	"七、农民家庭收入和生活消费"	"187-191"	"N2005120871000100"	"1987"	"yearbooks/N2005120871000100.caj"	"yearbooks/N2005120871000100.pdf"	"yearbooks/N2005120871000100.xls"	"104"
"各地区农民家庭平均每人生活消费支出构成"	"七、农民家庭收入和生活消费"	"192-195"	"N2005120871000101"	"1987"	"yearbooks/N2005120871000101.caj"	"yearbooks/N2005120871000101.pdf"	"yearbooks/N2005120871000101.xls"	"105"
"各地区农民家庭平均每人消费的主要消费品"	"七、农民家庭收入和生活消费"	"196-201"	"N2005120871000102"	"1987"	"yearbooks/N2005120871000102.caj"	"yearbooks/N2005120871000102.pdf"	"yearbooks/N2005120871000102.xls"	"106"
"各地区农民家庭平均每百户拥有的主要耐用消费品"	"七、农民家庭收入和生活消费"	"202-205"	"N2005120871000103"	"1987"	"yearbooks/N2005120871000103.caj"	"yearbooks/N2005120871000103.pdf"	"yearbooks/N2005120871000103.xls"	"107"
"各地区农民家庭平均每人住房面积"	"七、农民家庭收入和生活消费"	"206"	"N2005120871000104"	"1987"	"yearbooks/N2005120871000104.caj"	"yearbooks/N2005120871000104.pdf"	"yearbooks/N2005120871000104.xls"	"108"
"分经济地带农民收入、支出和消费情况"	"七、农民家庭收入和生活消费"	"207"	"N2005120871000105"	"1987"	"yearbooks/N2005120871000105.caj"	"yearbooks/N2005120871000105.pdf"	"yearbooks/N2005120871000105.xls"	"109"
"八、农村生产条件"	"八、农村生产条件"	"209-247"	"N2005120871000106"	"1987"	"yearbooks/N2005120871000106.caj"	"yearbooks/N2005120871000106.pdf"		"110"
"农业资源及利用状况"	"八、农村生产条件"	"211"	"N2005120871000107"	"1987"	"yearbooks/N2005120871000107.caj"	"yearbooks/N2005120871000107.pdf"	"yearbooks/N2005120871000107.xls"	"111"
"农村劳动力"	"八、农村生产条件"	"212"	"N2005120871000108"	"1987"	"yearbooks/N2005120871000108.caj"	"yearbooks/N2005120871000108.pdf"	"yearbooks/N2005120871000108.xls"	"112"
"各地区乡村劳动力"	"八、农村生产条件"	"213-216"	"N2005120871000109"	"1987"	"yearbooks/N2005120871000109.caj"	"yearbooks/N2005120871000109.pdf"	"yearbooks/N2005120871000109.xls"	"113"
"各地区全民所有制第一产业劳动力"	"八、农村生产条件"	"217"	"N2005120871000110"	"1987"	"yearbooks/N2005120871000110.caj"	"yearbooks/N2005120871000110.pdf"	"yearbooks/N2005120871000110.xls"	"114"
"农村劳动力文化程度"	"八、农村生产条件"	"218"	"N2005120871000111"	"1987"	"yearbooks/N2005120871000111.caj"	"yearbooks/N2005120871000111.pdf"	"yearbooks/N2005120871000111.xls"	"115"
"主要农业机械年末拥有量"	"八、农村生产条件"	"218-219"	"N2005120871000112"	"1987"	"yearbooks/N2005120871000112.caj"	"yearbooks/N2005120871000112.pdf"	"yearbooks/N2005120871000112.xls"	"116"
"各地区主要农业机械年末拥有量"	"八、农村生产条件"	"220-227"	"N2005120871000113"	"1987"	"yearbooks/N2005120871000113.caj"	"yearbooks/N2005120871000113.pdf"	"yearbooks/N2005120871000113.xls"	"117"
"农户拥有的主要农业机械"	"八、农村生产条件"	"228"	"N2005120871000114"	"1987"	"yearbooks/N2005120871000114.caj"	"yearbooks/N2005120871000114.pdf"	"yearbooks/N2005120871000114.xls"	"118"
"各地区农户拥有的主要农业机械"	"八、农村生产条件"	"229"	"N2005120871000115"	"1987"	"yearbooks/N2005120871000115.caj"	"yearbooks/N2005120871000115.pdf"	"yearbooks/N2005120871000115.xls"	"119"
"农业机械、农电、化肥利用和农田灌溉情况"	"八、农村生产条件"	"230"	"N2005120871000116"	"1987"	"yearbooks/N2005120871000116.caj"	"yearbooks/N2005120871000116.pdf"	"yearbooks/N2005120871000116.xls"	"120"
"农村生产性固定资产"	"八、农村生产条件"	"235"	"N2005120871000117"	"1987"	"yearbooks/N2005120871000117.caj"	"yearbooks/N2005120871000117.pdf"	"yearbooks/N2005120871000117.xls"	"122"
"乡、村两级企业固定资产"	"八、农村生产条件"	"236"	"N2005120871000118"	"1987"	"yearbooks/N2005120871000118.caj"	"yearbooks/N2005120871000118.pdf"	"yearbooks/N2005120871000118.xls"	"123"
"各地区乡村两级企业固定资产原值"	"八、农村生产条件"	"237"	"N2005120871000119"	"1987"	"yearbooks/N2005120871000119.caj"	"yearbooks/N2005120871000119.pdf"	"yearbooks/N2005120871000119.xls"	"124"
"农村经济联合体的固定资产原值"	"八、农村生产条件"	"238"	"N2005120871000120"	"1987"	"yearbooks/N2005120871000120.caj"	"yearbooks/N2005120871000120.pdf"	"yearbooks/N2005120871000120.xls"	"125"
"各地区经济联合体的固定资产原值"	"八、农村生产条件"	"239-240"	"N2005120871000121"	"1987"	"yearbooks/N2005120871000121.caj"	"yearbooks/N2005120871000121.pdf"	"yearbooks/N2005120871000121.xls"	"126"
"农业气象事业发展情况"	"八、农村生产条件"	"241"	"N2005120871000122"	"1987"	"yearbooks/N2005120871000122.caj"	"yearbooks/N2005120871000122.pdf"	"yearbooks/N2005120871000122.xls"	"127"
"受灾和成灾面积"	"八、农村生产条件"	"242"	"N2005120871000123"	"1987"	"yearbooks/N2005120871000123.caj"	"yearbooks/N2005120871000123.pdf"	"yearbooks/N2005120871000123.xls"	"128"
