"id"	"标题"	"种类"	"路径"
"37"	"中国小扁豆种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/小扁豆/中国小扁豆种质资源地理分布图.gif"
"38"	"中国小扁豆种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/小扁豆/中国小扁豆种质资源密度分布图.gif"
"39"	"中国小豆种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/小豆/中国小豆种质资源地理分布图.gif"
"40"	"中国小豆种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/小豆/中国小豆种质资源密度分布图.gif"
"41"	"中国小麦种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/小麦/中国小麦种质资源地理分布图.gif"
"42"	"中国小麦种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/小麦/中国小麦种质资源密度分布图.gif"
"43"	"中国小麦稀有种种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/小麦稀有/中国小麦稀有种种质资源地理分布图.gif"
"44"	"中国小麦稀有种种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/小麦稀有/中国小麦稀有种种质资源密度分布图.gif"
"45"	"中国山楂种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/山楂/中国山楂种质资源地理分布图.gif"
"46"	"中国山楂种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/山楂/中国山楂种质资源密度分布图.gif"
"47"	"中国工艺用高粱种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/工艺用高粱/中国工艺用高粱种质资源地理分布图.gif"
"48"	"中国工艺用高粱种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/工艺用高粱/中国工艺用高粱种质资源密度分布图.gif"
"49"	"中国弱冬小麦种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/弱冬小麦/中国弱冬小麦种质资源地理分布图.gif"
"50"	"中国弱冬小麦种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/弱冬小麦/中国弱冬小麦种质资源密度分布图.gif"
"51"	"中国强冬小麦种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/强冬小麦/中国强冬小麦种质资源地理分布图.gif"
"52"	"中国强冬小麦种质资源密度分布图.gif.txt"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/强冬小麦/中国强冬小麦种质资源密度分布图.gif.txt"
"53"	"中国扁豆种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/扁豆/中国扁豆种质资源地理分布图.gif"
"54"	"中国扁豆种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/扁豆/中国扁豆种质资源密度分布图.gif"
"55"	"中国春大豆种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/春大豆/中国春大豆种质资源地理分布图.gif"
"56"	"中国春大豆种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/春大豆/中国春大豆种质资源密度分布图.gif"
"57"	"中国春小麦种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/春小麦/中国春小麦种质资源地理分布图.gif"
"58"	"中国春小麦种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/春小麦/中国春小麦种质资源密度分布图.gif"
"59"	"中国普通白菜种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/普通白菜/中国普通白菜种质资源地理分布图.gif"
"60"	"中国普通白菜种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/普通白菜/中国普通白菜种质资源密度分布图.gif"
"61"	"中国普通菜豆种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/普通菜豆/中国普通菜豆种质资源地理分布图.gif"
"62"	"中国普通菜豆种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/普通菜豆/中国普通菜豆种质资源密度分布图.gif"
"63"	"中国普通野生稻种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/普通野生稻/中国普通野生稻种质资源地理分布图.gif"
"64"	"中国普通野生稻种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/普通野生稻/中国普通野生稻种质资源密度分布图.gif"
"65"	"中国杏种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/杏/中国杏种质资源地理分布图.gif"
"66"	"中国杏种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/杏/中国杏种质资源密度分布图.gif"
"67"	"中国果树种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/果树/中国果树种质资源地理分布图.gif"
"68"	"中国果树种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/果树/中国果树种质资源密度分布图.gif"
"69"	"中国枣种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/枣/中国枣种质资源地理分布图.gif"
"70"	"中国枣种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/枣/中国枣种质资源密度分布图.gif"
"71"	"中国柑桔种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/柑桔/中国柑桔种质资源地理分布图.gif"
"72"	"中国柑桔种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/柑桔/中国柑桔种质资源密度分布图.gif"
"73"	"中国柿种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/柿/中国柿种质资源地理分布图.gif"
"74"	"中国柿种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/柿/中国柿种质资源密度分布图.gif"
"75"	"中国根用芥菜种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/根用芥菜/中国根用芥菜种质资源地理分布图.gif"
"76"	"中国根用芥菜种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/根用芥菜/中国根用芥菜种质资源密度分布图.gif"
"77"	"中国桃种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/桃/中国桃种质资源地理分布图.gif"
"78"	"中国桃种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/桃/中国桃种质资源密度分布图.gif"
"79"	"中国桑种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/桑/中国桑种质资源地理分布图.gif"
"80"	"中国桑种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/桑/中国桑种质资源密度分布图.gif"
"81"	"中国梨种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/梨/中国梨种质资源地理分布图.gif"
"82"	"中国梨种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/梨/中国梨种质资源密度分布图.gif"
"83"	"中国棉花种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/棉花/中国棉花种质资源地理分布图.gif"
"84"	"中国棉花种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/棉花/中国棉花种质资源密度分布图.gif"
"85"	"中国水稻种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/水稻/中国水稻种质资源地理分布图.gif"
"86"	"中国水稻种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/水稻/中国水稻种质资源密度分布图.gif"
"87"	"中国水稻地方种种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/水稻地方/中国水稻地方种种质资源地理分布图.gif"
"88"	"中国水稻地方种种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/水稻地方/中国水稻地方种种质资源密度分布图.gif"
"89"	"中国油料作物种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/油料作物/中国油料作物种质资源地理分布图.gif"
"90"	"中国油料作物种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/油料作物/中国油料作物种质资源密度分布图.gif"
"91"	"中国油菜种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/油菜/中国油菜种质资源地理分布图.gif"
"92"	"中国油菜种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/油菜/中国油菜种质资源密度分布图.gif"
"93"	"中国海岛棉种质资源地理分布图.gif.txt"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/海岛棉/中国海岛棉种质资源地理分布图.gif.txt"
"94"	"中国海岛棉种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/海岛棉/中国海岛棉种质资源密度分布图.gif"
"95"	"中国满江红种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/满江红/中国满江红种质资源地理分布图.gif"
"96"	"中国满江红种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/满江红/中国满江红种质资源密度分布图.gif"
"97"	"中国烟草种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/烟草/中国烟草种质资源地理分布图.gif"
"98"	"中国烟草种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/烟草/中国烟草种质资源密度分布图.gif"
"99"	"中国燕麦种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/燕麦/中国燕麦种质资源地理分布图.gif"
"100"	"中国燕麦种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/燕麦/中国燕麦种质资源密度分布图.gif"
"101"	"中国牧草种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/牧草/中国牧草种质资源地理分布图.gif"
"102"	"中国牧草种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/牧草/中国牧草种质资源密度分布图.gif"
"103"	"中国玉米种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/玉米/中国玉米种质资源地理分布图.gif"
"104"	"中国玉米种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/玉米/中国玉米种质资源密度分布图.gif"
"105"	"中国甘蓝型油菜种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/甘蓝型油菜/中国甘蓝型油菜种质资源地理分布图.gif"
"106"	"中国甘蓝型油菜种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/甘蓝型油菜/中国甘蓝型油菜种质资源密度分布图.gif"
"107"	"中国甜瓜种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/甜瓜/中国甜瓜种质资源地理分布图.gif"
"108"	"中国甜瓜种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/甜瓜/中国甜瓜种质资源密度分布图.gif"
"109"	"中国甜荞种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/甜荞/中国甜荞种质资源地理分布图.gif"
"110"	"中国甜荞种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/甜荞/中国甜荞种质资源密度分布图.gif"
"111"	"中国甜菜种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/甜菜/中国甜菜种质资源地理分布图.gif"
"112"	"中国甜菜种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/甜菜/中国甜菜种质资源密度分布图.gif"
"113"	"中国疣粒野生稻种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/疣粒野生稻/中国疣粒野生稻种质资源地理分布图.gif"
"114"	"中国疣粒野生稻种质资源密度分布图.gif.txt"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/疣粒野生稻/中国疣粒野生稻种质资源密度分布图.gif.txt"
"115"	"中国白玉米种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/白玉米/中国白玉米种质资源地理分布图.gif"
"116"	"中国白玉米种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/白玉米/中国白玉米种质资源密度分布图.gif"
"117"	"中国白菜种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/白菜/中国白菜种质资源地理分布图.gif"
"118"	"中国白菜种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/白菜/中国白菜种质资源密度分布图.gif"
"119"	"中国白菜型油菜种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/白菜型油菜/中国白菜型油菜种质资源地理分布图.gif"
"120"	"中国白菜型油菜种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/白菜型油菜/中国白菜型油菜种质资源密度分布图.gif"
"121"	"中国白谷子种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/白谷子/中国白谷子种质资源地理分布图.gif"
"122"	"中国白谷子种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/白谷子/中国白谷子种质资源密度分布图.gif"
"123"	"中国皮大麦种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/皮大麦/中国皮大麦种质资源地理分布图.gif"
"124"	"中国皮大麦种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/皮大麦/中国皮大麦种质资源密度分布图.gif"
"125"	"中国硬粒玉米种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/硬粒玉米/中国硬粒玉米种质资源地理分布图.gif"
"126"	"中国硬粒玉米种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/硬粒玉米/中国硬粒玉米种质资源密度分布图.gif"
"127"	"中国秋大豆种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/秋大豆/中国秋大豆种质资源地理分布图.gif"
"128"	"中国秋大豆种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/秋大豆/中国秋大豆种质资源密度分布图.gif"
"129"	"中国笋瓜种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/笋瓜/中国笋瓜种质资源地理分布图.gif"
"130"	"中国笋瓜种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/笋瓜/中国笋瓜种质资源密度分布图.gif"
"131"	"中国籼稻种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/籼稻/中国籼稻种质资源地理分布图.gif"
"132"	"中国籼稻种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/籼稻/中国籼稻种质资源密度分布图.gif"
"133"	"中国粮食作物种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/粮食作物/中国粮食作物种质资源地理分布图.gif"
"134"	"中国粮食作物种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/粮食作物/中国粮食作物种质资源密度分布图.gif"
"135"	"中国粳性谷子种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/粳性谷子/中国粳性谷子种质资源地理分布图.gif"
"136"	"中国粳性谷子种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/粳性谷子/中国粳性谷子种质资源密度分布图.gif"
"137"	"中国粳稻种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/粳稻/中国粳稻种质资源地理分布图.gif"
"138"	"中国粳稻种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/粳稻/中国粳稻种质资源密度分布图.gif"
"139"	"中国糖用高粱种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/糖用高粱/中国糖用高粱种质资源地理分布图.gif"
"140"	"中国糖用高粱种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/糖用高粱/中国糖用高粱种质资源密度分布图.gif"
"141"	"中国糯性谷子种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/糯性谷子/中国糯性谷子种质资源地理分布图.gif"
"142"	"中国糯性谷子种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/糯性谷子/中国糯性谷子种质资源密度分布图.gif"
"143"	"中国糯稻种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/糯稻/中国糯稻种质资源地理分布图.gif"
"144"	"中国糯稻种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/糯稻/中国糯稻种质资源密度分布图.gif"
"145"	"中国红玉米种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/红玉米/中国红玉米种质资源地理分布图.gif"
"146"	"中国红玉米种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/红玉米/中国红玉米种质资源密度分布图.gif"
"147"	"中国红花种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/红花/中国红花种质资源地理分布图.gif"
"148"	"中国红花种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/红花/中国红花种质资源密度分布图.gif"
"149"	"中国红谷子种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/红谷子/中国红谷子种质资源地理分布图.gif"
"150"	"中国红谷子种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/红谷子/中国红谷子种质资源密度分布图.gif"
"151"	"中国红麻种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/红麻/中国红麻种质资源地理分布图.gif"
"152"	"中国红麻种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/红麻/中国红麻种质资源密度分布图.gif"
"153"	"中国纤维作物种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/纤维作物/中国纤维作物种质资源地理分布图.gif"
"154"	"中国纤维作物种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/纤维作物/中国纤维作物种质资源密度分布图.gif"
"155"	"中国绿肥种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/绿肥/中国绿肥种质资源地理分布图.gif"
"156"	"中国绿肥种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/绿肥/中国绿肥种质资源密度分布图.gif"
"157"	"中国绿豆种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/绿豆/中国绿豆种质资源地理分布图.gif"
"158"	"中国绿豆种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/绿豆/中国绿豆种质资源密度分布图.gif"
"159"	"中国胡萝卜种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/胡萝卜/中国胡萝卜种质资源地理分布图.gif"
"160"	"中国胡萝卜种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/胡萝卜/中国胡萝卜种质资源密度分布图.gif"
"161"	"中国芝麻种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/芝麻/中国芝麻种质资源地理分布图.gif"
"162"	"中国芝麻种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/芝麻/中国芝麻种质资源密度分布图.gif"
"163"	"中国芥菜种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/芥菜/中国芥菜种质资源地理分布图.gif"
"164"	"中国芥菜种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/芥菜/中国芥菜种质资源密度分布图.gif"
"165"	"中国芥菜型油菜种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/芥菜型油菜/中国芥菜型油菜种质资源地理分布图.gif"
"166"	"中国芥菜型油菜种质资源密度分布图.gif.txt"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/芥菜型油菜/中国芥菜型油菜种质资源密度分布图.gif.txt"
"167"	"中国花生种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/花生/中国花生种质资源地理分布图.gif"
"168"	"中国花生种质资源密度分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/花生/中国花生种质资源密度分布图.gif"
"169"	"中国苎麻种质资源地理分布图.gif"	"作物分布图"	"agridata/images/作物物种分布数据库/作物分布图/苎麻/中国苎麻种质资源地理分布图.gif"
