"id"	"天敌"	"地理分布"	"形态特征"	"中文名"	"纲"	"目"	"科"	"主要危害作物"	"生物学特性及发生消长规律"	"相关文献"	"拉丁学名"	"记录号"	"防治方法"	"图片"
"40"		"分布北起江苏、河南、甘肃，南至台湾、海南、广东、广西、云南，东临滨海，西达四川、西藏。"	"雌成虫体长9．5mm，肩宽约8．1mm；雄体长9mm，肩宽7．3mm，全体茶褐色。前胸背板上生很多弯曲纵隆脊。鞘翅边缘近肩角处生1黑斑并向盘区中部延伸向敞边处靠近。后侧角、缝角也有1黑斑，肩瘤上一般无黑斑。鞘翅上具很多小刻点驼顶突起很高，四周生隆起脉纹。雌虫较雄虫粗糙，前胸背板、鞘翅边缘具网状纹。触角黄褐色，9～11节黑色。卵长1．5mm，宽0．5～0．7mm，椭圆形，褐色，两端瘦削。末龄幼虫体长7．5～8mm，黑褐色，腹部两侧各生8对黄褐色枝刺。前胸背板前方具半圆形呈不规则凹陷的眼斑1对，尾叉向背上翻卷，尾部上举。蛹体浅黄褐色。前胸背板扁平，周缘具硬刺。"	"甘薯蜡龟甲指名亚种"	"昆虫纲"	"鞘翅目"	"铁甲科"	"甘薯等旋花科植物。"	"广东年生6代，福建4～6代，世代重叠。以成虫在杂草、土缝或越冬薯的茎蔓处越冬。广东翌年3月中旬成虫出现，福建5月上中旬成虫始见，9月上中旬成虫盛发，高温干旱该虫盛发。幼虫活动范围不大，发生多的薯叶洞孔累累，影响甘薯生长发育。该虫在台湾，卵期10天，幼虫期20天，蛹期10天，成虫多把卵产在叶片上。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"Laccoptera quadrimaculata quadrimaculata(Thunberg)"	"dp00147"	"(1)甘薯收获后及时清洁田园和田边杂草，可消灭部分越冬虫源。(2)成虫盛发时，于黄昏开始喷洒90％晶体敌百虫1200倍液或40％乐果乳油1500倍液、50％倍硫磷乳油1000倍液、25％亚胺硫磷乳油800倍液、50％杀螟硫磷乳油900倍液，每667m 2 喷对好的药液75L。"	"agridata/images/中国农业有害生物数据库/中国旱粮作物害虫数据库/甘薯蜡龟甲指名亚种.jpg"
"41"		"分布华北、华东、华中、华南、西南。"	"成虫体长4mm左右，翅展18mm，翅宽2．5mm，体黑褐色，头顶与颜面紧贴深褐色鳞片，前翅具暗褐色混有灰黄色的鳞粉，翅和翅脉绿色，近中央有白色条纹，外缘具5个横列的小黑点，后翅暗灰白色；幼虫体长6mm左右，头部浅黄色，躯体淡黄绿色，可见体内呈暗紫色。"	"甘薯麦蛾"	"昆虫纲"	"鳞翅目"	"麦蛾科"	"山药、甘薯、蕹菜等旋花科植物。"	"华北、浙江年生3～4代，江西、湖南5～7代，福建、广东8～9代，以蛹在叶中结茧越冬。翌年山药长出新芽时为害，7～8月发生最多。把卵产在嫩叶中脉附近。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"Brachmia macroscopa Meyrick"	"dp00148"	"结合防治薯蓣叶甲进行兼治。必要时在幼虫初龄期喷洒90％晶体敌百虫800～1000倍液或40％乐果乳油1000倍液、50％亚胺硫磷500～800倍液、50％倍硫磷乳油1000倍液，每667m 2 喷对好的药液75L。"	"agridata/images/中国农业有害生物数据库/中国旱粮作物害虫数据库/甘薯麦蛾.jpg"
"42"		"分布在黑龙江、内蒙古、河北、河南、新疆、江苏、广东等地。"	"成虫体长8～10mm，翅展19～22mm。头、胸暗赭色，下唇须黄色，额、颈板基部黄白色，翅基片及胸背有淡黄纹；腹部黄白色，背面略带褐色；前翅黄色，中室后及臀脉各有1黑纵条伸至外横线，外横线黑灰色，粗；环纹、肾纹为黑色小圆斑，前缘脉有4个小黑斑，顶角有一黑斜条为亚端线前段，在中脉。处有1小黑点，臀角处有1条曲纹，缘毛白色，有一列黑斑；后翅烟褐色，中室有一小黑斑。卵馒头形，污黄色。末龄幼虫体长20～25mm，体细长似尺蠖，淡红褐色，第8腹节略隆起，体色变化较大，分为头部褐绿色型，头部黑色型，头部红色型等。头部褐色型具灰褐色不规则网纹，额区浅绿色，体青绿色，背面及亚腹线至气门线之间具不明显黑色花纹，背线、亚背线系不大明显的褐绿色，气门线黄绿色较宽，中部有深色细线。"	"甘薯绮夜蛾"	"昆虫纲"	"鳞翅目"	"夜蛾科"	"甘薯、田旋花。"	"年生2代，以蛹在土室中越冬，翌年7月中旬羽化为成虫，产卵于寄主嫩梢的叶背面，卵单产；初孵幼虫黑色，3龄后花纹逐渐明显，幼虫十分活跃。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"Emmelia trabealis Scopoli异名Erastria trabealis(Scopoli)"	"dp00149"	"参见甘薯叶甲"	"agridata/images/中国农业有害生物数据库/中国旱粮作物害虫数据库/甘薯绮夜蛾.jpg"
"43"		"分布在中国东南、华南、台湾等地。"	"成虫体长6mm，翅展15mm，全身及后翅黄褐色，前翅灰黄色，近外缘具褐斑，顶角呈弯钩状。前翅、后翅均不分支，翅上无羽状鳞毛。卵长椭圆形，浅绿色。末龄幼虫体长9mm左右，绿色，背线紫红色，体节上生有很多小毛瘤，瘤上生细短刚毛。蛹长8～9mm，暗绿色，背脊尖突，背线紫褐色。"	"甘薯全翅羽蛾"	"昆虫纲"	"鳞翅目"	"羽蛾科"	"甘薯"	"我国东南、华南年生7～8代，台湾12代，末龄幼虫在薯叶基部叶脉汇集处或薯叶半卷处缀薄丝化蛹，蛹期8～20天，羽化后的成虫喜隐蔽在茂密的薯叶下，静止时前翅平张，后翅收拢在前翅之下，交配后把卵产在叶背，卵期6～19天。幼虫食害甘薯新梢嫩叶，幼虫期20多天。蛹期8～20天，成虫寿命10多天，长的可达40多天。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"Ochyrotica concursa Walsinghan"	"dp00150"	"参见甘薯白羽蛾。"	"agridata/images/中国农业有害生物数据库/中国旱粮作物害虫数据库/甘薯全翅羽蛾.jpg"
"44"		"分布在全国各地。"	"成虫体长50mm，翅展90～120mm；体翅暗灰色；肩板有黑色纵线；腹部背面灰色，两侧各节有白、红、黑3条横线；前翅内横线、中横线及外横线各为2条深棕色的尖锯齿状带，顶角有黑色斜纹；后翅有4条暗褐色横带，缘毛白色及暗褐色相杂。卵球形，直径2mm，淡黄绿色。幼虫老熟幼虫体长50～70mm，体色有两种：一种体背土黄色，侧面黄绿色，杂有粗大黑斑，体侧有灰白色斜纹，气孔红色，外有黑轮；另一种体刀绿色，头淡黄色，斜纹白色，尾角杏黄色。蛹长56mm，朱红色至暗红色，口器吻状，延伸卷曲呈长椭圆形环，与体相接。翅达第4腹节末。"	"甘薯天蛾"	"昆虫纲"	"鳞翅目"	"天蛾科"	"蕹菜、扁豆、赤豆、甘薯。"	"在北京年发生1或2代，在华南年发生3代，以老熟幼虫在土中5～10cm深处作室化蛹越冬。在北京成虫于5月或10月上旬出现，有趋光性，卵散产于叶背。在华南于5月底见幼虫为害，以9～10月发生数量较多，幼虫取食蕹菜叶片和嫩茎，高龄幼虫食量大，严重时可把叶食光，仅留老茎。在华南的发育，卵期5～6天，幼虫期7～11天，蛹期14天。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"Herse convolvuli(Linnaeus)"	"dp00151"	"必要时喷洒30％克虫神乳油1500倍液、2．5％溴氰菊酯乳油2000倍液或Bt乳剂600倍液，防效优于辛硫磷、马拉硫磷及敌敌畏。"	"agridata/images/中国农业有害生物数据库/中国旱粮作物害虫数据库/甘薯天蛾.jpg"
"45"		"我国几遍各省区，以长江流域及以南地区受害重。"	"成虫体长14～20mm，翅展35～40mm，头、胸、腹均深褐色，胸部背面有白色丛毛，腹部前数节背面中央具暗褐色丛毛。前翅灰褐色，斑纹复杂，内横线及外横线灰白色，波浪形，中间有白色条纹，在环状纹与肾状纹间，自前缘向后缘外方有3条白色斜线，故名斜纹夜蛾。后翅白色，无斑纹。前后翅常有水红色至紫红色闪光。卵扁半球形，直径0．4～0．5mm，初产黄白后转淡绿，孵化前紫黑色。卵粒集结成3～4层的卵块，外覆灰黄色疏松的绒毛。幼虫体长35～47mm，头部黑褐色，胴部体色因寄主和虫口密度不同而异：土黄色、青黄色、灰褐色或暗绿色，背线、亚背线及气门下线均为灰黄色及橙黄色。从中胸至第9腹节在亚背线内侧有三角形黑斑1对，其中以第1、7、8腹节的最大。胸足近黑色，腹足暗褐色。蛹长约15～20mm，赭红色，腹部背面第4至第7节近前缘处各有一个小刻点。臀棘短，有一对强大而弯曲的刺，刺的基部分开。"	"甘薯田斜纹夜蛾"	"昆虫纲"	"鳞翅目"	"夜蛾科"	"甘薯、棉花、烟草等99科209种植物。"	"河北年生3～4代，山东4代，河南、江苏、浙江4～5代，湖北5代，江西6代，福建7～8代，广东8～9代。世代重叠，以蛹在土中越冬。成虫把卵产在叶背，卵层成块状，表面覆有黄色鳞毛，初孵幼虫群集于叶背取食下表皮及叶肉，低龄阶段靠吐丝下坠随风飘移传播，2～3龄后分散活动。成虫对黑光灯趋性强，幼虫具假死性，老龄幼虫有成群迁移、转移为害的习性。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"Prodenia litura(Fabricius)"	"dp00152"	"(1)农业防治。注意清除田间及地边杂草，灭卵及初孵幼虫(2)利用其对黑光灯和性引诱剂的趋性，在田间设胡萝卜、甘薯、豆饼发酵液加少量红糖和敌百虫诱集成虫。(3)人工采卵或捕捉低龄幼虫。(4)药剂防治  掌握在3龄前局部发生阶段挑治。提倡使用5％抑太保乳油2000倍液或5％卡死克乳油2000～2500倍液、20％米满胶悬剂2000倍液、44％速凯乳油1500倍液。此外也可选用50％抗虫922乳油600～800倍液或10％氯氰菊酯乳油1000倍液、5％锐劲特悬浮剂2500倍液、40％毒死蜱乳油1000倍液、2．5％保得乳油2000倍液，单独使用或交替使用。此外也可选用50％辛硫磷乳油1000倍液、50％杀螟硫磷乳油1000～1500倍液、10％吡虫啉可湿性粉剂2500倍液。用药时间最好选在傍晚，效果好。"	"agridata/images/中国农业有害生物数据库/中国旱粮作物害虫数据库/甘薯田斜纹夜蛾.jpg"
"46"	"卵寄生蜂有蔗虱缨小蜂Anagrus optabilis(Perkins)，盲蝽黑卵蜂Telenomus sp．"	"分布在陕西、河南、江西、浙江、福建、广东、广西、台湾、四川、云南等省区。"	"成虫体长2．1mm，宽1．1mm，体椭圆形，黑色，具褐色短毛。头黑色，光滑，闪光；眼突，与前胸相接，颊高，等于或稍大于眼宽；喙黄褐色，基部红色，末端黑色，伸达后足基节；触角细长，黄褐色，第1节膨大，第2节长与革片前缘近相等，第3节端半和第4节褐色。前胸背板短宽，前缘和侧缘直，后缘后突成弧形。小盾片为等边三角形。前翅革片短宽，前缘成弧形弯曲；楔片小，长三角形；膜片烟色，长于腹部末端。足黄褐至黑褐色。后足腿节特别粗，内弯，胫节黄褐，近基褐色。腹部黑褐，具褐色毛。卵香蕉形，初产浅绿色，后变桃红色。若虫初孵化桃红色，后变灰褐色，上具紫色斑点；后足腿节紫褐色，深浅不一。"	"甘薯跳盲蝽"	"昆虫纲"	"半翅目"	"盲蝽科"	"甘薯、萝卜、白菜、菜豆、花生、黄瓜、丝瓜、蕹菜、豇豆、大豆、茄子等。"	"在湖南年生9代，以卵在寄主组织里越冬，卵多斜向产在叶脉两侧，部分外露，卵盖上常具粪便，世代重叠，翌年5月中孵化，先为害豇豆、茄子、小白菜等，5月下旬为害凉薯，一代5月下旬至7月下旬，二代6月下至8月下旬，三代7月下至9月下旬，四代8月中至10月下旬，五代5月中至12月上旬发生。室内用凉薯叶喂饲两代，卵期9天，若虫期12．7天，成虫期40天，产卵前期3天，产卵期18天，世代历期24．7天，平均产卵38粒，未经交尾也可产卵，此虫活泼善跳，喜欢在湿度大的菜地为害，8月高温季节不取食。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"Halticus minutus Reuter"	"dp00153"	"(1)经试验辛硫磷、乐斯本、乐果、敌百虫对其毒力较强，24小时后85％以上死亡，溴氰菊酯等防效不高；生产上可用50％辛硫磷乳油1500倍液喷雾，防效可达85％～90％，隔10天左右1次，连防两次即可。采收前7天停止用药。(2)天敌利用，卵寄生蜂有蔗虱缨小蜂Anagrus optabilis(Perkins)寄生率13％，盲蝽黑卵蜂Telenomus sp．寄生率也较高。"	"agridata/images/中国农业有害生物数据库/中国旱粮作物害虫数据库/甘薯跳盲蝽.jpg"
"47"		"分布在福建、台湾、海南、广东、广西、云南、贵州、四川、江西、湖南、湖北、浙江、江苏等省。"	"成虫体长4．2～5．6mm，半圆球形，体背拱隆，黄绿色至青绿色，具金属光泽，前胸背板、两鞘翅四周全向外延伸成“龟”状，延伸部分具网状纹，前胸背板后方中央有2条紧靠的黑斑纹，有的合并在一起，鞘翅背面隆起处边缘有一黑色至黑褐色“V”形斑，中缝处有1纵纹，粗细不等，有的消失。触角11节，浅绿色，有的末端有2～3节黑褐色，向后伸过鞘翅肩角处。卵长lmm左右，深绿色，长椭圆形。末龄幼虫体长5ram，长椭圆形，体背中间生隆起线，虫体四周生棘刺16对，前边2个同生在一个瘤上，后边2个很长，为其余棘刺2倍，1对尾须。蛹长5mm左右，体扁长方形，浅绿色，前胸背板大，四周具小刺，头部隐蔽在其下。1～5腹节两侧有扁平大棘突1个。"	"甘薯小龟甲"	"昆虫纲"	"鞘翅目"	"铁甲科"	"甘薯、蕹菜及旋花科植物。"	"浙江年生4代，江西、湖南4～5代，四川5代，福建6代，广东5～6代，以成虫在杂草、枯叶下、石缝或土缝中越冬，浙江气温14℃以上时，越冬成龟甲到甘薯苗上为害，5月中下旬繁殖第一代，各代成虫盛发期如下：一代6月下旬～7月上旬，二代7月下旬，三代8月中下旬，四代9月下旬～10月上旬，于10月下旬～11月中旬开始越冬。每年6月中下旬～8月中下旬受害重。羽化后1～2天后开始取食，寿命长，浙江一代29天，二代63天，三代74天，四代181天。羽化后一周交尾产卵，产卵期长：福建晋江6～103天，每雌产卵量497～697粒，少者35粒，最多2315粒，卵散产在叶脉附近，幼虫共5龄，老熟幼虫于薯叶荫蔽处不食不动，经1～2天尾部粘附在叶背面化蛹，蛹期5～9天左右。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"Taiwania circumdata(Herbst)"	"dp00154"	"见甘薯蜡龟甲指名亚种。"	"agridata/images/中国农业有害生物数据库/中国旱粮作物害虫数据库/甘薯小龟甲.jpg"
"48"		"分布北起黑龙江、内蒙古、新疆，南至广东、海南，但长江以北居多。"	"成虫体长5～6mm，宽3～4mm，体短宽，体色变化大，有青铜色、蓝色、绿色、蓝紫、蓝黑、紫铜色等。不同地区色泽有异，同一地区也有不同颜色。肩胛后方具1闪蓝光三角斑。触角基部6节蓝色或黄褐色，端部5节黑色，头部生有粗密的点刻，刻点间具纵皱纹，上唇黑色至暗红色；前胸背板宽为长的2倍，前角尖锐，侧缘圆弧形，盘区隆起，密布粗点刻；小盾片近方形，鞘翅隆凸，肩胛高隆，光亮，翅面刻点混乱较粗密。甘薯叶甲丽鞘亚种肩胛后方有一闪蓝色光泽的三角斑，此为区别指名亚种的重要标志。卵长圆形，长约lmm，初产时浅黄色，后微呈黄绿色。幼虫黄白色，体长9～10mm，头部浅黄褐色，体粗短呈圆筒状，有的弯曲，全体密布细毛。裸蛹长5～7mm，初化蛹时白色，后变黄白色，短椭圆形。"	"甘薯肖叶甲"	"昆虫纲"	"鞘翅目"	"肖叶甲科"	"甘薯、蕹菜、棉花、小旋花等。"	"江西、福建、浙江、四川年生1代，以幼虫在土下15～25cm处越冬，四川、福建有的在甘薯内越冬，浙江尚见当年羽化成虫在石缝及枯枝落叶里越冬。浙江幼虫在翌年5月下旬始蛹，6月中旬进入盛期，6月下旬成虫盛发，大量为害。7月上中旬交尾产卵，成虫羽化后先在土室里生活几天，后出土为害，尤以雨后2～3天出土最多，10时和16～18时为害最烈，中午隐蔽在土缝或枝叶下。每雌平均产卵118粒，多的600粒。成虫飞翔力差有假死性，耐饥力强，成虫寿命雌34天，雄53．5天，产卵前期10天，产卵期21天，卵期9天。初孵幼虫孵化后潜入土中啃食薯块的表皮，相对湿度低于50％，幼虫停止活动，土温低于20℃，幼虫钻入土层深处造室越冬，幼虫期约10个月，蛹期15天左右。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"Colasposoma dauricum Mannerheim"	"dp00155"	"(1)震落捕杀成虫。利用该虫假死性，于早、晚在叶上栖息不大活动时，震落塑料袋内，集中消灭。(2)在甘薯栽秧前用50％杀螟松乳油500倍液浸苗后晾干，然后栽种，可防治苗期受害。(3)必要时喷洒50％辛硫磷乳油1500倍液或30％氧乐氰乳油3000倍液、5％氯氰菊酯乳油2000倍液、20％绿•马乳油1500倍液、0．6％苦参烟碱1000倍液。采收前5天停止用药。"	"agridata/images/中国农业有害生物数据库/中国旱粮作物害虫数据库/甘薯肖叶甲.jpg"
"49"		"主要分布在北方各省和四川一带"	"参见甘薯肖叶甲。"	"甘薯肖叶甲指名亚种(麦颈叶甲)"	"昆虫纲"	"鞘翅目"	"肖叶甲科"	"小麦、甘薯、蕹菜、打碗花等。"	"参见甘薯肖叶甲。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"Colasposoma dauricum Mannerheim"	"dp00156"	"参见甘薯肖叶甲。"	"agridata/images/中国农业有害生物数据库/中国旱粮作物害虫数据库/甘薯肖叶甲指名亚种(麦颈叶甲).jpg"
"50"		"分布在江苏、浙江、江西、福建、台湾、湖南、广东、广西、贵州、云南。"	"成虫体长5～7．9mm，狭长似蚊，触角末节、前胸、足为红褐色至桔红色，余蓝黑色，具金属光泽，头前伸似象的鼻子，复眼半球形略突，黑色；触角末节长大，雌虫长卵形，长较其余9节之和略短，雄虫末节为棒形，长于其余9节之和，前胸狭长，前胸后端1／3处缩入中胸似颈。鞘翅重合呈长卵形，宽于前胸，表面有不大明显的22条纵向刻点，后翅宽且薄。足细长，腿节近棒状。卵乳白色至黄白色，椭圆形，壳薄，表面具小凹点。末龄幼虫体长5～8．5mm，头部浅褐色，近长筒状，两端略小，略弯向腹侧，胸部、腹部乳白色有稀疏白细毛，胸足退化，幼虫共5龄；蛹长4．7～5．8mm，长卵形至近长卵形，乳白色，复眼红色。"	"甘薯蚁象甲"	"昆虫纲"	"鞘翅目"	"锥象科"	"成虫寄主有甘薯、砂藤、蕹菜、五爪金龙、三裂叶藤、牵牛花、小旋花、月光花等，幼虫寄主主要是甘薯、砂藤的粗茎和块根。"	"浙江年生3～5代，广西、福建4～6代，广东南部、台湾6～8代，广州和广西南宁无越冬现象。世代重叠。多以成、幼虫、蛹越冬，成虫多在薯块、薯梗、枯叶、杂草、土缝、瓦砾下越冬，幼虫、蛹则在薯块、藤蔓中越冬，成虫昼夜均可活动或取食，白天喜藏在叶背面为害叶脉、叶梗、茎蔓，也有的藏在地裂缝处为害薯梗，晚上在地面上爬行。卵喜产在露出土面的薯块上，先把薯块咬一小孔，把卵产在孔中，一孔一粒，每雌产卵80～253粒。初孵幼虫蛀食薯块或藤头，有时一个薯块内幼虫多达数十只，少的几只，通常每条薯道仅居幼虫1只；浙江7～9月，广州7～10月，福建晋江、同安一带4～6月及7月下旬～9月受害重；广西柳州1、2代主要为害薯苗，3代为害早薯，4、5代为害晚薯。气候干燥炎热、土壤龟裂、薯块裸露对成虫取食、产卵有利，易酿成猖獗为害。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"Cylas formicarius(Fabricius)"	"dp00157"	"(1)严格检疫、防止扩散。(2)甘薯收获后，清除有虫薯块、茎蔓、薯拐等，中深埋或烧毁。(3)实行轮作，有条件地区尽量实行水旱轮作。(4)及时培土，防止薯块裸露，注意选用受害轻的品种和地块。(5)化学防治。①药液浸苗。用50％杀螟松乳油或50％辛硫磷乳油500倍液浸湿薯苗1分钟，稍晾即可栽秧；②毒饵诱杀。在早春或南方初冬，用小鲜薯或鲜薯块、新鲜茎蔓置入50％杀螟松乳油500倍药液中浸14～23小时，取出晾干，埋入事先挖好的小坑内，上面盖草，每667m 2 50～60个，隔5天换1次。"	"agridata/images/中国农业有害生物数据库/中国旱粮作物害虫数据库/甘薯蚁象甲.jpg"
"51"		"分布华东、华南、中南。"	"成虫体长8～9mm，翅展11～16mm，前翅狭长，紫褐色，暗褐小点满布。翅基前缘近基部的一半和内缘及中室朝外的各翅脉带深红色，前翅中央具2条下凹的宽黑纵纹及几条较细黑纹。外横线白色，横贯细黑纹间，翅外缘有小黑点6个。后翅灰白色，略透明。翅尖、内缘及各翅脉颜色略深。卵长0．3～0．4mm，椭圆形，扁薄，中间稍隆，表面具皱纹。末龄幼虫体长10～14mm，纺锤形，体细长，低龄幼虫黄白色，长大后变为土黄色至草绿色或灰黑色。背线浅褐色，细，中胸到腹末体背两侧各具绿色波形纵带1条。亚背线较宽，黑褐色，腹节中央具一横纹划分为前后两部分，各具毛片2个，呈方形排列。蛹长6～7mm，黄褐色至红棕色，背面具刻点，腹部末节具2根靠的很近的直刺及4～6根弯钩小刺。"	"高粱穗隐斑螟"	"昆虫纲"	"鳞翅目"	"螟蛾科"	"高粱。"	"江苏、山东年生3代，以老熟幼虫在高粱穗内或穗茎叶鞘处结茧越冬。翌年6月下旬～7月上旬羽化为成虫。每穗有虫3～5条，多的可达数十条，7月中旬进入第一代幼虫为害盛期，7月下旬幼虫老熟在穗内结茧化蛹，幼虫期20～25天，蛹期6～8天，7月底8月初成虫羽化，第二代幼虫为害盛期在8月中、下旬。第3代幼虫发生在9月上旬至10月。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"Cryptoblabes gnidiella(Milliere)"	"dp00158"	"在高粱开花至乳熟期喷洒50％杀螟松乳油或马拉硫磷乳油1000倍液，喷穗1次或2次。高粱对敌敌畏、敌百虫、对硫磷、久效磷等敏感，严禁使用。"	"agridata/images/中国农业有害生物数据库/中国旱粮作物害虫数据库/高粱穗隐斑螟.jpg"
"52"		"分布台湾。国外分布在印尼、苏丹、冈比亚、加纳、尼日利亚、澳大利亚、墨西哥、美国等。"	"成虫体细小，长约2mm，全体黄褐色至桔红色。雄虫触角长与体相等，雌虫触角仅为体长1／2。体节14，雌虫3～14节间略收缩，各节具不成轮的鬃，其端部收缩成短柄。雄虫3～14节的节间之前缢缩，缢缩部分的端部长度与每节基部的粗度相等，且每节增粗部分有一轮鬃。中胸背板中央和穿过侧板并在腹板扩大的一个斑点呈黑色。翅灰色透明，臀脉位于翅中间之前，长达前缘脉；肘脉1条近平直，终止在翅下方。中脉2于翅中间前方分叉，其前叉中止在后叉端部与肘脉1端部中间。雄虫触角较雌虫长。雌虫较雄体大，具很细毛状产卵管，长于体。卵浅粉红色至黄色，长0．15mm。末龄幼虫体长1．5mm，宽0．5mm，深红色，圆筒形，两端尖，胸叉骨明显。围蛹椭圆形，扁，泥褐色。"	"高粱瘿蚊"	"昆虫纲"	"双翅目"	"瘿蚊科"	"高粱、甜高粱、帚高粱、假高粱、苏丹草等。"	"以休眠期幼虫越冬，翌年4月中旬羽化，先在野高粱或强生草上繁殖，待种植的高粱开花后，迁入为害。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999 喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005"	"Contarinia sorghicola (Coquilet)异名C．andropogonis、C．palposa"	"dp00159"	"高粱瘿蚊系检疫对象。严禁从疫区引进种子。对引进的种子和未脱粒的穗头进行严格检疫。数量大的可用漂浮法，漂浮出带有休眠幼虫的种子，还可进一步用X射线进行透视检查。对带有休眠幼虫的种子和穗头进行彻底灭虫处理，严防传播蔓延。"	"agridata/images/中国农业有害生物数据库/中国旱粮作物害虫数据库/高粱瘿蚊.jpg"
