"id"	"防治方法"	"危害特点"	"生物学特征及发生消长规律"	"传播途径"	"门"	"亚门"	"纲"	"目"	"科"	"属"	"入侵地"	"寄主"	"拉丁学名"	"记录号"	"入侵时间及地点"	"别名"	"中文名"	"英文名"	"原产地"	"形态特征"	"相关文献"
"11"	"检疫处理方法　　1、严禁用疫区或疫情发生区内桉树枝条作繁殖材料，包括组织培养和扦插繁殖。特别是繁殖用的母苗应严格检疫，杜绝带菌苗木调运出圃。选择和培养抗性强的优良品种和植株作繁殖母株。　　2、对带菌的旧苗圃地应作土壤消毒，杀死宿存在土壤中的病原菌。　　3、在发病中心区应及早采取综合防治措施，使用50％可多菌灵可湿性粉剂、甲基托布津70％可湿性粉剂等杀菌剂。　　4、着重采取预防措施，苗圃应通风透气，不宜过密，并及时排除积水，清除病苗、病叶、病枝。　　5、在背风低洼的山坡种植时，宜采取宽行窄株等技术措施，使其通透性增强，减少病原菌的传播。"	"严重危害桉树幼苗及幼树。除危害20多种桉树外，还能侵害相思树、丁香、橡胶树、番石榴、柑橘、南美番荔枝、杜鹃花、腰果树和木薯。93年广东雷州、江门、惠州等市县的苗圃地和幼林地严重发生，造成幼苗大量落叶和枯梢；96年广西钦州和东门林场则造成幼苗大量枯死"	"与气候条件密切相关，5-9月高温多雨，有利于病害流行，另外与种植密度、立地条件、树龄树势都有一定的关系，种植密度大有利于病害发生，土壤板结、低洼积水、背风山坡均有利于病害发生。"	"病原菌在罹病组织和土壤中存留，在病组织上形成分生孢子，孢子可通过气流、雨水传播扩散。远距离传播靠调运带病苗木扩散蔓延。"	"真菌门"	"半知菌亚门"	"丝孢纲"	"丝孢目"	"丝孢科"	"帚梗柱孢属"	"广东、广西、海南、福建、云南和四川等省份"	"尾叶桉、巨桉、巨尾桉、尾巨桉、柠檬桉、柳窿桉、赤桉、大叶桉、窿缘桉、纤脉桉、雷林桉1号、雷林桉33号等植物"	"Cylindrocladium scoparium Morgan Hodges"	"IO00011"			"桉树焦枯病菌"	"Sheath net-blotch"	"澳大利亚"	"桉树焦枯病病原为帚梗柱孢属的一种真菌，在我国主要有：Cylindrocladium scoparium和C. quinqueseptatum两个种。前者分生孢子圆柱形，具1个分隔，分生孢子梗无色，分枝，有间隔，并可在顶端产生一个椭圆形的孢囊。分生孢子着生在帚状孢子梗上，并由粘液粘成束状。分生孢子大小为43.75-56.25μm × 2.5-5μm，平均50.26μm × 4.32μm。孢囊大小为13.75-30.5μm × 7.5-10μm，孢囊梗竖立，一般为4个隔。后者常在苗圃和幼林中引起叶枯，症状是叶上出现灰褐色烫伤状病斑，外围病健交界处水渍状，病斑边缘可见白色透明的菌丝体，病斑上可见白色透明竖立的霉状物，叶背多于叶面。在显微镜下可见其分生孢子、菌丝及帚状孢子梗。分生孢子无色，圆柱状，两端钝圆，有3-7个分隔，大多数为5-6个分隔。孢子单个着生，由粘液将多个孢子粘成束状在分枝或帚状的孢子梗上。分生孢子大小为62.5-115μm × 5-10μm，平均90.91μm × 8.04μm。"	"李东军等，1997. 山东林业科技, (1): 10-13； 庞联东等，2001. 植物检疫, 15(5): 273-275"
"12"					"细菌门"			"假单胞菌目"	"假单胞菌科"	"假单胞菌属"	"广东、广西、海南、福建"		"Pseudomonas solanacearum"	"IO00012"			"桉树青枯病菌"	"Brown rot"	"巴西"		
"13"					"真菌门"	"鞭毛菌亚门"	"卵菌纲"	"霜霉目"	"腐霉科"	"疫霉属"	"黑龙江"		"Phytophthora megasperma f. sp. glycinea Kuan"	"IO00013"			"大豆疫病菌"		"美国"		
"14"					"真菌门"	"鞭毛菌亚门"	"卵菌纲"	"霜霉目"	"腐霉科"	"疫霉属"	"东北、北京、山东、安徽、内蒙古"		"Phytophthora sojae"	"IO00014"			"大豆疫霉病菌"	"Root and stem rot of soybean"	"美国东北部印第安那州"		
"15"	"(1) 检疫措施：选用无病种子是防治番茄溃疡病的首要条件；建立无病留种田；严禁从疫区向非疫区调运种子。(2) 防治方法：种子消毒，种子化学处理（酸浸泡）可以从根本上降低发病率；清除病株，一旦作物发病后要采取严格的卫生措施，例如铲除病株、病区隔离等，以使损失降低到最低程度；药剂防治，为保护作物，有必要采取预防措施，如销毁植物残体，对农具、设备消毒；与非茄科植物实行2年以上的轮作。(3) 品种抗性也是育种发展方向。"	"该病是细菌性维管束病害，主要寄主是番茄，还侵染辣椒、龙葵、烟草等47种茄科植物，但无侵染马铃薯的记录。一些感病茄科杂草是该病原菌的永久侵染源。幼苗期至结果期均可发病，病株发生萎蔫和死亡，大田定植后造成缺株断垄。病菌可通过维管束侵入果实，造成果实皱缩、畸形，由外部侵染果实引起“鸟眼状”斑点，影响番茄的产量和质量，危害十分严重。据国外报道，番茄溃疡病可使番茄产量损失25％~75％。在自然条件下，番茄植株对此病非常感病。病菌侵入以后有1个很长的潜伏期。在植株中，病菌存在于木质部导管里，影响溶生细胞间隙。侵染的导"	"带菌番茄种子使幼苗发病。病菌在田间和杂草间通过水或人为的栽培措施（修剪、化学防治）传播。病原菌经由植株的气孔及其他自然孔口，侵入植物组织，也可以通过伤口或根部侵入。幼苗更易感染病菌，自然条件下，番茄的整个生长期均对病菌敏感。病菌侵染后经过较长的潜伏期才出现症状。细菌只存在于木质部维管束组织中，并由于细菌溶解产生孔洞。发病维管束中含有粘性的颗粒状沉淀及植物侵填体和细菌团块。同时，病菌产生具有生物活性的毒素肽。病菌在植物残体、土壤、农用工具和温室的设备上能长期存活，在土壤中不能长期存活，在种子里可存活8个月以"	"病原菌存在于土壤里的病残组织中，可存活2~3年。在田间或温室，病原菌通过水、培养料和修剪刀等传播，由植株的伤口、叶毛、根、气孔和其他自然孔口或幼嫩果实表面侵入植物组织。果实上的病斑是通过风雨或喷灌时从病汁液上滴下的带菌水传播的。花柄染病后病菌经维管束进入果实的胚，侵染种脐或种皮，致种子内带菌，病健果混合采收时，病菌黏附在种子上致使种子带菌，种子内外层都可带菌，种子带菌率一般为1％~5％，严重可达53.4％，种子带菌率1％时能迅速引起病害流行。如果苗床土壤带菌，病株可达50％以上。远距离传播靠带菌种子、病株"	"细菌门"			"放线菌目"	"棒状杆菌科"		"北京、河北、内蒙古、辽宁、吉林、新疆、山西、山东和上海等9个省市的28个城市或地区 ，并有逐渐向南方扩展蔓延的趋势。"	"主要寄主是番茄，还侵染辣椒，龙葵，烟草等47种茄科植物，但无侵染马铃薯的记录。"	"Clavibater michiganensis (Smith) Davis et al., subsp. michiganensis (Smith) Davis et al."	"IO00015"	"1981年始见于北京蔬菜产区"	"番茄溃疡病"	"番茄细菌性溃疡病菌"	"Bacterial canker"	"美国密执安州"	"可选用营养肉汤培养基和酵母、蛋白胨、葡萄糖培养基分离病原菌。病原菌为需氧细菌，无芽孢，棒杆状。细胞大小为0.6~0.7μm×0.7~1.2μm，以单个或成对方式存在。碳水化合物氧化代谢，不解脂，硝酸盐还原阴性，脲酶阴性，明胶液化慢，水解七叶苷，水解淀粉能力很弱或不水解。病菌生长缓慢，形成具光泽、圆形、边缘规则的黄色菌落，也存在粉红色、白色、红色及橙色的变易菌落。病原菌是一种好气、不游动、革兰氏阳性、无孢子形成的弯曲形杆状细菌。"	"CABI & EPPO主编，中国-欧洲联盟农业技术中心译. 欧洲检疫性有害生物. 中国农业出版社, 1997. 全国农业技术推广服务中心编. 植物检疫对象手册. 中国农业出版社, 1998. 王金伟. 番茄上一种新的检疫性危险病害—番茄溃疡病. 吉林蔬菜, 1990,(3): 21-22. 中华人民共和国动植物检疫局，农业部植物检疫实验所编. 中国进境植物检疫有害生物选编. 中国农业出版社, 1997."
"16"	"(1) 建立无病留种地，培育无病种苗，杜绝染病秧苗向大田转移。严格要求土壤、粪肥、灌水不带菌；精选种薯并消毒；高温育苗、高温剪苗、药剂浸苗。有报道表明，以浸薯入窖为最佳施药方法，且防治甘薯黑斑病以国光牌甘薯保鲜剂的效果最好，托布津次之，也可采用复合杀虫剂，即多菌灵＋甲基托布津。选用抗病良种。(3) 加强栽培管理。重病区实行水旱轮作和旱地3年以上轮作。合理施肥用水，防止薯块开裂。适时收获，精收细挖。甘薯是喜温作物，因此要在霜冻到来之前收完。一般在立冬前后掌握在12℃~13℃挖薯为宜。"	"是甘薯的主要病害，从育苗期、大田生长期以及收获贮藏期都能发生，引起死苗、烂床、烂窖，损失严重，严重时可使窖藏种薯的损失高达60%~70%。该病菌危害薯苗、薯块，以薯块受害严重。薯块发病产生圆形或近圆形的黑褐色病斑，病部中央稍凹陷，病界分明，轮廓明显。上生灰色霉层，在湿度适宜时，病部长出黑色的刺毛状物。病菌侵入薯肉的下层，使薯肉变为墨绿色。薯苗发病，一般在幼苗基部白嫩部分产生梭形或长圆形的黑色病斑。严重时种薯和幼茎部变黑腐烂，造成烂床死苗，湿度大时，发病部位长出黑色刺毛状物。病苗插入大田后，叶片往往发黄脱落 生育期或贮藏期均可能发生，主要侵害薯苗、薯块，不为害绿色部位。薯苗染病，茎基白色部位产生黑色近圆形稍凹陷斑，后茎腐烂，植株枯死，病部产生煤层。薯块染病，初呈黑色小圆斑，扩大后呈不规则形轮廓明显略凹陷的黑绿色病疤，病疤上初生灰色霉状物，后生黑色刺毛状物，病薯具苦味，贮藏期可继续蔓延，造成烂窖。"	"菌丝生长最适温度为23.0℃~28.5℃，最高34.5℃~36℃，最低9℃~10℃。菌丝及三种孢子的致死温度为51℃~53℃。菌丝在pH值3.7~9.2之间均可以生长，最适pH为6.6。分生孢子抗逆力较差，成活时间短，子囊孢子及厚壁孢子对环境条件的抵抗力较强，自然情况下，土壤表层的病菌经一年后仍可以存活，而埋在土层7~8cm处的病菌却能存活34个月。 主要以卵孢子的形式存活于土壤中的作物残体内，在春季卵孢子萌发，主要是形成孢子囊。漫灌和大雨后孢子囊释放出孢囊孢子。孢囊孢子在土壤的水中移动，被寄主的根围所吸附，萌发且不形成附着胞直接侵入根部。游动孢子游动缓慢，从运动到形成休眠孢子可持续数天，休眠孢子萌发直接产生芽管，当接触固体表面时芽管肿大形成附着孢，不久从附着孢长出菌丝。休眠孢子有时萌发再形成游动孢子，留下休眠孢子膜。有时少数孢囊在顶端形成芽管。在幼苗期毛根被破坏并且整个植株可能致死。较老的植株受害较慢，病菌从根尖扩展到茎到低的枝条，也许由于病土溅到叶"	"病薯病苗是传播的主要途径，带菌土壤、肥料、流水、农具及鼠类、昆虫等都可传病。"	"真菌门"	"子囊菌亚门"	"核菌纲"	"小子囊菌目"	"长喙壳科"	"长喙壳属"	"全国各甘薯产区"		"Ceratocystis fimbriata Ellis. et Halsted"	"IO00016"	"于1937年传入我国辽宁省"	"甘薯黑斑病，甘薯黑疤病"	"甘薯长喙壳菌"	"Sweet potato black rot"	"1890年首先发现于美国"	"分生孢子梗由菌丝顶端或侧枝上形成，鞘状，内生分生孢子，成熟后孢子由分生孢子鞘内依次推出，又称内生孢子。分生孢子无色、单孢，圆筒形、棍棒形或哑铃形，两端平截，9.3~50.628~5.6um。菌丝顶端或侧枝上产生厚壁孢子，厚壁孢子暗褐色，椭圆形，壁厚，10.3~18.9 ×6.7~10.3um;子囊壳形成似长颈烧瓶，基部膨大呈球形，直径105~140um，具长喙，350~800um。子囊壳内生有梨形和椭圆形的子囊多个，每个子囊有子囊孢子8个。子囊壁薄，成熟后壁自溶，子囊孢子散生在子囊壳内。潮湿时吸水膨胀，子囊孢子即从长颈涌向喙口，聚集成黄色蜡点状。子囊孢子钢盔形，无色，单孢，壁薄，4.5~8.7?3.5~4.7um。"	"樊平. 甘薯黑斑病的综合防治措施. 四川农业科技，2001, 7:25. 卢方林. 甘薯黑斑病及其防治. 江西农业科技，1999, 4: 42. 吕佩珂, 李明远, 吴钜文, 易齐, 张宝棣, 姜克英, 文奇, 李明周, 王润初. 中国蔬菜病虫原色图谱. 农业出版社, 1992. Pp.223-224. 汪敬生. 防治甘薯黑斑病的新技术. 云南农业，1998, 10: 18. 张满良主编. 农业植物病理学. 世界图书出版公司, 1997. Pp.175-178."
"17"	"加强检疫，严禁从东南亚国家进口玉米种子。国内要严格控制疫区种子外流。生长季注意田间调查，以便及时发现，采取根绝措施。在霜霉病发生区，应加速选育和利用抗病品种，注意采取轮作倒茬、深耕灭茬、适期播种、合理密植、科学施肥、及时除草等栽培措施减轻为害。"	"玉米霜霉病是热带、亚热带地区的毁灭性植物病害。本病为玉米与甘蔗的严重病害，玉米最易感病。在玉米上由局部病斑导致系统侵染，叶片正反面及叶鞘、苞叶上均可生霉层。病株畸形，有许多小而不饱满的果穗及不正常雄穗。"	"甘蔗霜指霉：病菌以菌丝体在甘蔗上越冬，在台湾当田间平均最低温为12℃~28℃时，次年温度适宜时在甘蔗上产生分生孢子，并成为玉米田的初侵染源。受侵染的玉米在适宜条件下，2周后便可产生第一批分生孢子，成为甘蔗与玉米的再侵染源。 温度、湿度和苗龄是病害流行最重要因素。玉米出苗前最易感病。甘蔗已展开的叶难于受侵染。但蔗芽和幼嫩组织易受侵染。夜间温度21℃~26℃，低于13℃或高于31℃不能形成，夜间相对湿度86％以上或植株表明有水是孢子形成所必须的。在干燥和阳光条件下，分生孢子只能存活几小时。"	"带菌的甘蔗插条是病害距离传播的重要方式，种植未干燥的带菌玉米种子，可能传病。"	"真菌门"	"鞭毛菌亚门"	"卵菌纲"	"霜霉目"	"霜霉科"	"指霜霉属"	"云南，广西，四川，江西，台湾"	"寄主主要有玉米、甘蔗及稗属、蟋蟀草属、狗尾草属植物等。"	"Peronosclerospora sacchari (Miyake) Shaw"	"IO00017"		"玉米霜霉病"	"甘蔗指霜霉病菌"	"Sugarcane downy mildew"	"不详"	"自然界中，侵染玉米的霜指霉属真菌主要有4个种：玉米蜀黍霜指霉（P. maydias）、甘蔗霜指霉（P. sacchari）、蜀黍霜指霉（P. sorghi）及菲律宾霜指霉（P. philippinensis）。我国目前发生的玉米霜霉病主要由甘蔗霜指霉侵染引起，其症状特点是：幼苗受侵染后，全株呈淡绿色，逐渐变黄枯死；成株受侵染，多自中部叶片的基部开始发病，逐渐向上蔓延，初为淡绿色长条纹，幕后即互相融合，使叶片的下半部或全部变为淡绿色至淡黄色，以致枯死；叶鞘与苞叶发病，其症状与叶片相似。病株矮小，偶尔抽雄，一般不结苞，提早枯死。轻病株能抽雄结苞，但子粒不饱满，在潮湿条件下，病叶的褪绿条斑上长出霜霉状物。霜指霉属的全部种都专性寄生在禾本科植物上。该属真菌菌丝体无色多核，产生分生孢子而不产生孢子囊；分生孢子梗直立，单个或成双从气孔伸出，无色直立，长160~170um，基部略，宽10~15um，有足细胞，向上渐粗约为基部的2~3倍，0~2隔膜，上部双分枝2~3次。二叉状分枝，上部双分枝2~3次，孢子梗基部有脚细胞。小梗圆锥形至钻形，通常2个，但有些种3或4个。分生孢子无色，椭圆形，卵形或圆柱状，顶端圆，基部稍尖或圆，大小为25~41um×15~23um，壁组织等厚，萌发生芽管。藏卵器近圆形至圆形。卵孢子黄色，球形或近球形，直径40~50um，壁厚3.8~5um，卵孢子壁几乎完全与藏卵器壁愈合，卵孢子也以芽管萌发。分生孢子形成最适温为22℃~26℃，低于13℃或高于31℃不能形成。亦有报道15℃~23℃大量产孢，而26℃基本不产孢。夜间相对湿度86%以上或植株表面有水是孢子形成所必需的。分生孢子对干燥和阳光敏感，只能存活几小时。病菌在甘蔗上比在玉米上产生的卵孢子多且快。"	"全国农业技术推广服务中心编. 植物检疫对象手册. 中国农业出版社, 1998. 宋佐衡. 植物检疫病害—玉米霜霉病. 新农业, 1998, 3: 23. 中华人民共和国动植物检疫局，农业部植物检疫实验所编. 中国进境植物检疫有害生物选编. 中国农业出版社, 1997."
"18"					"真菌门"	"子囊菌亚门"	"半子囊菌纲"	"外囊菌目"	"外囊菌科"	"外囊菌属"	"全国"		"Taphrina deformans"	"IO00018"			"畸形外囊菌"		"欧洲"		
"19"	"防冶方法要贯彻“预防为主,综合防冶”的方针,采用农业措施,化学药剂防冶和抗病育种相结合的综合防冶措施,具体做法如下: (1)搞好麻田基本建设,创造不利发病环境,控制流水传病机会,开设排水沟、防冲刷沟和隔离沟,减少流行传播,尽量不在低洼积水地种植剑麻。 (2)培育和使用无病种苗, 不在病田采苗,种苗最好自繁自育,苗圃地不要在种过交替寄主作物或人畜车辆来往多的地方育苗,种苗要随挖、随运、随种, 不得堆积,以免发病。 (3)雨天尽量减少田间作业,在进行田间管理割叶时尽量不损伤叶片,不造成伤口。 (4)建立定期检查制度,及时发现和清除病叶、病株。每年从5—6月开始对易发病的或去年发过病的田块定期进行检查。在连续雨天或台风雨后要对全部麻田作一次全面检查,发现病叶、病株及时处理。 (5)化学药剂防冶只限于发病的田块，但效果不明显"	"叶片、麻茎、叶轴均受侵染，引起叶片坏死、茎腐和轴腐，进而导致整株死亡。此病在坦桑尼亚造成极大经济损失"			"真菌门"	"鞭毛菌亚门"	"卵菌纲"	"霜霉目"	"腐霉科"	"疫霉属"	"我国70年代后在广东、广西、海南省等植麻区相继发生"		"Phytophthora nicotianae Breda de Hann"	"IO00019"			"剑麻斑马纹病菌"	"Buckeye fruit and root rot of tomato"	"坦桑尼亚"	"烟草疫霉的纯培养菌落呈透明的绒毛状、无色、无隔膜,十分松散,在培养基中菌丝通常有突起肿大,这是该菌的形态特点之一。"	"中华人民共和国动植物检疫局和农业部植物检疫实验所，1997. 中国进境植物检疫有害生物选编. pp.496-498"
"20"	"加强检疫，防止带病苗木或接穗进入无病区。如必须从疫区引入苗木，除严格检疫，在萌芽前喷洒3—5°Be石硫合剂、1：1：160波尔多液或其他杀菌剂，或用O．5％福尔马林浸30min、5％氯酸钠浸5min后再栽植。 加强栗园管理。刨树盘，增施有机肥，合理修剪，防治其他病虫害。 育苗选用抗病砧木，嫁接抗病品种。 减少和保护伤口，在晴天嫁接和修剪，伤口涂波尔多液等保护。冬、夏季在树干涂白，尽量避免机械伤口。 生长季节在国内经常检查，小枝上发现病斑将枝剪除烧掉，主干、大枝上发现病斑应刮除。刮除方法：用刮刀将病斑及其周围0．5cm左右的好组织刮去，边缘要平滑，并呈圆弧形。刮净病组织，再涂杀菌剂，可选用5°Be石硫合剂、843康复剂或40％福美胂可湿性粉剂。 栗林中嫁接栗疫病菌的弱毒株系，抑制强毒株系的侵染"	"栗疫病在欧美各国都很严重，美国于1904－1922年有一半栗树林被毁，至1940年病害扫荡了全境的栗园。我国栗疫病发生普遍，局部地区严重，有的栗园发病率达80％以上。新嫁接的幼树常成片发病，引起树皮腐烂直至全株枯死，造成很大损失"	"病菌以菌丝、分生孢子和子囊孢子在病组织中越冬。土质好，树势旺，发病轻；土质瘠薄，根浅树弱，发病重。"	"春雨时释放大量孢子，随风雨、昆虫、鸟类传播，多从伤口侵入栗树枝干。"	"真菌门"	"子囊菌亚门"	"核菌纲"	"球壳菌目"		"栗疫属"	"河北遵化、武安，河南、北京、辽宁、山东、安徽、江苏、浙江、江西、陕西、广东、广西、湖南"	"为害板栗、锥栗和栎树。"	"Cryphonectria parasitica (Murr.) Barr"	"IO00020"		"栗干枯病、栗溃疡病、栗胴枯病"	"栗疫病菌"	"Chestnut blight"	"1904年在美国纽约首次发现"	"病菌的子囊壳黑色，有长颈，成群埋生于子座内。子囊棍棒状，无色，内含8个子囊孢子。子囊孢子椭圆形，无色，双细胞。中间分隔处稍缢缩。分生孢子器也生于子座中，形状不规则，多室，分生孢子无色，单细胞，圆筒形。"	"中华人民共和国动植物检疫局和农业部植物检疫实验所，1997. 中国进境植物检疫有害生物选编. pp.479-482； 周而勋等，1999. 果树科学, 16(1): 66-71"
"21"	"(1)注意寻找抗(耐)病品种。(2)苗床切忌连作。 (3)抓好苗床和种子消毒。对新地苗床，可用40％三唑酮多菌灵可湿粉，或50％多菌灵可湿粉拌适当细土制成毒土撒于床内(苗床用药粉5～6克／米)；育苗用的营养土尽可能用“火烧土”，使用前半个月喷淋福尔马林100倍液，塑膜密封闷10天以上，解封待药物气味彻底挥发后再装营养钵(或盘)；营养土用前还可用97％恶霉灵(土菌消)3000倍液喷淋。对种子，可用45％三唑硐福美双或40％三唑多菌灵可湿粉按种子重量的0.3%拌种，密封24～48小时播种。 (4)勿施用未充分腐熟的土杂肥，提倡用芦笋专用肥。 (5)中耕松土时尽量减少伤根。 (6)发病初期喷淋药液封锁中心病株和发病中心。对常发病区，喷淋药液应在芦笋萌发出土发病前进行。药剂可用高锰酸钾600倍液，或40％三唑酮多菌灵800～1000倍液，或TY乳油1000倍液，7～10天1次，连喷淋3～4次或更多，喷透淋足。"	"是芦笋的一种危险性病害，它常和芦笋冠腐病一起造成芦笋严重减产，老芦笋无法更新。初期仅见田间个别植株变黄后萎蔫，病情发展后全株枯死。实生苗染病，地上部变黄矮化，甚至萎凋、落叶或枯死。幼笋染病，生长细小或无法出土 本病主要侵染植株茎基部、地下茎和根部，患部表面出现棕红色病变，内部维管束变褐，病株外观变黄萎蔫，终致落叶乃至全株枯死。幼笋期染病，幼笋细小或难于出土，嫩茎染病，茎基部变褐或纵裂，拟叶凋萎。潮湿时，患部表面出现白色至粉红色薄霉层病征(病菌分生孢子梗及分生孢子)。"	"病菌是一种土壤习居菌，以厚垣孢子随病残体遗落在土壤中存活越冬。 土质粘重、排水不良、土壤过湿的植地也有利于发病。"	"通过灌溉水、雨水溅射等传播，从伤口侵入致病。"	"真菌门"	"半知菌亚门"	"丝孢纲"	"瘤痤孢目"	"瘤座菌科"	"镰孢菌属"			"Fusatium oxysporum (Schlecht.) f. sp. asparagi Cohen & Heald"	"IO00021"		"芦笋立枯病"	"芦笋枯萎病菌"		"美国"		"中华人民共和国动植物检疫局和农业部植物检疫实验所，1997. 中国进境植物检疫有害生物选编. pp.485-487； 宋君柳和吴长友，2004.农业知识, (5)."
"22"					"真菌门"	"子囊菌亚门"	"盘菌纲"	"柔膜菌目"	"明盘菌科"	"小毛盘菌属"	"内蒙古大兴安岭，黑龙江"		"Lachnellula willkommii"	"IO00022"			"落叶松癌肿病菌"	"Larch Canker"	"加拿大"		
"23"		"主要危害长白落叶松、兴安落叶松、华北落叶松、朝鲜落叶松、海林落叶松、日本落叶松。被害林木造成枯梢，重者树冠变形甚至整株枯死。"		"病原菌的自然传播主要靠雨水飞溅和风传，有效传播距离一般不超过300m，该病原菌的远距离传播主要靠调运带病植株。苗木、接穗、枝桠是直接带菌者，带有小枝梢的原木和小径木也能带菌。"	"真菌门"	"半知菌亚门"	"腔菌纲"	"格孢腔菌目"	"葡萄座腔菌科"	"葡萄座腔菌属"	"内蒙、河北、山东、山西、陕西等9省市50多市县"	"华北落叶松Larix principis-rupprechtii、长白落叶松Larix olgensis var.changpaiensis、海林落叶松Larix olgensis var. heilingensis、日本落叶松Larix kaempferi、黄花落叶松Larix olgensis、朝鲜落叶松Larix olgensis var.koreana、兴安落叶松Larix gmelini等。"	"Botryosphaeria laricina (Sawada) Shang"	"IO00023"			"落叶松枯梢病菌"	"larch die-back，larch shoot blight , larch top dry"	"日本北海道"		"赵经周等，1995.林业科技, 20(5):23-25； 汪志红和姜海燕，2000. 辽宁林业科技, 2: 22-24."
"24"	"(1) 严格实行检疫；(2) 农业防治：实行轮作换茬，停种马玲薯和茄科作物，注意拔除田间的隔生苗并销毁；选用抗病品种；按照《马玲薯产地检疫规程》建立健康种薯基地；(3) 选育和利用抗病品种；(4)药剂防治。"	"马铃薯癌肿病是世界许多国家马铃薯生产上的严重的危险性病害，为我国的重要植物检疫对象之一。危害的马铃薯薯块产生癌瘤，导致产量降低，常发区内一般减产50％。马玲薯癌肿病不仅在田间影响产量，而且冬季储藏期间在窖内也引起腐烂。病薯品质大为下降，重病薯块不堪食用，轻病情薯块也煮不烂。一旦马铃薯癌肿病菌传入某地区，该地区的所有农产品的销售可能受到影响；同时由于病菌可长期存活，许多年内将再不能安全地种植马铃薯，该地区也不能用来种植打算出口的作物。马铃薯癌肿病菌在土壤中的抗逆性强，以至于在不同的土壤条件、生态环境及无寄主"	"此病的病原菌为内生集壶菌，是一种专性寄生菌。据报道，目前世界上已鉴定出的马玲薯癌肿病病菌生理小种有8种。马铃薯癌肿病的病原菌菌体内生，不用菌丝繁殖。形成孢囊堆，被有膜的孢子囊，由孢子囊释放出游动孢子，孢子囊内有200~300个游动孢子，春季温度8℃以上，湿度充足时，癌肿病组织腐烂，越冬的休眠孢子囊在土中释放出大量单核游动孢子。游动孢子可进行再侵染或在外界条件不适时交配成结合子发育而形成游动孢子。游动孢子单鞭，使之能在土壤中移动而达到寄主细胞表面。而后游动孢子失去鞭毛进入寄主细胞。 在低温多湿、气候冷凉地区易发病，昼夜温差大利于发病。影响该病发生和流行的环境条件主要是土壤温度、湿度和酸碱度。冷凉、高湿、雾日多、阴雨日多、空气和土壤湿度大的地方有利于病害发生和流行。"	"自然传播能力非常有限。该病可通过刚被侵染的不易检测的块茎，或块茎上粘附的带菌土壤传播。休眠孢子囊经过动物消化道还具有活性，可经动物粪便传播。来自马铃薯癌肿病发生区的受害马铃薯块茎、带菌土壤或带土植株，在国际贸易中被运输而传播该病菌。"	"真菌门"	"鞭毛菌亚门"	"壶菌纲"	"壶菌目"	"集壶菌科"	"集壶菌属"	"国内已知四川、云南、贵州等省发生。"	"唯一的栽培寄主是马铃薯，某些茄科植物包括番茄能被人工接种侵染，是一种专性寄生菌。"	"Synchytrium endobioticum (Schilbersky) Percival"	"IO00024"	"我国于1975年在云南省昭通地区永善县马楠公社坪厂大队首次发现该病。"		"马铃薯癌肿病菌"	"Potato wart disease"	"匈牙利"	"冬孢子囊一般球形，厚壁，直径大约50μm（25~75μm），与土壤微粒团聚为一体，直径0.1~0.2mm。该病影响植株生长，但症状不明显。在幼芽部、茎基部可形成淡绿色癌肿组织。叶片也可受害。病菌影响块茎的形成，但不危害根部。幼嫩的块茎早期被侵染导致畸形和肿大使之不像块茎。块茎发育后期从芽眼侵染，块茎肿大，呈花椰菜状；若暴露在阳光下，开始微白或淡绿，慢慢的变黑最后腐解。整个块茎可完全被增生的癌组织所代替，匍伏茎上也可发生类似的癌肿。在贮藏期马铃薯产生的癌肿，如果在黑暗条件下，病薯块颜色和块茎表皮颜色相同。"	"CABI & EPPO主编，中国-欧洲联盟农业技术中心译. 欧洲检疫性有害生物. 中国农业出版社, 1997. 董金皋编. 农业植物病理学. 中国农业出版社, 2001. 全国农业技术推广服务中心编. 植物检疫对象手册. 中国农业出版社, 1998. 王云月，马俊红，朱有勇. 云南省马铃薯癌肿病发生现状. 云南农业大学学报, 2002, 17(4): 430-431. 中华人民共和国动植物检疫局，农业部植物检疫实验所编. 中国进境植物检疫有害生物选编. 中国农业出版社, 1997."
