"id"	"机构编号"	"规范名称"	"英文名称"	"其他名称"	"成立年份"	"机构类型"	"所在地区"	"上级单位"	"机构简介"	"英文简介"	"研究领域"	"学科分类"	"人才队伍"	"机构设置"	"科技平台"	"主要成果"	"主办期刊"	"通讯地址"	"邮政编码"	"联系电话"	"电子邮箱"	"传真"	"网址"
"11"	"49"	"四川省农业科学研究院"	"Sichuan Academy of Agricultural Science"	"四川省农科院"	"1938"	"科研机构"	"四川省成都市"	"四川省政府"	"四川省农"	"无"	"全院设有粮食和经济作物育种、种植制度、资源环境、生物技术、信息技术、家蚕、水产等50多个学科和专业。"	"S3、S4、S5、S63、S65、S66、S88、S9、SI 、TS2、S14、S15、S182、S29"	"截止20"	"全院现设"	"近年来,"	"“十一五"	"无"	"成都市锦江区静居寺路20号"	"610066"	"028-84504011"	"无"	"028-84504198"	" "
"12"	"16"	"中国人民解放军军事医学科学院军事兽医研究所"	" "	"中国农业科学院长春兽医研究所"	"1949年"	"科研机构"	"吉林省长春"	"中国人民解放军军事医学科学院"	"军事医学"	" "	"在动物病毒学、细菌学、寄生虫学、动物性食品安全、生物毒素学、兽医药理毒理学、生物安全技术与装备等领域在国内有一定优势地位。"	" "	"先后产生"	"设有中国"	"世界动物"	"建所以来"	" "	"吉林省长春市净月经济开发区"	" "	" "	" "	" "	" "
"13"	"56"	"北京市海淀区植物组织培养技术实验室"	" "	" "	"1976年"	"科研机构"	"北京市海淀区"	"北京市海淀区农林委"	"北京市海"	" "	"植物组织培养;;生物技术育种"	"S33"	"现有科技"	" "	"有现代化"	"曾承担国"	" "	"北京市海淀区颐和园新建宫门东甲3号"	"100091"	"010-62887699"	"fenghuang1975@sina.com"	" "	" "
"14"	"31"	"中国科学院水土保持研究所"	"Institute of Soil and Water Conservation, CAS &MWR"	" "	"1956年"	"科研机构"	"陕西杨凌"	"中国科学院"	"中国科学"	" "	"水土保持研究所以黄土高原为重点，面向全国，针对水土流失区资源环境与可持续发展的重大理论与关键技术问题开展研究，为国家水土保持与生态建设宏观决策提供理论依据、配套技术和实体样板；形成了以水土保持为主导学科，以土壤学、生态学和农业工程学有关领域为支撑的总体学科框架；确立了在国家水土保持科技方面的中心地位，发挥了在水土保持科技发展方面的引领作用。"	" "	"全所现有"	" "	"设有黄土"	"五十年来"	"《水土保"	"陕西杨凌西农路26号"	"712100"	"029-87012411"	"webmaster@ms.iswc.ac.cn"	"029-87012210"	" "
"15"	"14"	"农业部食物与营养发展研究所 "	"Institute of Food and Nutrition Development, Ministry of Agriculture"	" "	"2012"	"科研机构"	"北京市海淀区"	" "	"农业部食"	" "	"食品科学、食物营养、农业经济、食物安全。"	" "	"核定财政"	"下设5个"	" "	" "	" "	"北京市海淀区中关村南大街12号"	"100081"	"010-82105179"	" "	" "	" "
"16"	"46"	"北京市丰台区农村合作经济经营管理站"	" "	" "	" "	"其他"	"北京市丰台区"	"丰台区人民政府"	"北京市丰"	" "	"农村经济;;经济管理"	"F32"	" "	"区经管站"	" "	" "	" "	" "	" "	"010-63812848"	" "	" "	" "
"17"	"206"	"农产品流通与营销研究中心"	" "	" "	" "	"科研机构"	"北京市海淀区"	"中国农业大学经济管理学院"	"农产品流"	"F323"	"农产品流通模式与流通政策;;市场营销、服务营销与品牌管理;;批发市场建设与质量安全监管;;食品系统与供应链管理;;国际农产品市场营销;;农村流通体系建设"	"F3"	"中心设主"	" "	" "	"本中心研"	" "	"北京海淀区清华东路17号45信箱"	"100083"	"010-62738562"	"ncpltyyx@126.com"	" "	" "
"18"	"33"	"房山区种植业服务中心"	" "	" "	"2002年"	"科研机构"	"北京市房山区"	"北京市房山区人民政府"	"房山区种"	" "	"种植业"	"S3"	"区种植业"	"设有：党"	"固定资产"	" "	" "	"北京市房山区良乡西路24号"	"102488"	" "	" "	" "	" "
"19"	"32"	"四川省畜牧科学研究院"	"Sichuan Animal Science Academy"	"四川畜牧科学院；
四川畜牧兽医研究所；
四川农业科学院畜牧兽医研究所；
SASA"	"1963"	"科研机构"	"四川省成都市锦江区"	"四川省畜牧食品局"	"四川省畜"	"无"	"在遗传育种、生物技术、饲料营养、疫病防控、健康养殖、生产系统等领域开展畜牧兽医新技术、新产品研究"	"S81普通畜牧学
S85动物医学（兽医学）"	"2010"	"四川省畜"	"研究院设"	"七十余年"	"四川畜牧"	"四川省成都市锦江区牛沙路7号"	"610066"	"028-84511382"	"wgzx@sasa.cn?"	"028-84517051"	" "
"20"	"25"	"中国科学院生态环境研究中心"	"Research Center for Eco-Environment Sciences,Chinese Academy of Sciences"	"生态环境中心"	"1975年"	"科研机构"	"北京市海淀区"	"中国科学院"	"中国科学"	" "	" "	" "	"现有在职"	"现设有9"	" "	" "	"中心负责"	"北京市海淀区双清路18号"	"100085"	" "	" "	" "	" "
"21"	"43"	"四川省蚕业管理总站"	"无"	"省蚕业管理总站"	"1978"	"事业机构"	"四川省成都市武侯区"	"四川省农业厅"	"四川省蚕"	"无"	"蚕桑、蚕种及蚕需物资的行政管理、行业规划和科技推广；负责全省蚕种统一检验、检疫和蚕种质量监督管理;负责全省蚕品种资源和蚕品种审定管理"	"S88蚕桑"	"四川省蚕"	"四川省蚕"	"无"	"无"	"无"	"四川省成都市永丰路12号"	"610041"	"028-85182983"	"sccy8899@163.com"	"028-85182835"	" "
"22"	"212"	"北京种子协会"	"BEIJING SEED ASSOCIATION"	"英文缩写BSA"	"2004年"	"学协会组织"	"北京市海淀区"	"北京市农业局"	"北京种子"	" "	"种子科学"	"S32"	"现有团体"	" "	" "	" "	" "	"北京市海淀区北太平庄路15号"	"100088"	"010--62056476"	"beijingsa@bjseed.org"	"010--62056476"	" "
"23"	"54"	"四川省农业科学院农产品加工所"	"Agro-Food Science & Technology Research Institute"	"四川省农科院加工研究所；四川省农科院加工所"	"2009"	"科研机构"	"四川省成都市锦江区"	"四川省农业科学院"	"四川省农"	"无"	"主要开展果蔬贮藏保鲜、果蔬鲜切产品加工和质量控制、优质粮油、薯类精深加工、农副产物综合利用和功能食（药）品的开发、利用、技术工艺升级、科技转化、科技咨询、服务，以及农产品加工质量安全控制和相关标准的研究制定等工作。"	"TS216 食品安全与卫生，TS29 食品工业副产品加工与利用"	"全所现有"	"全所内设"	"科研服务"	"近年来，"	"无"	"成都市锦江区静居寺路20号"	"610066"	"028-84504628"	"无"	"028-84504628"	" "
"24"	"7"	"湖南农业大学"	"HUNAN AGRICULTURAL UNIVERSITY"	" "	"1903"	"高等院校"	"湖南省长沙市"	"教育部"	"湖南农业"	" "	"农、工、文、理、经、管、法、医、教、艺术"	" "	"截至20"	"截至20"	"截至20"	"截至20"	" "	"长沙市芙蓉区农大路1号"	"410128"	" "	"xld@hunau.net"	" "	" "
"25"	"7"	"中国农业科学院饲料研究所"	"Feed Research Institute Chinese Academy of Agricultural Sciences"	"中国农科院饲料所;;FRI-CAAS"	"1991"	"科研机构"	"北京市海淀区"	"中国农业科学院"	"中国农业"	" "	"畜牧、动物营养与饲料、水产动物营养与饲料、饲料学、饲料生物技术、应用微生物、畜牧业经济、质量检测。"	" "	"现有在职"	"下设12"	"饲料研究"	"“九五”"	"2006"	"北京市海淀区中关村南大街12号"	"100081"	"010-82109814"	" "	" "	" "
"26"	"131"	"中国草学会"	"Chinese Grassland Society"	"中国草原学会"	"1979年"	"学协会组织"	"北京市海淀区"	"中国科学技术协会"	"中国草学"	" "	"草原学;;草地学;;牧草"	"S812;;S54"	"目前有会"	"学会常设"	" "	" "	"学会主办"	"北京市海淀区圆明园西路2号"	"100193"	"010-62732799,62731666"	" "	"010-62732799"	" "
"27"	"55"	"四川省农业科学院茶叶研究所"	"Agro-Food Science & Technology Research Institute,Sichuan Academy of Agricultural Sciences"	"四川省农科院茶叶研究所；四川省农科院茶叶所"	"1951"	"科研机构"	"四川省成都市锦江区"	"四川省农业科学院"	"四川省农"	"无"	"主要从事茶树育种、栽培、植保、茶叶加工、生理生化、新产品开发及茶叶经济等方面研究，以茶叶应用和开发研究为主，同时有重点地开展茶学基础理论研究。"	"S571 茶类，S435 茶病虫害"	"现有人员"	"全所内设"	"拥有一个"	"五年来，"	"无"	"成都市锦江区静居寺路20号"	"610066"	"028-84504436"	"无"	"无"	" "
"28"	"2"	"福建省农业科学院"	"Fujian Academy of Agricultural Sciences"	" "	"1960"	"科研机构"	"福建省福州市"	"福建省人民政府"	"福建省农"	"Fuji"	"福建省农业科学院坚持以应用研究和开发研究为主，适当开展基础研究，建立了作物育种、园艺科学、农业微生物、农业生态、动物传染病、基础生物学、植物保护、农产品加工、农村区域经济、食用菌等10个创新团队，着力提高科技创新能力。在水稻育种（超级稻、转基因水稻）、果树育种（枇杷、龙眼）、畜禽疫苗（番鸭细小病毒病）、水产病害（欧鳗小瓜虫）、生物农药（生物杀菌剂-ANTI8098A和生物杀虫剂-BtA）、植物病虫防治（捕食螨、柑桔黄龙病）、农业生态（红萍资源）等方面研究居世界先进水平。"	" "	"在职职工"	"机关处室"	"拥有国家"	"1978"	"福建农业"	"福建省福州市鼓楼区五四路247号"	"350003"	"0591-87884606"	"webmaster@faas.cn"	" "	" "
"29"	"108"	"农业部农村社会事业发展中心"	" "	"农业部乡镇企业发展中心"	" "	"科研机构"	"北京市朝阳区"	"农业部"	"农业部农"	" "	"农业企业组织与管理;;休闲农业"	"F32"	" "	"中心下设"	" "	" "	"编辑出版"	"北京市朝阳区东三环南路96号农丰大厦"	"100122"	"010-59199659"	"xqbgs@agri.gov.cn"	" "	" "
"30"	"63"	"浙江万里学院"	"Zhejiang Wanli University"	"宁波市农业学校，浙江农业大学宁波分校，浙江农村技术师范专科学校"	"1950"	"高等院校"	"浙江省宁波市"	" "	"浙江万里"	" "	"水生生物学、水产种质资源与遗传育种、海洋环境生物修复、水产微生物及养殖病害、园林与果蔬栽培、植物种质资源与良种培育、食品科学、农产品加工与质量安全控制、农业经济管理"	"S9"	"学校专任"	"设有商学"	"2个浙江"	" "	" "	"浙江省宁波市钱湖南路8号"	"315100"	"0574-88222222"	" "	" "	" "
"31"	"3"	"扬州大学"	"Yangzhou University"	" "	"1992"	"高等院校"	"江苏省扬州市"	"教育部"	"扬州大学"	" "	"哲学、经济学、法学、教育学、文学、历史学、理学、工学、农学、医学、管理学、艺术学等12大学科门类"	" "	"学校现有"	"扬州大学"	"教育部重"	"截至20"	"1997"	"江苏省扬州市大学南路 88 号"	"225009"	"86-514-87971858"	" "	"(0086)-514-87311374　"	" "
"32"	"141"	"中国农业大学土地利用与管理研究中心"	" "	" "	"2006年"	"科研机构"	"北京市海淀区"	"中国农业大学"	"中国农业"	" "	"土地管理、规划及利用;;农田水利"	"F30;;S27"	"中心现有"	" "	" "	"中心重点"	" "	"北京市海淀区圆明园西路2号"	"100193"	"010-62733752"	" "	" "	" "
"33"	"52"	"北京市丰台区农林机械技术推广站"	" "	" "	" "	"科研机构"	"北京市丰台区"	"丰台区农委"	"认真贯彻"	" "	"农业机械及家具"	"S22"	" "	" "	" "	" "	" "	"北京市丰台区丰台镇东安街3条6号"	"100071"	"010-63837681"	" "	" "	" "
"34"	"39"	"四川省畜科饲料有限公司"	"Sichuan Animtech Feed Co.,Ltd."	"畜科，ANIMTECH"	"1985"	"公司企业"	"四川省成都市锦江区"	"无"	"四川省畜"	"无"	"蓄科一方面进行大量的基础性研究，包括猪的营养需求和原料、猪的地方品种调查和培育猪种，以及地方原料营养成分评定等；另一方面引进新产品，进行大量应用研究工作"	"S81普通畜牧学，S82家畜"	"四川省畜"	"四川省畜"	"3000"	"拥有二十"	"无"	"成都市二环路东四段牛沙路7号"	"610066"	"（028）84520249 84511614 84557938 84510388"	"animtech@mail.sc.cninfo.net"	"（028）84514210 84513407"	" "
"35"	"202"	"中国农业大学经济管理学院"	"College of Economics & Management"	"缩写CEM"	"1927年"	"高等院校"	"北京市海淀区"	"中国农业大学"	"中国农业"	"Chin"	"农业经济"	"F3"	"学院现有"	"学院设有"	"学院拥有"	"2010"	" "	"北京市海淀区清华东路17号"	"100083"	"010-62736564"	" "	"010-62737830"	" "
"36"	"217"	"延庆县果品服务中心"	" "	" "	"1985年"	"科研机构"	"北京市延庆县"	"北京市延庆县人民政府"	"延庆县果"	" "	"果树园艺"	"S66"	"现有职工"	"果品服务"	" "	" "	" "	"北京市延庆县京张路口南加油站东"	"102100"	"010-51057969"	" "	" "	" "
"37"	"14"	"北京农学院园林学院"	" "	" "	" "	"高等院校"	"北京市昌平区"	"北京农学院"	"园林学院"	" "	"林学;;风景园林;;园林植物;;观赏园艺"	"S68;;S7"	"园林学院"	"学院下属"	"设有一个"	"承担多项"	" "	"北京市昌平区回龙观镇北农路7号"	"102206"	"010-80799157"	" "	" "	" "
"38"	"9"	"北京市农林科学院北京农业信息技术研究中心"	"Bejing Research Center for Information Technology in Agriculture"	"国家农业信息化工程技术研究中心;;NERCITA;;北京市农林科学院农业信息技术研究中心"	"2000年"	"科研机构"	"北京市海淀区"	"北京市农林科学院"	"北京农业"	"The "	"农业智能信息处理技术;;农业遥感技术与地理信息系统;;精准农业与智能装备技术;;农业生物环境控制工程与自动化技术;;农产品安全快速检测与农田环境质量监测技术"	"SI2"	"现有研究"	"中心由北"	"中心实验"	"中心在农"	" "	"北京市海淀区曙光花园中路11号北京农科大厦3层"	"100097"	"010-51503423"	"office@nercita.org.cn"	"010-51503750"	" "
"39"	"26"	"天津市农业科学院"	"TIANJIN ACADEMY OF AGRICULTURAL SCIENCES"	"天津农科院"	"1979年"	"科研机构"	"天津市南开区"	"天津市农业局"	"天津市农"	" "	" "	" "	"全院在职"	"院下设黄"	"建有1个"	"建院来共"	" "	"天津市南开区白堤路268号"	"300192"	"86-22-23678666"	" "	" "	" "
"40"	"83"	"北京土地学会"	"BEIJING LAND SCIENCE SOCIETY"	"英文缩写BLSS"	"2002年"	"学协会组织"	"北京市东城区"	"北京市国土资源局"	"北京土地"	" "	"从事土地管理、土地科技、土地经济理论研究和土地开发经营"	"F321"	" "	"学会经批"	" "	" "	"学会主办"	"北京市东城区和平里北街2号（北京市国土资源局办公大楼七层）"	"100013"	"010-64409581"	"jiangqiao44@vip.163.com"	"010-64409584"	" "
"41"	"219"	"延庆县畜牧服务中心"	" "	" "	" "	"科研机构"	"北京市延庆县"	"北京市延庆县人民政府"	"中心职能"	" "	"畜牧学;;动物医学"	"S8"	"现有干部"	"由办公室"	" "	" "	" "	"北京市延庆县城内城隍庙街2号"	"102100"	" "	" "	" "	" "
"42"	"38"	"江苏省农科院里下河地区农业科学研究所"	" "	" "	"1984"	"科研机构"	"江苏扬州"	"江苏省农科院和扬州市委、市政府"	"江苏里下"	" "	"水稻、小麦、经济作物、生物农药、资源与环境、植物保护、核技术"	" "	"目前拥有"	"现设有水"	"先后承建"	"在农作物"	" "	"江苏扬州扬子江北路568号"	"225007"	"0514-87633766"	" "	" "	" "
"43"	"151"	"中国农业大学园艺植物研究所"	" "	"北京市果树逆境生理与分子生物学实验室"	"1982年"	"科研机构"	"北京市海淀区"	"中国农业大学"	"中国农业"	" "	"果树分子生物学和植物生理学"	"S66"	"现有教授"	"“重点实"	" "	"实验室承"	" "	"北京市海淀区圆明园西路2号"	"100193"	"010-62731447"	"wangyi@cau.edu.cn"	" "	" "
"44"	"198"	"农业虫害鼠害综合治理研究国家重点实验室"	"State Key Laboratory of Integrated Management of Pest Inescts and Rodents"	" "	"1991年"	"科研机构"	"北京市朝阳区"	"中国科学院动物研究所"	"农业虫害"	"? Or"	"植物虫害、鼠害"	"S433;;S44"	"实验室坚"	" "	"实验室目"	"近2年来"	" "	"北京市朝阳区北辰西路1号中科院动物所108#"	"100101"	"010-64807068"	"ipmlab@ioz.ac.cn"	"010-64807099"	" "
"45"	"37"	"四川省林业调查规划院"	"Sichuan Forestry Inventory and Planning Institute"	"省林业调查规划院"	"1956"	"科研机构（设计咨询公益性事业单位）"	"四川省成都市金牛区"	"四川省林业厅"	"四川省林"	"无"	"承担全省森林资源、沙化、荒漠化、石漠化、生态环境调查与监测工作；为全省林业发展、生态建设、重点工程及林区基础设施的规划、勘察、设计、咨询、检查验收等提供服务；组织林业监测新技术的试验和推广，提供全省林业调查规划、监测等行业技术指导和管理；承担全省林业、生态数据库及信息档案的建设与管理工作。"	"S71林业基础科学，S77森林工程、林业机械，SI2农业信息技术，SI3农业信息管理"	"四川省林"	"四川省林"	"四川省林"	"四川省林"	"四川省林"	"四川省成都市人民北路一段14号"	"610081"	"028-83175928"	"无"	"028-83175928"	" "
"46"	"12"	"东北林业大学"	"Northeast Forestry University (NEFU)"	" "	"1952年"	"高等院校"	"黑龙江哈尔滨"	"教育部直属、教育部与国家林业局共建、教育部与黑龙江省人民政府共建"	"东北林业"	"Foun"	"以林业工程为特色，农、理、工、经、管、文、法、医、艺相结合的多科性大学。"	" "	"现设有研"	"现设有研"	"校拥有优"	"学校连续"	" "	"黑龙江省哈尔滨市香坊区和兴路26号"	"150040"	"(0451)82190015"	" "	" "	" "
"47"	"47"	"成都市农林科学院园艺所"	"无"	"成都市农林科学院园艺所研究，市农科院园艺所，市农科院园艺研究所"	"1959"	"科研机构"	"四川省成都市青羊区"	"成都市农林科学院"	"成都市农"	"无"	"从事蔬菜及园艺作物的新品种（引）选育及相关配套技术的研究与应用"	"S03农业科学技术研究、试验，S3农学(农艺学)，S63蔬菜园艺"	"成都市农"	"挂靠在成"	"无"	"先后承担"	"无"	"中国四川 成都市 百卉路5号"	"610072"	"028--82715922"	"无"	"无"	" "
"48"	"6"	"中国水产科学院黑龙江水产研究所"	"Heilongjiang Fisheries Research Institute, Chinese Academy Of Fishery Sciences"	"中国水科院黑龙江所"	"1950"	"科研机构"	"哈尔滨市道里区"	"中国水产科学院"	"黑龙江水"	"Foun"	"鱼类增养殖、遗传育种、水产生物技术、渔业资源和渔业环境保护方面"	"水产养殖技术学科、水产遗传育种学科、水产生物技术学科、渔业资源保护及利用学科和渔业生态环境与水产品质量安全学科"	"在职职工"	"作物科学"	" "	"先后承担"	"《水产学"	"黑龙江省哈尔滨市道里区松发街43号"	"150070"	"0451-84861626"	"chfish1@163.com"	"0451-84604803"	" "
"49"	"93"	"农业部规划设计研究院农业工程科技信息中心"	" "	"农业部规划设计研究院科技信息中心"	" "	"科研机构"	"北京市朝阳区"	"农业部规划设计研究院"	"农业部规"	" "	"农业工程科技信息服务"	"S2"	"中心现有"	"中心下设"	" "	" "	"负责出版"	"北京市朝阳区麦子店街41号"	"100125"	"010-65929450"	"guanxiaod@yahoo.com.cn"	" "	" "
"50"	"49"	"北京市丰台区渔政监督管理站"	" "	" "	" "	"其他"	"北京市丰台区"	"丰台区农委"	"在丰台辖"	" "	"水产、渔业"	"S9"	" "	" "	" "	" "	" "	"北京市丰台区程庄子69号"	"100166"	"010-83655979-3"	" "	" "	" "
"51"	"42"	"北京市房山区水产技术推广站"	" "	" "	" "	"科研机构"	"北京市房山区"	"房山区畜牧水产服务中心"	"主要职责"	" "	"水产养殖技术"	"S96"	" "	" "	" "	" "	" "	"北京市房山区城关镇北关环岛北冷库平房"	"102400"	"010-89336768"	" "	" "	" "
"52"	"32"	"中国工程院"	"CHINESE ACADEMY OF ENGINEERING"	" "	"1994年"	"科研机构"	"北京市西城区"	"中华人民共和国国务院"	"中国工程"	" "	" "	" "	" "	"中国工程"	" "	"　发挥院"	" "	"北京市西城区冰窖口胡同2号"	"100088"	"8610-59300000?"	"bgt@cae.cn"	"8610-59300001"	" "
"53"	"159"	"中国农业机械化科学研究院生物质能工程技术研究中心"	" "	"中国农机院生物质能中心;;可再生能源与环境研究所"	" "	"科研机构"	"北京市朝阳区"	"中国农业机械化科学研究院"	"中国农业"	" "	"农村能源"	"S21"	" "	" "	" "	" "	" "	"北京市朝阳区德胜门外北沙滩一号"	"100083"	"010-64883938,64883335"	" "	"010-64866891"	" "
"54"	"10"	"北京市农林科学院玉米研究中心"	" "	" "	"1997年"	"科研机构"	"北京市海淀区"	"北京市农林科学院"	"北京市农"	" "	"玉米种质创新;;新品种选育;;示范推广;;良种良法配套及生产技术"	"S51"	"中心现有"	"中心下设"	"拥有AB"	"2000"	" "	"北京市海淀区曙光花园中路9号"	"100097"	"010-51503404"	"maizezhao@126.com"	"010-51503404"	" "
"55"	"15"	"中国农业科学院农田灌溉研究所"	"Farmland Irrigation Research Institute "	" "	"1959"	"科研机构"	"河南省新乡市"	"中国农业科学院"	"中国农业"	"The "	"农业工程、农业水土工程、水资源利用、节水农业、水利经济、质量检测。"	" "	"现有在职"	"下设6个"	"1个水利"	" "	" "	"河南省新乡市宏力大道380号"	"453003"	"0373-3393354"	"ggszhc@163.com  "	" "	" "
"56"	"97"	"农业部科技发展中心"	" "	"农业部专利事务所;;农业部科技与专利开发服务中心"	" "	"其他"	"北京市朝阳区"	"农业部"	"农业部科"	" "	"农业科研管理"	"S036"	"编制68"	" "	" "	" "	" "	"北京市朝阳区东三环南路96号农丰大厦"	"100122"	"010-59199373"	" "	"010-59199374"	" "
"57"	"5"	"北京兰中农商技术开发中心"	" "	" "	"1998年"	"公司企业"	"北京市海淀区"	" "	"宗旨是为"	" "	"花卉园艺"	"S68"	" "	" "	" "	" "	" "	"北京市海淀区清河四街南口一号"	"100008"	"010-62841923"	"yuanxy@public2.east.net.cn"	"010-62936317"	" "
"58"	"91"	"农业部规划设计研究院农村能源与环保研究所"	" "	"农业部规划设计研究院能源环保研究所"	" "	"科研机构"	"北京市朝阳区"	"农业部规划设计研究院"	"农村能源"	" "	"从事农村可再生能源与农业生态环境保护技术研究"	"S21;;S19"	"目前，该"	"该所下设"	"目前，已"	"多年来，"	" "	"北京市朝阳区麦子店街41号"	"100125"	"010-65910066"	" "	"010-65005388"	" "
"59"	"38"	"四川省林产工业协会"	"无"	"省林产工业协会，四川省林业产业联合会"	"2007"	"社会团体"	"四川省成都市锦江区"	"四川省林业厅"	"四川省林"	"无"	"为会员企业搭建信息平台，搞好行业信息的收集、整理、分析和发布。"	"SI24农业管理信息系统，SI31信息与知识传播"	"林产工业"	"四川省林"	"无"	"省林产工"	"无"	"四川省成都市东华正街42号四川广电国际大厦27层A、B区"	"610020"	"028- 83221891,028-83231802"	"lcgyxh@126.com"	"028-83281322"	" "
"60"	"112"	"全国水产技术推广总站"	" "	" "	"1990年"	"科研机构"	"北京市朝阳区"	"农业部"	"全国水产"	" "	"水产、渔业"	"S9"	"编制核定"	"总站内设"	" "	"池塘养殖"	"负责《中"	"北京市朝阳区麦子店街18号"	"100125"	" "	" "	" "	" "
"61"	"34"	"房山区农业环境和生产监测站"	" "	" "	" "	"科研机构"	"北京市房山区"	"房山区种植业服务中心"	"职能介绍"	" "	"农业生产环境保护"	"S19"	" "	" "	" "	" "	" "	"北京市房山区良乡西路24号"	"102488"	" "	" "	" "	" "
