"id"	"发生与危害"	"地理分布"	"纲"	"目"	"科"	"属"	"中文名"	"综合治理策略"	"形态特征"	"相关文献"	"拉丁学名"	"记录号"	"别名"	"图片"
"11"	"多年生沉水性草本。花期6～7月份，果期8～9月份。以休眠的顶芽越冬，种子繁殖。常在水层较深、长期浸水的水稻田中危害，在藕田和菱塘中也有生长。"	"全国各地都有分布"	"双子叶植物纲"	"金鱼藻目"	"金鱼藻科"	"金鱼藻属"	"金鱼藻"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"成株   茎细长，平滑，长20～40厘米。叶常4—12片轮生，通常为l～2回二叉状分歧裂片丝状线形或线形，稍脆硬，边缘仅一侧散生刺状细齿。 花和子实   花小，单性，常1～3朵生于节部叶腋，下有极短的花梗，雄花具12枚，先端有3齿并带紫色毛的萼片，雌花萼片线形，9～10个；雄花有多数雄蕊，花药外向，药隔附属体顶端有2个短刺尖；雌花有1个雌蕊，花柱钻状。坚果椭圆状卵形或椭圆形，黑色。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Ceratophyllum demersum L．"	"pw00011"	"细草、软草"	"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/金鱼藻.jpg"
"12"	"一年生或二年生草本。花期3～5月份，果期5～8月份。种子繁殖。适生于沟边、河边及平原湿地。为水田、菜地及路埂常见杂草，发生量较大，危害较重。"	"全国各地均有发生"	"双子叶植物纲"	"毛茛目"	"毛茛科"	"毛茛属"	"石龙芮"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗    子叶近圆形或阔卵形，无明显叶脉，有短柄；下胚轴较短，初生叶掌状3浅裂，无明显叶脉，有长柄。全株光滑无毛。 成株    须根簇生。茎直立，高10～50厘米，无毛，上部多分枝，下部节上有时生不定根。叶片肾状圆形至卵形，上部叶较小，近无柄，3深裂至全裂，裂片披针形至线形。 花和子实   聚伞花序有多数花，花直径4～8毫米；萼片椭圆形，花瓣5枚，黄色，倒卵形，与萼片几等长，基部蜜腺呈窝状；花托在果期伸长增大呈圆柱形，生短柔毛。聚合果长圆形；瘦果紧密排列，倒卵球形，稍扁，无毛，两侧有皱纹，顶端有短喙。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Ranunculus sceleratus L．"	"pw00012"		"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/石龙芮.jpg"
"13"	"一年生或二年生草本。花期4～6月份，果期7～9月份。种子繁殖。适生水边湿地，亦能耐干旱。常见于沟边、河岸、水稻田边及荒地、路旁；为水浇旱作物地杂草，有轻度危害。"	"东北、华中、华南以及河北、山西、山东、安徽、江苏、浙江、台湾、江西、云南等地区均有发生。"	"双子叶植物纲"	"白花菜目"	"十字花科"	"蔊菜属"	"球果蔊菜"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗     子叶椭圆形，先端钝圆，有短柄，光滑。初生叶椭圆形，先端锐尖，叶缘有稀疏小牙齿，有柄，叶上面及叶柄被短毛。下胚轴较发达。 成株    株高25～80厘米，茎直立，有分枝，基部木质化，下部有毛，上部光滑无毛。叶长圆形或倒卵状披针形，先端渐尖，基部渐狭，下延成短耳状而半抱茎，边缘呈不整齐齿裂，无毛。 花和子实     总状花序顶生，花黄色，萼片卵形，花瓣倒卵形。短角果，球形，无毛，先端具短喙；种子细小，卵形，淡绿色，一端微凹，表面有纵沟。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Rorippa globosa(Turcz．)Hayek—Nasturium globosum Turcz"	"pw00013"	"风花菜、银条菜"	"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/球果蔊菜.jpg"
"14"	"一年生草本。夏秋时开花。种子繁殖。生于湿地或稻田。为稻田杂草，局部地区有中度危害。"	"云南，华南、华东至秦岭各省均有发生。"	"双子叶植物纲"	"桃金娘目"	"千屈菜科"	"水苋菜属"	"水苋菜"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗    下胚轴较发达，上胚轴很发达，四棱形。子叶梨形，有短柄。初生叶对生，卵状披针形，先端渐尖，叶基阔楔形，有叶柄。后生  叶与初生叶相似。全株光滑无毛。 成株    植株高7～30厘米，无毛。茎有4棱，多分枝。叶对生，线状披针形、倒披针形或狭倒卵形，长1．5～5厘米，叶基渐狭成短柄或无柄。 花和子实     聚伞花序腋生，有短梗，花密集。苞片小，钻形；花萼钟状，长约l毫米，有4齿，成正三角形；无花瓣；雄蕊4枚，稍短于花萼。蒴果球形，紫红色，在中部以上不规则的开裂。种子极小，三角形。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Ammannia  baccifera  L．"	"pw00014"		"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/水苋菜.jpg"
"15"	"一年生草本。9～10月份开花。种子繁殖。生于湿地或稻田。为稻田杂草，有中度危害。"	"华东普遍生长，华南，台湾均有发生。"	"双子叶植物纲"	"桃金娘目"	"千屈菜科"	"多花水苋属"	"多花水苋"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"成株    植株高8～35厘米，光滑无毛。茎有4棱，多分枝。叶对生，线状披针形，长1．8～3．5厘米，近无柄，基部戟状耳形。 花和子实     聚伞花序腋生，长4—8毫米，有细总花梗；苞片和小苞片极小，钻形；花萼钟状，有4萼齿，钻形；花瓣紫色，4片，倒卵形。蒴果球形，不规则开裂。种子极小，三角形。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Ammannia multiflora  Roxb"	"pw00015"		"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/多花水苋.jpg"
"16"	"一年生草本。花期为11月份至第2年2月份。种子繁殖。常生于湿地上。为稻田杂草，常成片生长，部分稻田有一定程度的危害。"	"贵州、广东、广西、海南和台湾等地区均有发生。"	"双子叶植物纲"	"桃金娘目"	"千屈菜科"	"水苋属"	"密花水苋"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗   子叶线状椭圆形，第1～2叶长椭圆形，表面光滑。 成株     茎高7～10厘米，基部常伏地，多分枝，有时可达20厘米而少分枝。叶对生，无柄，椭圆状长圆形或披针形，茎生叶长约12毫米，枝梢或小枝生叶长约5毫米，顶端钝或急尖，基部阔。 花和子实    花无梗，单生于叶腋内，通常密集；小苞片毛状，约与花萼等长；萼于果期半球形，附属体刚毛状；花瓣极小，狭长圆形，急尖；花柱与柱头近等长。蒴果半球形，3裂；种子甚小，倒卵形，淡黄色。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Rotala  densiflora(Roth)Koehne—Ammannia densiflora  Roth"	"pw00016"		"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/密花水苋.jpg"
"17"	"一年生矮小草本。苗期5～8月份，花果期8～11月份。种子繁殖。适生水田或湿地上。为稻田危害较为严重的杂草。双季稻区，以晚稻田危害最为严重。发生重的田块，密生呈毡状。"	"秦岭、淮河一线以南地区有发生"	"双子叶植物纲"	"桃金娘目"	"千屈菜科"	"节节菜属"	"节节菜"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗   子叶匙状椭圆形，先端钝圆，全缘，下胚轴粗短，带紫红色，上胚轴不发达，胚轴横切面呈圆形。初生叶对生，匙状长椭圆形，无柄；第1对后生叶与初生相似，第2对后生叶阔椭圆形。 成株    株高5～15厘米，有分枝；茎略呈四棱形，光滑，略带紫红色，基部着生不定根。叶对生，无柄；叶片倒卵形、椭圆形或近匙状长圆形，叶缘有软骨质狭边。 花和子实    花成腋生的穗状花序，长6～12毫米；苞片倒卵状长圆形，叶状，小苞片2，狭披针形；花萼钟状，膜质透明，4龄裂，宿存；花瓣4片，淡红色，极小，短于萼齿；雄蕊4枚，与萼管等长；子房上位，长约2毫米。花柱线形，长约为子房的一半或近相等。蒴果椭圆形，长约1．5毫米，表面具横条纹，2瓣裂。种子极细小，狭卵形，褐色。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Rotala indica(Willd．)Koehne"	"pw00017"		"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/节节菜.jpg"
"18"	"一年生草本。种子繁殖。适生于水田或湿地。为水田杂草，在广东、福建等省的部分稻田常成片发生，危害比较严重。"	"长江以南各省均有发生"	"双子叶植物纲"	"桃金娘目"	"千屈菜科"	"节节菜属"	"圆叶节节菜"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗   全株肉质，无毛，下胚轴不发达，叶对生，全缘，长卵形、无柄。茎基现紫红色。 成株   植株高10～30厘米，茎上无毛，常为紫色。叶对生，近圆形，边缘无软骨质的边，无毛，近无柄。 花和子实    花小，长1．5～2．5毫米，两性，穗状花序，顶生；苞片卵形，与花近等长，小苞片钻形；花萼钟形，膜质，半透明，顶端有4齿；花瓣4枚，倒卵形，淡紫色，雄蕊4枚；子房上位。蒴果椭圆形，表面有横线纹。种子无翅。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Rotala rotundifolia (Buch．-Ham．)Koehne"	"pw00018"		"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/圆叶节节菜.jpg"
"19"	"一年生水生草本。秋季开花结果，生于湖沼、池塘中。种子繁殖，次年5月萌发，伸出水面。喜生于静水塘中，为一般性杂草。"	"东北至长江流域。"	"双子叶植物纲"	"桃金娘目"	"菱科"	"菱属"	"细果野菱"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"成株    浮水叶聚生茎顶，最上的对生成莲座状，漂浮水面，叶片菱状三角形，长宽各2～3厘米，边缘牙齿状，正面绿色有光，背面紫色；叶柄长中部膨胀成宽约4毫米的海绵质气囊，无毛。沉水叶细裂如丝，羽毛状，淡绿色。 花和子实    花白色，单生叶腋，出水面，花梗长约1．5厘米，花萼4深裂，基部有毛，花瓣4枚。果实坚果三角形，宽约1厘米，两侧各有1长约1厘米的硬刺状角，前后各有1向下倾的角，长约5毫米。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Trapa maximowiczii Korsh"	"pw00019"	"小果菱、野菱果"	"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/细果野菱.jpg"
"20"	"多年生水生草本。根状茎横走泥中或浮水面，生活力强，生长迅速。种子及根状茎繁殖。常生于水田、浅水池塘或沟溪中，沟渠边湿地也有生长；主要危害水稻生长，局部地区危害较重。"	"长江以南各省区均有发生"	"双子叶植物纲"	"桃金娘目"	"柳叶菜科"	"水龙属"	"水龙"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗    子叶阔卵形，先端钝，有微凹，全缘，基部宽楔形，有柄；下胚轴不发达，上胚轴很发达；初生叶对生，倒卵形，先端钝，微凹；后生叶惟先端不凹。 成株    根状茎浮水面或匍匐状，长2～3米，节上生根，浮水茎之节上常有圆柱状白色囊状浮器，即呼吸根；上升茎高30厘米。叶互生，长圆状倒披针形至倒卵形，先端钝或圆，基部渐狭成柄。 花和子实    花两性，单生于叶腋，白色，基部淡黄色，有梗，在花梗与子房相接处常有2枚鳞片状小苞片；萼筒与子房贴生；萼裂片5裂，披针形，外被疏柔毛；花瓣5枚，倒卵形；柱头头状，膨大。蒴果圆柱形，种子数多。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Jussiaea  repens  L．"	"pw00020"	"过江藤"	"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/水龙.jpg"
"21"	"一年生草本。湿生，稍耐旱。花果期夏、秋季，开花期长，花后果实依次成熟。种子繁殖。常生于水稻田中或水稻田边，为稻田常见的一种杂草。"	"长江以南各省区均有发生"	"双子叶植物纲"	"桃金娘目"	"柳叶菜科"	"水龙属"	"草龙"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗   子叶三角状卵形，先端钝，基部楔形；具柄，叶柄与叶片近等长或稍短，微带红色。初生叶卵圆形，先端渐尖，稍钝头，基部楔形至柄，叶缘及叶柄具短毛，叶脉清楚。上胚轴及下胚轴均较发达，紫红色。 成株   株高20～60厘米。茎直立，多分枝，绿色或淡紫色，有3～4纵棱。叶互生，狭条状披针形或长圆状披针形，先端短尖，基部楔形。 花和子实   花单生于叶腋，黄色，无花梗；萼管长约8毫米，裂片4裂，绿色，披针形，渐尖。花瓣4枚，狭长圆状椭圆形，短于萼片。蒴果长圆柱形，绿色或淡紫色。种子多数，卵形，淡黄色。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Jussiaea  linifolia  Vahl"	"pw00021"		"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/草龙.jpg"
"22"	"一年生草本。种子繁殖。适生沼泽、低湿地、稻田边，常与草龙混合发生，形成危害。"	"江苏、安徽等省均有发生"	"双子叶植物纲"	"桃金娘目"	"柳叶菜科"	"丁香蓼属"	"丁香蓼"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"成株   茎柔软匍匐。节上生根，无毛。叶互生，有短柄；叶片宽卵形或卵状圆形，两端渐尖，全缘，无毛。 花和子实   花单生于叶腋，黄绿色，无梗；小苞片2枚，线形；萼筒椭圆形，裂片4裂，卵形，先端渐尖，无花瓣；雄蕊4枚，短于萼裂片；花柱短于雄蕊，柱头头状。蒴果椭圆形，有4棱；种子卵形，长约0．8毫米，黑色。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Ludwigia   ovalis Miq．"	"pw00022"	"叶丁香蓼"	"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/丁香蓼.jpg"
"23"	"多年生草本。花果期7—9月份。种子及匍匐根状茎繁殖。生于低湿地及浅水中。为水稻田边常见杂草，危害不重。"	"全国各地均有发生"	"双子叶植物纲"	"伞形目"	"伞形科"	"水芹属"	"水芹"	"防除应采取农艺措施和化学除草相结合的方法。 (1)农艺措施主要有：一是建立地平沟畅、保水性好、灌溉自如的水稻生产环境；二是结合种子处理清除杂草的种子，并结合耕翻、整地，消灭土表的杂草种子；三是实行定期的水旱轮作，减少杂草的发生；四是提高播种的质量，一播全苗，以苗压草。 (2)化学除草，目前多数地方采用一次性封杀，就是在播种（催芽）后1－3天内，亩用40％“直播青”可湿性粉剂60克，兑水40－50公斤，均匀喷雾，施药时田板保持湿润。3天后恢复正常灌水和田间管理。通过化除后，如果后期仍有一定量的杂草，可采取针对法进行补除。 如以稗草、千金子为主的田块，在杂草3－5叶期，可用10％千金乳剂50毫升加水30公斤，用针对法进行茎叶喷雾。用药前一天田间必须放干水，药后2天再恢复正常管理。 如以莎草、阔叶杂草为主的田块，在播后30天左右，亩用10％水星可湿性粉剂20克加20％二甲四氯水剂150毫升混用，兑水30公斤针对法喷雾。水浆管理同上。 如田间各种杂草共生，可用48％苯达松水剂75－100毫升加20％二甲四氯水剂150毫升混用，采用针对法喷雾。"	"幼苗   全体光滑无毛。子叶倒披针形，有柄，基部连接。初生叶近肾形，边缘有疏钝齿。后生叶三出掌状分裂，下胚轴发达。 成株   株高30～60厘米，无毛，茎基部匍匐。基生叶轮廓三角形或三角状卵形，1～2回羽状分裂，末回裂片卵形至菱状披针形；基部小叶多为3裂，顶生小叶菱状卵形；叶柄基部成鞘抱茎，上部叶叶柄渐短。 花和子实   复伞形花序顶生；总花梗长2～16厘米；萼齿近卵形，明显；花白色，长约l毫米，花柱基圆锥形，花柱细长，叉开。果实椭圆形，果棱显著隆起，肥厚，钝圆，侧棱较背棱宽大。"	"郭书普.水田常见杂草识别与防治原色图鉴. 合肥:安徽科学技术出版社,2005"	"Oenanthe  javanica(Bl. )DC．-Oenanthe decumbens(Thunb．)K．-Pol"	"pw00023"		"agridata/images/中国农业有害生物数据库/中国水田杂草数据库/水芹.jpg"
