"id"	"内质评价"	"可溶性糖％"	"品种名称"	"果穗重G"	"特异及用途"	"省"	"学名"	"种类"	"果实成熟期"	"成熟期评价"	"风味"	"原产地"	"外观评价"	"汁液"	"果粒重G"	"色泽"	"果粒重评价"	"属名"	"可溶固形物"	"肉质"	"PH值"	"果穗重评价"	"统一编号"	"译名"	"果形"	"科名"	"可滴定酸％"
"20"	"上"	"17.13"	"依奇克玛"	"264.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.18"	"晚"	"酸甜"	"苏联"	"好"	"少"	"7.25"	"紫红"	"大"	"Vitis(葡萄属)"	"18.00"	"较脆"	"3.46"	"较小"	"PTF0020"	"YI QI KE MA"	"长圆"	"Vitaceae(葡萄科)"	"0.84"
"21"	"上"	"19.81"	"白玫瑰"	"285.0"	"鲜食,高含糖"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.20"	"晚"	"甜"	"叙利亚"	"较好"	"少"	"7.20"	"黄绿"	"大"	"Vitis(葡萄属)"	"19.40"	"较脆"	"3.70"	"较小"	"PTF0021"	"BAI MEI GUI"	"椭圆"	"Vitaceae(葡萄科)"	"0.71"
"22"	"上"	"17.39"	"白优马拉克"	"214.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.15"	"晚"	"甜"	"苏联"	"较好"	"少"	"5.55"	"黄绿"	"较大"	"Vitis(葡萄属)"	"17.40"	"脆"	"3.76"	"小"	"PTF0022"	"BAI YOU MA LA KE"	"椭圆"	"Vitaceae(葡萄科)"	"0.60"
"23"	"上"	"16.24"	"克林巴马克"	"243.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.15"	"晚"	"甜"	"苏联"	"好"	"少"	"5.35"	"黄"	"较大"	"Vitis(葡萄属)"	"18.50"	"较脆"	"4.03"	"小"	"PTF0023"	"KE LIN BA MA KE"	"束腰"	"Vitaceae(葡萄科)"	"0.34"
"24"	"中下"	"16.40"	"齐姆干"	"864.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.17"	"晚"	"酸"	"苏联"	"中"	"少"	"6.60"	"黄白"	"较大"	"Vitis(葡萄属)"	"17.20"	"较脆"	"3.31"	"大"	"PTF0024"	"QI MU GAN"	"椭圆"	"Vitaceae(葡萄科)"	"1.02"
"25"	"上"	"16.29"	"卡拉斯玫瑰"	"447.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.11"	"晚"	"酸甜"	"苏联"	"好"	"少"	"6.50"	"紫黑"	"较大"	"Vitis(葡萄属)"	"16.60"	"软"	"3.55"	"中"	"PTF0025"	"KA LA SI MEI GUI"	"椭圆"	"Vitaceae(葡萄科)"	"0.76"
"26"	"中上"	"17.03"	"胜利"	"458.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.15"	"晚"	"酸甜"	"苏联"	"好"	"少"	"7.20"	"紫黑"	"大"	"Vitis(葡萄属)"	"17.80"	"软"	"3.40"	"较大"	"PTF0026"	"SHENG LI"	"长椭圆"	"Vitaceae(葡萄科)"	"0.90"
"27"	"中上"	"16.83"	"粉红纠列比"	"255.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.17"	"晚"	"酸甜"	"苏联"	"中"	"少"	"3.35"	"粉红"	"中"	"Vitis(葡萄属)"	"18.20"	"软"	"3.50"	"较小"	"PTF0027"	"FEN HONG JIU LIE BI"	"圆"	"Vitaceae(葡萄科)"	"0.95"
"28"	"中"	"15.04"	"布扎克"	"185.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.04"	"晚"	"酸甜"	"苏联"	"较好"	"少"	"7.50"	"紫红"	"大"	"Vitis(葡萄属)"	"15.20"	"软"	"3.31"	"小"	"PTF0028"	"BU ZHA KE"	"椭圆"	"Vitaceae(葡萄科)"	"0.90"
"29"	"中上"	"16.02"	"恰奇瓦赫"	"350.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.25"	"极晚"	"酸甜"	"苏联"	"好"	"少"	"6.00"	"绿黄"	"较大"	"Vitis(葡萄属)"	"16.40"	"软"	"3.68"	"中"	"PTF0029"	"QIA QI WA HE"	"长椭圆"	"Vitaceae(葡萄科)"	"0.55"
"30"	"中"	"15.08"	"库尔班"	"298.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.12"	"晚"	"甜酸"	"苏联"	"中"	"少"	"5.90"	"粉红"	"较大"	"Vitis(葡萄属)"	"15.40"	"软"	"3.80"	"较小"	"PTF0030"	"KU ER BAN"	"椭圆"	"Vitaceae(葡萄科)"	"0.47"
"31"	"中"	"16.06"	"空都基"	"1032.0"	"鲜食,穗大"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.18"	"晚"	"甜酸"	"苏联"	"中"	"少"	"6.20"	"黄白"	"较大"	"Vitis(葡萄属)"	"17.40"	"较脆"	"3.30"	"较大"	"PTF0031"	"KONG DU JI"	"椭圆"	"Vitaceae(葡萄科)"	"0.95"
"32"	"中"	"16.83"	"维金那斯"	"120.0"	"鲜食"	"国外"	"Vitis labrusca L.(美洲葡萄)"	"欧美种"	"9.03"	"晚"	"酸甜"	"美国"	"较好"	"少"	"3.80"	"紫红"	"中"	"Vitis(葡萄属)"	"18.40"	"较软"	"3.08"	"小"	"PTF0032"	"WEI JIN NA SI"	"近圆"	"Vitaceae(葡萄科)"	"1.14"
"33"	"上"	"18.08"	"马林格实生"	"131.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.18"	"晚"	"酸甜"	"苏联"	"中"	"少"	"3.10"	"黄绿"	"中"	"Vitis(葡萄属)"	"18.60"	"较脆"	"3.40"	"小"	"PTF0033"	"MA LIN GE SHI SHENG"	"椭圆"	"Vitaceae(葡萄科)"	"0.48"
"34"	"上"	"19.16"	"甜葡萄"	"417.0"	"鲜食,高含糖"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.15"	"晚"	"甜"	"苏联"	"好"	"少"	"4.00"	"深红"	"中"	"Vitis(葡萄属)"	"19.20"	"较脆"	"3.87"	"中"	"PTF0034"	"TIAN PU TAO"	"倒卵"	"Vitaceae(葡萄科)"	"0.58"
"35"	"上"	"17.18"	"诺沃切尔卡斯基"	"355.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.12"	"晚"	"甜"	"苏联"	"较好"	"少"	"5.40"	"深红"	"较大"	"Vitis(葡萄属)"	"18.40"	"较脆"	"3.60"	"中"	"PTF0035"	"NUO WO QIE ER KA SI JI"	"倒卵"	"Vitaceae(葡萄科)"	"0.78"
"36"	"中"	"16.90"	"苏38号"	"308.0"	"鲜食,也可酿造"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.02"	"晚"	"酸甜"	"苏联"	"较好"	"少"	"5.20"	"紫黑"	"较大"	"Vitis(葡萄属)"	"18.80"	"软"	"3.30"	"较小"	"PTF0036"	"SU 38 HAO"	"椭圆"	"Vitaceae(葡萄科)"	"1.03"
"37"	"中"	"14.87"	"达什蕾"	"424.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.11"	"晚"	"酸甜"	"苏联"	"中"	"少"	"4.05"	"黄绿"	"中"	"Vitis(葡萄属)"	"14.90"	"较脆"	"3.75"	"中"	"PTF0037"	"DA SHI LEI"	"近圆"	"Vitaceae(葡萄科)"	"1.22"
"38"	"中"	"15.09"	"沙巴什"	"325.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.20"	"晚"	"甜"	"苏联"	"中"	"少"	"4.85"	"黄绿"	"中"	"Vitis(葡萄属)"	"16.00"	"较脆"	"3.10"	"较小"	"PTF0038"	"SHA BA SHI"	"椭圆"	"Vitaceae(葡萄科)"	"1.01"
"39"	"中"	"16.45"	"娜尔巴"	"417.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.20"	"晚"	"甜"	"苏联"	"中"	"少"	"7.10"	"黄绿"	"大"	"Vitis(葡萄属)"	"17.20"	"脆"	"3.33"	"中"	"PTF0039"	"NA ER BA"	"椭圆"	"Vitaceae(葡萄科)"	"0.76"
"40"	"中"	"16.11"	"黑克里木"	"255.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.11"	"晚"	"酸甜"	"苏联"	"好"	"少"	"8.50"	"紫黑"	"大"	"Vitis(葡萄属)"	"16.80"	"较脆"	"3.33"	"大"	"PTF0040"	"HEI KE LI MU"	"长椭圆"	"Vitaceae(葡萄科)"	"0.98"
"41"	"上"	"17.64"	"苏9-15号"	"265.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.15"	"晚"	"甜"	"苏联"	"较好"	"少"	"5.20"	"紫红"	"较大"	"Vitis(葡萄属)"	"18.20"	"较脆"	"3.59"	"较大"	"PTF0041"	"SU 9-15 HAO"	"椭圆"	"Vitaceae(葡萄科)"	"0.83"
"42"	"中"	"15.34"	"苏60-12"	"570.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.17"	"中"	"酸甜"	"苏联"	"较好"	"少"	"6.55"	"黄绿"	"较大"	"Vitis(葡萄属)"	"15.60"	"较脆"	"3.74"	"较大"	"PTF0042"	"SU 60-12"	"倒卵"	"Vitaceae(葡萄科)"	"0.56"
"43"	"上"	"15.26"	"苏60-36-4"	"482.0"	"鲜食,特丰产"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"8.26"	"中"	"甜"	"苏联"	"较好"	"少"	"7.50"	"黄绿"	"大"	"Vitis(葡萄属)"	"15.80"	"较脆"	"4.10"	"大"	"PTF0043"	"SU 60-36-4"	"倒卵"	"Vitaceae(葡萄科)"	"0.47"
"44"	"上"	"16.80"	"苏68号"	"384.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.04"	"晚"	"甜"	"苏联"	"较好"	"少"	"6.40"	"黄绿"	"较大"	"Vitis(葡萄属)"	"17.20"	"较脆"	"3.78"	"较大"	"PTF0044"	"SU 68 HAO"	"长圆"	"Vitaceae(葡萄科)"	"0.49"
"45"	"中"	"16.07"	"芳香玫瑰"	"380.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.15"	"晚"	"酸甜"	"匈牙利"	"中"	"少"	"7.10"	"黄绿"	"大"	"Vitis(葡萄属)"	"17.00"	"较脆"	"3.36"	"大"	"PTF0045"	"FANG XIANG MEI GUI"	"倒卵"	"Vitaceae(葡萄科)"	"0.83"
"46"	"中"	"14.10"	"大可满"	"380.0"	"鲜食,制汁品质优良"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.21"	"晚"	"酸"	"苏联"	"中"	"少"	"7.80"	"紫褐"	"大"	"Vitis(葡萄属)"	"15.40"	"较脆"	"3.36"	"大"	"PTF0046"	"DA KE MAN"	"近圆"	"Vitaceae(葡萄科)"	"0.93"
"47"	"中上"	"18.63"	"意大利玫瑰"	"235.0"	"鲜食,高含糖"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.10"	"晚"	"甜"	"意大利"	"好"	"少"	"6.30"	"淡红"	"较大"	"Vitis(葡萄属)"	"18.70"	"较脆"	"3.61"	"较大"	"PTF0047"	"YI DA LI MEI GUI"	"倒卵"	"Vitaceae(葡萄科)"	"0.54"
"48"	"中"	"16.44"	"夫拉姆克德里"	"224.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.14"	"晚"	"甜"	"德国"	"较好"	"少"	"4.40"	"红紫"	"中"	"Vitis(葡萄属)"	"17.40"	"软"	"3.60"	"中"	"PTF0048"	"FU LA MU KE DE LI"	"椭圆"	"Vitaceae(葡萄科)"	"0.74"
"49"	"中上"	"16.42"	"表链"	"280.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.12"	"晚"	"甜"	"法国"	"好"	"少"	"6.55"	"黑"	"较大"	"Vitis(葡萄属)"	"17.10"	"软"	"3.44"	"较大"	"PTF0049"	"BIAO LIAN"	"椭圆"	"Vitaceae(葡萄科)"	"0.75"
"50"	"中"	"17.00"	"汲秋"	"354.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.09"	"晚"	"酸甜"	"罗马尼亚"	"较好"	"少"	"4.60"	"黑"	"中"	"Vitis(葡萄属)"	"17.20"	"较脆"	"3.45"	"中"	"PTF0050"	"JI QIU"	"倒卵"	"Vitaceae(葡萄科)"	"0.86"
"51"	"中"	"17.61"	"福乐多"	"170.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.16"	"晚"	"酸甜"	"法国"	"较差"	"多"	"3.40"	"黄绿"	"中"	"Vitis(葡萄属)"	"18.50"	"软"	"3.25"	"中"	"PTF0051"	"FU LE DUO"	"椭圆"	"Vitaceae(葡萄科)"	"0.94"
"52"	"中"	"16.87"	"玫瑰花"	"261.0"	"鲜食"	"国外"	"Vitis labrusca L.(美洲葡萄)"	"欧美种"	"9.05"	"晚"	"酸甜"	"法国"	"中"	"少"	"4.25"	"绿白"	"中"	"Vitis(葡萄属)"	"17.60"	"软"	"3.20"	"中"	"PTF0053"	"MEI GUI HUA"	"椭圆"	"Vitaceae(葡萄科)"	"0.91"
"53"	"上"	"18.66"	"小白玫瑰"	"234.0"	"酿酒,高含糖"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.06"	"晚"	"甜"	"叙利亚"	"较好"	"少"	"4.00"	"绿黄"	"中"	"Vitis(葡萄属)"	"19.20"	"软"	"3.55"	"中"	"PTF0054"	"XIAO BAI MEI GUI"	"圆"	"Vitaceae(葡萄科)"	"0.84"
"54"	"中"	"18.47"	"黑多内"	"223.0"	"酿酒,高含糖"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.07"	"晚"	"酸甜"	"伊朗"	"较好"	"多"	"2.45"	"黑"	"较小"	"Vitis(葡萄属)"	"19.60"	"软"	"3.20"	"较小"	"PTF0055"	"HEI DUO NEI"	"圆"	"Vitaceae(葡萄科)"	"1.10"
"55"	"中"	"16.82"	"比格基胡沙"	"176.0"	"鲜食"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.02"	"晚"	"酸甜"	"苏联"	"较好"	"多"	"3.95"	"紫红"	"中"	"Vitis(葡萄属)"	"17.60"	"软"	"3.46"	"中"	"PTF0056"	"BI GE JI HU SHA"	"近圆"	"Vitaceae(葡萄科)"	"0.75"
"56"	"中"	"17.49"	"德尔古里麦克"	"232.0"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.15"	"晚"	"酸甜"	"苏联"	"中"	"少"	"2.60"	"绿黄"	"较小"	"Vitis(葡萄属)"	"18.70"	"软"	"3.40"	"较小"	"PTF0057"	"DE ER GU LI MAI KE"	"椭圆"	"Vitaceae(葡萄科)"	"1.20"
"57"	"中"	"17.57"	"白雅"	"237.0"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.28"	"晚"	"酸甜"	"苏联"	"较好"	"多"	"2.80"	"绿黄"	"较小"	"Vitis(葡萄属)"	"18.60"	"软"	"3.20"	"较小"	"PTF0058"	"BAI YA"	"近圆"	"Vitaceae(葡萄科)"	"1.09"
"58"	"中"	"14.76"	"白雅"	"319.0"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.16"	"中"	"酸甜"	"苏联"	"较差"	"少"	"3.25"	"绿"	"中"	"Vitis(葡萄属)"	"15.00"	"较脆"	"3.49"	"中"	"PTG0058"	"BAI YA"	"近圆"	"Vitaceae(葡萄科)"	"0.69"
"59"	"中上"	"21.56"	"达尔巴什"	"261.0"	"酿酒,高含糖"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.13"	"晚"	"甜"	"苏联"	"较差"	"多"	"3.52"	"绿"	"中"	"Vitis(葡萄属)"	"21.60"	"软"	"3.80"	"中"	"PTF0059"	"DA ER BA SHI"	"椭圆"	"Vitaceae(葡萄科)"	"0.69"
"60"	"中"	"16.91"	"白巴图尔格弟尔"	"67.0"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.20"	"晚"	"酸甜"	"苏联"	"差"	"多"	"2.30"	"黄绿"	"小"	"Vitis(葡萄属)"	"17.60"	"软"	"3.70"	"小"	"PTF0060"	"BAI BA TU ER GE DI ER"	"圆"	"Vitaceae(葡萄科)"	"0.74"
"61"	"中上"	"17.52"	"堆格基"	"268.0"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.15"	"晚"	"甜"	"苏联"	"较好"	"多"	"3.50"	"黄绿"	"中"	"Vitis(葡萄属)"	"18.20"	"软"	"3.24"	"中"	"PTF0061"	"DUI GE JI"	"近圆"	"Vitaceae(葡萄科)"	"0.98"
"62"	"中上"	"16.65"	"白羽"	"263.0"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.18"	"晚"	"甜"	"苏联"	"中"	"多"	"2.60"	"黄绿"	"较小"	"Vitis(葡萄属)"	"17.60"	"软"	"4.00"	"较小"	"PTF0062"	"BAI YU"	"椭圆"	"Vitaceae(葡萄科)"	"0.41"
"63"	"中"	"18.04"	"白羽"	"250.6"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.17"	"中"	"酸甜"	"苏联"	"中"	"多"	"2.19"	"绿黄"	"小"	"Vitis(葡萄属)"	"18.40"	"软"	"3.53"	"小"	"PTG0062"	"BAI YU"	"圆"	"Vitaceae(葡萄科)"	"0.74"
"64"	"中"	"20.26"	"西比里克维"	"275.0"	"酿酒,高含糖"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.13"	"晚"	"酸甜"	"苏联"	"较好"	"多"	"2.50"	"黑"	"较小"	"Vitis(葡萄属)"	"21.60"	"软"	"3.45"	"较小"	"PTF0063"	"XI BI LI KE WEI"	"圆"	"Vitaceae(葡萄科)"	"1.30"
"65"	"中上"	"17.80"	"马赫拉瓦奇克"	"328.0"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.18"	"晚"	"甜"	"苏联"	"中"	"多"	"2.90"	"黄绿"	"较小"	"Vitis(葡萄属)"	"18.20"	"软"	"3.38"	"较小"	"PTF0064"	"MA HE LA WA QI KE"	"椭圆"	"Vitaceae(葡萄科)"	"1.04"
"66"	"中上"	"17.03"	"喀拉斯纳斯多普"	"115.0"	"酿酒"	"国外"	"Vitis vinifera L.(欧洲葡萄)"	"欧亚种"	"9.09"	"晚"	"甜"	"苏联"	"中"	"少"	"1.85"	"紫黑"	"小"	"Vitis(葡萄属)"	"17.80"	"较脆"	"3.70"	"小"	"PTF0065"	"KA LA SI NA SI DUO PU"	"近圆"	"Vitaceae(葡萄科)"	"0.81"
