"id"	"主要危害部位"	"地理分布"	"为害症状"	"病害类型"	"中文名"	"病原中文名"	"病原拉丁学名"	"主要危害作物"	"病原分类地位"	"病原形态特征"	"相关文献"	"防治方法"	"别名"	"记录号"	"传播途径和发病条件"	"图片"
"11"	"叶片"	"四川、湖北、江苏、浙江和山西等省"	"表现为系统侵染，病株叶片有的呈轻花叶、斑驳、褪色斑或畸形，有的小叶正常无明显病变，苗期、开花期前染病的，结荚少或籽粒小，其典型症状是种皮呈坏死色斑，严重时外种皮上形成连续坏死带。苗期植株矮化，顶端枯死，病叶呈褪色花叶或畸形，减产40％～80％，花期后染病则影响小。"	"病毒"	"蚕豆(BBSV)染色病毒病"	"蚕豆染色病毒"	"Broad bean strain virus简称BBSV"	"蚕豆和小扁豆等豆科植物"		"Broad bean strain virus简称BBSV，称蚕豆染色病毒，属病毒。病毒粒体为等径球状体，直径25～28nm，能与英国染色病毒的抗血清发生沉淀反应，与真花叶病毒抗血清不发生反应。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)及时拔除并销毁病株，避免病毒通过种子或介体昆虫传播。(2)严格检疫制度，防止蚕豆染色病毒扩展蔓延。注意收集植物检疫信息，加强国外引种的隔离。"		"fd00076"	"蚕豆染色病毒主要由花粉和种子传病，种子带毒率一般低于10％，个别品系高达18％。在欧洲，传毒媒界昆虫主要是豆长吻象甲(Apion  vorax)和豌豆叶象甲(Sitana lineatu)，传毒率高达4％～16％，但我国尚未见到，据文献记载国内有长吻象甲。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/蚕豆(BBSV)染色病毒病.jpg"
"12"	"叶片、茎"		"发病初期，叶面呈深绿和浅绿相嵌花叶，不久植株萎蔫坏死或顶端坏死。有些病株不显花叶，植株矮小，叶片变黄、易落。"	"病毒"	"蚕豆(BBWV)萎蔫病毒病"	"蚕豆萎蔫病毒"	"Broad bean wilt virus简称BBWV"	"蚕豆"		"Broad bean wilt virus简称BBWV，称蚕豆萎蔫病毒。病毒粒体球形，直径25nm，寄主范围广，可侵染茄科、藜科、十字花科等21种植物，稀释限点10000～100000倍，钝化温度60～70℃，体外存活期4～6天。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)加强田间管理，提高植株抗病力。(2)及早防治蚜虫，防止病害蔓延。(3)发病初期开始喷洒1．5％植病灵Ⅱ号乳剂1000倍液或0．5％菇类蛋白多糖水剂300倍液、20％病毒A可湿性粉剂500倍液、83增抗剂100倍液，隔10天左右1次，防治1次或2次。"		"fd00077"	"田间主要靠蚜虫传播，可通过农事操作接触摩擦传毒。管理条件差、干旱、蚜虫发生量大发病重。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/蚕豆(BBWV)萎蔫病毒病.jpg"
"13"	"全株"		"蚕豆花叶病全株发病，生产上因菜豆黄斑花叶病毒的株系不同，症状有差异，分花叶型和黄化型两种类型。花叶型病株明显矮小，叶片皱缩卷曲肥厚，叶肉黄绿相间呈花叶状斑驳D轻病株矮缩不明显，但顶端心叶多变黄或卷缩；重病株较健株明显矮小，不开花结实。黄化型植株矮小，叶片黄且薄，茎直立，一般不萎蔫，后期病叶易早落。"	"病毒"	"蚕豆(BYMV)花叶病"	"菜豆黄斑花叶病毒"	"Bean yellow mosaic virus简称BYMV"	"蚕豆、普通烟、心叶烟、曼陀罗等"		"Bean yellow mosaic virus简称BYMV，称菜豆黄斑花叶病毒，属病毒。病毒粒体线状，致死温度55～65℃，稀释限点1000～10000倍。体外存活期1～3天，在矮牵牛、千日红上产生花叶，在普通烟、心叶烟、曼陀罗上产生坏死斑。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)品种间有抗病性差异，选种抗病品种，注意从无病田留种，选择无病、健康饱满的种子播种。(2)注意选择种植地块，应远离菜豆田和栽植菜豆的大棚或温室。(3)适期播种，不宜过早，苗期发现病株要及时拔除，以防形成发病中心而蔓延开来。(4)及时喷药治蚜，可用50％抗蚜威可湿性粉剂2500～3000倍液。(5)在蚕豆植株“下麻叶、中结荚、上开花”时，进行摘心，可减轻此病为害。(6)必要时喷洒0．5％菇类蛋白多糖水剂300倍液或20％病毒A可湿性粉剂500倍液、15％病毒必克可湿性粉剂500～700倍液。"		"fd00078"	"南方病毒在豆类作物上越冬或越夏，北方主要在越冬蔬菜或温室豆类植物上越冬。翌年主要由苜蓿蚜(Aphis medicaginis)传播，发病后有明显的发病中心。菜豆田或棚室栽培蚕豆易发病；播种过早、苜蓿蚜发生多、土壤干旱、气候干燥发病重。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/蚕豆(BYMV)花叶病.jpg"
"14"	"全株"	"江苏、四川、山东、北京、安徽、河南等"	"我国甘薯病毒病症状与毒原种类、甘薯品种、生育阶段及环境条件有关。可分6种类型。一是叶片褪绿斑点型苗期及发病初期叶片产生明脉或轻微褪绿半透明斑，生长后期，斑点四周变为紫褐色或形成紫环斑，多数品种沿脉形成紫色羽状纹。二是花叶型苗期染病初期叶脉呈网状透明，后沿叶脉形成黄绿相间的不规则花叶斑纹。三是卷叶型  叶片边缘上卷，严重时卷成杯状。四是叶片皱缩型病苗叶片少，叶缘不整齐或扭曲，有与中脉平行的褪绿半透明斑。五是叶片黄化型形成叶片黄色及网状黄脉。六是薯块龟裂型  薯块上产生黑褐色或黄褐色龟裂纹，排列成横带状或贮藏后内部薯肉木栓化，剖开病薯可见肉质部具黄褐色斑块。"	"病毒"	"甘薯病毒病"	"甘薯羽状斑驳病毒"	"Sweet potato feathery mottle virus简称SPFMV"	"甘薯"		"我国甘薯上主要毒原有5种。Sweet potato feathery mottle virus简称SPFMV，称甘薯羽状斑驳病毒。病毒粒子弯曲长杆状，长830～850nm。其株系有褐裂病毒(SPRCV)、内木栓病毒(SPICV)、褪绿叶斑病毒(SPLSV)，其生物学性状和致病性表明它是一种马铃薯Y病毒。该病毒可由机械和蚜虫传毒，可侵染甘薯等8种旋花科植物。Sweet potato latentvirus简称SPLV，称甘薯潜隐病毒。病毒粒子为弯曲长杆状，长约700～750nm，蚜虫、粉虱不能传毒。Sweet potato yellow dwarf virus简称SPYDV，称甘薯黄矮病毒。病毒粒子为弯曲长杆状，长750nm，该病毒由机械和青麻粉虱(Rialeurodes abutionea)及烟粉虱传毒。Sweetpotato veinclearing virus简称SPVCV，称甘薯明脉病毒。病毒粒子为丝状体，长度850nm。台湾报道该病毒可由烟粉虱传播，机械不能传染，寄主范围窄。此外，我国福建、台湾还有甘薯丛枝病毒病，是由马铃薯Y病毒和类菌原体复合侵染引起的，发病率10％～80％，严重的造成绝收。甘薯丛枝病毒粒子线状，直径16～18nm，具空心结构，长短不一，一般长度100nm，最长的可达6000nm。类菌原体大小200～1000nm。类菌原体也可单独引发丛枝病。除上述毒原外，甘薯上还分离到烟草花叶病毒、黄瓜花叶病毒、烟草条纹病毒(TSV)等毒原。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)选用抗病毒病品种及其脱毒苗如徐薯18号、鲁薯3号、鲁薯7号、北京553等。此外，Tis2498对甘薯明脉病毒具较强的抗性。(2)用组织培养法进行茎尖脱毒，培养无病种薯、种苗。(3)大田发现病株及时拔除后补栽健苗。(4)加强薯田管理，提高抗病力。(5)发病初期开始喷洒10％病毒王可湿性粉剂500倍液或5％菌毒清可湿性粉剂500倍液、83增抗剂100倍液、20％病毒宁水溶性粉剂500倍液、15％病毒必克可湿性粉剂500～700倍液，隔7～10天1次，连用3次。"		"fd00079"	"薯苗、薯块均可带毒，进行远距离传播。经由机械或蚜虫、烟粉虱及嫁接等途径传播。其发生和流行程度取决于种薯、种苗带毒率和各种传毒介体种群数量、活力、其传毒效能及甘薯品种的抗性，此外还与土壤、耕作制度、栽植期有关。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/甘薯病毒病.jpg"
"15"	"主蔓、侧枝、叶"		"主蔓萎缩变矮，侧枝丛生，叶色浅黄，叶片薄且细小、缺刻增多。侧根、须根细小、繁多。苗期染病结薯小或不结薯；中后期染病薯块小且干瘪，薯皮粗糙或生有突起物，颜色变深，病薯块一般煮不烂，失去食用价值。目前福建、台湾早期染病可致绝收，中、后期染病产量低、质量差。"	"病毒"	"甘薯丛枝病"	"类菌原体"	"Mycoplasma—like organism简称MLO"	"甘薯"		"Mycoplasma—like organism简称MLO，称类菌原体。在病株叶脉韧皮细胞中可见类菌原体，大小为200～1000nm，病株新梢超薄切片在电镜下可见三层单位膜，内部中央充满核质样的纤维状物质，可能是DNA基因组，其四周布有类似于核蛋白体的颗粒。近年发现马铃薯Y病毒组的线状病毒和类菌原体复合侵染也可引起甘薯丛枝病。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)加强检疫，截住病源，控制疫区，严防该病传播蔓延。(2)选用汕头红、同薯8号、禺北白、湖北种、红心新爪湾、东良1号、漳浦1号、沙涝越等较抗病的品种。在此基础上，建立无病留种地，培育栽植无病种薯、种苗，发现病株及时拔除，补栽无病壮苗。(3)及时防治粉虱、蚜虫、叶蝉等传毒昆虫，以利灭虫防病。(4)实行轮作，施用酵素菌沤制的堆肥或腐熟有机肥，增施钾肥，适时灌水，促进植株健壮生长，增强抗病力。(5)甘薯与大豆、花生套种防效明显。"		"fd00080"	"病藤、病薯上的病毒或类菌原体是初侵染源。干旱瘠薄地、连作地、早栽地发病重。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/甘薯丛枝病.jpg"
"16"	"叶片"		"高粱红条病整个生育期均可发生，后期发生较重。田间症状分花叶型、坏死型和混合型3种。花叶型受害叶呈条状褪色，与正常组织黄绿分明，沿侧脉向上扩展，出现褪绿的小条点，后发展成条斑或成断续的虚线条状。后随病斑扩展，病叶呈淡绿色，夹杂有深绿色的条点或斑块，一般不变红，形成斑驳花叶。坏死型上述条纹变红即成为红条，褪绿斑变红或红条融合即出现红叶。红条部分最后失水坏死。有些品种心叶变黄，后变成紫红色或红色卷曲。有的品种心叶未见显症，仅下部叶片先变紫色或部分失绿，部分沿脉出现平行的紫红色条纹，呈红条状。混合型心叶出现红色枯死条斑或扩展成枯死条斑。最后病株矮化或枯死。该病近年在河北、辽宁、京津地区蔓延迅速，且有日趋严重之势，生产上应予以注意。"	"病毒"	"高粱矮花叶病(高粱红条病)"	"玉米矮花叶病毒B株系"	"Maize dwarf  mosaic virus-B简称MDMV-B"	"高粱"		"Maize dwarf  mosaic virus-B简称MDMV-B，称玉米矮花叶病毒B株系，属病毒。病毒粒体长条状，国外报道大小750～825×12～15(nm)，国内为625～850nm，其中750×13nm居多。在病叶超薄切片上观察到风轮状及束状内含体。钝化温度54℃，稀释限点1000倍液，20℃体外存活期3天。除侵染高粱外，还可侵染玉米、谷子、糜子、雀麦草、狗尾草、稗、虎尾草等12种植物。有专家测定，在所有寄主上都能引起花叶症的，是由MDMV-G病毒引起的；红条坏死型系由MDMV—B病毒引起的。南方的高粱受ScMV侵染后也能引发红条病。红条或红叶症状的出现与品种、受侵时期及气温等多因子有关，3叶期以前染病易形成枯心死苗。成株期多表现花叶，但若21℃以下低温天气持续时间长，就可能出现红条或红叶坏死，若气温升高病情不再扩展。"	"商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)选用抗病品种如千金白、粘高粱、河北-16等均表现抗病。农家品种和杂交高粱也较抗病。扫帚高粱高度抗病。(2)建立无病留种田，防止种子带毒。间苗、定苗时发现病株及时拔除，减少菌源，可收到事半功倍之效果。(3)在保证高粱成熟条件下，适当晚播。(4)及时防治高粱田蚜虫，发现蚜虫迁入高粱田时及时喷洒50％抗蚜威超微可湿性粉剂3000倍液或10％吡虫啉(一遍净)可湿性粉剂3000～3500倍液。(5)必要时可试喷o．5％菇类蛋白多糖水剂(原称抗毒剂1号)300倍液或20％病毒A可湿性粉剂500倍液、15％病毒必克可湿性粉剂500～700倍液。"	"高粱红条病毒病"	"fd00081"	"高粱品种954066B种子可带毒，但传毒率仅0．03％。在田间病毒主要靠麦二叉蚜、禾谷缢管蚜、桃蚜、玉米蚜等传播。华北春播高粱苗期主要传毒介体是麦二叉蚜，其次是桃蚜；夏播高粱苗期主要由禾谷缢管蚜和玉米蚜传播。因此田间传毒蚜虫发生量是影响该病发生和流行程度的重要因素之一。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/高粱矮花叶病(高粱红条病).jpg"
"17"	"叶片"		"在叶片上出现不规则卵圆形至长圆形斑，浅绿色，与中脉平行，但不受叶脉限制。新展开幼叶症状明显。有些品种产生坏死斑，韧皮部坏死，叶片扭曲，有的矮化。分布在全 国。"	"病毒"	"高粱花叶病"	"甘蔗花叶病毒"	"Sugarcane mosaic virus简称ScMV"	"高粱"	"马铃薯Y病毒组"	"Sugarcane mosaic virus简称ScMV，称甘蔗花叶病毒，属马铃薯Y病毒组。病毒粒体杆状，大小620×15(nm)，钝化温度53～55℃，稀释限点100～1000倍，20℃体外存活期1～2天，-6℃低温下27天。病毒有株系分化，台湾报道有3个株系。"	"商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"参见高粱矮花叶病。"		"fd00082"	"传毒介体主要是蚜虫，汁液也能传染。生产上越冬毒源和早春传毒蚜虫数量影响春播高粱发病。品种间抗病性差异明显。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/高粱花叶病.jpg"
"18"	"叶片"	"我国北方分布普遍"	"谷子紫秆品种发病后叶片、叶鞘、穗部颖壳和芒变为红色、紫红色。新叶由叶片顶端先变红，出现红色短条纹，逐渐向下方延伸，直至整个叶片变红。有时沿叶片中肋或叶缘变红，形成红色条斑。幼苗基部叶片先变红，向上位叶扩展；成株顶部叶片先变红，向下层叶片扩展。青秆品种叶片上产生黄色条纹，叶片黄化，症状发展过程与紫秆品种相同。重病株不能抽穗，或虽抽穗但不结实。"	"病毒"	"谷子红叶病"	"大麦黄矮病毒"	"Barley yellow dwarf virus"	"谷子、玉米、黍、金狗尾草、青狗尾草、马唐、大画眉草、稗、野古草、大油芒、白羊草、细柄草、早熟禾等"			"商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)选育和种植抗病、耐病品种谷子品种间抗病性有一定差异，虽然缺乏免疫和高抗品种，但仍有抗病或耐病品种，例如P14A、P354、NP-157、摩里谷、大同黄谷1号、衡研百号、柳条青、红胜利等。 (2)农业防治  在杂草刚返青出土时，及时彻底清除，以减少毒源。加强田间管理，增施氮、磷肥，合理排灌，使植株生长健壮，增强抗病能力。 (3)药剂治蚜 春季在蚜虫迁入谷田之前，喷药防治田边杂草上的蚜虫。"		"fd00083"	"谷子红叶病毒主要由玉米蚜进行持久性传毒，麦二叉蚜、麦长管蚜、苜蓿蚜等也能传毒，但传毒能力较低。该病毒不能经由种子、土壤传播，也不能通过机械传播。 谷子红叶病毒主要在多年生带毒杂草寄主上越冬，翌年春季经玉米蚜等传毒蚜虫由杂草向谷子传毒。谷子发病程度与蚜虫发生时期和虫口数量密切相关。春季干旱、温度回升较快的年份，玉米蚜发生早而多，红叶病发病就早而重。夏季降水较少的年份，有利于蚜虫繁殖和迁飞，发病也重。杂草多的田块，毒源较多，发病较重。谷子植株的感染时期越早，发病程度和减产程度也越高。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/谷子红叶病.jpg"
"19"	"叶片、豆荚、等"		"绿豆出苗后到成株期均可发病。叶上出现斑驳或绿色部分凹凸不平，叶皱缩。有些品种出现叶片扭曲畸形或明脉，病株矮缩，开花晚；豆荚上症状不明显。"	"病毒"	"绿豆病毒病"	"黄瓜花叶病毒，苜蓿花叶病毒，番茄不孕病毒等"	"Cucumber mosaic virus简称CMV，Alfalfa mosaic virus简称AMV，等"	"绿豆、菜豆、豇豆、番茄等。"		"Cucumber mosaic virus简称CMV，称黄瓜花叶病毒；Alfalfa mosaic virus简称AMV，称苜蓿花叶病毒；Tomato aspermy virus简称TAV，称番茄不孕病毒。CMV病毒粒体球状，直径约35nm；失毒温度65～70℃，10分钟，稀释限点1000～10000倍，体外保毒期3～4天，不耐干燥。AMV粒体杆状，直径18nm，长58．3nm；该病毒寄主范围广，除侵染豆科外，还侵染茄科、葫芦科、藜科等47科植物；病汁液稀释限点1000～100000倍，钝化温度55～60℃，体外保毒期3～4天。TAV病毒粒体球状，直径20～50nm，分散在细胞质及细胞核中，稀释限点100～100000倍，致死温度50～60℃，体外存活期3～6天。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)选用鲁引1号、冀绿1号等抗病毒病品种。(2)蚜虫迁入豆田要及时喷洒常用杀蚜剂进行防治，以减少传毒。(3)药剂防治，发病初期开始喷洒抗毒丰(0．5％菇类蛋白多糖水剂)250～300倍液或20％病毒A可湿性粉剂500倍液，或15％病毒必克可湿性粉剂500～700倍液。"		"fd00084"	"CMV种子不带毒，主要在多年生宿根植物上越冬。由于鸭跖草、反枝苋、酸浆等都是桃蚜、棉蚜等传毒蚜虫的越冬寄主，每当春季发芽后，蚜虫开始活动或迁飞，成为传播此病的主要媒介。发病适温20℃。AMV的发生与蚜虫发生情况关系密切，尤其是高温干旱天气不仅有利蚜虫活动，还会降低寄主抗病性。TAV主要靠汁液和桃蚜进行非持久性传毒。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/绿豆病毒病.jpg"
"20"	"叶片、全株"		"常见的马铃薯病毒病有3种类型。花叶型  叶面叶绿素分布不均，呈浓绿淡绿相间或黄绿相间斑驳花叶，严重时叶片皱缩，全株矮化，有时伴有叶脉透明；坏死型  叶、叶脉、叶柄及枝条、茎部都可出现褐色坏死斑，病斑发展连接成坏死条斑，严重时全叶枯死或  萎蔫脱落；卷叶型叶片沿主脉或自边缘向内翻转，变硬、革质化，严重时每张小叶呈筒状。  此外还有复合侵染，引致马铃薯发生条斑坏死。"	"病毒"	"马铃薯病毒病"	"马铃薯X病毒，马铃薯Y病毒，马铃薯S病毒"	"Potato virus X简称PVX，Potato virus Y简称PVY，Potato virus S简称PVS"	"马铃薯"		"马铃薯X病毒(Potato virus X简称PVX)，在马铃薯上引起轻花叶症，有时产生斑驳或环斑。病毒粒体线形，长480～580nm，其寄主范围广，系统侵染的主要是茄科植物。病毒稀释限点100000～1000000倍，钝化温度68～75℃，体外存活期1年以上。马铃薯S病毒(Potato virus S简称PVS)，在马铃薯上引起轻度皱缩花叶或不显症。病毒粒体线形，长650nm，其寄主范围较窄，系统侵染的植物仅限于茄科的少数植物。病汁液稀释限点1～10倍，钝化温度55～60℃，体外存活期3～4天。马铃薯A病毒(Potato virus A简称PVA)，在马铃薯上引起轻花叶或不显症。病毒粒体线形，长730nm，其寄主范围较窄，仅侵染茄科少数植物。病汁液稀释限点10倍，钝化温度44～52℃，体外存活期12～18小时。马铃薯Y病毒(Potato virus Y简称PVY)，在马铃薯上引起严重花叶或坏死斑和坏死条斑。病毒粒体线形，长730nm，该病毒寄主范围较广，可侵染茄科多种植物。病汁液稀释限点100～1000倍，钝化温度52～62℃，体外存活期1～2天。马铃薯卷叶病毒(Potato leafroll virus简称PLrV)，病毒粒体球状，直径25nm。该病毒寄主范围主要是茄科植物。在马铃薯上引起卷叶症，病毒稀释限点10000倍，钝化温度70℃，体外存活期12～24小时，2℃低温下存活4天。此外TMV也可侵染马铃薯。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)采用无毒种薯，各地要建立无毒种薯繁育基地，原种田应设在高纬度或高海拔地区，并通过各种检测方法汰除病薯，推广茎尖组织脱毒，生产田还可通过二季作或夏播获得种薯。(2)培育或利用抗病或耐病品种在条斑花叶病及普通花叶病严重地区，可选用白头翁、丰收白、疫不加、郑薯4号、乌盟601、陇薯161—2、东农303、鄂马铃薯1号、鄂马铃薯2号、克新l号和广红二号等抗病品种。(3)出苗前后及时防治蚜虫尤其靠蚜虫进行非持久性传毒的条斑花叶病毒更要防好。使用药剂参见本书蚜虫防治法。(4)改进栽培措施。包括留种田远离茄科菜地；及早拔除病株；实行精耕细作，高垄栽培，及时培土；避免偏施过施氮肥，增施磷钾肥；注意中耕除草；控制秋水，严防大水漫灌。(5)发病初期喷洒抗毒丰(0．5％菇类蛋白多糖水剂)300倍液或20％病毒A可湿性粉剂500倍液、5％菌毒清水剂500倍液、1．5％植病灵Ⅱ号乳剂1000倍液、15％病毒必克可湿性粉剂500～700倍液。"		"fd00085"	"以上几种病毒除PVX外，都可通过蚜虫及汁液摩擦传毒。田间管理条件差，蚜虫发生量大发病重。此外，25℃以上高温会降低寄主对病毒的抵抗力，也有利于传毒媒介蚜虫的繁殖、迁飞或传病，从而利于该病扩展，加重受害程度，故一般冷凉山区栽植的马铃薯发病轻。品种抗病性及栽培措施都会影响本病的发生程度。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/马铃薯病毒病.jpg"
"21"	"叶片"		"由植株心叶长出的复叶开始变小，与下位叶差异明显，新长出的叶柄向上直立，小叶常呈畸形，叶面粗糙。发芽后生长初期病症较明显，本病多发生在农户自行留种的田块，经组织培养脱毒的田块发病少。"	"病毒"	"马铃薯小叶病"	"马铃薯M病毒"	"Potato virus M简称PVM"	"能侵染马铃薯、番茄、千日红、白花曼陀罗等"		"该病病原尚未完全明确，多认为是Potato virus M简称PVM，称马铃薯M病毒。此外可能还有其他毒原。Potato virus M粒体微曲线状，大小650×12nm，致死温度65～71℃，稀释限点100～1000倍，20℃体外存活期几天。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)采用无毒种薯，各地要建立无毒种薯繁育基地，原种田应设在高纬度或高海拔地区，并通过各种检测方法汰除病薯，推广茎尖组织脱毒，生产田还可通过二季作或夏播获得种薯。(2)培育或利用抗病或耐病品种生产上可选用东农303，粤引3185—38、粤引3186—2，晋薯5号，克新1号、2号、3号，坝薯9号、郑薯2号、鄂薯1号等抗病毒病兼抗晚疫病的品种。(3)出苗前后及时防治蚜虫  使用药剂参见本书蚜虫防治法。(4)改进栽培措施，包括留种田远离茄科菜地；及早拔除病株；实行精耕细作，高垄栽培，及时培土；避免偏施过施氮肥，增施磷钾肥；注意中耕除草；控制秋水，严防大水漫灌。(5)发病初期喷洒10％病毒王可湿性粉剂600倍液(齐齐哈尔市四友化工实业有限公司)、20％病毒宁水溶性粉剂500倍液或20％毒克星(病毒A)可湿性粉剂500倍液。"		"fd00086"	"汁液传毒；桃蚜能进行非持久性传播；此外，鼠李蚜(Aphis frangulae)、马铃薯长管蚜(Macrosiphum euphorbiae)也能传毒。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/马铃薯小叶病.jpg"
"22"	"叶片"		"木薯花叶病有木薯普通花叶病和非洲木薯花叶病两种。后者是我国重要的外检对象。木薯普通花叶病病株矮缩，叶片黄化，卷曲。非洲木薯花叶病也表现植株矮缩和叶片黄化，花叶卷曲和皱缩。"	"病毒"	"木薯花叶病"	"木薯普通花叶病毒，非洲木薯花叶病病毒"	"Cassava common mosaic virus简称CsCMV，African cassava mosaic virus简称ACMV"	"木薯"	"马铃薯X病毒组"	"木薯普通花叶病病原为Cassava common mosaic virus简称CsCMV，属马铃薯X病毒组。非洲木薯花叶病病毒African cassava mosaic virus简称ACMV，属联体病毒组。为双生粒子，大小30×20(nm)，有几个株系。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)加强植物检疫严禁从有非洲木薯花叶病的地区引种。(2)选育抗病品种。(3)采用无病种茎材料，注意消毒工具，及时清除田间病株。(4)应用杀虫剂消灭传毒的烟飞虱。(5)必要时喷洒抗毒丰(0．5％菇类蛋白多糖水剂)300倍液或20％病毒A可湿性粉剂500倍液、5％菌毒清水剂500倍液。"		"fd00087"	"木薯普通花叶病经带病种茎、叶片摩擦及嫁接传播。非洲木薯花叶病毒存在于植株维管束系统内，经调用茎干进行远距离传播，此外也可通过烟飞虱(Bemisiatabaci)、嫁接及汁液接种传播，烟飞虱最短获毒时间为3～5小时，在口器中能保持9天的侵染能力。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/木薯花叶病.jpg"
"23"	"叶片"	"我国北部粟、黍分布区发生普遍的病毒性病害。"	"植株红化或黄化，影响结实。是我国北部粟、黍分布区发生普遍的病毒性病害。发病株率0．2％～5％。苗期染病重的枯死，轻的生长异常。抽穗前后染病植株呈现紫红色或不正常黄色，穗颈变短，植株矮化，造成部分小穗或全株不实。"	"病毒"	"黍红叶病"	"大麦黄矮病毒"	"Barley yellow dwarf virus"	"黍、谷子"			"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"(1)选用抗病品种。(2)喷药消灭传毒蚜虫。(3)必要时喷洒抗毒丰(0．5％菇类蛋白多糖)水剂300倍液或20％病毒A可湿性粉剂500倍液。"		"fd00088"	"主要靠玉米蚜、麦长管蚜、麦二叉蚜传毒。"	"agridata/images/中国农业有害生物数据库/中国粮食作物病毒病害数据库/黍红叶病.jpg"
