"id"	"熟性"	"科名"	"肉质根形"	"品种名称"	"根肉水分"	"译名"	"风味"	"单产"	"收获期"	"根髓大小"	"省"	"肉质根长"	"根髓色"	"播种期"	"属名"	"统一编号"	"根肉口感"	"学名"	"抗逆性"	"繁种单位"	"生长期"	"叶柄色"	"叶面茸毛"	"贮藏性"	"叶簇"	"叶色"	"肉质根粗"	"叶柄茸毛"	"抗虫性"	"耐涝性"	"耐旱性"	"备注"	"根肉质"	"抗病性"	"单位编号"	"耐寒性"	"品种来源"	"用途"	"种质库编号"	"根皮色"	"栽培时期"	"根肩部大小"	"单根重"	"耐热性"	"根肉色"
"11"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"盐源胡萝卜"	"少"	"YAN YUAN HU LUO BU"	"甜"	"2000"	"--"	"小"	"四川"	"--"	"黄"	"--"	"Daucus(胡萝卜属)"	"V01B0011"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"耐寒"	"成都市第一农科所"	"124"	"紫"	"--"	"强"	"平展"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"脆嫩"	"抗"	"A2-037"	"--"	"四川盐源县"	"生熟"	"Ⅱ1B0252"	"黄"	"9-次年1"	"--"	"65.0"	"--"	"白"
"12"	"--"	"Umbelliferae(伞形花科)"	"圆锥"	"长汀红萝卜"	"中"	"CHANG TING HONG LUO BU"	"甜"	"1550"	"--"	"中"	"福建"	"--"	"橙红"	"--"	"Daucus(胡萝卜属)"	"V01B0012"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"中"	"福州市蔬菜科研所"	"--"	"绿"	"--"	"强"	"直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"脆"	"中"	"88-H-3"	"--"	"福建长汀县"	"熟食"	"Ⅱ1B0186"	"红"	"8上-11.12"	"--"	"210.0"	"--"	"黄"
"13"	"--"	"Umbelliferae(伞形花科)"	"长圆柱"	"厦道胡萝卜"	"多"	"XIA DAO HU LUO BU"	"甜"	"1750"	"--"	"小"	"福建"	"--"	"橙红"	"--"	"Daucus(胡萝卜属)"	"V01B0013"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"强"	"福州市蔬菜科研所"	"130"	"绿"	"--"	"强"	"直立"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"脆"	"强"	"89-H-4"	"--"	"福建南平市"	"生熟"	"Ⅱ1B0241"	"红"	"11下-1中"	"--"	"215.0"	"--"	"红"
"14"	"--"	"Umbelliferae(伞形花科)"	"长圆柱"	"透心红"	"多"	"TOU XIN HONG"	"甜"	"2500"	"--"	"小"	"甘肃"	"--"	"红"	"--"	"Daucus(胡萝卜属)"	"V01B0014"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"耐寒、旱"	"甘肃农科院蔬菜所"	"100"	"绿"	"--"	"强"	"半直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"细嫩"	"强"	"甘Ⅱ1B002"	"--"	"甘肃成县"	"生熟"	"Ⅱ1B0253"	"红"	"7下-11上"	"--"	"125.0"	"--"	"红"
"15"	"--"	"Umbelliferae(伞形花科)"	"长圆柱"	"齐头红胡萝卜"	"多"	"QI TOU HONG HU LUO BU"	"甜"	"3000"	"--"	"小"	"甘肃"	"--"	"黄"	"--"	"Daucus(胡萝卜属)"	"V01B0015"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"耐旱、寒"	"甘肃农科院蔬菜所"	"120"	"绿"	"--"	"强"	"半直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"细嫩"	"强"	"甘Ⅱ1B003"	"--"	"甘肃兰州市"	"生熟"	"Ⅱ1B0064"	"红"	"6下7上-10下"	"--"	"200.0"	"--"	"红"
"16"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"尖头红胡萝卜"	"中"	"JIAN TOU HONG HU LUO BU"	"甜"	"3500"	"--"	"中"	"甘肃"	"--"	"黄"	"--"	"Daucus(胡萝卜属)"	"V01B0016"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"耐寒、旱"	"甘肃农科院蔬菜所"	"120"	"绿"	"--"	"强"	"较平展"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"细嫩"	"强"	"甘Ⅱ1B004"	"--"	"甘肃兰州市"	"生熟"	"Ⅱ1B0069"	"红"	"6下-10下"	"--"	"170.0"	"--"	"红"
"17"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"尖头黄胡萝卜"	"中"	"JIAN TOU HUANG HU LUO BU"	"甜"	"2250"	"--"	"大"	"甘肃"	"--"	"黄"	"--"	"Daucus(胡萝卜属)"	"V01B0017"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"耐寒、旱"	"甘肃农科院蔬菜所"	"150"	"紫绿"	"--"	"强"	"半直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"粗"	"强"	"甘Ⅱ1B005"	"--"	"甘肃兰州市"	"生熟"	"Ⅱ1B0070"	"黄"	"6下-10下"	"--"	"600.0"	"--"	"黄"
"18"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"齐头黄胡萝卜"	"少"	"QI TOU HUANG HU LUO BU"	"甜"	"2750"	"--"	"大"	"甘肃"	"--"	"黄"	"--"	"Daucus(胡萝卜属)"	"V01B0018"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"耐寒"	"甘肃农科院蔬菜所"	"170"	"紫绿"	"--"	"强"	"平展"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"粗"	"强"	"甘Ⅱ1B006"	"--"	"甘肃陇西县"	"生熟"	"Ⅱ1B0065"	"黄"	"4下-10下"	"--"	"625.0"	"--"	"黄"
"19"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"文县胡萝卜"	"中"	"WEN XIAN HU LUO BU"	"甜"	"3500"	"--"	"小"	"甘肃"	"--"	"橙红"	"--"	"Daucus(胡萝卜属)"	"V01B0019"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"耐寒"	"甘肃农科院蔬菜所"	"110"	"绿"	"--"	"强"	"半直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"早年引自四川"	"致密"	"强"	"甘Ⅱ1B001"	"--"	"甘肃文县"	"生熟"	"Ⅱ1B0254"	"红"	"8上-11.12"	"--"	"135.0"	"--"	"红"
"20"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"从化红萝卜"	"少"	"CONG HUA HONG LUO BU"	"甜"	"1250"	"--"	"小"	"广东"	"--"	"白"	"--"	"Daucus(胡萝卜属)"	"V01B0020"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"耐热弱"	"广东农科院经作所"	"112"	"浅绿"	"--"	"强"	"半直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"易抽薹须根多"	"粗"	"强"	"G2-4"	"--"	"广东从化县"	"生熟"	"Ⅱ1B0217"	"橙红"	"9-12"	"--"	"50.0"	"--"	"红"
"21"	"--"	"Umbelliferae(伞形花科)"	"短圆锥"	"竹料红萝卜"	"中"	"ZHU LIAO HONG LUO BU"	"甜"	"1250"	"--"	"大"	"广东"	"--"	"白"	"--"	"Daucus(胡萝卜属)"	"V01B0021"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"强"	"广东农科院经作所"	"136"	"绿"	"--"	"强"	"半直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"脆"	"强"	"G2-3"	"--"	"广东广州市"	"熟食"	"Ⅱ1B0078"	"橙红"	"9-12"	"--"	"52.0"	"--"	"红"
"22"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"菪石土金笋"	"中"	"DANG SHI TU JIN SUN"	"甜"	"1300"	"--"	"中"	"广东"	"--"	"白"	"--"	"Daucus(胡萝卜属)"	"V01B0022"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"耐热弱"	"广东农科院经作所"	"122"	"浅绿"	"--"	"强"	"半直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"粗"	"强"	"G2-2"	"--"	"广东汕头市"	"熟食"	"Ⅱ1B0077"	"橙红"	"(8-9)-(12-次年1)"	"--"	"56.0"	"--"	"白"
"23"	"--"	"Umbelliferae(伞形花科)"	"长圆柱"	"红胡萝卜"	"中"	"HONG HU LUO BU"	"浓"	"2000"	"--"	"中"	"贵州"	"--"	"黄"	"--"	"Daucus(胡萝卜属)"	"V01B0023"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"耐热"	"贵州农科院园艺所"	"150"	"紫"	"--"	"强"	"半直立"	"深绿"	"--"	"--"	"--"	"--"	"--"	"引自贵州镇宁"	"脆嫩"	"--"	"1-B-22-2"	"--"	"贵州安顺市"	"生熟"	"Ⅱ1B0131"	"红"	"7下-12下"	"--"	"135.0"	"--"	"桔红"
"24"	"--"	"Umbelliferae(伞形花科)"	"长圆柱"	"胡萝卜"	"少"	"HU LUO BU"	"中"	"2000"	"--"	"小"	"贵州"	"--"	"黄"	"--"	"Daucus(胡萝卜属)"	"V01B0024"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"强"	"贵州农科院园艺所"	"110"	"紫绿"	"--"	"中"	"半直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"脆嫩"	"--"	"1-B-22-15"	"--"	"贵州安顺市"	"生熟"	"Ⅱ1B0137"	"紫红"	"7下-12下"	"--"	"125.0"	"--"	"黄"
"25"	"--"	"Umbelliferae(伞形花科)"	"长圆柱"	"黄胡萝卜"	"多"	"HUANG HU LUO BU"	"淡"	"2000"	"--"	"中"	"贵州"	"--"	"橙黄"	"--"	"Daucus(胡萝卜属)"	"V01B0025"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"耐热"	"贵州农科院园艺所"	"150"	"绿"	"--"	"强"	"半直立"	"深绿"	"--"	"--"	"--"	"--"	"--"	"引自贵州镇宁"	"艮硬"	"--"	"1-B-22-18"	"--"	"贵州安顺市"	"生熟"	"Ⅱ1B0138"	"黄"	"7下-12下"	"--"	"150.0"	"--"	"白"
"26"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"红胡萝卜"	"少"	"HONG HU LUO BU"	"中"	"1500"	"--"	"中"	"贵州"	"--"	"黄"	"--"	"Daucus(胡萝卜属)"	"V01B0049"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"中"	"贵州农科院园艺所"	"110"	"浅绿"	"--"	"中"	"半直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"脆"	"--"	"1-B-22-6"	"--"	"贵州苓巩县"	"生熟"	"Ⅱ1B0149"	"红"	"7下-12下"	"--"	"80.0"	"--"	"红"
"27"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"大顶红萝卜"	"中"	"DA DING HONG LUO BU"	"甜"	"3500"	"--"	"中"	"河北"	"--"	"--"	"--"	"Daucus(胡萝卜属)"	"V01B0057"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"中"	"河北农科院蔬菜所"	"100"	"绿"	"--"	"强"	"半直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"艮硬"	"中"	"卜15号"	"--"	"河北元氏县"	"生熟"	"Ⅱ1B0012"	"红"	"7中-10下"	"--"	"150.0"	"--"	"红"
"28"	"--"	"Umbelliferae(伞形花科)"	"短圆锥"	"安阳大红袍"	"中"	"AN YANG DA HONG PAO"	"浓"	"1800"	"--"	"大"	"河南"	"--"	"黄"	"--"	"Daucus(胡萝卜属)"	"V01B0058"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"强"	"河南农科院园艺所"	"110"	"浅绿"	"--"	"中"	"半直立"	"浅绿"	"--"	"--"	"--"	"--"	"--"	"--"	"疏松"	"强"	"2B0001"	"--"	"河南安阳县"	"熟食"	"Ⅱ1B0080"	"桔黄"	"7上-10下"	"--"	"245.0"	"--"	"桔红"
"29"	"--"	"Umbelliferae(伞形花科)"	"长圆筒"	"安阳紫胡萝卜"	"中"	"AN YANG ZI HU LUO BU"	"浓"	"2350"	"--"	"大"	"河南"	"--"	"黄绿"	"--"	"Daucus(胡萝卜属)"	"V01B0059"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"中"	"河南农科院园艺所"	"130"	"紫绿"	"--"	"中"	"半直立"	"浅绿"	"--"	"--"	"--"	"--"	"--"	"--"	"疏松"	"强"	"2B0003"	"--"	"河南安阳县"	"生熟"	"Ⅱ1B0081"	"紫红"	"7中-11下"	"--"	"122.0"	"--"	"桔红"
"30"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"登封胡萝卜"	"中"	"DENG FENG HU LUO BU"	"淡"	"900"	"--"	"小"	"河南"	"--"	"桔黄"	"--"	"Daucus(胡萝卜属)"	"V01B0060"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"--"	"河南农科院园艺所"	"110"	"紫绿"	"--"	"中"	"半直立"	"浅绿"	"--"	"--"	"--"	"--"	"--"	"--"	"疏松"	"强"	"2B0034"	"--"	"河南登封县"	"生熟"	"Ⅱ1B0100"	"桔红"	"7中-11上"	"--"	"75.0"	"--"	"桔红"
"31"	"--"	"Umbelliferae(伞形花科)"	"长圆筒"	"邓县姜黄胡萝卜"	"中"	"DENG XIAN JIANG HUANG HU LUO BU"	"淡"	"750"	"--"	"中"	"河南"	"--"	"黄绿"	"--"	"Daucus(胡萝卜属)"	"V01B0061"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"--"	"河南农科院园艺所"	"130"	"紫红"	"--"	"中"	"半直立"	"浅绿"	"--"	"--"	"--"	"--"	"--"	"--"	"疏松"	"--"	"2B0057"	"--"	"河南邓县"	"生熟"	"Ⅱ1B0115"	"桔红"	"7中-11下"	"--"	"100.0"	"--"	"浅桔黄"
"32"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"辉县胡萝卜"	"多"	"HUI XIAN HU LUO BU"	"浓"	"1550"	"--"	"中"	"河南"	"--"	"黄绿"	"--"	"Daucus(胡萝卜属)"	"V01B0065"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"--"	"河南农科院园艺所"	"110"	"浅绿"	"--"	"中"	"半直立"	"浅绿"	"--"	"--"	"--"	"--"	"--"	"--"	"疏松"	"--"	"2B0008"	"--"	"河南辉县"	"生熟"	"Ⅱ1B0085"	"黄"	"7上-10下"	"--"	"162.0"	"--"	"黄"
"33"	"--"	"Umbelliferae(伞形花科)"	"短圆筒"	"济源贼不偷"	"中"	"JI YUAN ZEI BU TON"	"浓"	"3050"	"--"	"中"	"河南"	"--"	"黄"	"--"	"Daucus(胡萝卜属)"	"V01B0066"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"--"	"河南农科院园艺所"	"120"	"浅绿"	"--"	"中"	"半直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"脆嫩"	"--"	"2B0011"	"--"	"河南济源县"	"生熟"	"Ⅱ1B0088"	"桔红"	"6中-10中"	"--"	"145.0"	"--"	"桔红"
"34"	"--"	"Umbelliferae(伞形花科)"	"短圆柱"	"沁阳胡萝卜"	"中"	"QIN YANG HU LUO BU"	"淡"	"1800"	"--"	"中"	"河南"	"--"	"黄"	"--"	"Daucus(胡萝卜属)"	"V01B0082"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"--"	"河南农科院园艺所"	"120"	"浅绿"	"--"	"中"	"半直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"艮硬"	"--"	"2B0012"	"--"	"河南沁阳县"	"生熟"	"Ⅱ1B0089"	"橙红"	"7下-11下"	"--"	"160.0"	"--"	"桔红"
"35"	"--"	"Umbelliferae(伞形花科)"	"长圆筒"	"紫皮胡萝卜"	"多"	"ZI PI HU LUO BU"	"淡"	"2400"	"--"	"中"	"河南"	"--"	"黄绿"	"--"	"Daucus(胡萝卜属)"	"V01B0086"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"--"	"河南农科院园艺所"	"130"	"紫绿"	"--"	"中"	"半直立"	"浅绿"	"--"	"--"	"--"	"--"	"--"	"--"	"脆嫩"	"--"	"2B0017"	"--"	"河南三门峡市"	"生熟"	"Ⅱ1B0092"	"紫红"	"7中-11下"	"--"	"179.0"	"--"	"橙红"
"36"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"小头鞭杆胡萝卜"	"多"	"XIAO TOU BIAN GAN HU LUO BU"	"浓"	"1650"	"--"	"中"	"河南"	"--"	"橙红"	"--"	"Daucus(胡萝卜属)"	"V01B0093"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"--"	"河南农科院园艺所"	"130"	"绿"	"--"	"--"	"半直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"疏松"	"--"	"2B0060"	"--"	"河南西平县"	"熟食"	"Ⅱ1B0118"	"橙红"	"7中-11下"	"--"	"125.0"	"--"	"桔红"
"37"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"西峡胡萝卜"	"少"	"XI XIA HU LUO BU"	"淡"	"2100"	"--"	"中"	"河南"	"--"	"黄"	"--"	"Daucus(胡萝卜属)"	"V01B0094"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"--"	"河南农科院园艺所"	"150"	"紫绿"	"--"	"--"	"半直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"疏松"	"--"	"2B0051"	"--"	"河南西峡县"	"生熟"	"Ⅱ1B0109"	"紫红"	"7上-12上"	"--"	"170.0"	"--"	"浅桔黄"
"38"	"--"	"Umbelliferae(伞形花科)"	"长圆锥"	"夏邑黄胡萝卜"	"多"	"XIA YI HUANG HU LUO BU"	"浓"	"2000"	"--"	"下"	"河南"	"--"	"黄"	"--"	"Daucus(胡萝卜属)"	"V01B0095"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"--"	"河南农科院园艺所"	"130"	"绿"	"--"	"中"	"半直立"	"浅绿"	"--"	"--"	"--"	"--"	"--"	"--"	"疏松"	"--"	"2B0082"	"--"	"河南夏邑县"	"生熟"	"Ⅱ1B0214"	"黄"	"7中-11下"	"--"	"80.0"	"--"	"浅黄"
"39"	"--"	"Umbelliferae(伞形花科)"	"长圆筒"	"粟庄胡萝卜"	"多"	"SU ZHUANG HU LUO BU"	"浓"	"2850"	"--"	"中"	"河南"	"--"	"橙黄"	"--"	"Daucus(胡萝卜属)"	"V01B0096"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"--"	"河南农科院园艺所"	"120"	"浅绿"	"--"	"--"	"直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"脆嫩"	"--"	"2B0009"	"--"	"河南新乡市"	"生熟"	"Ⅱ1B0086"	"橙红"	"7下-11下"	"--"	"185.0"	"--"	"桔红"
"40"	"--"	"Umbelliferae(伞形花科)"	"短圆筒"	"新乡胡萝卜"	"多"	"XIN XIANG HU LUO BU"	"浓"	"1450"	"--"	"小"	"河南"	"--"	"黄绿"	"--"	"Daucus(胡萝卜属)"	"V01B0097"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"--"	"河南农科院园艺所"	"120"	"浅绿"	"--"	"--"	"直立"	"浅绿"	"--"	"--"	"--"	"--"	"--"	"--"	"脆嫩"	"--"	"2B0010"	"--"	"河南新乡市"	"生熟"	"Ⅱ1B0087"	"橙红"	"7下-11下"	"--"	"120.0"	"--"	"桔红"
"41"	"--"	"Umbelliferae(伞形花科)"	"短圆锥"	"小顶胡萝卜"	"中"	"XIAO DING HU LUO BU"	"淡"	"1750"	"--"	"小"	"河南"	"--"	"黄"	"--"	"Daucus(胡萝卜属)"	"V01B0102"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"--"	"河南农科院园艺所"	"130"	"绿"	"--"	"--"	"半直立"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"疏松"	"--"	"2B0043"	"--"	"河南永城县"	"生熟"	"Ⅱ1B0106"	"黄"	"7下-12上"	"--"	"90.0"	"--"	"黄"
"42"	"--"	"Umbelliferae(伞形花科)"	"长圆筒"	"小缨胡萝卜"	"少"	"XIAO YING HU LUO BU"	"淡"	"1000"	"--"	"小"	"河南"	"--"	"黄绿"	"--"	"Daucus(胡萝卜属)"	"V01B0106"	"--"	"Daucus carota L. var sativa DC.(胡萝卜)"	"--"	"河南农科院园艺所"	"140"	"紫绿"	"--"	"--"	"半直立"	"浅绿"	"--"	"--"	"--"	"--"	"--"	"--"	"脆嫩"	"--"	"2B0030"	"--"	"河南嵩县"	"生熟"	"Ⅱ1B0099"	"橙黄"	"7上-11下"	"--"	"90.0"	"--"	"浅桔黄"
