"id"	"蜡质厚薄"	"科名"	"子叶面积"	"钠含量"	"保存编号"	"品种名称"	"叶盖面直径"	"种子产量"	"染色体倍性"	"种子成熟期"	"粒性"	"开花盛期"	"白粉病"	"根头大小"	"省"	"抽苔盛期"	"译名"	"根沟深浅"	"类型"	"当年抽苔率"	"库编号"	"肉质粗细"	"育性"	"蔗糖产量"	"学名"	"统一编号"	"黄花毒病"	"叶柄宽"	"块根深度"	"果盖脱落率"	"处署绿叶"	"种子成熟度"	"叶面形状"	"块根形状"	"幼苗百株重"	"钾含量"	"种子发芽率"	"花粉量"	"叶柄色"	"子叶大小"	"处署枯叶"	"褐斑病"	"属名"	"单粒率"	"结实密度"	"株型"	"苗期生长势"	"保存单位"	"叶色"	"种株株型"	"氮含量"	"叶丛型"	"根腐病"	"备注"	"叶肉厚薄"	"蔗糖含量"	"叶缘形"	"叶形"	"维管束环数"	"根叶比值"	"叶柄长"	"下胚轴色"	"叶面多毛性"	"茎叶产量"	"经济类型"	"种子单粒率"	"块根产量吨"	"块根产量"	"不育率"	"品种来源"	"抽苔率"	"叶数"	"种子千粒重"	"根皮光滑"	"出苗盛期"	"蔗糖产量吨"	"根肉色"
"11"	"厚"	"Chenopodiaceae(藜科)"	"154.66"	"1.823"	"D01006"	"甜研三号"	"72.0"	"65.00"	"2x"	"--"	"多"	"6.24"	"--"	"小"	"黑龙江"	"6.10"	"TIAN YAN SAN HAO"	"深"	"选育"	"3.30"	"I6A00274"	"细"	"可育"	"185.46"	"Beta vulgaris L.(甜菜)"	"ZT000011"	"--"	"宽"	"--"	"--"	"--"	"99.0"	"波浪"	"楔形"	"709.00"	"3.781"	"80.0"	"中"	"绿"	"--"	"--"	"MS"	"Beta(甜菜属)"	"0"	"24.9"	"单茎"	"旺"	"中国农科院甜菜研究所"	"淡绿"	"单茎"	"1.644"	"斜立"	"--"	"--"	"薄"	"15.60"	"中波"	"舌形"	"8"	"2.285"	"长"	"混"	"有毛"	"789.91"	"N"	"--"	"17.81"	"1187.30"	"0"	"中国:黑龙江"	"98.20"	"31.8"	"38.0"	"光滑"	"5.17"	"2.78"	"白"
"12"	"厚"	"Chenopodiaceae(藜科)"	"113.83"	"3.155"	"D01007"	"甜研四号"	"65.0"	"--"	"2x"	"--"	"多"	"6.24"	"--"	"大"	"黑龙江"	"6.10"	"TIAN YAN SI HAO"	"深"	"选育"	"0.00"	"I6A00007"	"细"	"可育"	"228.70"	"Beta vulgaris L.(甜菜)"	"ZT000012"	"--"	"中"	"--"	"--"	"--"	"100.0"	"波浪"	"圆锥"	"698.00"	"2.666"	"97.0"	"多"	"绿"	"--"	"--"	"MR"	"Beta(甜菜属)"	"0"	"20.9"	"多茎"	"中"	"中国农科院甜菜研究所"	"绿"	"多茎"	"0.831"	"斜立"	"--"	"--"	"薄"	"17.60"	"中波"	"犁铧"	"6"	"4.853"	"中"	"混"	"光滑"	"378.19"	"EZ"	"--"	"19.54"	"1302.96"	"0"	"中国:黑龙江"	"100.00"	"31.4"	"31.0"	"光滑"	"5.17"	"3.44"	"淡黄"
"13"	"厚"	"Chenopodiaceae(藜科)"	"170.94"	"3.734"	"D01008"	"晋甜一号"	"68.0"	"102.00"	"2x"	"--"	"多"	"6.25"	"--"	"大"	"山西"	"6.10"	"JIN TIAN YI HAO"	"深"	"选育"	"0.00"	"I6A00008"	"细"	"可育"	"218.63"	"Beta vulgaris L.(甜菜)"	"ZT000013"	"--"	"中"	"--"	"--"	"--"	"100.0"	"波浪"	"纺锤"	"813.00"	"2.407"	"80.0"	"中"	"绿"	"--"	"--"	"MS"	"Beta(甜菜属)"	"0"	"17.8"	"多茎"	"较旺"	"中国农科院甜菜研究所"	"绿"	"多茎"	"1.700"	"斜立"	"--"	"--"	"薄"	"17.80"	"中波"	"犁铧"	"7"	"2.533"	"中"	"混"	"光滑"	"557.23"	"NZ"	"--"	"18.41"	"1227.58"	"0"	"中国:山西"	"87.50"	"32.1"	"25.0"	"光滑"	"5.20"	"3.28"	"白"
"14"	"中"	"Chenopodiaceae(藜科)"	"191.38"	"0.241"	"D01009"	"甜411"	"60.0"	"55.00"	"4x"	"--"	"多"	"6.25"	"--"	"小"	"黑龙江"	"6.10"	"TIAN 411"	"深"	"选育"	"0.00"	"I6A00009"	"细"	"可育"	"206.28"	"Beta vulgaris L.(甜菜)"	"ZT000014"	"--"	"宽"	"--"	"--"	"--"	"100.0"	"波浪"	"纺锤"	"697.00"	"2.349"	"80.0"	"多"	"绿"	"--"	"--"	"MR"	"Beta(甜菜属)"	"0"	"19.4"	"单茎"	"中"	"中国农科院甜菜研究所"	"绿"	"单茎"	"1.684"	"斜立"	"--"	"--"	"厚"	"17.90"	"中波"	"犁铧"	"6"	"9.486"	"中"	"淡绿"	"光滑"	"192.73"	"NZ"	"--"	"17.31"	"1154.31"	"0"	"中国:黑龙江"	"80.00"	"26.9"	"45.0"	"光滑"	"5.23"	"3.10"	"白"
"15"	"中"	"Chenopodiaceae(藜科)"	"159.60"	"7.900"	"D01010"	"范22"	"70.0"	"--"	"2x"	"--"	"多"	"6.30"	"--"	"大"	"吉林"	"6.18"	"FAN 22"	"浅"	"选育"	"0.00"	"I6A00202"	"细"	"可育"	"172.86"	"Beta vulgaris L.(甜菜)"	"ZT000015"	"--"	"中"	"--"	"--"	"--"	"99.0"	"波浪"	"圆锥"	"790.00"	"1.889"	"89.0"	"中"	"绿"	"--"	"--"	"MR"	"Beta(甜菜属)"	"0"	"18.2"	"多茎"	"较弱"	"中国农科院甜菜研究所"	"绿"	"多茎"	"3.511"	"斜立"	"--"	"--"	"薄"	"14.80"	"大波"	"犁铧"	"5"	"2.849"	"中"	"混"	"有毛"	"649.68"	"LL"	"--"	"17.53"	"1168.74"	"0"	"中国:吉林"	"93.75"	"31.8"	"32.0"	"光滑"	"5.20"	"2.59"	"白"
"16"	"厚"	"Chenopodiaceae(藜科)"	"176.09"	"3.425"	"D01011"	"顺天根"	"58.0"	"20.00"	"2x"	"--"	"多"	"6.24"	"--"	"大"	"黑龙江"	"6.14"	"SHUN TIAN GEN"	"浅"	"地方"	"1.70"	"I6A00203"	"粗"	"可育"	"174.76"	"Beta vulgaris L.(甜菜)"	"ZT000016"	"--"	"中"	"--"	"--"	"--"	"100.0"	"波浪"	"圆锥"	"570.00"	"3.509"	"80.0"	"多"	"绿"	"--"	"--"	"S"	"Beta(甜菜属)"	"0"	"20.7"	"单茎"	"弱"	"中国农科院甜菜研究所"	"淡绿"	"单茎"	"2.520"	"斜立"	"--"	"--"	"厚"	"15.60"	"中波"	"犁铧"	"7"	"5.624"	"长"	"混"	"光滑"	"288.66"	"N"	"--"	"16.82"	"1121.55"	"0"	"中国:东北"	"100.00"	"37.1"	"35.0"	"不光滑"	"5.23"	"2.62"	"白"
"17"	"薄"	"Chenopodiaceae(藜科)"	"118.57"	"2.395"	"D01012"	"双丰十号"	"60.0"	"--"	"2x"	"--"	"多"	"6.24"	"--"	"大"	"黑龙江"	"6.14"	"SHUANG FENG SHI HAO"	"深"	"选育"	"0.00"	"I6A00204"	"细"	"可育"	"203.72"	"Beta vulgaris L.(甜菜)"	"ZT000017"	"--"	"宽"	"--"	"--"	"--"	"100.0"	"波浪"	"楔形"	"736.00"	"3.014"	"84.0"	"中"	"绿"	"--"	"--"	"MS"	"Beta(甜菜属)"	"0"	"23.8"	"多茎"	"弱"	"中国农科院甜菜研究所"	"绿"	"多茎"	"0.870"	"斜立"	"--"	"--"	"厚"	"18.20"	"中波"	"犁铧"	"6"	"2.223"	"短"	"混"	"光滑"	"745.47"	"ZZ"	"--"	"16.80"	"1119.94"	"0"	"中国:黑龙江"	"10.00"	"29.5"	"32.0"	"光滑"	"5.23"	"3.06"	"白"
"18"	"厚"	"Chenopodiaceae(藜科)"	"157.83"	"3.997"	"D01013"	"六八六-14"	"65.0"	"55.00"	"2x"	"--"	"多"	"6.26"	"--"	"大"	"江苏"	"6.14"	"LIU BA LIU -14"	"浅"	"选育"	"8.30"	"I6A00010"	"细"	"可育"	"186.70"	"Beta vulgaris L.(甜菜)"	"ZT000018"	"--"	"中"	"--"	"--"	"--"	"100.0"	"波浪"	"圆锥"	"684.00"	"4.403"	"96.0"	"中"	"绿"	"--"	"--"	"S"	"Beta(甜菜属)"	"0"	"19.7"	"多茎"	"弱"	"中国农科院甜菜研究所"	"绿"	"多茎"	"1.991"	"斜立"	"--"	"--"	"厚"	"18.30"	"中波"	"犁铧"	"6"	"2.425"	"中"	"混"	"光滑"	"624.60"	"ZZ"	"--"	"15.18"	"1012.33"	"0"	"中国:江苏"	"83.30"	"33.9"	"34.0"	"光滑"	"5.23"	"2.80"	"白"
"19"	"中"	"Chenopodiaceae(藜科)"	"138.40"	"7.549"	"D01014"	"玛拉斯白色"	"60.0"	"--"	"2x"	"--"	"多"	"6.27"	"--"	"大"	"新疆"	"6.18"	"MA LA SI BAI SE"	"浅"	"地方"	"0.00"	"I6A00205"	"细"	"可育"	"153.91"	"Beta vulgaris L.(甜菜)"	"ZT000019"	"--"	"窄"	"--"	"--"	"--"	"99.0"	"波浪"	"纺锤"	"573.00"	"2.335"	"83.0"	"中"	"绿"	"--"	"--"	"S"	"Beta(甜菜属)"	"0"	"20.6"	"多茎"	"较弱"	"中国农科院甜菜研究所"	"绿"	"多茎"	"1.734"	"斜立"	"--"	"--"	"薄"	"14.00"	"中波"	"犁铧"	"6"	"3.274"	"短"	"混"	"光滑"	"363.03"	"LL"	"--"	"16.49"	"1099.37"	"0"	"中国:新疆"	"71.30"	"33.6"	"22.0"	"光滑"	"5.23"	"2.31"	"白"
"20"	"中"	"Chenopodiaceae(藜科)"	"126.37"	"1.977"	"D01015"	"昌七"	"65.0"	"135.00"	"2x"	"--"	"多"	"6.24"	"--"	"小"	"辽宁"	"6.10"	"CHANG QI"	"浅"	"选育"	"0.00"	"I6A00275"	"粗"	"可育"	"212.67"	"Beta vulgaris L.(甜菜)"	"ZT000020"	"--"	"中"	"--"	"--"	"--"	"100.0"	"波浪"	"圆锥"	"750.00"	"3.523"	"77.0"	"中"	"绿"	"--"	"--"	"S"	"Beta(甜菜属)"	"0"	"23.1"	"多茎"	"较弱"	"中国农科院甜菜研究所"	"绿"	"多茎"	"0.519"	"斜立"	"--"	"--"	"厚"	"17.80"	"中波"	"犁铧"	"5"	"1.773"	"中"	"混"	"光滑"	"874.94"	"NZ"	"--"	"17.92"	"1194.77"	"0"	"中国:辽宁"	"87.50"	"28.1"	"37.0"	"光滑"	"5.23"	"3.19"	"白"
"21"	"厚"	"Chenopodiaceae(藜科)"	"135.51"	"2.755"	"D01019"	"六八六-06"	"60.0"	"130.00"	"2x"	"--"	"多"	"6.23"	"--"	"大"	"江苏"	"6.10"	"LIU BA LIU -06"	"深"	"选育"	"5.00"	"I6A00014"	"细"	"可育"	"223.01"	"Beta vulgaris L.(甜菜)"	"ZT000024"	"--"	"中"	"--"	"4.0"	"--"	"99.0"	"波浪"	"圆锥"	"625.00"	"1.780"	"82.0"	"多"	"绿"	"--"	"--"	"MS"	"Beta(甜菜属)"	"0"	"24.1"	"多茎"	"弱"	"中国农科院甜菜研究所"	"绿"	"多茎"	"0.669"	"斜立"	"--"	"--"	"厚"	"17.60"	"大波"	"犁铧"	"5"	"2.351"	"短"	"混"	"光滑"	"654.36"	"NZ"	"--"	"19.00"	"1266.37"	"0"	"中国:江苏"	"87.50"	"37.5"	"29.0"	"光滑"	"5.17"	"3.34"	"白"
"22"	"厚"	"Chenopodiaceae(藜科)"	"138.58"	"1.884"	"D01023"	"A80417"	"60.0"	"150.00"	"2x"	"--"	"多"	"6.25"	"--"	"小"	"黑龙江"	"6.10"	"A80417"	"深"	"地方"	"0.00"	"I6A00017"	"细"	"可育"	"227.01"	"Beta vulgaris L.(甜菜)"	"ZT000028"	"--"	"中"	"--"	"--"	"--"	"100.0"	"波浪"	"纺锤"	"785.00"	"2.576"	"84.0"	"多"	"绿"	"--"	"--"	"MS"	"Beta(甜菜属)"	"0"	"22.9"	"多茎"	"较弱"	"中国农科院甜菜研究所"	"绿"	"多茎"	"0.971"	"斜立"	"--"	"--"	"薄"	"18.80"	"中波"	"犁铧"	"7"	"1.606"	"短"	"混"	"光滑"	"1130.99"	"NZ"	"--"	"18.08"	"1205.54"	"0"	"中国:黑龙江"	"100.00"	"33.0"	"20.0"	"光滑"	"5.17"	"3.40"	"白"
"23"	"厚"	"Chenopodiaceae(藜科)"	"159.70"	"1.990"	"D01024"	"晋甜二号"	"60.0"	"30.00"	"2x"	"--"	"多"	"6.25"	"--"	"大"	"山西"	"6.14"	"JIN TIAN ER HAO"	"浅"	"选育"	"0.00"	"I6A00018"	"细"	"可育"	"206.39"	"Beta vulgaris L.(甜菜)"	"ZT000029"	"--"	"中"	"--"	"--"	"--"	"100.0"	"波浪"	"圆锥"	"942.00"	"4.107"	"92.0"	"中"	"绿"	"--"	"--"	"S"	"Beta(甜菜属)"	"0"	"25.3"	"单茎"	"旺"	"中国农科院甜菜研究所"	"浓绿"	"单茎"	"0.408"	"斜立"	"--"	"--"	"厚"	"18.30"	"中波"	"犁铧"	"6"	"3.167"	"中"	"混"	"光滑"	"748.51"	"NZ"	"--"	"16.91"	"1127.19"	"0"	"中国:山西"	"100.00"	"33.7"	"37.0"	"不光滑"	"5.23"	"3.09"	"白"
"24"	"厚"	"Chenopodiaceae(藜科)"	"129.35"	"0.404"	"D01068"	"石4-1"	"70.0"	"--"	"4x"	"--"	"多"	"6.29"	"--"	"小"	"新疆"	"6.19"	"SHI 4-1"	"浅"	"地方"	"0.00"	"I6A00554"	"细"	"可育"	"190.05"	"Beta vulgaris L.(甜菜)"	"ZT000073"	"--"	"中"	"--"	"--"	"--"	"98.0"	"皱褶"	"纺锤"	"518.00"	"4.102"	"80.0"	"中"	"绿"	"--"	"--"	"HS"	"Beta(甜菜属)"	"0"	"18.9"	"混和"	"较弱"	"中国农科院甜菜研究所"	"淡绿"	"混合"	"2.472"	"匍匐"	"--"	"--"	"薄"	"15.40"	"大波"	"犁铧"	"5"	"4.283"	"中"	"淡绿"	"光滑"	"237.14"	"LL"	"--"	"18.50"	"1233.29"	"0"	"中国:新疆"	"83.30"	"22.0"	"35.0"	"光滑"	"5.23"	"2.85"	"淡黄"
"25"	"薄"	"Chenopodiaceae(藜科)"	"115.02"	"4.084"	"D01071"	"1014-5A"	"70.0"	"170.00"	"2x"	"--"	"多"	"6.24"	"--"	"小"	"黑龙江"	"6.10"	"1014-5A"	"浅"	"地方"	"0.00"	"I6A00226"	"细"	"不育"	"137.75"	"Beta vulgaris L.(甜菜)"	"ZT000076"	"--"	"中"	"--"	"--"	"--"	"100.0"	"皱褶"	"纺锤"	"953.00"	"2.596"	"87.0"	"少"	"淡绿"	"--"	"--"	"MR"	"Beta(甜菜属)"	"0"	"24.4"	"单茎"	"旺"	"中国农科院甜菜研究所"	"淡绿"	"单茎"	"0.514"	"直立"	"--"	"--"	"厚"	"17.70"	"中波"	"舌形"	"5"	"1.069"	"短"	"混"	"光滑"	"1175.42"	"Z"	"--"	"11.66"	"777.37"	"85"	"中国:黑龙江"	"90.00"	"24.7"	"35.0"	"光滑"	"5.17"	"2.06"	"白"
"26"	"厚"	"Chenopodiaceae(藜科)"	"112.39"	"1.941"	"D01103"	"8546"	"65.0"	"25.00"	"2x"	"--"	"多"	"6.27"	"--"	"小"	"黑龙江"	"6.14"	"8546"	"浅"	"地方"	"1.70"	"I6A00277"	"细"	"可育"	"215.28"	"Beta vulgaris L.(甜菜)"	"ZT000108"	"--"	"宽"	"--"	"1.0"	"--"	"100.0"	"波浪"	"圆锥"	"948.00"	"2.219"	"84.0"	"多"	"绿"	"--"	"--"	"MS"	"Beta(甜菜属)"	"0"	"28.3"	"混和"	"中"	"中国农科院甜菜研究所"	"浓绿"	"混合"	"3.639"	"斜立"	"--"	"--"	"厚"	"18.80"	"中波"	"犁铧"	"7"	"3.177"	"长"	"混"	"光滑"	"756.57"	"NZ"	"--"	"17.23"	"1148.76"	"0"	"中国:黑龙江"	"95.50"	"38.1"	"29.0"	"光滑"	"5.23"	"3.24"	"白"
"27"	"厚"	"Chenopodiaceae(藜科)"	"158.86"	"5.160"	"D01104"	"7626"	"60.0"	"--"	"2x"	"--"	"多"	"6.30"	"--"	"小"	"黑龙江"	"6.20"	"7626"	"浅"	"地方"	"0.00"	"I6A00243"	"细"	"可育"	"205.29"	"Beta vulgaris L.(甜菜)"	"ZT000109"	"--"	"中"	"--"	"--"	"--"	"100.0"	"波浪"	"纺锤"	"731.00"	"3.114"	"91.0"	"中"	"绿"	"--"	"--"	"MS"	"Beta(甜菜属)"	"0"	"17.5"	"混和"	"较旺"	"中国农科院甜菜研究所"	"绿"	"混合"	"1.146"	"斜立"	"--"	"--"	"厚"	"17.10"	"中波"	"犁铧"	"7"	"16.430"	"长"	"混"	"光滑"	"152.32"	"N"	"--"	"17.99"	"1199.29"	"0"	"中国:黑龙江"	"50.00"	"34.8"	"38.0"	"光滑"	"5.23"	"3.08"	"白"
