"id"	"主要危害部位"	"地理分布"	"为害症状"	"病害类型"	"中文名"	"病原中文名"	"病原拉丁学名"	"主要危害作物"	"别名"	"病原分类地位"	"病原形态特征"	"相关文献"	"防治方法"	"英文名"	"记录号"	"传播途径和发病条件"	"图片"
"100"	"主要危害叶片和幼果"		"该病主要危害叶片和幼果。发病初期呈圆形小霉斑，扩大后病斑合并，上生白色粉状物；秋后病叶的正反面出现黑色小颗粒。"	"真菌"	"桃树白粉病"	"三指叉丝单囊壳菌和桃单壳丝菌"	"三指叉丝单囊壳菌(Podosphaera tridactyta)和桃单壳丝菌(Sphaerotheca  pannosa)"	"桃树"		"子囊菌亚门"		"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 郭书普等编著． 桃树、葡萄病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004"	"防治方法 (1)农业防治。秋天落叶后及时清洁果园，将落叶集中烧毁，以消灭越冬病原菌。 (2)药剂防治。发芽前全园喷药，常用药剂有波美2～3度石硫合剂，25％三唑酮3 000倍液，95％精品索利巴可溶性粉剂150～200倍液，杀灭越冬树上的病菌；发芽后、开花前、落花后各喷药1次，可用62．25％仙生可湿性粉剂600倍液，1 5％三唑酮可湿性粉剂1 500～2000倍液及12．5％烯唑醇可湿性粉剂2000～2 500倍液。"	"Peach powdery mildew"	"ed00134"	"该病为真菌性病害，病原菌为三指叉丝单囊壳菌(Podosphaera tridactyta)和桃单壳丝菌(Sphaerotheca  pannosa)。病原菌以子囊壳或菌丝越冬，第2年春天放出子囊壳作为初侵染源。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/桃树白粉病.jpg"
"101"	"主干、主枝、侧枝"		"果树腐烂病多发生在主干、主枝、侧枝上，有时主根基部也受害。发病部位多在枝干向阳面及枝杈处。发病初期病部稍隆起，呈水浸状，有时外部可见米粒大的流胶，按之下陷，轮廓呈长椭圆形；病部初为黄白色，渐变为褐色、棕褐色至黑色；胶点下病组织呈黄褐色湿润腐烂，病组织松软、糟烂，腐烂皮层有酒糟味。后期腐烂组织干缩凹陷，表面产生灰褐色钉头状突起，如撕开表皮，可见许多似眼球状的黑色突起，表面产生小黑点，潮湿条件下小黑点上可溢出橘黄色丝状孢子角。当病斑扩展环绕枝干一周时，即造成枝干枯死甚至全树死亡。"	"真菌"	"桃树腐烂病"	"核果黑腐皮壳菌"	"Valsa leucostoma"	"桃树"	"干枯病、胴枯病"	"子囊菌亚门"		"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 郭书普等编著． 桃树、葡萄病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004"	"(1)农业防治。对主枝、侧枝上的早期病斑应及时用锋利刮刀将树干病皮表层刮去，一般要刮去l毫米表层活皮，到露出白绿色健皮为止，注意要刮净病变组织，并将刮下的有病组织拿出果园集中烧毁；对严重的病枝或将死亡的主干要及时锯掉，拿出果园烧毁；增施有机肥，适期追肥；合理科学疏果，调节好负载量，增强树势，以提高果树的抗病性；冬前及时将树干涂白，防止发生冻害；注意防治蛀干害虫，避免造成各种伤口。 (2)药剂防治。落叶后或发芽前，全园喷施1次40％福美胂可湿性粉剂100倍液或3～5度石硫合剂，铲除树体带菌；轻划病皮后涂内吸性较强的药剂，喷施具有渗透性、残效期长的杀菌剂，如甲基托布津1000倍液、百菌清1500倍液、果富康500倍液，杀灭树皮上潜伏的腐烂病菌，防止病菌侵染再次发病；对刮除病组织的伤口要采取涂药杀菌措施，药剂可采用5～10度石硫合剂，45％晶体石硫合剂20倍液，果富康10～15倍液。"	"Peach canker"	"ed00135"	"病原菌以菌丝体、子囊壳及分生孢子器在枝干病组织中越冬；第2年病原菌借风雨及昆虫传播，主要从伤口侵入危害，也可经皮孔侵入。冻害造成的伤口是病原菌侵入的主要途径。病原菌 侵入后主要在皮层内扩展危害，严重时也可侵害浅层木质部。该病自早春到晚秋都可发生，但以4—6月份发病最盛，危害最严重。土壤黏重，有机质缺乏，偏施氮肥及枝干害虫发生多的果园，腐烂病常发生较重。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/桃树腐烂病.jpg"
"102"	"主要危害枝干，也可侵染果实"		"主要危害枝干，也可侵染果实。病菌侵入桃树当年新梢，出现以皮孔为中心的瘤状突起病斑，直径1～4毫米，当年不流胶，第2年5月份瘤皮开裂溢出胶液，胶液为无色半透明黏质，变为茶褐色硬块；病部凹陷成圆形或不规则形斑块，上散生小黑粒点；危害多年生枝干时，呈现l～2厘米的水泡状隆起，病部均可渗出褐色胶液，引起枝干溃疡甚至枯死；桃果褐腐，密生小粒点，潮湿时流出白色块状物。"	"真菌"	"桃树干腐病"	"葡萄座腔菌"	"Botryosphaeria dothidea"	"桃树"	"侵染性流胶病"	"子囊菌亚门"		"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 郭书普等编著． 桃树、葡萄病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004"	"(1)农业防治。增施农家肥等有机肥料，科学使用氮、磷、钾肥；合理疏花、疏果，促使树势强壮，提高抗病能力；冬前及时将树干涂白，防止发生冻害；及时防治蛀干害虫，减少枝干受伤；冬季做好清园工作，清除病、死枝干，减少园内病原菌越冬场所。 (2)药剂防治。发现病斑及时治疗，因桃树极易受伤流胶，且伤口又不易愈合，所以干腐病斑不宜采用刮治，以直接涂药治疗为宜。发芽前全园喷施1次波美2～3度石硫合剂，或95％精品索利巴尔可溶性粉剂80～100倍液，或40％福美胂可湿性粉剂100倍液等，铲除部分树上越冬病原菌；桃树落花5～7天后，喷施2～3次杀菌剂，如50％多菌灵可湿性粉剂800～1 000倍液、70％甲基托布津可湿性粉剂1 000～1 200倍液，50％苯菌灵可湿性粉剂1 000～1 200倍液等，防止病原菌侵染。"	"Peach fusarium basal rot"	"ed00136"	"病原菌主要是由分生孢子通过水和风传播，雨天从病部溢出病菌，顺着枝干流下或随着水溅附在新梢上，从皮孔、伤口侵入，成为新梢初次感病的主要菌源。当气温在15℃左右时，病部即可渗出胶液。随着气温上升，树体流胶点增多，病情逐步加重。该病1年有2个发病高峰期，分别在5月上旬至6月上旬和8月上旬至9月中旬，到9月下旬以后就不再侵染危害。病菌侵入最有利的时机是枝条皮层细胞逐渐木栓化、皮孔形成以后。一般在直立生长的枝干基部以上部位受害严重，侧生的枝干向地表的一面重于向上的一面；枝干分权处易积水的地方受害重；土质瘠薄，肥水不足，负载量大均可诱发流胶病；黄桃系统较白桃系统感病轻。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/桃树干腐病.jpg"
"103"	"主要危害根部"		"病原菌主要危害根部，造成根部皮层腐烂。该病初发部位不定，但无论从何处开始发生，均迅速扩展到根颈部，再从根颈部向周围蔓延。根朽病的主要症状是皮层与木质部问充满白色至淡黄色菌丝层，菌丝呈扇状向外扩展，新鲜菌丝层在黑暗处有蓝绿色荧光，病根有浓烈的蘑菇味。发病后期，病部皮层腐烂，木质部腐朽；雨季或潮湿环境下，病部或断根处可产生成丛的蜜黄色蘑菇状子实体。轻病树叶小、叶黄，新梢生长量小；重病树叶片早落，枝条枯死，甚至全树死亡。"	"真菌"	"桃树根朽病"	"发光假蜜环菌"	"Armillariella tabescens"	"寄主范围非常广泛"		"担子菌亚门"		"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 郭书普等编著． 桃树、葡萄病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004"	"(1)农业防治。新建果园时，不要选择旧林地及树木较多的河滩地、古墓坟场等场所，如必须在这样的地块建园时，首先要彻底清除树桩、残根、烂皮等病残体；其次还要对土壤进行灌水、翻耕、晾晒，以促进残余病残体的腐烂分解；有条件的也可用塑料薄膜覆盖土壤过夏，利用太阳热能杀死病原菌；也可用200倍福尔马林溶液浇灌土壤进行熏蒸杀菌，待福尔马林充分散发后再定植苗木。发现病树后，应挖开根颈周围寻找发病部位，并根据病斑部位彻底寻找主、侧、支根的发病部位；根据病情轻重彻底刮除或锯除病组织，并将病残体彻底清除干净；病树治疗后，一方面要增施肥水，保证营养供应，进行重剪、降低树体负担，另一方面还要及时换根或根部桥接，增加根系吸收能力，促进树势恢复。发现病树后，为避免扩散蔓延，可在病树周围挖沟封锁，一般沟深50～60厘米，宽30～40厘米。 (2)药剂防治。伤口涂药保护，有效药剂如波尔多液、1％一2％硫酸铜溶液、波美2～3度石硫合剂等；用无病土或药土覆盖根部，药土为70％五氯硝基苯以l：(50—100)的比例与换入新土混合即成。对轻病树或难以彻底找到发病部位的，也可采用直接灌药的方法进行治疗，方法为在树冠下每20厘米左右打1孔，孔径3厘米，孔深30～50厘米，每孔灌入200倍福尔马林溶液100毫升，然后用土封闭灌药孔。"	"Peach armillariella root rot"	"ed00137"	"病原菌主要以菌丝体在田间病株及病残体上越冬，病残体腐烂分解后病原菌随之死亡。病健根接触及病残体移动是病害传播的主要方式。当病健根接触或健根与病残体接触时，病原菌即可通过伤口直接侵入，并迅速扩展危害。根朽病多发生在由旧林地或河滩地改建的果园中，前作没有种过树的果园很少发病。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/桃树根朽病.jpg"
"104"	"主要危害叶片，也危害新梢和果实"		"叶片发病初期出现圆形或近圆形病斑，边缘紫色，略带轮纹，病斑直径1～4毫米；后期病斑上长出灰褐色霉状物，中部干枯脱落，形成穿孔，穿孔的边缘整齐，穿孔多时叶片脱落。"	"真菌"	"桃树褐斑穿孔病"	"核果尾孢菌"	"Cercospora circumscissa"	"桃树"		"半知菌亚门"		"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 郭书普等编著． 桃树、葡萄病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004"	"(1)农业防治。选种抗病品种，把果园建在能排能灌的地方，合理密植，科学修剪，使桃园通风透光；配方施肥，避免偏施氮肥，增强树势，提高树体抗病力；清除越冬菌源；秋末冬初结合修剪，剪除病枝、枯枝，清除僵果、残桩、落叶，集中烧毁或深埋；生长期剪除枯枝，摘除病果，防止再侵染；采用果实套袋可以有效减少病果。 (2)药剂防治。在桃树落叶后及春季发芽前，应全园喷1次波美3—5度的石硫合剂并加入200～300倍的五氯酚钠；落花后喷药，常用药剂有70％代森锰锌可湿性粉剂500倍液，50％超微果菌灵可湿性粉剂600倍液，70％甲基托布津可湿性粉剂800倍液，40％多丰农可湿性粉剂500倍液。以上药剂可轮换用药，每隔10～15天用药1次。应在发病初期用药和雨前用药。雨多多喷，雨少少喷，遇雨补喷，无雨定期喷药。"		"ed00138"	"病原菌以菌丝体在病叶或枝梢病组织内越冬，第2年春天气温回升，降雨后产生分生孢子，借风雨传播，侵染叶片、新梢和果实。潜育时间较长，病部产生的分生孢子进行再侵染。发病适温为28℃，低温多雨利于发病。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/桃树褐斑穿孔病.jpg"
"105"	"主要危害果实、花、叶和枝梢"		"果实在整个生育期均可被害，以近成熟期和贮藏期受害重。果实发病初于果面产生褐色圆形病斑，病部果肉变褐腐烂，病斑扩展迅速，数日即可波及整个果面，病斑表面产生黄白色或灰褐色绒状霉层；后期病果全部腐烂，并失水干缩而形成僵果，初为褐色，最后变为黑褐色；僵果常悬挂于枝上经久不落，称“桃枭”。花器发病，先侵染花瓣和柱头，初呈褐色水渍状斑点，渐蔓延到萼片和花柄上，天气潮湿时，病花迅速腐烂，表面产生灰色霉状物。若天气干燥，则病花干枯萎缩，残留于枝上经久不落。嫩叶发病，多从叶缘开始，产生暗褐色水渍状病斑，渐扩展到叶柄，全叶枯萎。枝条发病，产生边缘紫褐色，中央灰褐色，稍下陷的长圆形溃疡斑，初期溃疡斑常发生流胶现象，最后病斑环绕枝条一圈后，枝条以上即枯死。"	"真菌"	"桃树褐腐病"	"果生链核盘菌"	"Moniliunia  fructicola"	"桃树"	"菌核病"	"子囊菌亚门"		"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 郭书普等编著． 桃树、葡萄病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004"	"(1)农业防治。加强栽培管理，提高树体抗病力；注意桃园的通风透光和排水，增施磷、钾肥；加强防治蛀果害虫，注意减少果面伤口；秋末冬初结合修剪，彻底清除园内树上的病枝、枯死枝、僵果和地面落果，集中烧毁或深埋，以减少初侵染源；桃果采收、贮运时尽量避免造成伤口，减少病原菌在贮运期间的侵染；发现病果，及时捡出处理。 (2)药剂防治。花前、花后喷1次50％速克灵可湿性粉剂2000倍液，或50％苯菌灵可湿性粉剂1500倍液；或在桃树发芽前1周喷波美5度石硫合剂，或45％晶体石硫合剂30倍液；发病初期和采收前3周喷药防治，常用药剂有50％多霉灵可湿性粉剂1 500倍液，65％抗霉灵可湿性粉剂1 500～2000倍液，50％苯菌灵可湿性粉剂1 500—1 600倍液，70％甲基流菌灵超微可湿性粉剂1 000～1 200倍液。发病严重的桃园，可间隔半个月防治1次，采收前3周停止喷药。"	"Peach brown rot"	"ed00139"	"病原菌以菌丝体或菌核在树上或地面的僵果和病枝溃疡部越冬。第2年春天产生孢子，借风、雨和昆虫传播，从气孔、皮孔或伤口侵入，其中主要是伤口。若生长期条件适宜，病部分生孢子可进行再侵染。该病的发生与气候、栽培条件和品种等密切相关，尤其是雨水。花期如遇阴雨天气，易发生花腐；果实成熟时如多雨或多雾，病情严重；果实在贮藏、运输过程中，如遇高温、高湿病害也会加重。果皮薄、果肉柔软多汁的品种均易感病；而角质层厚，皮下木栓化强，果实成熟后组织较坚硬的品种较抗褐腐病。栽植过密、修剪不当、通风透光不良的桃园易发病。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/桃树褐腐病.jpg"
"106"	"主要危害果实"		"该病主要危害果实，从果实近成熟期开始表现症状。果实受害多发生在果实尖部及腹部。发病初期果实尖部及腹部先产生水渍状晕斑，继而病斑呈淡褐色腐烂，明显凹陷；后期病斑表面产生墨绿色至黑色霉状物。有时病斑从果实伤口处开始发生。典型病斑表面霉状物略呈轮纹状排列，严重时果实大部分腐烂，完全丧失食用价值。"	"真菌"	"桃树黑斑病"	"交链孢霉"	"Alternaria alternata"	"桃树"		"半知菌亚门"		"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 郭书普等编著． 桃树、葡萄病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004"	"(1)农业防治。增施农家肥、绿肥等有机肥，避免偏施氮肥，适量施用钙肥；合理修剪，使果园通风透光，降低果园中的湿度；干旱季节及时浇水，雨季注意排水，保证树体水分平衡供应，防止果实开裂；生长期适当喷钙，提高果实含钙量。 (2)药剂防治。从落花后3—5天开始喷药，常用药剂有80％大生M-45可湿性粉剂600～800倍液，1．5％多抗霉素可湿性粉剂300～400倍液，50％扑海因可湿性粉剂1 000～1 200倍液，1：4：240倍式波尔多液等。每隔10～15天防治1次，共防治3—4次。"	"Peach black spot"	"ed00140"	"病原菌是一种弱寄生菌，在自然界广泛分布，没有固定越冬场所，主要通过气流和风雨传播，从伤口及衰弱组织侵染危害。果实缺钙是诱发黑斑病的主要因素；土壤瘠薄，偏施氮肥，果园郁闭，通风透光不良等，均可加重该病发生。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/桃树黑斑病.jpg"
"107"	"主要危害果实，也能侵害叶片和新梢"		"该病主要危害果实，也能侵害叶片和新梢。果实发病时多在肩部产生暗褐色圆形小点，逐渐扩大至2～3毫米，后呈黑色痣状斑点，严重时病斑聚合成片。病菌扩展一般仅限于表皮组织。当病部组织坏死时，果实仍继续生长，病斑处常出现龟裂，呈疮痂状，严重时造成落果。枝梢发病，病斑暗绿色，隆起，常发生流胶，病健组织界限明显。叶片发病开始于叶背，形成不规则多角形灰绿色病斑，以后病斑干枯脱落，形成穿孔，严重时引起落叶。叶脉发病呈暗褐色长条形病斑。"	"真菌"	"桃树黑星病"	"嗜果枝孢菌"	"Fusicladium carpophilum"	"桃树"	"疮痂病"	"半知菌亚门"		"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 郭书普等编著． 桃树、葡萄病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004"	"(1)农业防治。种植抗病早熟品种，油桃品种如极早红、千年红和燕红等；结合冬剪，剪除病枝梢，带出园外烧毁，消灭越冬病源。重视夏剪，加强内膛修剪，促进通风透光，降低果园湿度。6月初开始套袋。 (2)药剂防治。开花前喷波美5度石硫合剂加0．3％五氯酚钠，45％晶体石硫合剂30倍液，铲除枝梢上的越冬菌源；落花后半个月喷药，常用药剂有12％绿乳铜600倍液，70％代森锰锌可湿性粉剂500倍液，80％炭疽福美可湿性粉剂800倍液，50％苯菌灵可湿性粉剂1 500倍液，50％混杀硫悬浮剂500倍液，70％甲基硫菌灵超微可湿性粉剂1 000倍液，10％苯醚甲环唑水分散粒剂(世高)6 000～7000倍液，以上药剂与硫酸锌石灰液交替使用，效果较好，每隔10～15天防治1次，共防治3～4次；套袋前喷施1次杀菌剂，如70％甲基硫菌灵超微可湿性粉剂1 000～l 500倍液。"	"Peach scab"	"ed00141"	"病原菌以菌丝体在枝梢的病部越冬。第2年4月下旬至5月中旬形成分生孢子，成为初次侵染来源。病原菌经风雨传播，分生孢子萌发后直接穿透寄主表皮侵入。病菌侵染果实时潜育期可达40～70天，侵染新梢和叶片为25～45天。4～6月份多雨潮湿发病重，地势低洼潮湿、果园定植过密或树冠郁闭也利于病害的发生。果实在6月份开始发病，7月份为盛发期。晚熟品种发病较重。该病的发生与气候、果园地势及品种有关，特别是春季和初夏及果实近成熟期的降雨量是影响该病发生和流行重要条件。此间若多雨潮湿易发病。果园地势低洼，栽植过密，通风透光不好，湿度大发病重。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/桃树黑星病.jpg"
"108"	"果实"		"该病多发生于果实近成熟期，有时贮运期也可发生。发病初期果实表面产生淡褐色腐烂病斑，圆形或近圆形，凹陷，病斑表面产生淡粉红色霉层；发病后期病斑迅速扩大，果实大部分呈淡褐色至褐色腐烂，明显凹陷；有时病斑表面的淡粉红色霉层因腐烂果肉皱缩呈不明显轮纹状。"	"真菌"	"桃树红粉病"	"粉红单端孢"	"Trichothecium roseum"	"桃树"		"半知菌亚门"		"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 郭书普等编著． 桃树、葡萄病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004"	"(1)农业防治。雨季注意排水，干旱季节及时浇水，使树体水分供应平衡，避免果实开裂；合理修剪，使果园通风透光，降低园中湿度；适当施钙，增加果实含钙量，提高果实抗病能力；采收时，轻摘、轻放、轻运，避免果实受伤。 (2)药剂防治。果实近成熟期注意防治蛀果害虫和其他果实病害，防止果实形成伤口；果实硬核期后，喷施85％比久可溶性粉剂500—600倍液。每隔15天左右喷1次，共喷2—3次，防止裂果。"	"Peach  pink—mold rot"	"ed00142"	"病原菌在自然界广泛存在，借气流传播，从伤口侵入危害。从近成熟期至贮运期果实受伤的因素均可导致和加重该病发生；果实缺钙、果园潮湿等也可加重该病发生。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/桃树红粉病.jpg"
"109"	"只危害果实"		"该病只危害果实，在果实近成熟期开始发病。发病初期果面产生淡褐色至褐色腐烂病斑，圆形或近圆形，凹陷；后随病斑不断扩大，凹陷腐烂，病斑表面逐渐产生灰白色霉层，或粉红  色黏液层，有时黏液层略呈轮纹状。红腐病斑一般较小，只造成果实局部腐烂。"	"真菌"	"桃树红腐病"	"镰刀菌"	"Fasarium  spp．"	"桃树"		"半知菌亚"		"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 郭书普等编著． 桃树、葡萄病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004"	"降低果园湿度，防止果实受伤。"	"Peach fusarium rot"	"ed00143"	"该病为真菌性病害，病原菌为多种镰刀菌(Fasarium  spp．)。病原菌在自然界广泛存在，借风雨及气流传播，主要从伤口侵染危害。果园郁蔽及果实受伤是导致该病发生的主要因素。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/桃树红腐病.jpg"
"110"	"主要危害花、幼果、萼片、花托等"		"该病主要危害花、幼果、萼片、花托等。幼果受侵染后，初为暗绿色凹陷病斑，使幼果凹凸不平，僵缩而停止生长，危害加重后幼果易脱落，发病重时引起大量幼果脱落；近成熟果和成熟果发病时，在果顶部先出现褐色凹陷腐烂病斑，初始仅危害果面，严重影响外观品质，加重时使全果快速软腐，并长出鼠灰色霉层，不久在病部长出黑色块状菌核。"	"真菌"	"桃树灰霉病"	"灰葡萄孢菌"	"Botrytis cinerea"	"桃树"		"半知菌亚门"		"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 郭书普等编著． 桃树、葡萄病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004"	"(1)农业防治。桃树落叶后及时进行整枝修剪和刮除粗皮及胶状物，清理树冠中的残枯枝、僵果和干叶，然后清除全园枯枝落叶和僵果，并集中销毁；注意树形树势培育，加强整枝修剪，改善通风透光条件；黏性重、酸度高的红黄壤桃园，每年秋冬季或初春全园每667平方米撒施生石灰50～70千克，并适当深翻或中耕；生草栽培，减少杂草丛生，如在桃树下栽培白三叶草；加强疏果和套袋，避免成熟果受害；对于棚室栽培，要采用地面覆膜，阻止土壤水分蒸发，降低湿度；及时摘除落在果面和幼桃上的残花。 (2)药剂防治。冬季清园后选择晴天用百菌敌300倍液或波美5度石硫合剂加0．5％五氯酚钠对全园树冠和地面仔细喷雾，以清除越冬病原；次年桃芽初萌动时，选晴天再全园喷施1次上述药剂；花蕾初现期、初花期、谢花后各喷1次药，常用药剂有50％灰力克700～800倍液，50％溶菌灵800倍液，50％速克灵1 000倍液，50％农利灵1 000倍液，50％扑海因1 000倍液等。早、中熟桃园成熟前15—20天喷l一2次，药剂宜交替使用。棚室中每667平方米使用10％百菌清烟剂或10％速克灵烟剂250克熏蒸，每隔7天熏1次，共熏3次。"	"Peach gray mold"	"ed00144"	"病原菌以菌丝或菌核分生孢子附着在病残体上或遗留在土壤中越冬，成为第2年主要初侵染源。病原菌靠风雨、气流、灌水或农事操作传播蔓延。越冬菌核在次年春季温度回升至15℃以上，遇降雨或湿度大时即可萌动产生新的分生孢子，传播到桃树上时正值3月上中旬的花期和开花结果期，开始当年的初侵染。初侵染发病后又长出大量新的分生孢子，又靠气流传播进行多次再侵染。光照不足、高湿、较低温(20℃左右)是灰霉病蔓延的重要条件。桃花期春雨连绵和不太高的气温最容易诱发灰霉病的流行，造成大量花腐烂脱落。初着幼果也常因有萼片粘贴，孢子易萌发而产生危害，使幼果生长受阻而脱落。着果后果实逐渐膨大便很少发病，果实近成熟或成熟期，遇阴雨天气即可发生严重危害，造成大量烂果。皮薄、汁液多、糖度高、成熟期软化速度快的水蜜桃品种发病重；黏性、酸性重的红黄壤桃园发病重；管理粗放、杂草丛生、整形修剪程度低、树冠郁闭、偏施氮肥和排水不良的桃园发病重；温室及大棚桃树发病重。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/桃树灰霉病.jpg"
"111"	"主要危害幼果，也危害已成熟的果实、花、幼叶、嫩梢"		"该病主要危害幼果，也危害已成熟的果实、花、幼叶、嫩梢。幼果发病，初在果面上产生淡绿色近圆形病斑，后变淡褐色并扩大，病部果肉腐烂，有不明显的轮纹，病斑上产生灰绿色的菌丝，后期病果全部腐烂，果面上产生很厚的初为白色、后为灰绿色的菌丝层，并在菌丝层上形成很多白色至灰黑色大小不一的菌核，最后病果干缩成僵果，挂在树上或落下；花受害后很快变褐枯死，多残留在枝上不脱落；叶片发病初为圆形褐色水浸状病斑，后扩大形成边缘绿褐色、中部黄褐色、有深浅相间的轮纹病斑；新梢发病病斑褐色，有流胶现象，当病斑绕枝一周时形成枯枝。"	"真菌"	"桃树菌核病"	"核盘菌"	"sclerotinia  sclerotiorum"	"桃树"		"子囊菌亚门"		"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 郭书普等编著． 桃树、葡萄病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004"	"(1)农业防治。落叶后至发芽前，彻底清除树上、树下的病僵果，集中烧毁；及时疏花疏果；合理修剪，使园内通风良好，降低小气候湿度。 (2)药剂防治。发芽前全园喷施一次波美3～5度的石硫合剂，或95％精品素利巴尔1 00～200倍液，铲除树上的病原菌；落花后3～5天开始喷药防病，常用药剂有40％百可得可湿性粉剂1500～2000倍液，80％大生M-45可湿性粉剂800～1 000倍液，50％扑海因可湿性粉剂l 000～l 500倍液，65％多霉可湿性粉剂l 000～l 500倍液，70％甲基托布津可湿性粉剂1 000～l 200倍液。每隔10—15天防治1次，共防治2～3次。"	"Peach  Sclerotinia rot"	"ed00145"	"病原菌主要以菌核在树上或脱落在地面上的僵果中越冬，也可以在地面上越冬，第2年桃树开花时菌核萌发产生子囊盘，释放子囊孢子，病原菌借气流传播，侵染花器。病花的组织碎片及残体靠风雨传播，粘在叶片及幼果上，引起叶片及果实发病。病原菌可以通过叶片、果实接触传播。病原菌有连年积累发病现象，管理粗放的果园发病较重，春季多雨潮湿的年份有利于发病。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/桃树菌核病.jpg"
"112"	"新枝"		"该病主要发生在新枝上。开始发病时在新梢上产生褐色、油浸状病斑，后很快扩展，使新梢全部变褐，叶片干枯，从最初的发病处新梢干枯下垂，后期病斑表面产生灰黑色小点；在果实上也发病，产生轮纹状湿润褐色病斑，后期也可产生灰黑色小点，湿度高时喷出黄色孢子块。"	"真菌"	"桃树枯梢病"	"嗜果枝菌"	"Fusicoccum sp．"	"桃树"		"半知菌亚门"		"吕佩珂等撰摄．中国果树病虫原色图谱．北京：华夏出版社，1993 王金友，李知行主编．落叶果树病害原色图谱．北京：金盾出版社，1995 郭书普等编著． 桃树、葡萄病虫害防治原色图鉴．合肥： 安徽科学技术出版社，2004"	"(1)农业防治。结合修剪，剪除病枝。 (2)药剂防治。落花后10～15天开始喷药，连喷l～2次即可有效防治，常用药剂有80％大生M-45可湿性粉剂800～l 000倍液，70％甲基托布津可湿性粉剂l 000～1 200倍液，25％苯菌灵乳油1 000～l 200倍液。"		"ed00146"	"病原菌以分生孢子器及菌丝在病枝上越冬。第2年以分子孢子侵染植株。5—6月份降雨时侵染较多，7月份温度升高时发病加重。"	"agridata/images/中国农业有害生物数据库/中国经济作物真菌病害数据库/桃树枯梢病.jpg"
