"id"	"记录号"	"分类"	"标题书名"	"作者"	"信息类型"	"信息来源"	"出版日期"	"出版者"	"出版地"	"载体形态"	"登录号"	"关键词"	"正文文摘"	"附件"
"17"	"GJ00017"	"S-092.49"	"钦定授时通考:七十八卷.卷五十三"	"（清）鄂尔泰等奉敕撰"	"古籍"	"SDIC馆藏图书著作"	"清同治年间"	"江西书局"		"24册"	"G000406"	"农业；古代；中国"	"清代官修的大型综合性农书。乾隆帝命内廷词臣从经史子集以及农书中广泛辑录有关农业文献资料，历时5年，于乾隆七年（1742）编成。取古代""敬授民时""之意名为《授时通考》。该书七十八卷，90余万字。分为天时、土宜、谷种、功作、劝课、蓄聚、农余、蚕桑8门。如全书重点的功作门，按照垦种、耙耢、播种、淤荫（施肥）、耘耔、灌溉、收获、攻治等生产环节摘录历代文献资料，并把《泰西水法》列入。全书征引历代文献400多种，3000余条，超过《农政全书》。不足处，仅是摘录未加评述。该书《清史稿·艺文志》农家类著录。有清武英殿刻本等多种版本。1956年中华书局出版排印本；1991年农业出版社出版有马宗申的《授时通考校注》。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G000406/"
"18"	"GJ00018"	"S-092.49"	"钦定授时通考:七十八卷.卷五十五"	"（清）鄂尔泰等奉敕撰"	"古籍"	"SDIC馆藏图书著作"	"清同治年间"	"江西书局"		"24册"	"G000407"	"农业；古代；中国"	"清代官修的大型综合性农书。乾隆帝命内廷词臣从经史子集以及农书中广泛辑录有关农业文献资料，历时5年，于乾隆七年（1742）编成。取古代""敬授民时""之意名为《授时通考》。该书七十八卷，90余万字。分为天时、土宜、谷种、功作、劝课、蓄聚、农余、蚕桑8门。如全书重点的功作门，按照垦种、耙耢、播种、淤荫（施肥）、耘耔、灌溉、收获、攻治等生产环节摘录历代文献资料，并把《泰西水法》列入。全书征引历代文献400多种，3000余条，超过《农政全书》。不足处，仅是摘录未加评述。该书《清史稿·艺文志》农家类著录。有清武英殿刻本等多种版本。1956年中华书局出版排印本；1991年农业出版社出版有马宗申的《授时通考校注》。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G000407/"
"19"	"GJ00019"	"S-092.49"	"钦定授时通考:七十八卷.卷五十九"	"（清）鄂尔泰等奉敕撰"	"古籍"	"SDIC馆藏图书著作"	"清同治年间"	"江西书局"		"24册"	"G000408"	"农业；古代；中国"	"清代官修的大型综合性农书。乾隆帝命内廷词臣从经史子集以及农书中广泛辑录有关农业文献资料，历时5年，于乾隆七年（1742）编成。取古代""敬授民时""之意名为《授时通考》。该书七十八卷，90余万字。分为天时、土宜、谷种、功作、劝课、蓄聚、农余、蚕桑8门。如全书重点的功作门，按照垦种、耙耢、播种、淤荫（施肥）、耘耔、灌溉、收获、攻治等生产环节摘录历代文献资料，并把《泰西水法》列入。全书征引历代文献400多种，3000余条，超过《农政全书》。不足处，仅是摘录未加评述。该书《清史稿·艺文志》农家类著录。有清武英殿刻本等多种版本。1956年中华书局出版排印本；1991年农业出版社出版有马宗申的《授时通考校注》。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G000408/"
"20"	"GJ00020"	"S-092.49"	"钦定授时通考:七十八卷.卷六十二"	"（清）鄂尔泰等奉敕撰"	"古籍"	"SDIC馆藏图书著作"	"清同治年间"	"江西书局"		"24册"	"G000409"	"农业；古代；中国"	"清代官修的大型综合性农书。乾隆帝命内廷词臣从经史子集以及农书中广泛辑录有关农业文献资料，历时5年，于乾隆七年（1742）编成。取古代""敬授民时""之意名为《授时通考》。该书七十八卷，90余万字。分为天时、土宜、谷种、功作、劝课、蓄聚、农余、蚕桑8门。如全书重点的功作门，按照垦种、耙耢、播种、淤荫（施肥）、耘耔、灌溉、收获、攻治等生产环节摘录历代文献资料，并把《泰西水法》列入。全书征引历代文献400多种，3000余条，超过《农政全书》。不足处，仅是摘录未加评述。该书《清史稿·艺文志》农家类著录。有清武英殿刻本等多种版本。1956年中华书局出版排印本；1991年农业出版社出版有马宗申的《授时通考校注》。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G000409/"
"21"	"GJ00021"	"S-092.49"	"钦定授时通考:七十八卷.卷六十五"	"（清）鄂尔泰等奉敕撰"	"古籍"	"SDIC馆藏图书著作"	"清同治年间"	"江西书局"		"24册"	"G000410"	"农业；古代；中国"	"清代官修的大型综合性农书。乾隆帝命内廷词臣从经史子集以及农书中广泛辑录有关农业文献资料，历时5年，于乾隆七年（1742）编成。取古代""敬授民时""之意名为《授时通考》。该书七十八卷，90余万字。分为天时、土宜、谷种、功作、劝课、蓄聚、农余、蚕桑8门。如全书重点的功作门，按照垦种、耙耢、播种、淤荫（施肥）、耘耔、灌溉、收获、攻治等生产环节摘录历代文献资料，并把《泰西水法》列入。全书征引历代文献400多种，3000余条，超过《农政全书》。不足处，仅是摘录未加评述。该书《清史稿·艺文志》农家类著录。有清武英殿刻本等多种版本。1956年中华书局出版排印本；1991年农业出版社出版有马宗申的《授时通考校注》。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G000410/"
"22"	"GJ00022"	"S-092.49"	"钦定授时通考:七十八卷.卷六十八"	"（清）鄂尔泰等奉敕撰"	"古籍"	"SDIC馆藏图书著作"	"清同治年间"	"江西书局"		"24册"	"G000411"	"农业；古代；中国"	"清代官修的大型综合性农书。乾隆帝命内廷词臣从经史子集以及农书中广泛辑录有关农业文献资料，历时5年，于乾隆七年（1742）编成。取古代""敬授民时""之意名为《授时通考》。该书七十八卷，90余万字。分为天时、土宜、谷种、功作、劝课、蓄聚、农余、蚕桑8门。如全书重点的功作门，按照垦种、耙耢、播种、淤荫（施肥）、耘耔、灌溉、收获、攻治等生产环节摘录历代文献资料，并把《泰西水法》列入。全书征引历代文献400多种，3000余条，超过《农政全书》。不足处，仅是摘录未加评述。该书《清史稿·艺文志》农家类著录。有清武英殿刻本等多种版本。1956年中华书局出版排印本；1991年农业出版社出版有马宗申的《授时通考校注》。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G000411/"
"23"	"GJ00023"	"S-092.49"	"钦定授时通考:七十八卷.卷七十一"	"（清）鄂尔泰等奉敕撰"	"古籍"	"SDIC馆藏图书著作"	"清同治年间"	"江西书局"		"24册"	"G000412"	"农业；古代；中国"	"清代官修的大型综合性农书。乾隆帝命内廷词臣从经史子集以及农书中广泛辑录有关农业文献资料，历时5年，于乾隆七年（1742）编成。取古代""敬授民时""之意名为《授时通考》。该书七十八卷，90余万字。分为天时、土宜、谷种、功作、劝课、蓄聚、农余、蚕桑8门。如全书重点的功作门，按照垦种、耙耢、播种、淤荫（施肥）、耘耔、灌溉、收获、攻治等生产环节摘录历代文献资料，并把《泰西水法》列入。全书征引历代文献400多种，3000余条，超过《农政全书》。不足处，仅是摘录未加评述。该书《清史稿·艺文志》农家类著录。有清武英殿刻本等多种版本。1956年中华书局出版排印本；1991年农业出版社出版有马宗申的《授时通考校注》。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G000412/"
"24"	"GJ00024"	"S-092.49"	"钦定授时通考:七十八卷.卷七十五"	"（清）鄂尔泰等奉敕撰"	"古籍"	"SDIC馆藏图书著作"	"清同治年间"	"江西书局"		"24册"	"G000413"	"农业；古代；中国"	"清代官修的大型综合性农书。乾隆帝命内廷词臣从经史子集以及农书中广泛辑录有关农业文献资料，历时5年，于乾隆七年（1742）编成。取古代""敬授民时""之意名为《授时通考》。该书七十八卷，90余万字。分为天时、土宜、谷种、功作、劝课、蓄聚、农余、蚕桑8门。如全书重点的功作门，按照垦种、耙耢、播种、淤荫（施肥）、耘耔、灌溉、收获、攻治等生产环节摘录历代文献资料，并把《泰西水法》列入。全书征引历代文献400多种，3000余条，超过《农政全书》。不足处，仅是摘录未加评述。该书《清史稿·艺文志》农家类著录。有清武英殿刻本等多种版本。1956年中华书局出版排印本；1991年农业出版社出版有马宗申的《授时通考校注》。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G000413/"
"25"	"GJ00025"	"S16-092.48"	"二如亭群芳谱:元部.第一册,天谱一"	"（明）王象晋撰"	"古籍"	"SDIC馆藏图书著作"		"汲古阁本"		"55页, 26cm"	"G001576"	"农业气象；农业；古代；中国"	"原名《二如亭群芳谱》。编纂者王象晋，字荩臣，山东新城（今桓台）人，万历年间进士。王氏喜爱植物，在原籍经营过农业，时时手录农经花史资料，又经过十多年的实践经验，于天启元年（1621）完成此书。《群芳谱》二十八卷，约40余万字。记述植物的别名、品种、形态特征、生长环境、种植技术及用途等。其中对谷、蔬、果、茶、竹、桑、麻等的栽培管理记述尤评，并总结不少先进技术，如无花果的滴灌，棉花的整枝等，反映出当时农业技术的进步。不足处是摘引诗文、典故过多。该书《明史·艺文志》农家类著录。除明代汲古阁本外，尚有多种版本。1985年农业出版社出版伊钦恒  的《群芳谱诠释》。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G001576/"
"26"	"GJ00026"	"S16-092.48"	"二如亭群芳谱:元部.第二册,天谱二"	"（明）王象晋撰"	"古籍"	"SDIC馆藏图书著作"		"汲古阁本"		"79页, 26cm"	"G001577"	"气候；天文；古代；中国"	"本册主要介绍关于日、月、星、汉等天文气象方面的知识。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G001577/"
"27"	"GJ00027"	"S16-092.48"	"二如亭群芳谱:元部.第三册,天谱三"	"（明）王象晋撰"	"古籍"	"SDIC馆藏图书著作"		"汲古阁本"		"91页, 26cm"	"G001578"	"气象灾害；古代；中国"	"本册主要介绍了古代关于风、云、霞、气、虹、雷、电、雨、露、雾、雹、霜、雪的农业气象知识。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G001578/"
"28"	"GJ00028"	"P42-092.48"	"二如亭群芳谱:元部.第四册,岁谱一"	"（明）王象晋撰"	"古籍"	"SDIC馆藏图书著作"		"汲古阁本"		"68页, 26cm"	"G001579"	"农业气象；气候；古代；中国"	"本册包括岁谱小序及春、正月、二月、三月的节气天气的气象知识。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G001579/"
"29"	"GJ00029"	"S16-092.48"	"二如亭群芳谱:元部.第五册,岁谱二"	"（明）王象晋撰"	"古籍"	"SDIC馆藏图书著作"		"汲古阁本"		"38页, 26cm"	"G001580"	"农业气象；气候；古代；中国"	"本册主要介绍了夏、四月、五月、六月、土王方面的知识。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G001580/"
"30"	"GJ00030"	"S16-092.48"	"二如亭群芳谱:元部.第六册,岁谱三"	"（明）王象晋撰"	"古籍"	"SDIC馆藏图书著作"		"汲古阁本"		"55页, 26cm"	"G001581"	"农业气象；气候；古代；中国"	"本册主要介绍了关于秋、七月、八月、九月的气象方面的知识。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G001581/"
"31"	"GJ00031"	"S16-092.48"	"二如亭群芳谱:元部.第七册,岁谱四"	"（明）王象晋撰"	"古籍"	"SDIC馆藏图书著作"		"汲古阁本"		"38页, 26cm"	"G001582"	"农业气象；气候；古代；中国"	"本册主要介绍了关于冬、十月、十一月、十二月、闰方面的气侯知识。"	"http://stb.agridata.cn/Site/DataTable/ListPicture.aspx?ImgFolder=A030205/G001582/"
