"id"	"叶身"	"花瓣数"	"叶尖"	"抗旱性"	"叶面"	"种子成熟期"	"叶肉厚"	"叶基"	"水浸出物"	"叶质"	"发芽日期"	"种径大小"	"新梢颜色"	"芽叶色泽"	"抗根结线虫"	"资源类型"	"茶多酚"	"咖啡碱"	"百粒重"	"抗云纹叶枯"	"叶齿密度"	"花瓣大小"	"品种名称"	"有效积温"	"叶色"	"叶齿深度"	"芽叶展开态"	"成茶香气"	"花瓣色泽"	"芽叶隆起性"	"儿茶素总量"	"繁殖方式"	"儿茶素一"	"柱头裂位"	"儿茶素三"	"叶宽"	"儿茶素四"	"花梗长度"	"红茶总分"	"儿茶素五"	"花萼数"	"种皮色泽"	"叶姿"	"茶果形状"	"抗寒性"	"科名"	"雌雄高比"	"树姿"	"新梢长度"	"统一编号"	"适制性"	"发芽密度"	"酯酶谱带数"	"栅栏组织厚"	"始花期"	"新梢茸毛"	"叶脉对数"	"新梢重量"	"丰产性"	"花柱长度"	"原产地"	"海绵组织厚"	"萜烯指数"	"叶形"	"种苗来源"	"属名"	"新梢密度"	"省"	"树型"	"乌龙茶总分"	"抗白星病"	"叶齿锐度"	"花萼色泽"	"抗螨类"	"花萼茸毛"	"柱头裂数"	"节间长度"	"抗小绿叶蝉"	"儿茶素二"	"抗轮斑病"	"叶缘"	"学名"	"树高"	"叶长"	"花冠直径"	"保存单位"	"盛花期"	"氨基酸"	"雄蕊数目"	"绿茶总分"	"倍数性"	"子房茸毛"	"生产力指数"	"苞片有无"	"分枝密度"	"芽叶茸毛"	"成茶滋味"	"结实性"
"11"	"内折"	"6.0"	"渐尖"	"中"	"平"	"--"	"--"	"--"	"47.40"	"较脆"	"早"	"1.5"	"黄绿"	"--"	"--"	"农家品种"	"24.30"	"4.08"	"137.00"	"--"	"稀"	"--"	"凤凰水仙"	"--"	"绿"	"浅"	"--"	"高"	"--"	"--"	"129.10"	"有性系"	"14.50"	"浅裂"	"13.70"	"4.5"	"83.70"	"--"	"--"	"11.50"	"5.0"	"--"	"稍上斜"	"--"	"中"	"Theaceae(山茶科)"	"高"	"直立"	"8.7"	"00000011"	"红茶"	"--"	"--"	"--"	"--"	"特多"	"9"	"86.2"	"中"	"1.10"	"粤潮安"	"--"	"--"	"长椭圆"	"粤潮安"	"Camellia(山茶属)"	"中"	"广东"	"小乔木"	"--"	"--"	"锐"	"--"	"--"	"少"	"3裂"	"4.0"	"--"	"5.80"	"--"	"平"	"Camellia sinensis (L.) O.Ktze(茶)"	"--"	"11.6"	"3.8"	"广东省茶科所 (粤011)"	"11/01-11/10"	"3.79"	"--"	"--"	"二倍体"	"中"	"--"	"--"	"中"	"--"	"浓醇"	"--"
"12"	"内折"	"7.0"	"渐尖"	"--"	"平"	"--"	"--"	"--"	"--"	"--"	"早"	"1.4"	"淡绿"	"--"	"--"	"农家品种"	"--"	"--"	"99.00"	"--"	"--"	"--"	"潮安大乌叶"	"--"	"黄绿"	"--"	"--"	"--"	"--"	"--"	"--"	"有性系"	"--"	"--"	"--"	"3.7"	"--"	"--"	"--"	"--"	"--"	"--"	"稍上斜"	"--"	"--"	"Theaceae(山茶科)"	"高"	"半开张"	"7.0"	"00000012"	"绿茶"	"--"	"--"	"--"	"--"	"无"	"--"	"54.3"	"--"	"--"	"粤潮安"	"--"	"--"	"披针"	"粤潮安"	"Camellia(山茶属)"	"--"	"广东"	"小乔木"	"--"	"--"	"--"	"--"	"--"	"少"	"3裂"	"--"	"--"	"--"	"--"	"--"	"Camellia sinensis (L.) O.Ktze(茶)"	"--"	"9.5"	"3.5"	"广东省茶科所 (粤012)"	"11/11-11/20"	"--"	"--"	"--"	"二倍体"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"13"	"--"	"7.0"	"渐尖"	"--"	"强隆"	"--"	"--"	"--"	"--"	"--"	"迟"	"--"	"--"	"--"	"--"	"农家品种"	"--"	"--"	"--"	"--"	"--"	"--"	"仁化圆叶种"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"有性系"	"--"	"--"	"--"	"3.8"	"--"	"--"	"--"	"--"	"--"	"--"	"稍上斜"	"--"	"--"	"Theaceae(山茶科)"	"高"	"半开张"	"8.6"	"00000013"	"--"	"--"	"--"	"--"	"--"	"特多"	"--"	"54.8"	"--"	"--"	"粤仁化"	"--"	"--"	"椭圆"	"粤仁化"	"Camellia(山茶属)"	"--"	"广东"	"小乔木"	"--"	"--"	"--"	"--"	"--"	"少"	"3裂"	"--"	"--"	"--"	"--"	"--"	"Camellia sinensis (L.) O.Ktze(茶)"	"--"	"9.1"	"3.5"	"广东省茶科所 (粤013)"	"10/21-10/31"	"--"	"--"	"--"	"二倍体"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"14"	"平展"	"7.0"	"骤尖"	"--"	"隆起"	"--"	"--"	"--"	"--"	"--"	"迟"	"--"	"--"	"--"	"--"	"农家品种"	"--"	"--"	"--"	"--"	"--"	"--"	"仁化红叶种"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"有性系"	"--"	"--"	"--"	"4.1"	"--"	"--"	"--"	"--"	"--"	"--"	"水平"	"--"	"--"	"Theaceae(山茶科)"	"中"	"半开张"	"7.3"	"00000014"	"--"	"--"	"--"	"--"	"--"	"多"	"--"	"58.6"	"--"	"--"	"粤仁化"	"--"	"--"	"椭圆"	"粤仁化"	"Camellia(山茶属)"	"--"	"广东"	"小乔木"	"--"	"--"	"--"	"--"	"--"	"无"	"3裂"	"--"	"--"	"--"	"--"	"--"	"Camellia sinensis (L.) O.Ktze(茶)"	"--"	"9.1"	"3.4"	"广东省茶科所 (粤014)"	"10/11-10/20"	"--"	"--"	"--"	"二倍体"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"15"	"--"	"6.0"	"钝尖"	"--"	"平"	"--"	"--"	"--"	"--"	"--"	"迟"	"--"	"--"	"--"	"--"	"农家品种"	"--"	"--"	"--"	"--"	"--"	"--"	"罗定小叶种"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"有性系"	"--"	"--"	"--"	"3.5"	"--"	"--"	"--"	"--"	"--"	"--"	"上斜"	"--"	"--"	"Theaceae(山茶科)"	"高"	"半开张"	"8.5"	"00000015"	"绿茶"	"--"	"--"	"--"	"--"	"无"	"--"	"73.0"	"--"	"--"	"粤罗定"	"--"	"--"	"椭圆"	"粤罗定"	"Camellia(山茶属)"	"--"	"广东"	"小乔木"	"--"	"--"	"--"	"--"	"--"	"中"	"3裂"	"--"	"--"	"--"	"--"	"--"	"Camellia sinensis (L.) O.Ktze(茶)"	"--"	"8.3"	"2.8"	"广东省茶科所 (粤015)"	"10/11-10/20"	"--"	"--"	"--"	"二倍体"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"16"	"--"	"6.0"	"渐尖"	"--"	"平"	"--"	"--"	"--"	"--"	"--"	"迟"	"--"	"--"	"--"	"--"	"农家品种"	"--"	"--"	"--"	"--"	"--"	"--"	"和平小叶种"	"--"	"黄绿"	"--"	"--"	"--"	"--"	"--"	"--"	"有性系"	"--"	"--"	"--"	"3.4"	"--"	"--"	"--"	"--"	"--"	"--"	"水平"	"--"	"--"	"Theaceae(山茶科)"	"高"	"直立"	"8.3"	"00000016"	"绿茶"	"--"	"--"	"--"	"--"	"特多"	"--"	"49.4"	"--"	"--"	"粤和平"	"--"	"--"	"椭圆"	"粤和平"	"Camellia(山茶属)"	"--"	"广东"	"小乔木"	"--"	"--"	"--"	"--"	"--"	"少"	"3裂"	"--"	"--"	"--"	"--"	"--"	"Camellia sinensis (L.) O.Ktze(茶)"	"--"	"8.0"	"3.4"	"广东省茶科所 (粤016)"	"11/01-11/10"	"--"	"--"	"--"	"二倍体"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"17"	"--"	"7.0"	"渐尖"	"--"	"平"	"--"	"--"	"--"	"--"	"--"	"迟"	"--"	"--"	"--"	"--"	"农家品种"	"--"	"--"	"--"	"--"	"--"	"--"	"普安小叶种"	"--"	"黄绿"	"--"	"--"	"--"	"--"	"--"	"--"	"有性系"	"--"	"--"	"--"	"3.4"	"--"	"--"	"--"	"--"	"--"	"--"	"上斜"	"--"	"--"	"Theaceae(山茶科)"	"高"	"半开张"	"7.4"	"00000017"	"绿茶"	"--"	"--"	"--"	"--"	"无"	"--"	"38.0"	"--"	"--"	"粤普安"	"--"	"--"	"椭圆"	"粤普安"	"Camellia(山茶属)"	"--"	"广东"	"小乔木"	"--"	"--"	"--"	"--"	"--"	"少"	"3裂"	"--"	"--"	"--"	"--"	"--"	"Camellia sinensis (L.) O.Ktze(茶)"	"--"	"7.9"	"3.5"	"广东省茶科所 (粤017)"	"11/21-11/30"	"--"	"--"	"--"	"二倍体"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"18"	"--"	"6.0"	"渐尖"	"--"	"平"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"--"	"--"	"农家品种"	"--"	"--"	"--"	"--"	"--"	"--"	"饶平中叶种"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"有性系"	"--"	"--"	"--"	"3.4"	"--"	"--"	"--"	"--"	"--"	"--"	"水平"	"--"	"--"	"Theaceae(山茶科)"	"高"	"半开张"	"7.9"	"00000018"	"绿茶"	"--"	"--"	"--"	"--"	"特多"	"--"	"52.4"	"--"	"--"	"粤饶平"	"--"	"--"	"椭圆"	"粤饶平"	"Camellia(山茶属)"	"--"	"广东"	"小乔木"	"--"	"--"	"--"	"--"	"--"	"少"	"3裂"	"--"	"--"	"--"	"--"	"--"	"Camellia sinensis (L.) O.Ktze(茶)"	"--"	"7.9"	"3.0"	"广东省茶科所 (粤018)"	"11/11-11/20"	"--"	"--"	"--"	"二倍体"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"19"	"内折"	"6.0"	"钝尖"	"中"	"强隆"	"--"	"--"	"--"	"--"	"较脆"	"迟"	"--"	"--"	"--"	"--"	"农家品种"	"21.80"	"4.00"	"--"	"--"	"中"	"--"	"广州小叶白心"	"--"	"黄绿"	"中"	"--"	"--"	"--"	"--"	"145.40"	"有性系"	"--"	"微裂"	"--"	"4.6"	"--"	"--"	"--"	"--"	"5.0"	"--"	"上斜"	"--"	"中"	"Theaceae(山茶科)"	"高"	"半开张"	"9.3"	"00000019"	"绿茶"	"--"	"--"	"--"	"--"	"特多"	"9"	"60.2"	"中"	"1.12"	"粤广州"	"--"	"--"	"椭圆"	"粤广州"	"Camellia(山茶属)"	"密"	"广东"	"灌木"	"--"	"--"	"锐"	"--"	"--"	"中"	"3裂"	"3.2"	"--"	"--"	"--"	"波"	"Camellia sinensis (L.) O.Ktze(茶)"	"--"	"9.4"	"3.0"	"广东省茶科所 (粤019)"	"11/11-11/30"	"4.12"	"--"	"--"	"二倍体"	"多"	"--"	"--"	"密"	"--"	"--"	"--"
"20"	"--"	"8.0"	"钝尖"	"--"	"平"	"--"	"--"	"--"	"--"	"--"	"迟"	"--"	"--"	"--"	"--"	"农家品种"	"--"	"--"	"--"	"--"	"--"	"--"	"广州小叶青心"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"有性系"	"--"	"--"	"--"	"4.4"	"--"	"--"	"--"	"--"	"--"	"--"	"水平"	"--"	"--"	"Theaceae(山茶科)"	"高"	"半开张"	"11.0"	"00000020"	"--"	"--"	"--"	"--"	"--"	"特多"	"--"	"--"	"--"	"--"	"粤广州"	"--"	"--"	"椭圆"	"粤广州"	"Camellia(山茶属)"	"--"	"广东"	"灌木"	"--"	"--"	"--"	"--"	"--"	"中"	"3裂"	"--"	"--"	"--"	"--"	"--"	"Camellia sinensis (L.) O.Ktze(茶)"	"--"	"9.2"	"4.0"	"广东省茶科所 (粤020)"	"11/1-11/10"	"--"	"--"	"--"	"二倍体"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"21"	"--"	"6.0"	"渐尖"	"--"	"隆起"	"--"	"--"	"--"	"--"	"--"	"迟"	"--"	"--"	"--"	"--"	"品系"	"--"	"--"	"--"	"--"	"--"	"--"	"水仙大叶"	"--"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"无性系"	"--"	"--"	"--"	"5.4"	"--"	"--"	"--"	"--"	"--"	"--"	"水平"	"--"	"--"	"Theaceae(山茶科)"	"高"	"开张"	"13.3"	"00000025"	"红茶"	"--"	"--"	"--"	"--"	"特多"	"--"	"124.0"	"--"	"--"	"粤英德"	"--"	"--"	"椭圆"	"粤英德"	"Camellia(山茶属)"	"--"	"广东"	"乔木"	"--"	"--"	"--"	"--"	"--"	"少"	"3裂"	"--"	"--"	"--"	"--"	"--"	"Camellia sinensis (L.) O.Ktze(茶)"	"--"	"12.8"	"3.8"	"广东省茶科所 (粤025)"	"11/11-11/20"	"--"	"--"	"--"	"二倍体"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"22"	"--"	"7.0"	"骤尖"	"--"	"隆起"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"--"	"--"	"品系"	"--"	"--"	"--"	"--"	"--"	"--"	"英红2号"	"--"	"深绿"	"--"	"--"	"--"	"--"	"--"	"--"	"无性系"	"--"	"--"	"--"	"6.5"	"--"	"--"	"--"	"--"	"--"	"--"	"水平"	"--"	"--"	"Theaceae(山茶科)"	"高"	"开张"	"10.4"	"00000026"	"红茶"	"--"	"--"	"--"	"--"	"少"	"--"	"164.0"	"--"	"--"	"粤英德"	"--"	"--"	"椭圆"	"粤英德"	"Camellia(山茶属)"	"--"	"广东"	"乔木"	"--"	"--"	"--"	"--"	"感"	"少"	"3裂"	"--"	"--"	"--"	"--"	"--"	"Camellia assamica (Mast) Chang(普洱茶)"	"--"	"12.1"	"4.0"	"广东省茶科所 (粤026)"	"11/11-11/20"	"--"	"--"	"--"	"二倍体"	"--"	"--"	"--"	"--"	"--"	"--"	"--"
"23"	"--"	"7.0"	"渐尖"	"--"	"隆起"	"--"	"--"	"--"	"41.99"	"柔软"	"早"	"1.3"	"--"	"--"	"--"	"育成品种"	"23.01"	"4.21"	"160.00"	"--"	"稀"	"--"	"英红1号"	"--"	"黄绿"	"浅"	"--"	"高"	"--"	"--"	"109.70"	"无性系"	"41.24"	"--"	"21.28"	"5.6"	"125.40"	"--"	"--"	"45.96"	"5.0"	"--"	"水平"	"--"	"弱"	"Theaceae(山茶科)"	"高"	"开张"	"10.8"	"00000027"	"红茶"	"--"	"--"	"--"	"--"	"多"	"9"	"134.0"	"--"	"1.50"	"粤英德"	"--"	"--"	"椭圆"	"粤英德"	"Camellia(山茶属)"	"中"	"广东"	"乔木"	"--"	"--"	"--"	"--"	"感"	"中"	"3裂"	"3.0"	"--"	"16.47"	"--"	"微波"	"Camellia assamica (Mast) Chang(普洱茶)"	"--"	"11.7"	"3.0"	"广东省茶科所 (粤027)"	"11/11-11/20"	"5.12"	"--"	"--"	"二倍体"	"中"	"--"	"--"	"--"	"--"	"浓强"	"--"
