"id"	"主要危害部位"	"地理分布"	"为害症状"	"病害类型"	"中文名"	"病原中文名"	"病原拉丁学名"	"主要危害作物"	"病原分类地位"	"病原形态特征"	"相关文献"	"传播途径和发病条件"	"防治方法"	"记录号"	"别名"	"图片"
"66"	"叶片"		"只能在叶片上见到。初在叶上形成暗紫色圆形病斑，或在叶缘上形成弧状斑，  大小0．5～1．5cm，病健部交界不明显，病部软化，晴天时干枯。接种到茎或荚上后也能发病。"	"真菌"	"蚕豆疫病"	"烟草疫霉"	"Phytophthora nicotianae var．nicotianae(Breda et Haan)Waterhouse"	"除为害蚕豆外，还可为害烟草、大葱、茄科植物、胡萝卜、马铃薯根部等。"	"鞭毛菌亚门真菌"	"Phytophthora nicotianae var．nicotianae(Breda et Haan)Waterhouse异名P.  nicotianae var．parasitica(Dast)Waterh．、P．allii Sawada．、P．melongenae Sawada．。称烟草疫霉，属鞭毛菌亚门真菌。菌丝棉絮状白色，不分隔，蔓延于寄主细胞间。孢囊梗无色较细，长约10～744um，宽6um，每2～3根一束从气孔中伸出。孢子囊洋梨状，无色，具明显乳状突起，大小30～58×16～45(um)，在植株上不易产生孢子囊，浸入水中后即迅速形成。孢子囊萌发时产生椭圆形双鞭毛游动孢子，成熟时从囊中逸出，经过游动和休止后再萌发产生芽管侵入寄主。藏卵器平滑，大小26～30um，内藏卵孢子1个。雄器倒卵形至球形或扁球形，直径12～18um；卵孢子球形，无色，平滑，大小21～24um，有时在干枯的茎叶上见到，但较少。在自然条件或人工培养时能产生顶生的厚垣孢子，后变为浅黄色，大小26～37um。有烟草的地方即见此菌。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"病菌以卵孢子在病残体上或种子上越冬。翌年，条件适宜时产生游动孢子，从子叶下的胚茎侵入，菌丝随生长点向上蔓延，进入芽或真叶，形成系统侵染，后产生大量孢子囊及孢子，借风雨传播蔓延，进行再侵染，经多次再侵染形成该病流行。一般雨季气温20～24℃发病重。"	"(1)选用抗病品种，从无病地留种。(2)实行2年以上的轮作。(3)清洁田。园病残体，集中烧毁，及时耕翻土地。(4)按配方施肥，合理密植。(5)药剂防治用35％甲霜灵拌种剂，以种子量的0．3％进行拌种，发病初期开始喷洒1:1:20倍式波尔多液或90％三乙膦酸铝可湿性粉剂500倍液、60％琥•乙磷铝可湿性粉剂500倍液、72％克露或72％霜脲锰锌(克抗灵)可湿性粉剂800～1000倍液。对上述杀菌剂产生抗药性的地区可改用69％安克锰锌可湿性粉剂或水分散粒剂1000倍液，隔10天左右1次，防治1次或2次。"	"fd00138"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/蚕豆疫病.jpg"
"67"	"叶和茎部"		"主要为害蚕豆的叶和茎部。叶片染病在叶两面均可产生浅绿色病斑，隆起，出现圆形至扁圆形小肿瘤，直径数毫米，表面粗糙，单生或群生。后期叶片卷曲成畸形，肿瘤呈褐色溃烂，病叶凋萎于枯。茎部染病也生许多隆起的肿瘤，形状与叶上瘤相近，病株矮化，生长不良。"	"真菌"	"蚕豆油壶菌火肿病"	"蚕豆油壶菌"	"Olpidium viciae Kusano"	"蚕豆"	"鞭毛菌亚门真菌"	"Olpidium viciae Kusano称蚕豆油壶菌，属鞭毛菌亚门真菌。病组织内可产生很多孢子囊。孢子囊萌发产生释孢管，释放出游动孢子，大小6～7×5(um)，单鞭毛，在蚕豆表面上游动一个时期以后，作阿米巴状运动。鞭毛收缩后，外面形成一层包膜，膜上具孔，把其中的原生质输入到寄主表皮细胞内，形成阿米巴状原生质团，附着在寄主细胞核上。这个原生质团内的核分裂，外生一薄膜又发育成一个孢子囊。游动孢子成对结合，形成双鞭毛接合子，短暂游动后休止，且在其体外形成囊膜，同时把所含原生质输入寄主细胞内。接合子又能形成休眠孢子囊，在寄主体外越冬。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"以休眠孢子囊越冬。翌年春天，休眠孢子囊萌发，释放出单鞭毛的游动孢子，侵入蚕豆幼芽、幼茎及幼叶，在寄主细胞里形成薄壁的游动孢子囊，致豆苗发病。此后游动孢子囊又通过出管释放游动孢子进行再侵染，潜育期10～14天。"	"(1)选用抗病品种如青海牛角葫豆、丰来葫豆、马尔康葫豆、西昌葫豆、蒲西大白葫豆、金川葫豆等。(2)实行豆麦麦或马铃薯3年轮作制，或采用豆麦间作，防病作用明显。(3)收获后及时清洁田园。(4)药剂防治①用种子重量0．1％的15％三唑酮可湿性粉剂拌种，防效显著。②发病初期喷洒25％三唑酮可湿性粉剂600倍液或70％甲基硫菌灵可湿性粉剂1000倍液、50％苯菌灵可湿性粉剂1000～1500倍液，防治2～3次。"	"fd00139"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/蚕豆油壶菌火肿病.jpg"
"68"	"谷粒"	"分布在我国长江流域及以南地区"	"主要发生在水稻扬花至乳熟期，只为害谷粒，每穗受害1粒或数粒乃至数十粒，一般在水稻近成熟时显症。染病稻粒呈污绿色或污黄色，其内有黑粉状物，成熟时腹部裂开，露出黑粉，病粒的内外颖之间具1黑色舌状凸起，常有黑色液体渗出，污染谷粒外表。扒开病粒可见种子内局部或全部变成黑粉状物，即病原菌的厚垣孢子。"	"真菌"	"稻粒黑粉病"	"狼尾草腥黑粉菌"	"Tilletia barclayana(Bref．)Sate．et Syd．"	"水稻"	"担子菌亚门真菌"	"Tilletia barclayana(Bref．)Sate．et Syd．称狼尾草腥黑粉菌，属担子菌亚门真菌。异名：Neovossihorrida(Tak．)Padw．et Azmat Kahn．孢子堆生在寄主子房里，被颖壳包被，部分小穗被破坏，产生黑粉。厚垣孢子球形至广卵形或椭圆形，黑色，大小25～32×23～30(μm)，表面密布齿状突起，无色至近无色，顶端尖，基部多角形稍弯曲，高2．5～4 (μm)；担孢子线状，无色无隔膜,大小38～55×1．8(μm)；次生小孢子腊肠状，大小10～14×2(μm)。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"病菌以厚垣孢子在种子内和土壤中越冬。种子带菌随播种进入稻田和土壤带菌是主要菌源。该菌厚垣孢子抗逆力强，在自然条件下能存活1年，在贮存的种子上能存活3年，在55℃恒温水中浸10分钟仍能存活，通过家禽、畜等消化道病菌仍可发，该菌需经过5个月以上休眠，气温高于20℃，湿度大,通风透光，厚垣孢子即萌发，产生担孢子及次生小孢子，借气流传播到抽穗扬花的稻穗上，侵入花器或幼嫩的种子，在谷粒内繁殖产生厚垣孢子。水稻孕穗至抽穗开花期及杂交稻制种田父母本花期相遇差的，发病机率高，发病重。此外雨水多或湿度大，施用氮肥过多也会加重该病发生。在杂交制种不同组合中，存在着母本内外颖最终不能闭合的现象，称作开颖。开颖率高的组合，如献优63，开颖率高达30％～40％、则发病率高。品种间发病率高低差异较大，汕优63第一年制种田，病穗率高达92％，病粒率25．19％。"	"(1)实行检疫，严防带菌稻种传入无病区。(2)注意明确当地老制种田土壤带菌与种子带菌两者作用的主次。以种子带菌为主的地区，播种前必须用10％盐水选种，汰除病粒，然后进行种子消毒　消毒方法参见稻瘟病。(3)实行2年以上轮作，病区家禽、家畜粪便沤制腐熟后再施用，防止土壤、粪肥传播。(4)加强栽培管理，避免偏施、过施氮肥，制种田通过栽插苗数、苗龄、调节出秧整齐度，做到花期相遇。孕穗后期喷洒赤霉素等均可减轻发病。(5)杂交制种田或种植感病品种，发病重的地区或年份，于水稻盛花高峰末期和抽穗始期，各喷1次14％黑粉净胶悬剂2400倍液或灭黑1号胶悬剂250倍液。轻病年则于花高峰末期喷1次即可。此外也可选用30％百科乳油每667m 2 75ml或50％可湿性粉剂50g、40％灭病威胶悬剂200ml、25％三唑酮可湿性粉剂50g，对水50L进行喷雾。使用三唑酮时应避开花期，于下午施药，以免产生药害。此外也可在水稻穗期喷洒25％敌力脱乳油2000倍液能有效地防治本病，还可兼治纹枯病、稻曲病、叶鞘腐败病等。(6)选用抗病品种。在杂交稻的配制上，要选用闭颖的品种，可减轻发病。"	"fd00140"	"黑穗病、稻墨黑穗病、乌米谷等"	"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/稻粒黑粉病.jpg"
"69"	"叶片"	"长江流域发生多"	"主要在早、中稻秧苗和早稻大田前期发生，为害秧苗叶片。叶上初生黄白色小圆斑，后扩展成灰绿色水渍状不规则条斑，病害扩展后病斑融合使叶片纵卷或折倒。湿度大时病斑上可见白色稀疏霉层，即病菌孢囊梗和孢子囊。病斑渐褐变、中央灰褐色，白色霉层逐渐变为灰白色，常造成稻苗中、下叶片局部枯死，严重时整叶或整株死亡。"	"真菌"	"稻苗疫病"	"草莓疫霉稻疫霉变种"	"Phytophthora fragariae  Hickm．var．oryzo-bladis Wang et Lu．"	"水稻"	"鞭毛菌亚门真菌"	"Phytophthora fragariae  Hickm．var．oryzo-bladis Wang et Lu．称草莓疫霉稻疫霉变种，属鞭毛菌亚门真菌。孢囊梗2～5根自寄主气孔伸出，束生或单生，偶具1～2回分枝，大小6．5～40．5×2．9～5．7(μm)。孢子囊顶生，长椭圆形，大小36～98．3×22．1～66．5(μm)，孢子囊成熟后不脱落，游动孢子从孢子囊顶端孔口散出。游动孢子肾形，休止孢子圆形，以芽管萌发产生次生小型泡囊。藏卵器近圆形黄褐色，直径31．2～72μm，雄器围生，扁圆形，淡黄色，大小12．2～25．9×15～30(μm)，卵孢子圆形，黄色，大小21．7～57(μm)。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"病菌以卵孢子在土壤中越冬，翌年有水存在条件下萌发，产生游动孢子侵入为害。饱和湿度条件下病斑上才能产生孢囊梗，孢子囊产生需有水滴或水膜存在。游动孢子休止后由休止孢产生芽管从叶片气孔侵入寄主。受侵染秧苗在饱和湿度下形成典型病斑，相对湿度60％～90％只产生淡褐色小斑。 发病适宜温度16～21℃，气温超过25℃病害受抑。阴雨连绵有利于发病，三叶期前后秧苗最易感病。秧田水淹或深灌有利发病，串灌病害易于流行。播种过密，秧苗弱易发病。偏施氮肥发病重。"	"(1)选地势高的田块作秧田，且秧田要年年轮换。(2)加强肥水管理，要浅水勤灌，防止串灌，适当增施磷钾肥，提高抗病力。(3)药剂防治。秧苗3叶期喷洒72．2％霜霉威(普力克)水剂800倍液或64％杀毒矾可湿性粉剂600倍液或40％甲霜铜可湿性粉剂800倍液或1：2：240倍式波尔多液。"	"fd00141"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/稻苗疫病.jpg"
"70"	"穗部"	"河北、长江流域及南方各省稻区时有发生。"	"该病只发生于穗部，为害部分谷粒。受害谷粒内形成菌丝块渐膨大，内外颖裂开，露出淡黄色块状物，即孢子座，后包于内外颖两侧，呈黑绿色，初外包一层薄膜，后破裂，散生墨绿色粉末，即病菌的厚垣孢子，有的两侧生黑色扁平菌核，风吹雨打易脱落。"	"真菌"	"稻曲病"	"稻绿核菌"	"Ustilaginoidea oryzae(Patou．)Bref=U．virens(Cooke)Tak．"	"水稻"	"半知菌亚门真菌"	"Ustilaginoidea oryzae(Patou．)Bref=U．virens(Cooke)Tak．称稻绿核菌，属半知菌亚门真菌。分生孢子座6～12×4～6(μm)，表面墨绿色，内层橙黄色，中心白色。分生孢子梗直径2～2．5(μm)。分生孢子单胞厚壁，表面有瘤突，近球形，大小4～5(μm)。菌核从分生孢子座生出，长椭圆形，长2～20mm，在土表萌发产生子座，橙黄色，头部近球形，大小1～3mm，有长柄，头部外围生子囊壳，子囊壳瓶形，子囊无色，圆筒形，大小180～220μm，子囊孢子无色，单胞，线形，大小120～180×0．5～1(μm)。厚垣孢子墨绿色，球形，表面有瘤状突起，大小3～5×4～6(μm)。有性态为Claviceps virens Sakurai称稻麦角，属子囊菌亚门真菌。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"病菌以落入土中菌核或附于种子上的厚垣孢子越冬。翌年菌核萌发产生厚垣孢子，由厚垣孢子再生小孢子及子囊孢子进行初侵染。气温24～32℃病菌发育良好，26～28℃最适，低于12℃或高于36℃不能生长，稻曲病侵染的时期有的学者认为在水孕穗至开花期侵染为主，有的认为厚垣孢子萌发侵入幼芽，随植株生长侵入花器为害，造成谷粒发病形成稻曲。抽穗扬花期遇雨及低温则发病重。抽穗早的品种发病较轻。施氮过量或穗肥过重加重病害发生。连作地块发病重。"	"(1)选用抗病品种，如南方稻区的广二104，选271，汕优36，扬稻3号，滇粳40号等。北方稻区有京稻选1号，沈农514，丰锦，辽粳10号等发病轻。(2)避免病田留种，深耕翻埋菌核。发病时摘除并销毁病粒。(3)改进施肥技术，基肥要足，慎用穗肥，采用配方施肥。浅水勤灌，后期见干见湿。(4)药剂防治。用2％福尔马林或0．5％硫酸铜浸种3～5小时，然后闷种12小时，用清水冲洗催芽。抽穗前用18％多菌酮粉剂150～200g或于水稻孕穗末期每667m 2 用14％络氨铜水剂250g或25％稻丰灵200g或5％井冈霉素水剂100g，对水50L喷洒。施药时可加入三环唑或多菌灵兼防穗瘟。施用络氨铜时用药时间提前至抽穗前10天，进入破口期因稻穗部分暴露，易致颖壳变褐，孕穗末期用药则防效工降。此外也可用50％DT可湿性粉剂100～150g，对水60～75L，于孕穗期和始穗期各防治一次，效果良好。也可选用40％禾枯灵可湿性粉剂，每667m 2 用药60～75g，对水60L还可兼治水稻叶尖枯病、云形病、纹枯病等。"	"fd00142"	"黑穗病、绿黑穗病、谷花病、青粉病"	"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/稻曲病.jpg"
"71"	"主要为害叶片、茎秆、穗部"	"分布在全国各稻区"	"因为害时期、部位不同分为苗瘟、叶瘟、节瘟、穗颈瘟、谷粒瘟。苗瘟发生于三叶前，由种子带菌所致。病苗基部灰黑，上部变褐，卷缩而死，湿度较大时病部产生大量灰黑色霉层，即病原菌分生孢子梗和分生孢子。叶瘟  在整个生育期都能发生。分蘖至拔节期为害较重。由于气候条件和品种抗病性不同，病斑分为四种类型。慢性型病斑．开始在叶上产生暗绿色小斑，渐扩大为梭形斑，常有延伸的褐色坏死线。病斑中央灰白色，边缘褐色，外有淡黄色晕圈，叶背有灰色霉层，病斑较多时连片形成不规则大斑，这种病斑发展较慢。急性型病斑在感病品种上形成暗绿色近圆形或椭圆形病斑，叶片两面都产生褐色霉层，条件不适应发病时转变为慢性型病斑。白点型病斑感病的嫩叶发病后，产生白色近圆形小斑，不产生孢子，气候条件利其扩展时，可转为急性型病斑。褐点型病斑多在高抗品种或老叶上，产生针尖大小的褐点，只产生于叶脉间，较少产孢，该病在叶舌、叶耳、叶枕等部位也可发病。节瘟  常在抽穗后发生，初在稻节上产生褐色小点，后渐绕节扩展，使病部变黑，易折断。发生早的形成枯白穗。仅在一侧发生的造成茎秆弯曲。穗颈瘟初形成褐色小点，扩展后使穗颈部变褐，也造成枯白穗。发病晚的造成秕谷。枝梗或穗轴受害造成小穗不实。谷粒瘟  产生褐色椭圆形或不规则斑，可使稻谷变黑。有的颖壳无症状，护颖受害变褐，使种子带菌。"	"真菌"	"稻瘟病"	"灰梨孢，稻梨孢"	"Pyricularia grisea(Cooke)Sacc．称灰梨孢 Pyricularia oryzae Cav．称稻梨孢"	"水稻"	"知菌亚门真菌"	"Pyricularia grisea(Cooke)Sacc．称灰梨孢 Pyricularia oryzae Cav．称稻梨孢，属半知菌亚门真菌。有性态为Magnaporthe grisea(Hebert)Barrnov．属子囊菌亚门真菌。自然条件下尚未发现。分生孢子梗不分枝，3～5根丛生，从寄主表皮或气孔伸出，大小80～160×4～6(μm)，具2～8个隔膜，基部稍膨大，淡褐色，向上色淡，顶端曲状，上生分生孢子。分生孢子无色，洋梨形或棍棒形，常有1～3个隔膜，大小14～40×6～13(μm)，基部有脚胞，萌发时两端细胞产生芽管，芽管顶端产生附着胞，近球形，深褐色，紧贴附于寄主，产生侵入丝侵入寄主组织内。该菌可分做7群，128个生理小种。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"病菌以分生孢子和菌丝体在稻草和稻谷上越冬。翌年产生分生孢子借风雨传播到稻株上，萌发侵入寄主向邻近细胞扩展发病，形成中心病株。病部形成的分生孢子，借风雨传播进行再侵染。播种带菌种子可引起苗瘟。适温高湿，有雨、雾、露存在条件下有利于发病。菌丝生长温限8～37℃，最适温度26～28℃。孢子形成温限10～35℃，以25～28℃最适，相对湿度90％以上。孢子萌发需有水存在并持续6～8小时。适宜温度才能形成附着胞并产生侵入丝，穿透稻株表皮，在细胞间蔓延摄取养分。 阴雨连绵，日照不足或时晴时雨，或早晚有云雾或结露条件，病情扩展迅速。品种抗性因地区、季节、种植年限和生理小种不同而异。籼型品种一般优于粳型品种。同一品种在不同生育期抗性表现也不同，秧苗4叶期、分蘖期和抽穗期易感病，圆秆期发病轻，同一器官或组织在组织幼嫩期发病重。穗期以始穗时抗病性弱。偏施过施氮肥有利发病。放水早或长期深灌根系发育差，抗病力弱发病重。"	"(1)因地制宜选用2～3个适合当地抗病品种，如早稻有：早58、湘早籼3号、21号、22号，86～44，87～156，皖稻61，赣早籼39号、42号、41号，博优湛19号，中优早81号，中丝2号，培两优288号，华籼占，汕优77；中稻有：七袋占1号，七秀占3号，培杂山青，三培占1号，滇引陆粳1号，宁粳17号，宁糯4号，杨辐籼2号，胜优2号，杨稻2号、4号，东循101，东农419，七优7号，嘉45，秀水1067，皖稻28、32、34、36号、59号，汕优89号，特优689，汕优397，汕优多系1号，满仓515，泉农3号，金优63，汕优多系1号；晚稻有：秀水644，原粳4号，津稻308，京稻选1号，冀粳15号，花粳45号，辽粳244，沈农9017，冈优22，毕粳37，滇杂粳2号，冈优22号，滇籼13号、14号、40号，宁粳15、16号等抗稻瘟病品种。水稻旱种时可选用临稻3号、临稻5号、京31119、中国91等抗穗颈瘟品种。水稻进行旱直播时可选用郑州早粳、中花8号等抗病品种。(2)无病田留种，处理病稻草，消灭菌源。(3)按水稻需肥规律，采用配方施肥技术，后期做到干湿交替，促进稻叶老熟，增强抗病力。(4)种子处理。用56℃温汤浸种5分钟。用10％401抗菌剂1000倍液或80％402抗菌剂2000倍液、70％甲基托布津(甲基硫菌灵)可湿性粉剂1000倍液浸种2天。也可用1％石灰水浸种，10～15℃浸6天，20～25℃浸1～2天，石灰水层高出稻种15cm，静置，捞出后清水冲洗3～4次。用2％福尔马林浸种20～30分钟，然后用薄膜覆盖闷种3小时。(5)药剂防治抓住关键时期，适时用药。早抓叶瘟，狠治穗瘟。发病初期喷洒20％三环唑(克瘟唑)可湿性粉剂1000倍液或用40％稻瘟灵(富士一号)乳油1000倍液、50％多菌灵或50％甲基硫菌灵可湿性粉剂1000倍液、50％稻瘟肽可湿性粉剂1000倍液、40％克瘟散乳剂iooo倍液、50％异稻瘟净乳剂500～800倍液、5％菌毒清水剂500倍液。上述药剂也可添加40mg／kg春雷霉素或加展着剂效果更好。叶瘟要连防2～3次，穗瘟要着重在抽穗期进行保护，特别是在孕穗期(破肚期)和齐穗期是防治适期。"	"fd00143"	"稻热病、火烧瘟、叩头瘟"	"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/稻瘟病.jpg"
"72"	"幼叶、芽、蔓及薯块"		"叶片染病叶变形卷曲。芽、薯块染病芽卷缩，薯块表面产生暗褐色至灰褐色小点或于斑，干燥时疮痂易脱落，残留疹状斑或疤痕，造成病斑附近的根系生长受抑，健部继续生长致根变形，发病早的受害重。"	"真菌"	"甘薯疮痂病"	"甘薯痂囊腔菌"	"Elsinoe batatas(Sawada)Viegas et Jenkins"	"甘薯"	"子囊菌亚门真菌"	"Elsinoe batatas(Sawada)Viegas et Jenkins称甘薯痂囊腔菌，属子囊菌亚门真菌。无性态Sphaceloma batatas Sawada称甘薯痂圆孢，属半知菌亚门真菌。子囊球形，大小15～16×10～12(um)，具4～6个子囊孢子；子囊孢子无色，稍弯曲，具隔膜，大小7～8×3～4(um)；分生孢子梗长6～8um；分生孢子长椭圆形，大小6～7．5×2．5～3．5(um)。此外有报道Streptomyces  ipomoea也是该病病原。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"病菌以菌丝体在种薯上或随病残体在土壤中越冬。种薯和土壤均可传病，病部产生分生孢子借风雨、气流传播，由皮孔或伤口侵入，当块茎表面形成木栓化组织后则难于侵入。气温25～28℃，连续降雨易发病。"	"(1)实行4～6年轮作。(2)提倡施用酵素菌沤制的堆肥，多施绿肥等有机肥料或施入土壤添加剂SH有抑制发病的作用。(3)选用背不起、红红1号、不论春等抗病品种，用无病薯(蔓)育苗。(4)发病初喷洒36％甲基硫菌灵悬浮剂500～600倍液或50％多菌灵可湿性粉剂600倍液、50％苯菌灵可湿性粉剂1500倍液，每667m 2 喷对好的药液50～60L，隔10天1次，连续防治2～3次。"	"fd00144"	"缩芽病"	"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/甘薯疮痂病.jpg"
"73"	"根"		"苗期染病病薯出苗率低、出苗晚，在吸收根的尖端或中部出现黑褐色病斑，严重的不断腐烂，致地上部植株矮小，生长慢，叶色逐渐变黄。大田期染病受害根根尖变黑，后蔓延到根茎，形成黑褐色病斑，病部表皮纵裂，皮下组织变黑，发病轻的地下茎近地际处能发出新根，虽能结薯，但薯块小；发病重的地下根茎大部分变黑腐败，分枝少，节间短，直立生长，叶片小且硬化增厚，逐渐变黄反卷，由下向上千枯脱落，最后仅剩生长点2～3片嫩叶，全株枯死。"	"真菌"	"甘薯根腐病"	"茄类镰孢甘薯专化型"	"Fusarium solani(Mart．)Sacc．f．sp．batatas Mcclure"	"甘薯"	"知菌亚门真菌"	"Fusarium solani(Mart．)Sacc．f．sp．batatas Mcclure称茄类镰孢甘薯专化型，属半知菌亚门真菌。有性态为Nectria sanguinea(Bolt)Fr．称血红丛赤壳菌，属子囊菌亚门真菌。F．solani菌丝稀，呈茸毛或密绒状至絮状，具环状轮纹，灰白色；大型分生孢子纺锤形，2、3细胞宽，分隔3～8个，明显。5隔者多，占89％，大小48．4～59．4×4．4～5．6(um)，分生孢子梗短，具侧生瓶状小梗；小型分生孢子卵圆形或短杆状，梗较长，单细胞者多，大小5．5～9．9×1．7～2．8(um)；厚垣孢子生在大型分生孢子或侧生菌丝上，单生或两个联生，球形或扁球形，大小7．1～11．0um；菌核扁球形，灰褐色。N．sanguinea子囊壳散生或聚生，形状不规则，浅橙色至棕色或浅褐色，大小289～349×276～303(um)；子囊棍棒状，内含8个子囊孢子，子囊孢子椭圆形至卵形，大小12～14．4×4．8～6(um)。此外有报道Fusarium  javanicum Koord称爪哇镰孢也是该病病原。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"本病系典型土传病害，但病残体和带菌有机肥也是重要初侵染源，带菌种苗是远距离传播的重要途径。该病发生和流行与品种、茬口、土质、气象密切相关，温度27℃左右，土壤含水量在10％以下时易诱发此病，连作地、砂土地发病重。"	"(1)选用南薯88号，济薯2号、10号，烟薯3号，徐薯2号、18号，烟薯3号、泰薯2号，鄂薯2号，海发5号，丰薯1号，南京92，郑州红4号，8148，济薯10号(78066)、济薯11号，鲁薯3号、鲁薯4号、鲁薯7号，短蔓红心王甘薯，皖84—559等抗病品种。(2)适时早栽，栽无病壮苗，深翻改土、增施净肥、适时浇水。(3)建立三无留种地，培育无病种薯。(4)与花生、芝麻、棉花、玉米、高粱、谷子、绿肥等作物进行3年以上轮作。"	"fd00145"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/甘薯根腐病.jpg"
"74"	"薯苗、薯块"		"生育期或贮藏期均可发生，主要侵害薯苗、薯块，不为害绿色部位。薯苗染病茎基白色部位产生黑色近圆形稍凹陷斑，后茎腐烂，植株枯死，病部产生霉层。薯块染病初呈黑色小圆斑，扩大后呈不规则形轮廓明显略凹陷的黑绿色病疤，病疤上初生灰色霉状物，后生黑色刺毛状物，病薯具苦味，贮藏期可继续蔓延，造成烂窖。"	"真菌"	"甘薯黑疤病"	"甘薯长喙壳菌"	"Ceratocystis  fimbriata Ellis．et Halsted"	"甘薯"	"子囊菌亚门真菌"	"Ceratocystis  fimbriata Ellis．et Halsted称甘薯长喙壳菌，属子囊菌亚门真菌。有性态产生的子囊壳生在病斑的中央。子囊壳基部球形，上部具纵行条纹长颈形的颈，内生梨形子囊，每个子囊中生子囊孢子8个。子囊孢子单胞无色，壁薄，呈钢盔状圆形，大小4．5～7．8×3．5～4．7(um)。子囊孢子寿命较短，但在贮藏时对该病流行具重要作用。菌丝初期无色透明，老熟后变为深褐色，宽为3～5um，寄生在寄主细胞内或细胞间隙。无性态产生分生孢子和厚垣孢子。分生孢子由菌丝顶端或侧面的孢子梗上生成。分生孢子单胞无色，圆筒形至棍棒状或哑铃形，两端多平截，大小9．3～50．6×2．8～5．6(um)。孢子形成后马上发芽，发芽后有时生成一串分生孢子，如此产生2～3代后形成菌核。也有的在发芽后形成厚垣孢子。厚垣孢子暗褐色，椭圆形，有厚膜，大小10．3～18．9×6．7～10．3(um)。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"病菌以厚垣孢子或子囊孢子在贮藏窖或苗床及大田的土壤中越冬，也有的以菌丝体附在种薯上或以菌丝体潜伏在薯块中越冬，成为翌年及第3年的初侵染源。病菌能直接侵入幼苗根基，也可从薯块上伤口、皮孔、根眼侵入，发病后再频繁侵染。地势低洼、土壤粘重的重茬地或多雨年份易发病，窖温高，湿度大，通风不好时发病重。"	"(1)建立无病留种田，入窖种薯认真精选，严防病薯混入传播蔓延。(2)种薯用50％多菌灵可湿性粉剂1000倍液浸泡5分钟。(3)薯苗实行高剪后，用50％甲基硫菌灵可湿性粉剂1500倍液浸苗10分钟，要求药液浸至种藤1／3～1／2处。(4)选用抗病品种如晋薯6号、鄂薯2号、湘薯15号、遗190甘薯、鲁薯2号、鲁薯3号、鲁薯7号、北京553、济薯10号等。"	"fd00146"	"甘薯黑斑病"	"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/甘薯黑疤病.jpg"
"75"	"薯块"		"主要为害薯块的表层。初生浅褐色小斑点，后扩展成黑褐色近圆形至不规则形大斑，湿度大时，病部生有灰黑色霉层，发病重的病部硬化，产生微细龟裂。受害病薯易失水，逐渐干缩，影响质量和食用价值。我国甘薯产区均有发生。"	"真菌"	"甘薯黑痣病"	"薯毛链孢"	"Monilochaetes infuscans Ell．et Halst．ex Harter"	"甘薯"	"半知菌亚门真菌"	"Monilochaetes infuscans Ell．et Halst．ex Harter称薯毛链孢，属半知菌亚门真菌。早期产生的菌丝无色，后变成黑色。分生孢子梗不分枝，基部略膨大，具隔膜，长为40～175um，分生孢子梗上不断产生分生孢子。分生孢子单胞，无色或稍着色，圆形至长圆形，大小12～20×4～7(um)。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"病菌主要在病薯块上及薯藤上或土壤中越冬。翌春育苗时，引致幼苗发病，以后产生分生孢子侵染薯块。该菌可直接从表皮侵入，发病温限6～32℃，温度较高利其发病。夏秋两季多雨或土质粘重、地势低洼或排水不良及盐碱地发病重。"	"(1)选用无病种薯，培育无病秧苗。(2)实行轮作。(3)必要时采用高畦或起垄种植。雨后及时排水，防止湿气滞留。"	"fd00147"		"agridata/images/中国农业有害生物数据库/中国粮食作物真菌病害数据库/甘薯黑痣病.jpg"
