"id"	"棉铃虫"	"棉酚"	"生长势"	"生育期"	"果枝节位"	"短绒色"	"单宁"	"棉红蜘蛛"	"株形"	"苞外蜜腺"	"白度"	"叶厚度"	"花药色"	"东经"	"统一编号"	"叶片大小"	"属名"	"茎色"	"叶蜜腺"	"花冠色"	"铃形"	"花大小"	"跨长"	"麦克隆值"	"北纬"	"种仁脂肪"	"黄萎病"	"棉毒素"	"原产地"	"主茎硬度"	"果枝数"	"气流纱支数"	"叶色"	"耐涝性"	"环纺纱号数"	"单株铃数"	"花柱长"	"伸长百分率"	"单位编号"	"译名"	"色泽"	"果枝伸展角"	"倒伏性"	"叶形"	"果枝类型"	"杂质等级"	"茎毛"	"科名"	"种子来源地"	"品种名称"	"年"	"类别"	"气流纺指标"	"省"	"光反射率"	"保存单位"	"库编号"	"种子绒毛"	"叶绒毛"	"絮棉色"	"学名"	"高程"	"红铃虫"	"花芯色"	"枯萎病"	"铃色"	"叶枝数"	"环纺纱强力"	"样品类型"	"长度整齐度"	"子指"	"铃室数"	"蚜虫"	"铃开裂"	"耐盐性"	"耐旱性"	"铃柄长"	"苞叶形状"	"比强度"	"种仁蛋白"	"衣分"	"铃重"	"铃着生方式"	"主茎粗细"	"株高"	"图象"
"11"	"--"	"--"	"中"	"150"	"7.5"	"灰"	"--"	"--"	"塔"	"有"	"10.2"	"中"	"乳白"	"--"	"ZM-06012"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"29.0"	"4.1"	"--"	"34.20"	"S"	"有"	"美国"	"中"	"13.8"	"7"	"绿"	"--"	"10"	"12.5"	"高于"	"6.5"	"--"	"Watson"	"42-1"	">45"	"不倒"	"阔叶"	"3"	"5"	"中"	"Malvaceae(锦葵科)"	"美国"	"瓦特生"	"1987"	"陆国外"	"1828"	"国外"	"69.5"	"中棉所"	"I3A01450"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"白"	"S"	"绿"	"2.9"	"114"	"国外"	"47.7"	"11.5"	">3"	"--"	"畅"	"不抗"	"抗"	"中"	"心脏"	"21.0"	"39.50"	"34.00"	"6.80"	"单生"	"中"	"84.3"	"--"
"12"	"--"	"--"	"中"	"113"	"5.4"	"灰"	"--"	"--"	"塔"	"有"	"10.1"	"薄"	"乳白"	"--"	"ZM-06013"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"22.6"	"5.2"	"--"	"36.60"	"S"	"有"	"美国"	"中"	"20.3"	"6"	"绿"	"--"	"8"	"28.5"	"高于"	"5.0"	"--"	"Watson's Pedigreed Seed Texas"	"22-2"	">45"	"不倒"	"阔叶"	"2"	"1"	"中"	"Malvaceae(锦葵科)"	"美国"	"瓦特生纯种"	"1986"	"陆国外"	"1639"	"国外"	"75.4"	"江苏经作所"	"I3A00482"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"白"	"S"	"绿"	"2.8"	"93"	"国外"	"51.4"	"8.5"	">3"	"--"	"不畅"	"不抗"	"抗"	"中"	"心脏"	"20.1"	"37.00"	"30.27"	"4.20"	"单生"	"中"	"120.6"	"--"
"13"	"--"	"--"	"中"	"123"	"6.4"	"白"	"--"	"--"	"塔"	"有"	"9.7"	"中"	"乳白"	"--"	"ZM-06015"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"28.9"	"5.5"	"--"	"34.70"	"S"	"有"	"美国"	"中"	"17.7"	"6"	"绿"	"--"	"9"	"28.5"	"高于"	"5.6"	"--"	"TPSA 110"	"21-4"	">45"	"不倒"	"阔叶"	"3"	"3"	"多"	"Malvaceae(锦葵科)"	"美国"	"--"	"1986"	"陆国外"	"1646"	"国外"	"76.7"	"江苏经作所"	"I3A00483"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"白"	"S"	"绿"	"3.6"	"101"	"国外"	"45.9"	"11.0"	">3"	"--"	"畅"	"不抗"	"抗"	"中"	"心脏"	"19.7"	"38.40"	"39.13"	"5.40"	"单生"	"中"	"101.4"	"--"
"14"	"2"	"--"	"中"	"129"	"5.9"	"灰"	"--"	"--"	"筒"	"有"	"9.9"	"中"	"乳白"	"--"	"ZM-06016"	"大"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"圆"	"中"	"27.6"	"3.9"	"--"	"34.80"	"S"	"有"	"美国"	"中"	"18.3"	"7"	"绿"	"--"	"11"	"35.4"	"高于"	"5.3"	"--"	"Rilcot strip percala"	"31-3"	">45"	"不倒"	"阔叶"	"2"	"2"	"中"	"Malvaceae(锦葵科)"	"美国"	"豫棉2号"	"1986"	"陆国外"	"1896"	"国外"	"75.5"	"中棉所"	"I3A02817"	"有"	"短"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"1"	"白"	"S"	"绿"	"2.3"	"116"	"国外"	"47.0"	"11.9"	">3"	"1"	"畅"	"不抗"	"不抗"	"中"	"心脏"	"21.1"	"36.60"	"33.09"	"5.40"	"单生"	"中"	"76.5"	"--"
"15"	"--"	"--"	"强"	"119"	"6.4"	"绿"	"--"	"--"	"塔"	"有"	"9.8"	"中"	"乳白"	"--"	"ZM-06018"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"大"	"26.1"	"4.8"	"--"	"37.30"	"S"	"有"	"美国"	"中"	"19.0"	"7"	"绿"	"--"	"12"	"--"	"高于"	"5.8"	"--"	"Lightning Express 3A-5(shan)"	"32-2"	">45"	"不倒"	"阔叶"	"3"	"1"	"多"	"Malvaceae(锦葵科)"	"美国"	"闪电快车棉(陕)"	"1986"	"陆国外"	"1880"	"国外"	"73.3"	"江苏经作所"	"I3A00484"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"白"	"S"	"绿"	"2.2"	"126"	"国外"	"55.3"	"--"	">3"	"--"	"畅"	"不抗"	"抗"	"中"	"心脏"	"24.0"	"35.80"	"--"	"--"	"单生"	"中"	"117.1"	"--"
"16"	"--"	"--"	"中"	"118"	"--"	"绿"	"--"	"--"	"塔"	"有"	"9.3"	"中"	"乳白"	"--"	"ZM-06019"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"28.6"	"4.1"	"--"	"33.80"	"S"	"有"	"美国"	"中"	"--"	"8"	"绿"	"--"	"13"	"--"	"等于"	"6.3"	"--"	"Kasch"	"21-4"	">45"	"不倒"	"阔叶"	"3"	"1"	"多"	"Malvaceae(锦葵科)"	"美国"	"卡许"	"1986"	"陆国外"	"2070"	"国外"	"77.2"	"江苏经作所"	"I3A00485"	"有"	"短"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"白"	"S"	"绿"	"--"	"148"	"国外"	"53.7"	"--"	">3"	"--"	"畅"	"不抗"	"高抗"	"中"	"心脏"	"26.1"	"36.00"	"--"	"--"	"单生"	"中"	"111.1"	"--"
"17"	"--"	"--"	"中"	"133"	"5.7"	"灰"	"--"	"--"	"塔"	"有"	"9.0"	"中"	"乳白"	"--"	"ZM-06020"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"28.0"	"3.5"	"--"	"32.50"	"S"	"有"	"美国"	"硬"	"11.5"	"8"	"绿"	"--"	"12"	"13.5"	"高于"	"7.0"	"--"	"Carolina Queen"	"31-4"	">45"	"不倒"	"阔叶"	"3"	"3"	"中"	"Malvaceae(锦葵科)"	"美国"	"卡罗琳那皇后"	"1987"	"陆国外"	"2026"	"国外"	"74.4"	"中棉所"	"I3A01451"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"白"	"S"	"绿"	"1.7"	"131"	"国外"	"48.9"	"11.5"	">3"	"--"	"畅"	"不抗"	"高抗"	"中"	"心脏"	"23.7"	"39.20"	"37.10"	"5.70"	"单生"	"粗"	"74.5"	"--"
"18"	"--"	"--"	"强"	"154"	"9.6"	"灰"	"--"	"--"	"塔"	"有"	"9.1"	"中"	"乳白"	"--"	"ZM-06021"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"29.4"	"3.1"	"--"	"35.90"	"T"	"有"	"美国"	"中"	"14.6"	"7"	"绿"	"--"	"11"	"17.4"	"高于"	"5.5"	"--"	"Carolina Big Boll Str 2"	"31-3"	">45"	"不倒"	"阔叶"	"3"	"3"	"中"	"Malvaceae(锦葵科)"	"美国"	"卡罗琳那大铃 2"	"1987"	"陆国外"	"1901"	"国外"	"75.6"	"中棉所"	"I3A01452"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"白"	"S"	"绿"	"3.5"	"124"	"国外"	"47.3"	"12.2"	">3"	"--"	"畅"	"不抗"	"高抗"	"中"	"心脏"	"19.4"	"40.00"	"31.00"	"5.50"	"单生"	"粗"	"95.6"	"--"
"19"	"3"	"--"	"弱"	"119"	"6.0"	"灰"	"--"	"--"	"塔"	"有"	"9.3"	"中"	"乳白"	"--"	"ZM-06022"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"26.9"	"3.3"	"--"	"34.50"	"S"	"有"	"美国"	"中"	"16.1"	"8"	"绿"	"--"	"13"	"22.6"	"等于"	"6.1"	"--"	"Lankart"	"21-3"	">45"	"不倒"	"阔叶"	"3"	"1"	"多"	"Malvaceae(锦葵科)"	"美国"	"兰卡特"	"1987"	"陆国外"	"2007"	"国外"	"78.0"	"江苏经作所"	"I3A02818"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"1"	"乳白"	"S"	"绿"	"2.9"	"145"	"国外"	"55.5"	"13.2"	">3"	"1"	"畅"	"不抗"	"不抗"	"中"	"心脏"	"23.4"	"39.60"	"34.07"	"5.40"	"单生"	"中"	"71.8"	"--"
"20"	"--"	"--"	"强"	"145"	"7.7"	"灰"	"--"	"--"	"塔"	"有"	"9.4"	"中"	"乳白"	"--"	"ZM-06023"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"26.4"	"4.6"	"--"	"34.70"	"S"	"有"	"美国"	"中"	"12.2"	"7"	"绿"	"--"	"11"	"8.4"	"等于"	"7.1"	"--"	"Lankart 57"	"31-4"	">45"	"不倒"	"阔叶"	"3"	"3"	"多"	"Malvaceae(锦葵科)"	"美国"	"兰卡特 57"	"1987"	"陆国外"	"1966"	"国外"	"73.4"	"中棉所"	"I3A01202"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"白"	"S"	"绿"	"2.5"	"122"	"国外"	"49.5"	"14.5"	">3"	"--"	"畅"	"不抗"	"抗"	"中"	"心脏"	"25.5"	"40.30"	"30.60"	"7.00"	"单生"	"粗"	"83.5"	"--"
"21"	"--"	"--"	"强"	"120"	"7.0"	"灰"	"--"	"--"	"塔"	"有"	"8.8"	"中"	"乳白"	"--"	"ZM-06024"	"大"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"26.5"	"4.0"	"--"	"37.20"	"S"	"有"	"美国"	"硬"	"8.8"	"7"	"绿"	"--"	"10"	"7.3"	"高于"	"5.7"	"--"	"Lokelt 4789A"	"41-3"	">45"	"不倒"	"阔叶"	"3"	"6"	"中"	"Malvaceae(锦葵科)"	"美国"	"洛克特4789A"	"1988"	"陆国外"	"1837"	"国外"	"72.2"	"中棉所"	"I3A00486"	"有"	"短"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"黄"	"S"	"绿"	"1.0"	"117"	"国外"	"50.6"	"10.8"	">3"	"--"	"畅"	"不抗"	"抗"	"中"	"心脏"	"21.6"	"35.90"	"35.80"	"4.10"	"单生"	"中"	"111.2"	"--"
"22"	"--"	"--"	"中"	"114"	"6.0"	"灰"	"--"	"--"	"塔"	"有"	"8.9"	"中"	"乳白"	"--"	"ZM-06025"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"25.8"	"3.5"	"--"	"36.70"	"S"	"有"	"美国"	"中"	"18.7"	"7"	"绿"	"--"	"10"	"17.2"	"高于"	"5.9"	"--"	"Hlalf and Hlalf"	"31-3"	">45"	"不倒"	"阔叶"	"3"	"3"	"中"	"Malvaceae(锦葵科)"	"美国"	"半半棉"	"1986"	"陆国外"	"1779"	"国外"	"75.9"	"江苏经作所"	"I3A00487"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"白"	"S"	"绿"	"3.9"	"113"	"国外"	"49.8"	"11.3"	">3"	"--"	"畅"	"不抗"	"抗"	"中"	"心脏"	"19.0"	"35.70"	"30.20"	"5.30"	"单生"	"中"	"110.8"	"--"
"23"	"--"	"--"	"强"	"147"	"6.7"	"灰"	"--"	"--"	"塔"	"有"	"9.0"	"厚"	"乳白"	"--"	"ZM-06026"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"27.5"	"4.9"	"--"	"34.50"	"S"	"有"	"美国"	"中"	"10.8"	"7"	"绿"	"--"	"9"	"12.9"	"高于"	"6.6"	"--"	"Fleeg No.1"	"31-4"	"=45"	"不倒"	"阔叶"	"3"	"4"	"多"	"Malvaceae(锦葵科)"	"美国"	"弗利格 1 号"	"1987"	"陆国外"	"1765"	"国外"	"73.9"	"中棉所"	"I3A01453"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"白"	"S"	"绿"	"2.8"	"106"	"国外"	"46.7"	"11.0"	">3"	"--"	"畅"	"不抗"	"抗"	"短"	"心脏"	"21.6"	"38.90"	"34.30"	"5.50"	"单生"	"粗"	"91.9"	"--"
"24"	"--"	"--"	"弱"	"101"	"5.8"	"灰"	"--"	"--"	"筒"	"有"	"10.8"	"中"	"乳白"	"--"	"ZM-06027"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"圆"	"中"	"26.8"	"4.3"	"--"	"34.20"	"S"	"有"	"美国"	"硬"	"14.9"	"7"	"绿"	"--"	"10"	"16.9"	"高于"	"5.2"	"--"	"Blanco 3363"	"32-1"	">45"	"不倒"	"阔叶"	"1"	"1"	"中"	"Malvaceae(锦葵科)"	"美国"	"布兰科3363"	"1986"	"陆国外"	"1865"	"国外"	"71.8"	"江苏经作所"	"I3A01230"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"白"	"S"	"绿"	"3.0"	"117"	"国外"	"51.5"	"11.4"	">3"	"--"	"畅"	"不抗"	"抗"	"中"	"心脏"	"21.8"	"38.00"	"31.10"	"5.80"	"--"	"中"	"73.5"	"--"
"25"	"--"	"--"	"中"	"114"	"5.8"	"灰"	"--"	"--"	"塔"	"有"	"9.8"	"中"	"乳白"	"--"	"ZM-06028"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"26.4"	"4.4"	"--"	"34.30"	"S"	"有"	"印度"	"中"	"19.4"	"6"	"绿"	"--"	"9"	"31.6"	"等于"	"5.2"	"--"	"YIN DU MEI MIAN"	"11-4"	">45"	"不倒"	"阔叶"	"3"	"1"	"中"	"Malvaceae(锦葵科)"	"美国"	"印度美棉"	"1986"	"陆国外"	"1711"	"国外"	"79.1"	"江苏经作所"	"I3A00488"	"有"	"中"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"白"	"S"	"绿"	"3.7"	"106"	"国外"	"48.5"	"10.7"	">3"	"--"	"畅"	"不抗"	"不抗"	"中"	"心脏"	"18.6"	"39.30"	"32.90"	"5.00"	"单生"	"中"	"109.4"	"--"
"26"	"--"	"--"	"中"	"126"	"4.8"	"灰"	"--"	"--"	"塔"	"有"	"10.0"	"中"	"乳白"	"--"	"ZM-06029"	"中"	"Gossypium L.(棉属)"	"红"	"有"	"乳白"	"卵圆"	"中"	"22.9"	"5.2"	"--"	"35.20"	"S"	"有"	"美国"	"中"	"20.1"	"6"	"绿"	"--"	"7"	"23.0"	"高于"	"5.3"	"--"	"Gulla"	"21-3"	">45"	"不倒"	"阔叶"	"3"	"1"	"少"	"Malvaceae(锦葵科)"	"美国"	"古拉"	"1986"	"陆国外"	"1551"	"国外"	"77.0"	"江苏经作所"	"I3A00489"	"有"	"短"	"白"	"Gossypium hirsutum L.(陆地棉)"	"--"	"--"	"白"	"S"	"绿"	"2.1"	"88"	"国外"	"50.8"	"10.8"	">3"	"--"	"畅"	"不抗"	"抗"	"中"	"心脏"	"18.1"	"37.50"	"30.46"	"5.00"	"单生"	"中"	"118.7"	"--"
