"id"	"主要危害部位"	"中文名"	"为害症状"	"病害类型"	"地理分布"	"病原中文名"	"病原拉丁学名"	"主要危害作物"	"病原分类地位"	"病原形态特征"	"相关文献"	"别名"	"防治方法"	"记录号"	"传播途径和发病条件"	"图片"
"11"	"叶片"	"高粱细菌性斑点病"	"主要为害叶片。病斑圆形至椭圆形，水浸状，大小2～10mm。初呈暗绿色，后中央变浅，边缘红色，有黄色晕圈。湿度大时有菌脓溢出，干燥后呈薄膜状。病斑多时致叶片局部或全部枯死。"	"细菌"	"分布在吉林、湖南、云南等省"	"丁香假单胞菌丁香致病变种"	"Pseudomonas syringae pv．syringae Van Hall"	"高粱"		"Pseudomonas syringae pv．syringae Van Hall  称丁香假单胞菌丁香致病变种。异名Pseudomonas syringae Van Hall。菌体短杆状，大小1．2～1．8×0．6～0．7(μm)，单生、双生或成短链状，极生1～4根鞭毛，有荚膜，无芽孢。革兰氏染色阴性，好气性。生长适温25～30℃，最高温35℃，最低温0℃。"	"商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"		"参见玉米细菌性条纹病。"	"fd00106"	"细菌由风、雨和昆虫传播。较低的温度，12℃左右和潮湿的天气条件利于发病。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/高粱细菌性斑点病.jpg"
"12"	"叶片"	"高粱细菌性红条病"	"主要为害叶片。叶斑初呈水渍状窄细的小条斑，扩展后变为浅红褐色。有的病斑中央变成褐色，边缘红色，在条斑上间断出现宽的长卵形病斑。有时病斑可覆盖叶片的大部分面积。湿度大时可见小粒状细菌菌脓溢出，干燥后变为鳞片状薄层。"	"细菌"	"分布在河北、河南、山东、江苏、湖北等省"	"油菜黄单胞菌高粱致病变种或绒毛草致病变种(高粱细菌条斑病黄单胞菌)"	"Xanthomonas  campestris pv．holcicola(Elliott)Dye，异名x．holcicola(Elliott)Starr et Burkholder"	"高粱,谷子"		"Xanthomonas  campestris pv．holcicola(Elliott)Dye，异名x．holcicola(Elliott)Starr et Burkholder称油菜黄单胞菌高粱致病变种或绒毛草致病变种(高粱细菌条斑病黄单胞菌)。菌体短杆状，大小1．05～2．4×0．49～0．9(μm)，单生、双生或成短链状，有荚膜，无芽孢。单极鞭毛，革兰氏染色阴性，好气性。适宜生长温度为28～30℃，最高36～37℃，最低约4℃。51℃经10分钟致死。"	"商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"		"(1)选用抗病品种。(2)加强田间管理，防止染病。"	"fd00107"	"病原细菌在病残体上越冬，从气孔侵入寄主，气温25～30℃，多雨及多风的天气，尤其是生长早期遇到这些条件，利于该病发生和扩展。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/高粱细菌性红条病.jpg"
"13"	"叶片和叶鞘"	"高粱细菌性条纹病"	"病斑沿叶脉形成浅红色至浅紫红色条状纹，宽约1～3mm。少数品种为黄褐色，病斑发亮，不呈水浸状，别于细菌性红条病。病斑多时形成红色大斑，致病叶变红干枯。"	"细菌"	"我国河北、山西、山东、河南、江苏等省普遍发生"	"高粱假单胞菌"	"Pseudomonas andropogonis(E．F．Smith)Stapp．"	"除为害高粱外，还可侵染玉米等禾本科植物。"		"Pseudomonas andropogonis(E．F．Smith)Stapp．称高粱假单胞菌，属细菌。菌体杆状，大小1～2×0．5～0．7(μm)，有1根或很少有2根极生鞭毛，常可见1根有鞘的鞭毛，不产生荧光色素，无荚膜，无芽孢，革兰氏染色阴性，好气性。在肉汁胨琼脂平面上菌落圆形，白色，略具光泽，边缘整齐，光滑，半透明，稍隆起。生长适温5～38℃，最适为22～28℃，致死温度50℃。"	"商鸿生等编著．玉米高粱谷子病虫害诊断与防治原色图谱．北京：金盾出版社，2005 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"		"参见玉米细菌条纹病。"	"fd00108"	"参见玉米细菌条纹病。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/高粱细菌性条纹病.jpg"
"14"	"叶片"	"绿豆细菌性疫病"	"主要发生在夏秋之雨季。叶片染病病叶上现褐色圆形至不规则形水泡状斑点，初为水渍状，后呈坏疽状，严重的变为木栓化，经常可见多个病斑聚集成大坏疽型病斑。叶柄、豆荚染病亦生褐色小斑点或呈条状斑。"	"细菌"		"油菜黄单胞菌菜豆致病变种"	"Xanthomonas phaseoli(Smith)Dowson异名X．campestris pv．phaseoli(Smith)Dy"	"除侵染绿豆外，还侵染豇豆、扁豆、小豆、菜豆。"		"Xanthomonas phaseoli(Smith)Dowson异名X．campestris pv．phaseoli(Smith)Dye称油菜黄单胞菌菜豆致病变种，属细菌。菌体短杆状，极生1根鞭毛，大小0．5～3．0×0．3～0．8(um)。有荚膜，革兰氏染色阴性。在PDA培养基上菌落圆形、黄色。病菌发育适温30 ℃C，最高38℃，50℃经10分钟致死，适应pH5．7—8．4，最适pH7．3。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"细菌性斑点病"	"(1)实行3年以上轮作。(2)选留无病种子，从无病地采种，对带菌种子用45℃恒温水浸种15分钟捞出后移入冷水中冷却，或用种子重量0．3％的95％敌克松原粉或50％福美双拌种，或用硫酸链霉素500倍液浸种24小时。(3)加强栽培管理，避免田间湿度过大，减少田间结露。(4)发病初期喷洒72％杜邦克露可湿性粉剂800倍液或12％绿乳铜乳油600倍液、47％加瑞农可湿性粉剂700倍液、77％可杀得可湿性微粒粉剂500倍液、50％琥胶肥酸铜可湿性粉剂500倍液、72％农用硫酸链霉素可溶性粉剂3000～4000倍液、新植霉素kooo倍液、抗菌剂“401”800～1000倍液，隔7～10天1次，连续防治2～3次。"	"fd00109"	"病原细菌主要在种子内部或粘附在种子外部越冬。播种带菌种子，幼苗长出后即发病，病部渗出的菌脓借风雨或昆虫传播，从气孔、水孔或伤口侵入，经2～5天潜育．即引致茎叶发病。病菌在种子内能存活2～3年，在土壤中病残体腐烂后即失活。气温24～32℃、叶上有水滴是本病发生的重要温湿条件。一般高温多湿、雾大露重或暴风雨后转晴的天气，最易诱发本病。此外，栽培管理不当，大水漫灌或肥力不足、偏施氮肥，造成长势差或徒长，皆易加重发病。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/绿豆细菌性疫病.jpg"
"15"	"茎或薯块"	"马铃薯黑胫病"	"主要侵染茎或薯块，从苗期到生育后期均可发病。种薯染病腐烂成粘团状，不发芽，或刚发芽即烂在土中，不能出苗。幼苗染病一般株高15～18cm出现症状，植株矮小，节间短缩，或叶片上卷，褪绿黄化，或胫部变黑，萎蔫而死。横切茎可见三条主要维管束变为褐色。薯块染病始于脐部，呈放射状向髓部扩展，病部黑褐色，横切可见维管束亦呈黑褐色，用手压挤皮肉不分离，湿度大时，薯块变为黑褐色，腐烂发臭，别于青枯病。"	"细菌"		"胡萝卜软腐欧文氏菌马铃薯黑胫亚种"	"Erwinia carotovora subsp．atroseptica(Van Hall)Dye"	"马铃薯"		"Erwinia carotovora subsp．atroseptica(Van Hall)Dye称胡萝卜软腐欧文氏菌马铃薯黑胫亚种，属欧氏杆菌属中造成软腐的一个低温类型。菌体短杆状，单细胞，极少双连，周生鞭毛，具荚膜，大小1．3～1．9×0．53～0．6(um)，革兰氏染色阴性，能发酵葡萄糖产出气体，菌落微凸乳白色，边缘齐整圆形，半透明反光，质粘稠。该菌适宜温度10～38℃，最适为25～27℃，高于45℃即失去活力。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"		"(1)选用抗病品种如抗疫1号、胜利1号、反帝2号、渭会2号、渭会4号和渭薯2号等。(2)选用无病种薯，建立无病留种田。(3)切块用草木灰拌种后立即播种。(4)适时早播，促使早出苗。(5)发现病株及时挖除，特别是留种田更要细心挖除，减少菌源。(6)种薯入窖前要严格挑选，入窖后加强管理，窖温控制在1～4℃，防止窖温过高，湿度过大。"	"fd00110"	"种薯带菌，土壤一般不带菌。病菌先通过切薯块扩大传染，引起更多种薯发病，再经维管束或髓部进入植株，引起地上部发病。田间病菌还可通过灌溉水、雨水或昆虫传播，经伤口侵入致病，后期病株上的病菌又从地上茎通过匍匐茎传到新长出的块茎上。贮藏期病菌通过病健薯接触经伤口或皮孔侵入使健薯染病。窖内通风不好或湿度大、温度高，利于病情扩展。带菌率高或多雨、低洼地块发病重。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/马铃薯黑胫病.jpg"
"16"	"维管束"	"马铃薯环腐病"	"地上部染病分枯斑和萎蔫两种类型。枯斑型多在植株基部复叶的顶上先发病，叶尖和叶缘及叶脉呈绿色，叶肉为黄绿或灰绿色，具明显斑驳，且叶尖干枯或向内纵卷，病情向上扩展，致全株枯死；萎蔫型初期则从顶端复叶开始萎蔫，叶缘稍内卷，似缺水状，病情向下扩展，全株叶片开始褪绿，内卷下垂，终致植株倒伏枯死。块茎发病切开可见维管束变为乳黄色至黑褐色，皮层内现环形或弧形坏死部，故称环腐。经贮藏块茎芽眼变黑干枯或外表爆裂，播种后不出芽或出芽后枯死或形成病株。病株的根、茎部维管束常变褐，病蔓有时溢出白色菌脓。"	"细菌"		"密执安棒杆菌马铃薯环腐致病变种或称环腐棒杆菌"	"Clavibacter michiganense subsp．sepedonicum(Spieckermann＆Kotthoff)Davis，Gillaspie，Vidaver and Harris．"	"马铃薯"		"Clavibacter michiganense subsp．sepedonicum(Spieckermann＆Kotthoff)Davis，Gillaspie，Vidaver and Harris．异名Corynebacterium sepedonicum(Spieck．&Kotthoff)Skap tason&Burkholder称密执安棒杆菌马铃薯环腐致病变种或称环腐棒杆菌，属细菌。菌体短杆状，大小0．8～1．2×0．4～0．6(um)，无鞭毛，单生或偶而成双，不形成荚膜及芽孢，好气性。在培养基上菌落白色，薄而透明，有光泽，人工培养条件下生长缓慢，革兰氏染色阳性。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"		"(1)建立无病留种田，尽可能采用整薯播种。有条件的最好与选育新品种结合起来，利用杂交实生苗，繁育无病种薯。(2)种植抗病品种经鉴定表现抗病的品系有：东农303、郑薯4号、宁紫7号、庐山白皮、乌盟601、克新1号、丰定22、铁筒1号、阿奎拉、长薯4号、高原3号、同薯8号等。(3)播前汰除病薯。把种薯先放在室内堆放五、六天，进行晾种，不断剔除烂薯，使田间环腐病大为减少。此外用50mg／kg硫酸铜浸泡种薯10分钟有较好效果。(4)结合中耕培土，及时拔除病株，携出田外集中处理。"	"fd00111"	"该菌在种薯中越冬，成为翌年初侵染源。病薯播下后，一部分芽眼腐烂不发芽，一部分出土的病芽，病菌沿维管束上升至茎中部或沿茎进入新结薯块而致病。适合此菌生长温度20～23℃，最高31～33℃，最低1～2℃。致死温度为干燥情况下50℃经10分钟。最适pH6．8～8．4。传播途径主要是在切薯块时，病菌通过切刀带菌传染。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/马铃薯环腐病.jpg"
"17"	"叶片、茎秆、块茎"	"马铃薯青枯病"	"病株稍矮缩，叶片浅绿或苍绿，下部叶片先萎蔫后全株下垂，开始早晚恢复，持续4～5天后，全株茎叶全部萎蔫死亡，但仍保持青绿色，叶片不凋落，叶脉褐变，茎出现褐色条纹，横剖可见维管束变褐，湿度大时，切面有菌液溢出。块茎染病后，轻的不明显，重的脐部呈灰褐色水浸状，切开薯块，维管束圈变褐，挤压时溢出白色粘液，但皮肉不从维管束处分离，严重时外皮龟裂，髓部溃烂如泥，别于枯萎病。"	"细菌"		"青枯假单胞菌或茄假单胞菌"	"Pseudomonas solanacearum(Smith)Smith"	"马铃薯"		"Pseudomonas solanacearum(Smith)Smith称青枯假单胞菌或茄假单胞菌，属细菌。菌体短杆状，单细胞，两端圆，单生或双生，极生1～3根鞭毛，大小0．9～2．0×0．5～0．8(um)。在肉汁胨蔗糖琼脂培养基上，菌落圆形或不整形，污白色或暗色至黑褐色，稍隆起，平滑具亮光，革兰氏染色阴性。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"		"(1)实行与十字花科或禾本科作物4年以上轮作，最好与禾本科进行水旱轮作。(2)选用抗青枯病品种。(3)选择无病地育苗，采用高畦栽培，避免大水漫灌。(4)清除病株后，撒生石灰消毒。(5)加强栽培管理，采用配方施肥技术，喷施植宝素7500倍液或爱多收6000倍液，施用充分腐熟的有机肥或草木灰、五四O六3号菌500倍液，可改变微生物群落。还可每667m 2 施石灰100～150kg，调节土壤pH值。(6)药剂防治用南京农业大学试验的青枯病拮抗菌MA-7、NOE-104，于定檀时大苗浸根；也可在发病初期用硫酸链霉素或72％农用硫酸链霉素可溶性粉剂4000倍液或农抗“401”500倍液、25％络氨铜水剂500倍液、77％可杀得可湿性微粒粉剂400～500倍液、50％百菌通可湿性粉剂400倍液、12％绿乳铜乳油600倍液、47％加瑞农可湿性粉剂700倍液灌根，每株灌对好的药液0．3～0．5L，隔10天1次，连续灌2～3次。"	"fd00112"	"病菌随病残组织在土壤中越冬，侵入薯块的病菌在窖里越冬，无寄主可在土中腐生14个月至6年。病菌通过灌溉水或雨水传播，从茎基部或根部伤口侵入，也可透过导管进入相邻的薄壁细胞，致茎部出现不规则水浸状斑。青枯病是典型维管束病害，病菌侵入维管束后迅速繁殖并堵塞导管，妨碍水分运输导致萎蔫。该菌在10～40℃均可发育，最适为30～37℃，适应pH6～8，最适pH6．6，一般酸性土发病重。田间土壤含水量高、连阴雨或大雨后转晴气温急剧升高发病重。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/马铃薯青枯病.jpg"
"18"	"叶、茎及块茎"	"马铃薯软腐病"	"主要为害叶、茎及块茎。叶染病近地面老叶先发病，病部呈不规则暗褐色病斑，湿度大时腐烂。茎部染病多始于伤口，再向茎干蔓延，后茎内髓组织腐烂，具恶臭，病茎上部枝叶萎蔫下垂，叶变黄。块茎染病多由皮层伤口引起，初呈水浸状，后薯块组织崩解，发出恶臭。"	"细菌"		"胡萝卜软腐欧文氏菌胡萝卜软腐致病变种,胡萝卜软腐欧文氏菌马铃薯黑胫亚种,菊欧氏菌"	"Erwinia carotovora subsp．carotovora(Jones)Bergey et al．称胡萝卜软腐欧文氏菌胡萝卜软腐致病变种和E．carotovora subsp．atroseptica(Van Hall)Dye称胡萝卜软腐欧文氏菌马铃薯黑胫亚种及E．chrysanthemi Burkholder，McFadden et Dimock称菊欧氏菌。"	"马铃薯"		"有3种。Erwinia carotovora subsp．carotovora(Jones)Bergey et al．称胡萝卜软腐欧文氏菌胡萝卜软腐致病变种和E．carotovora subsp．atroseptica(Van Hall)Dye称胡萝卜软腐欧文氏菌马铃薯黑胫亚种及E．chrysanthemi Burkholder，McFadden et Dimock称菊欧氏菌。菌体直杆状，大小1～3×0．5～1(um)，单生，有时对生，革兰氏染色阴性，靠周生鞭毛运动，兼厌气性。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"		"(1)加强田间管理，注意通风透光和降低田间湿度。(2)及时拔除病株，并用石灰消毒减少田间初侵染和再侵染源。(3)避免大水漫灌。(4)喷洒50％百菌通可湿性粉剂500倍液或12％绿乳铜乳油600倍液、47％加瑞农可湿性粉剂500倍液、14％络氨铜水剂300倍液。"	"fd00113"	"病原菌在病残体上或土壤中越冬，经伤口或自然裂口侵入，借雨水飞溅或昆虫传播蔓延。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/马铃薯软腐病.jpg"
"19"	"叶片、茎部"	"木薯细菌性枯萎病"	"主要为害叶片、茎部，属系统性分布为害整株病害。叶片染病形成湿色角斑，湿度大时其上流胶，初为白色粘液，后变为黄褐色，致植株萎蔫、流胶。茎部染病常致茎凹陷，分泌出大量胶质物，加速叶片枯萎。块根染病维管束变为黄褐色，根系及维管柬出现干腐，严重的全株死亡。"	"细菌"		"木薯萎蔫病黄单胞菌"	"Xanthomonas manihotis(Artheodet Bey．)Stars异名Xanthomonas campestris pv．manihotis Starr．"	"木薯"		"Xanthomonas manihotis(Artheodet Bey．)Stars异名Xanthomonas campestris pv．manihotis Starr．称木薯萎蔫病黄单胞菌，属细菌。菌体杆状，极生单鞭毛，大小1．1～1．2×0．3～0．4(um)，多数单个排列，少数3～4个连接成短链。不产生芽孢，无荚膜，革兰氏染色阴性。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"流胶病"	"(1)实行植物检疫。繁育、栽植无病苗。(2)锯苗后，用70％酒精擦洗锯面消毒。(3)实行轮作，重病田块土壤休闲6个月，也可与其他非寄主作物轮作。(4)健株发芽时，发现病株后要连根拔除，放入塑料袋内携出圃场深埋或烧毁。拔除病株后隔2～3周再进行补栽。(5)选用耐病品种如一支香等。(6)加强田间管理。种植前用饱和石灰水浸泡种茎，病田土壤和农具要进行消毒，控制病田流水和土壤传入无病田块。(7)必要时喷洒农用硫酸链霉素4000倍液或12％绿乳铜乳油600倍液、47％加瑞农可湿性粉剂700倍液、77％可杀得可湿性微粒粉剂600倍液。"	"fd00114"	"病菌在老熟茎秆的韧皮部里存活，主要靠带菌的种茎进行远距离传播，此外雨水、昆虫、病土及带菌工具也可传播。生产上栽种染病病株，发芽不久，叶柄及茎上即流胶，胶内病原细菌经雨水传播到健株上，先在叶片上形成角斑，湿度大时病部也流胶，使病斑内细菌由导管经叶片转移至茎内，并向上下移动，造成发病流胶。高温多雨易发病。品种间抗病性有差异."	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/木薯细菌性枯萎病.jpg"
"20"	"各个器官均可染病，叶片最易染病。"	"水稻白叶枯病"	"整个生育期均可受害，苗期、分蘖期受害最重，各个器官均可染病，叶片最易染病。其症状因病菌侵入部位、品种抗病性、环境条件有较大差异，常见分3种类型。叶枯型 主要为害叶片，严重时也为害叶鞘，发病先从叶尖或叶缘开始，先出现暗绿色水浸状线状斑，很快沿线状斑形成黄白色病斑，然后沿叶缘两侧或中肋扩展，变成黄褐色，最后呈枯白色，病斑边缘界限明显。在抗病品种上病斑边缘呈不规则波纹状。感病品种上病叶灰绿色，失水快，内卷呈青枯状，多表现在叶片上部。急性凋萎型苗期至分蘖期，病菌从根系或茎基部伤口侵入维管束时易发病。主茎或2个以上分蘖同时发病，心叶失水青枯，凋萎死亡，其余叶片也先后青枯卷曲，然后全株枯死，也有仅心叶枯死。病株茎内腔有大量菌脓，有的叶鞘基部发病呈黄褐或褐色，折断用手挤压溢出大量黄色菌脓。有的水稻自分蘖至孕穗阶段，剑叶或其下1～3叶中脉淡黄色，病斑沿中脉上下延伸，上可达叶尖、下达叶鞘，有时叶片折叠，病株未抽穗而死。褐斑或褐变型抗病品种上较多见，病菌通过剪叶或伤口侵入，在气温低或不利发病条件，病斑外围出现褐色坏死反应带，病情扩展停滞。黄化型症状不多见，早期心叶不枯死，上有不规则褪绿斑，后发展为枯黄斑，病叶基部偶有水浸状断续小条斑。天气潮湿或晨露未干时上述各类病叶上均可见乳白色小点，干后结成黄色小胶粒，很易脱落。水稻白叶枯病造成的枯心苗，在分蘖期开始出现，病株心叶或心叶以下1～2层叶出现失水、卷筒、青枯等症状，最后死亡。白叶枯病形成枯心苗后，其他叶片也逐渐青枯卷缩，最后全株枯死，剥开新青卷的心叶或折断的茎部或切断病叶，用力挤压，可见有黄白色菌脓溢出，即病原菌菌脓，别于大螟、二化螟及三化螟为害造成的枯心苗。"	"细菌"	"分布全国"	"水稻黄单胞菌"	"Xanthomonas oryzae"	"水稻"		"Xanthomonas oryzae  称水稻黄单胞菌。包括白叶枯病菌和条斑病菌两个致病变种：即Xanthomonas oryzae pv．oryzae(Ishiyama)稻生黄单胞菌和Xanthomonas oryzae pv．oryzicola(Fang et a1．)水稻黄单胞菌水稻生致病变种，属细菌。异名x．campest以s pv．oryzae(Ishiyama)Dye。稻白叶枯病菌菌体短杆状，大小1．0～2．7×0．5～1．0(μm)，单生，单鞭毛，极生或亚极生，长约8．7μm，直径30nm，革兰氏染色阴性，无芽孢和荚膜，菌体外具粘质的胞外多糖包围。在人工培养基上菌落蜜黄色，产生非水溶性的黄色素，好气性，呼吸型代谢，不同地区的菌株致病力不同。自然条件下，病菌可侵染栽培稻、野生稻、李氏禾、茭白等禾本科植物。病菌血清学鉴定分三个血清型：I型是优势型，分布全国。Ⅱ、Ⅲ型仅存在于南方个别稻区。 病菌生长温限17～33℃，最适25～30℃，最低5℃，最高40℃，病菌最适宜pH6．5～7．０。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"白叶瘟、地火烧、茅草瘟"	"(1)选用适合当地的2～3个主栽抗病品种。早稻抗病品种有：嘉育280，皖稻61号，赣早籼40号，中优早81号，湘早籼2l号、22号，培两优288，桂引901。中稻抗病品种有：嘉45号，秀水1067，皖稻28，皖稻32、34、36、38、59、61号，汕优多系1号，湘粳2号，七袋占1号，八桂占2号，三培占1号，航育1号。晚稻抗病品种有：沈农514，滇籼13号、14号，滇粳糯39号，滇粳40号，宁粳15号、1 6号、17号，宁糯4号等。山东表现中抗的品种有H30l。粳稻品种对我国7个白叶枯病菌株(致病型1—7)抗至中抗的品种有：DP5165，95鉴27，加45，95鉴25，96鉴35，宁93—38，宁波2号，台537，D602等。(2)加强植物检疫，不从病区引种，必须引种时，用1％石灰水或80％402抗菌剂2000倍液浸种2天或50倍液的福尔马林浸种3小时闷种12小时，洗净后再催芽。也可选用浸种灵乳油2ml，对水10～12L，充分搅匀后浸稻种6～8kg，浸种36小时后催芽播种。还可用中生菌素100倍液，升温至55℃，浸种36～48小时后催芽播种。(3)农业防治，提倡施用酵素菌沤制的堆肥，加强水浆管理，浅水勤灌，雨后及时排水，分蘖期排水晒田，秧田严防水淹。妥善处理病稻草，不让病菌与种、芽、苗接触，清除田边再生稻株或杂草。(4)药剂防治。发现中心病株后，开始喷洒20％叶枯宁(叶青双)可湿性粉剂，每667m 2 用药100g，对水50L，用叶枯宁防效上不去时。可在施用叶枯宁同时混入硫酸链霉素或农用链霉素4000倍液或强氯精2500倍液，防效明显提高。此外，每667m 2 还可选用10％氯霉素1009或70％叶枯净(杀枯净)胶悬剂100～150g、25％叶枯灵(渝～7802)可湿性粉剂175～200g，对水50～60L喷洒。也可在5叶期和水稻移栽前5天，各喷中生菌素500倍液1次或用50％氯溴异氰尿酸水溶性粉剂(消菌灵)，每667m 2 用量为25～50g，对水50kg喷雾。"	"fd00115"	"带菌种子、带病稻草和残留田间的病株稻桩是主要初侵染源。李氏禾等田边杂草也能传病。细菌在种子内越冬，播后由叶片水孔、伤口侵入，形成中心病株，病株上分泌带菌的黄色小球，借风雨、露水、灌水、昆虫、人为等因素传播。病菌借灌溉水、风雨传播距离较远，低洼积水、雨涝以及串灌漫灌可引起连片发病。晨露未干病田操作造成带菌扩散。高温高湿、多露、台风、暴雨是病害流行条件，稻区长期积水、氮肥过多、生长过旺、土壤酸性都有利于病害发生。一般中稻发病重于晚稻，籼稻重于粳稻。矮秆阔叶晶种重于高秆窄叶品种，不耐肥品种重于耐肥品种。水稻在幼穗分化期和孕穗期易感病。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/水稻白叶枯病.jpg"
"21"	"穗"	"水稻细菌性谷枯病"	"我国水稻新病害。水稻齐穗后乳熟期的绿色穗直立，染病谷粒初现苍白色似缺水状萎凋，渐变为灰白色至浅黄褐色，内外颖的先端或基部变成紫褐色，护颖也呈紫褐色。每个受害穗染病谷粒10～20粒左右，发病重的一半以上谷粒枯死，受害严重的稻穗呈直立状而不弯曲，多为不稔，若能结实多萎缩畸形，谷粒一部分或全部变为灰白色或黄褐色至浓褐色，病部与健部界线明显。"	"细菌"	"贵州省、台湾有发生，国外主要分布在日本"	"颖壳假单胞菌(水稻细菌颖谷病假单胞菌)"	"Pseudomonas glumae kurita et Tabei"	"水稻"		"Pseudomonas glumae kurita et Tabei称颖壳假单胞菌(水稻细菌颖谷病假单胞菌)，属细菌。革兰氏染色阴性，极生2～4根鞭毛，菌体短杆状，有荚膜，无芽孢，大小1．5 ～2．5×0．5～0．7(μm)，氧化酶活性为阳性，不能利用鼠李糖产酸。在PDA培养基上菌落小，黄乳白色，能利用木糖、阿拉伯糖、葡萄糖、果糖、甘油等产酸而不产气。能利用牛乳，凝固并消化。明胶液化。不产生哚吲及H2S，但产NH3。硝酸盐不还原。生长温限11～40℃，最适为30～35℃。"	"吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"		"(1)加强检疫，防止病区扩大。(2)选用抗病品种。(3)在5％抽穗时喷洒2％嘉赐霉素溶液(kasugamycin)250倍液或60％百菌通可湿性粉剂500倍液、12％绿乳铜乳油500倍液、47％加瑞农可湿性粉剂600～700倍液、53．8％可杀得2000干悬浮剂1200倍液。"	"fd00116"	"谷粒带菌，播种带病谷粒，遇有适宜的发病条件，即抽穗期高温多日照，降雨量少易发病，品种不同抗病性差异明显。台南6号、新竹糯等易感病，台湾的高雄籼、丰锦等极抗病。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/水稻细菌性谷枯病.jpg"
"22"	"为害叶片、叶鞘、茎、节、穗、枝梗和谷粒。"	"水稻细菌性褐斑病"	"为害叶片、叶鞘、茎、节、穗、枝梗和谷粒。叶片染病初为褐色水浸状小斑，后扩大为纺缍形或不规则赤褐色条斑，边缘出现黄晕，病斑中心灰褐色，病斑常融合成大条斑，使叶片局部坏死，不见菌脓。叶鞘受害多发生在幼穗抽出前的穗苞上，病斑赤褐，短条状，后融合成水渍状不规则大斑，后期中央灰褐色，组织坏死。剥开叶鞘，茎上有黑褐色条斑，剑叶发病严重时抽不出穗。穗轴、颖壳等部受害产生近圆形褐色小斑，严重时整个颖壳变褐，并深入米粒。谷粒病斑易与稻胡麻叶枯病混淆，镜检可见切口处有大量菌脓溢出。"	"细菌"		"丁香假.单胞菌丁香致病变种"	"Pseudomonas syringae pv．syringae Van Holl"	"水稻"		"Pseudomonas syringae pv．syringae Van Holl称丁香假单胞菌丁香致病变种，属细菌。菌体杆状，单生，大小1～3×0．8～1．0(μm)，极生鞭毛2～4根。肉汁胨平板培养基上菌落白色，圆形，表面光滑，后呈环状轮纹。"	"喻璋等编著．小麦病虫害及其防治．成都：四川大学出版社，2002 吕佩珂．中国粮食作物、经济作物、药用植物病虫原色图鉴(上)．呼和浩特：远方出版社，1999"	"细菌性鞘腐病"	"(1)加强检疫，防止病种子的调入和调出。(2)浅水灌溉，防止田水串流。采用配方施肥，忌偏施氮肥。及时清除田边杂草，处理带菌稻草。(3)药剂防治参见水稻白叶枯病。"	"fd00117"	"病菌在种子和病组织中越冬。从伤口侵入寄主，也可从水孔、气孔侵入。细菌在水中可存活20～30天，随水流传播。暴雨、台风可加重病害发生。偏施氮肥，灌水过多或灌串水，易发病。偏酸性土壤发病重。"	"agridata/images/中国农业有害生物数据库/中国粮食作物细菌病害数据库/水稻细菌性褐斑病.jpg"
