"id"	"天敌"	"中文名"	"形态特征"	"地理分布"	"纲"	"目"	"科"	"主要危害作物"	"生物学特性及发生消长规律"	"相关文献"	"拉丁学名"	"记录号"	"防治方法"	"图片"
"31"	"天敌有：寄生于卵的螟黄赤眼蜂、松毛虫赤眼蜂、北方风蝶卵跳小蜂、广赤眼蜂；寄生于幼虫的青虫菌；寄生于蛹的广大腿小蜂、凤蝶金小蜂、野蚕黑瘤姬蜂和寄生蝇。"	"柑橘凤蝶"	"成虫有春型和夏型两种。体淡黄绿至暗黄色，体背中央有黑色纵带，两侧有黄白色带纹。翅黑色，前翅近三角形，近外缘有8个黄色月牙斑。后翅黑色，近外缘有6个新月形黄斑，基部有8个黄斑；臀角处有l橙黄色圆斑，斑中心为l黑点，有尾突。卵近球形，初黄色，后变深黄，孵化前紫灰至黑色。一龄幼虫黑色，刺毛多；二至四龄幼虫黑褐色，体上肉状突起较多，头、尾黄白色，体表粗糙，形似鸟粪。老熟幼虫黄绿色至绿色，表面光滑，体长45毫米左右，后胸背两侧有眼斑，后胸和第一腹节间有蓝黑色带状斑，腹部第四节和第五节两侧各有l条蓝黑色斜纹分别延伸至第五节和第六节背面相交，各体节气门下线处各有1白斑。臭腺角橙黄色。蛹近菱形，初为淡绿色，后呈暗褐色，头顶两侧和胸背各有1个突起。"	"在全国各地均有分布。"	"昆虫纲"	"鳞翅目"	"凤蝶科"	"为害柑橘和山椒等"	"该虫在四川、浙江和湖北每年发生3～4代，在重庆和江西每年发生4～5代，广东和福建每年发生5～6代。各地均以蛹附在柑橘叶背、枝干及其他比较隐蔽的场所越冬。在广州，各代成虫的发生期分别为3～4月、4月下旬到5月、5月下旬至6月、6月下旬至7月、8～9月、10～11月。在浙江黄岩，各代成虫的发生期分别为5～6月、7～8月、9～10月。成虫在白天采蜜、交尾和产卵，早晨露水未干时多静止于柑橘的枝叶上。卵多散产于嫩芽上和叶背面，孵出的幼虫先食卵壳，随后食芽和嫩叶，随着虫龄增大，逐渐向下取食成长叶，食量大增。幼虫共5龄，老熟后多在隐蔽的枝条等处所吐丝化蛹。该虫通常以柑橘苗圃、幼龄果园或山区果园发生较多。已发现的天敌有：寄生于卵的螟黄赤眼蜂、松毛虫赤眼蜂、北方风蝶卵跳小蜂、广赤眼蜂；寄生于幼虫的青虫菌；寄生于蛹的广大腿小蜂、凤蝶金小蜂、野蚕黑瘤姬蜂和寄生蝇。其中螟黄赤眼蜂和风蝶金小蜂寄生率很高。"	"夏声广，唐启义主编．柑橘病虫害防治原色生态图谱．北京：中国农业出版社，2006 任伊森等编著．柑橘病虫害防治手册．北京：金盾出版社，2001 任伊森，蔡明段主编．柑橘病虫草害防治彩色图谱．北京：中国农业出版社，2004 陈福如主编．柑橘病虫害诊治图谱．福州：建科学技术出版社，2004"	"Papilio xuthus Linnaeus"	"op00434"	"(1)人工捕杀。成虫在早晨露水未干前多静止于枝叶上少动，白天则在橘园、花圃、菜地和其他蜜源植物上飞舞，可用捕虫网捕捉。另可在新梢期捕杀卵、幼虫和蛹。 (2)保护利用天敌。赤眼蜂和风蝶金小蜂等天敌对凤蝶有显著的控制作用，在药剂防治和人工捕杀时应注意保护。 (3)药剂防治。根据发生情况进行挑治，并尽量与其他害虫的防治结合进行。防治凤蝶的有效药剂有：Bt制剂(每克100亿个孢子)200～300倍液、10％毗虫啉可湿性粉剂3 000倍液、25％除虫脲可湿性粉剂1 500～2 000倍液、10％氯氰菊酯乳油2 000～4 000倍液、2．5％溴氰菊酯乳油1 500～2 500倍液、20％甲氰菊酯乳油2 000～3 000倍液、3％莫比朗乳油2 500倍液、0.3％苦参碱水剂200倍液、50％马拉硫磷乳油或90％晶体敌百虫或80％敌敌畏乳油1 000倍液等。"	"agridata/images/中国农业有害生物数据库/中国柑桔害虫数据库/柑橘凤蝶.jpg"
"32"		"柑橘褐软蚧"	"雌若虫初为黄绿色，中央有纵脊，至成虫时则多为浅褐色，纵脊不明显，体驱无蜡质介壳，仅于体的背部具有极薄透明的蜡质一层。雌成虫椭圆形，略突起，暗橄榄色，略有暗褐色斑点。体前膜质或略硬化，背有多个小亮点和很多较大的圆形或椭圆形淡斑。"		"昆虫纲"	"同翅目"	"蜡蚧科"	"主要为害柑橘和枳壳"	"一年发生l代，以若虫在枝条或叶片上越冬，于4月末至5月末孵化。"	"夏声广，唐启义主编．柑橘病虫害防治原色生态图谱．北京：中国农业出版社，2006 任伊森等编著．柑橘病虫害防治手册．北京：金盾出版社，2001 任伊森，蔡明段主编．柑橘病虫草害防治彩色图谱．北京：中国农业出版社，2004 陈福如主编．柑橘病虫害诊治图谱．福州：建科学技术出版社，2004"	"Coccus hesperidum(L．)"	"op00435"	"参考矢尖蚧。"	"agridata/images/中国农业有害生物数据库/中国柑桔害虫数据库/柑橘褐软蚧.jpg"
"33"	"尼氏钝绥螨、江原钝绥螨、长刺钝绥螨、具瘤长须螨、圆果大赤螨、草间小黑蛛、八斑球腹蛛、晋草蛉、中华草蛉、塔六点蓟马、深点食螨瓢虫、腹管食螨瓢虫、虫生藻菌、芽枝霉和无内涵体病毒等。"	"柑橘红蜘蛛"	"红蜘蛛雌成螨约长0．39毫米，宽约0．26毫米，近椭圆形，紫红色，背面有13对瘤状小突起，每一突起上长有1根白色长毛，足4对。雄成螨鲜红色，与雌成螨相比，体略小(长约0．34毫米，宽约0．16毫米)，腹部末端部分较尖，足较长。卵扁球形，直径约为0．13毫米，鲜红色，有光泽，后渐褪色。顶部有一垂直的长柄，柄端有10～12根向四周辐射的细丝，可附着于叶片上。幼螨体长0．2毫米，色较淡，有足3对。若螨与成螨极相似，但身体较小，一龄若螨体长0．2～0．25毫米，二龄若螨体长0．25～0．3毫米，均有4对足。"	"在我国各柑橘产区普遍发生"	"蛛形纲"	"蜱螨目"	"叶螨科"	"除为害柑橘外，还可为害黄皮、无花果、苦楝、桂花、蔷薇、苎麻、沙梨、蒲桃、椰子、番木瓜、木菠萝、油梨、杨桃、人心果、桃、柿、苹果、葡萄、核桃、樱桃、枣等。"	"柑橘红蜘蛛的年发生代数主要受气温的影响，通常年平均气温在15～17℃左右时，1年发生12～15代，年均温在18℃左右时，1年发生16～17代，年均温在20℃左右时，1年可发生20代左右。影响红蜘蛛种群密度的主要因素有温度、湿度、食料、天敌和人为因素等。一般气温在12～26℃时有利于红蜘蛛的发生，20℃左右时最适。主要由于温度的影响，红蜘蛛的发生有2个高峰期，常年一般出现在4～6月和9～11月。最适于红蜘蛛发生的相对湿度在70％左右，多雨不利于发生。食料则以柑橘的幼嫩组织为好。柑橘红蜘蛛的天敌种类很多，已发现的有近百种，其中对红蜘蛛的发生可以产生显著控制作用的有尼氏钝绥螨、江原钝绥螨、长刺钝绥螨、具瘤长须螨、圆果大赤螨、草间小黑蛛、八斑球腹蛛、晋草蛉、中华草蛉、塔六点蓟马、深点食螨瓢虫、腹管食螨瓢虫、虫生藻菌、芽枝霉和无内涵体病毒等。天敌丰富的果园，红蜘蛛可以得到自然控制，特别是生长季节的中后期。对红蜘蛛的人为影响的最主要途径是通过果园用药，适当的用药可以使红蜘蛛得到更好的控制，而不合理的频繁用药则会杀死大量天敌，使红蜘蛛的发生更为猖獗，并呈现出多峰状态。"	"夏声广，唐启义主编．柑橘病虫害防治原色生态图谱．北京：中国农业出版社，2006 任伊森等编著．柑橘病虫害防治手册．北京：金盾出版社，2001 任伊森，蔡明段主编．柑橘病虫草害防治彩色图谱．北京：中国农业出版社，2004 陈福如主编．柑橘病虫害诊治图谱．福州：建科学技术出版社，2004"	"Panonychus citri Me Gregor"	"op00436"	"在橘园行间种植藿香蓟、白三叶、百喜草、大豆、印度豇豆，冬季还可种蚕豌豆、肥田萝卜和紫云英等，也可实行生草栽培；避免滥用农药，特别是对天敌杀伤力大的广谱性农药。合理用药的关键是掌握防治指标和选择药剂种类。一般春季防治指标掌握在3～4头／叶(有螨叶率65％)，夏秋季可增加到5～7头／叶(有螨叶率85％)。天敌少的，防治指标可适当低些，反之，则应适当高些。药剂要选择对天敌安全，对害虫效果好的农药，如机油乳剂200倍液(生长期宜选择窄幅高精度的产品，如99．1％敌死虫乳油等，但花蕾期和果实开始转色后慎用)、15％速螨酮(哒螨灵)乳油2 000～3 000倍液、73％克螨特乳油2 000～3 000倍液、70％瑞泽螨特乳油(国产，有效成分同克螨特)2 000～3 000倍液、40％螨克特乳油2 500倍液、25％三唑锡可湿性粉剂1 500～2 000倍液、50％托尔克可湿性粉剂2 000～3 000倍液、20％托尔螨克可湿性粉剂2 500倍液、5％尼索朗乳油2 000～3 000倍液、1．8％阿维菌素乳油3 000～4000倍液、10％刘阳霉素乳油1 000～1 500倍液、24．5％北农及克乳油2 000～3 000倍液、45％晶体石硫合剂250～400倍液、松碱合剂30倍液、20％双甲脒乳油1 000～1 500倍液、25％杀螨隆乳油1 000～2 000倍液等。"	"agridata/images/中国农业有害生物数据库/中国柑桔害虫数据库/柑橘红蜘蛛.jpg"
"34"		"柑橘灰象甲"		"主要分布于贵州、四川、福建、江西、湖南、广东、浙江、安徽、陕西等省。"	"昆虫纲"	"鳞翅目"	"象甲科"	"主要为害柑橘类、桃、李、杏、无花果等多种作物"	"一年发生1代，以成虫在土壤中越冬。翌年3月底至4月中旬出土，4月中旬至5月上旬是为害高峰期，5月为产卵盛期，5月中、下旬为卵孵化盛期。"	"夏声广，唐启义主编．柑橘病虫害防治原色生态图谱．北京：中国农业出版社，2006 任伊森等编著．柑橘病虫害防治手册．北京：金盾出版社，2001 任伊森，蔡明段主编．柑橘病虫草害防治彩色图谱．北京：中国农业出版社，2004 陈福如主编．柑橘病虫害诊治图谱．福州：建科学技术出版社，2004"	"Sympiezomia citre(Chao)"	"op00437"	"①冬季结合施肥，将树冠下土层深翻15厘米，破坏土室。②3月底至4月初成虫出土时，在地面喷洒50％辛硫磷乳油200倍液，使土表爬行成虫触杀死亡。③人工捕杀。成虫上树后，利用其假死性震摇树枝，使其跌落在树下铺的塑料布上，然后集中消毁。④春夏梢抽发期，成虫上树为害时，用2．5％敌杀死乳油l 500倍液，或用90％万灵可湿性粉剂3 000～4 000倍液喷杀。"	"agridata/images/中国农业有害生物数据库/中国柑桔害虫数据库/柑橘灰象甲.jpg"
"35"	"钝绥螨、蜘蛛和捕食性椿象等"	"柑橘蓟马"	"成虫纺锤形，体长约1毫米，淡橙黄色，体表有细毛。触角8节，头部刚毛较长。前翅有纵脉1条，翅上缨毛很细。腹部较圆。卵肾脏形，长约0．18毫米。幼虫共2龄，一龄幼虫体小，颜色略淡；二龄幼虫大小与成虫相近，无翅，老熟时琥珀色，椭圆形。幼虫经预蛹(三龄)和蛹(四龄)羽化为成虫。"	"我国各柑橘产区都有分布"	"昆虫纲"	"缨翅目"			"柑橘蓟马在气温较高的地区1年可发生7～8代，以卵在秋梢新叶组织内越冬。次年3～4月越冬卵孵化为幼虫，在嫩叶和幼果上取食。田间4～10月均可见，但以谢花后至幼果直径4厘米期间为害最烈。第一、二代发生较整齐，也是王要的为害世代，以后各代世代重叠明显。一龄幼虫死亡率较高，二龄幼虫是主要的取食虫态。幼虫老熟后在地面或树皮缝隙中化蛹。成虫较活跃，尤以晴天中午活动最盛。成虫将卵产于嫩叶、嫩枝和幼果组织内，产卵处呈淡黄色，每雌一生可产卵25～75粒。秋季当气温降到17℃以下时便停止发育。柑橘各品种中，以柠檬和脐橙受害较重，其他品种次之。幼果受害处产生银白色或灰白色的大疤痕，疤痕上的覆盖物可用手指甲刮掉。该虫尤喜在幼果的萼片或果蒂周围取食，但也有少部分发生在果腰等部位。幼果受害后其外观受到较大损害，但内质影响不大。虫口密度高时，较大的果实也可受害，但其症状会在短期内消失。嫩叶受害后，叶片变薄，中脉两侧出现灰白色或灰褐色条斑，表皮呈灰褐色，受害严重时叶片扭曲变形，生长势衰弱。"	"夏声广，唐启义主编．柑橘病虫害防治原色生态图谱．北京：中国农业出版社，2006 任伊森等编著．柑橘病虫害防治手册．北京：金盾出版社，2001 任伊森，蔡明段主编．柑橘病虫草害防治彩色图谱．北京：中国农业出版社，2004 陈福如主编．柑橘病虫害诊治图谱．福州：建科学技术出版社，2004"	"Scirtothrips citri"	"op00438"	"在柑橘开花至幼果期加强虫口监测。方法是中午在树冠外围用10倍放大镜检查花和果实萼片附近的蓟马数量，每周1次。当谢花后发现有5％～10％的花或幼果有虫时，或幼果直径达1．8厘米后有20％的果实有虫或受害时，即应开始喷药防治。药剂主要有20％甲氰菊酯(灭扫利)乳油或20％的氰茂菊酯(速灭杀丁)乳油或10％氯氰菊酯乳油或2.5溴氰菊乳油3 000～4 000倍液，80％敌敌畏乳油或90％晶体敌百虫或50％马拉硫磷乳油或50％杀螟松乳油或40％乐果乳油或50％稻丰散乳油或鱼藤精1 000倍液。喷药时注意保护钝绥螨、蜘蛛和捕食性椿象等天敌。另外，在柑橘蓟马的主要发生期进行地面覆盖也减轻为害。"	"agridata/images/中国农业有害生物数据库/中国柑桔害虫数据库/柑橘蓟马.jpg"
"36"	"天敌有寄生于卵中的松毛虫赤眼蜂。"	"柑橘枯叶蛾"	"雌成虫体长23～25毫米，翅展54～60毫米。虫体和翅均为赤褐色，下唇须黄黑色，触角灰褐色，两边有栉齿，但常向一边并合呈单栉齿状。复眼黑色。前翅中部有1个较显著的黑色小点，翅脉色深。后翅狭长，具有4个花瓣形黄白色圆斑。雄成虫体长20～23毫米，翅展42～45毫米，后翅圆斑远较雌蛾显著。卵椭圆形，长径约2毫米，短径约1．7毫米，有灰白色与青灰色或紫褐色条状相间的花纹。幼虫老熟时体长约90毫米，略扁平，灰黑色。两侧有较长的灰白色缘毛，背面生有长短不齐的黑色短毛。体上有许多淡褐色大小不等的斑点。蛹长约30毫米，紫褐色，外附幼虫体毛，常包在叶片中。"	"分布于福建、浙江、江西、湖南和广东等省。"	"昆虫纲"	"鳞翅目"	"叶蛾科"		"柑橘枯叶蛾在浙江每年约发生3代，成虫在6～9月出现，8月下旬至9月中旬田间可见到较多卵粒。成虫白天不活动，有显著的假死性和趋光性。羽化后不久即交尾，交尾时间较长，可达1昼夜以上，不是特别大的惊动，常呈假死状态仍继续交尾，交尾后数小时内即可产卵。卵常产在柑橘叶片正面靠近叶尖的边缘处。初孵幼虫活动性较强，约10～24小时后开始取食。稍大后则白天多潜伏枝上不动，主要在晚上取食柑橘叶片。幼虫老熟后在l片叶上或2～3片叶之间化蛹。天敌有寄生于卵中的松毛虫赤眼蜂。"	"夏声广，唐启义主编．柑橘病虫害防治原色生态图谱．北京：中国农业出版社，2006 任伊森等编著．柑橘病虫害防治手册．北京：金盾出版社，2001 任伊森，蔡明段主编．柑橘病虫草害防治彩色图谱．北京：中国农业出版社，2004 陈福如主编．柑橘病虫害诊治图谱．福州：建科学技术出版社，2004"		"op00439"	"一般不必专门进行防治，如有较大的发生量时，可在低龄幼虫盛发期喷洒80％敌敌畏乳油800～1 000倍液，即能得到有效防治。"	"agridata/images/中国农业有害生物数据库/中国柑桔害虫数据库/柑橘枯叶蛾.jpg"
"37"		"柑橘蕾瘿蝇"	"雌成虫体长1．5～1．8毫米，黄褐色，虫体长有黑褐色细毛。复眼黑色，触角14节，念珠状。翅膜质透明，呈金属闪光。足黄褐色。腹部10节，第九节成为针状的伪产卵管。雄成虫体长1．2～1．4毫米，触角似哑铃状。腹部9节，有1对抱握器。卵长约0．16毫米，一端有1根胶质细丝。幼虫黄白色，老熟时变为橙黄色。前胸腹面有“Y”形褐色剑骨片。蛹体长1．1毫米，黄褐色，外有黄褐色的半透明胶质茧壳。"	"我国各柑橘产区均有分布"	"昆虫纲"	"双翅目"	"瘿蚊科"	"寄主植物限于柑橘类。"	"每年发生1代，也可以有少量的第二代出现，以幼虫在树冠下3～6厘米深的土内越冬。3月中、下旬化蛹，3月下旬至4月上、中旬为成虫出土盛期，成虫寿命一般仅l～2天。约4月中旬，幼虫开始爬出花蕾人土休眠，一直到翌年化蛹。初出土的成虫，在土面迅速爬行，常潜伏在树冠下的杂草或间作物上。卵产在花丝及子房周围，常数粒至数十粒成堆排列。被害花蕾的花瓣变短变厚，出现分布不均匀的绿色小斑点，花不能开放。幼虫在蕾内经10天左右爬出，然后钻人土内。成虫羽化期如果阴雨天气多，当年发生量就大。一般平原比山地、阴7显低洼地比高燥地、山阴地比山阳地发生较多。"	"夏声广，唐启义主编．柑橘病虫害防治原色生态图谱．北京：中国农业出版社，2006 任伊森等编著．柑橘病虫害防治手册．北京：金盾出版社，2001 任伊森，蔡明段主编．柑橘病虫草害防治彩色图谱．北京：中国农业出版社，2004 陈福如主编．柑橘病虫害诊治图谱．福州：建科学技术出版社，2004"	"Contarinia citri(Barnes)."	"op00440"	"(1)地面喷药。花蕾初期，萼片开始开裂，刚能见到白色花瓣时，立即在地面撒布药剂。每667米2(1亩)可用10％二嗪农1千克或50％辛硫磷150～200克，混和细泥土15千克撒施。辛硫磷也可按上述用量加水喷布。此外，用80％敌敌畏乳油1000倍液和90％晶体敌百虫800倍液的混合液，或20％速灭杀丁乳油2 500～3 000倍液，或2．5％敌杀死乳油、20％中西杀灭菊酯乳油各3 000～5 000倍液，喷洒1～2次，效果也佳。 (2)地膜覆盖。在成虫出土前进行。 (3)树冠喷药。成虫已开始上树飞行，但尚未大量产卵前，用药喷洒树冠1～2次。药剂可用：功夫乳油3 000～5 000倍液、20％速灭杀丁乳油2 500～3 000倍液、80％敌敌畏乳油1 000倍和90％晶体敌百虫800倍的混合液、40％水胺硫磷乳油800～1000倍液、40％乐斯本乳油2 000倍液。 (4)人工摘除虫蕾。如为害尚不严重时，彻底摘除虫蕾，及时予以深埋或烧毁。"	"agridata/images/中国农业有害生物数据库/中国柑桔害虫数据库/柑橘蕾瘿蝇.jpg"
"38"		"柑橘溜皮虫"	"成虫体略具金属光泽，体比爆皮虫大，头部具纵行皱纹，全体黑色；前胸背板中部前后各可见2处浅宽凹窝，整个背板有横行及斜行交错的细脊纹。腹面呈绿色，翅鞘 黑色，上密布细小刻点，并有不规则的白色细毛形成花斑。以鞘翅末端1／3处的花斑最为显著。卵馒头形，初产时乳白色，渐变黄色，孵化前变为黑色。老熟幼虫体长26毫米左右，体扁平，白色。胴部1 3节；前胸特别膨大，黄色，中央有一条纵带，中央隆起，各节前狭后宽，腹部末端有黑褐色钳形突起l对。蛹纺锤形，先为乳白色，羽化前呈黄褐色。"	"主要分布浙江、福建、四川、广东和广西。"	"昆虫纲"	"鞘翅目"	"吉丁虫科"	"寄主只限于柑橘类。"	"一年发生1代，以幼虫在树枝木质部越冬。在浙江黄岩于4月中旬开始化蛹，5月上旬开始羽化，5月下旬开始出洞，6月上旬为出洞盛期。由于成虫出洞期有早有晚，故其产卵、孵化及幼虫活动期不齐。"	"夏声广，唐启义主编．柑橘病虫害防治原色生态图谱．北京：中国农业出版社，2006 任伊森等编著．柑橘病虫害防治手册．北京：金盾出版社，2001 任伊森，蔡明段主编．柑橘病虫草害防治彩色图谱．北京：中国农业出版社，2004 陈福如主编．柑橘病虫害诊治图谱．福州：建科学技术出版社，2004"	"Agrilus spp．"	"op00441"	"①结合冬季和早春修剪剪除虫枝，挖除死树于5月上中旬成虫出洞前集中烧毁。②灭杀幼虫。在6月下旬至7月上旬幼虫孵化盛期，发现有初孵幼虫为害(出现泡沫状胶液)时，用刀刮杀。若幼虫已钻人木质部，则可在已人木质部幼虫的最后一个螺旋弯道内寻找半月形的进口孔处，顺螺旋纹方向转45°角，距进孔口约1厘米处，用尖钻刺杀幼虫。或在被害部位涂抹药剂，方法同爆皮虫。③毒杀成虫：方法可参阅爆皮虫。"	"agridata/images/中国农业有害生物数据库/中国柑桔害虫数据库/柑橘溜皮虫.jpg"
"39"	"有黑缘红瓢虫、红点唇瓢虫、刀角瓢虫、软蚧扁角跳小蜂、蜡蚧花翅跳小蜂、微红黄花翅跳小蜂、绵蚧阔柄跳小蜂、锤角长缘跳小蜂、白蜡虫花翅跳小蜂、粉蚧三色跳小蜂、夏威夷食蚧蚜小蜂、黑色食蚧蚜小蜂、蜡蚧斑翅蚜小蜂、瘦柄花翅跳小蜂(可能重寄生)等。"	"柑橘绵蚧"	"雌成虫体扁平，椭圆形，长4～5毫米，黄绿色或棕褐色，体缘有绿色或褐色环斑，背中线有褐色或暗褐色纵行带纹。老熟后中央纵带渐消失，体末开始分泌白色蜡质卵囊。卵囊椭圆形，长5～6毫米。雄成虫淡黄褐色，长约1．2毫米，翅展约2．5毫米。触角念珠状，10节。腹部末端有4个管状突起及2根白色长毛。卵近椭圆形，淡黄褐色，长约0．5毫米。若虫扁平，椭圆形，初为淡黄绿色，后变为暗褐色。蜡质介壳透明，体中轴处可见到暗色内脏。蛹淡黄色，长约1．2毫米，茧长形，龟甲状，长约2．2毫米。"	"我国各主要柑橘产区均有分布"	"昆虫纲"	"同翅目"	"蜡蚧科"	"为害柑橘类、枇杷、苹果、柿等植物的果实及枝叶，诱发煤烟病。"	"柑橘绵蚧在我国1年发生1～2代，以二龄若虫群集在枝叶上越冬。在浙江黄岩，越冬若虫于翌年3月份春梢抽发后开始转移到新梢上为害，雄虫4月份化蛹，5月上中旬为羽化盛期。雌成虫的产卵盛期为5月中旬，孵化盛期为5月下旬。若虫发育至第二龄时即停止发育，以此虫态越冬。已发现的柑橘绵蚧天敌有黑缘红瓢虫、红点唇瓢虫、刀角瓢虫、软蚧扁角跳小蜂、蜡蚧花翅跳小蜂、微红黄花翅跳小蜂、绵蚧阔柄跳小蜂、锤角长缘跳小蜂、白蜡虫花翅跳小蜂、粉蚧三色跳小蜂、夏威夷食蚧蚜小蜂、黑色食蚧蚜小蜂、蜡蚧斑翅蚜小蜂、瘦柄花翅跳小蜂(可能重寄生)等。"	"夏声广，唐启义主编．柑橘病虫害防治原色生态图谱．北京：中国农业出版社，2006 任伊森等编著．柑橘病虫害防治手册．北京：金盾出版社，2001 任伊森，蔡明段主编．柑橘病虫草害防治彩色图谱．北京：中国农业出版社，2004 陈福如主编．柑橘病虫害诊治图谱．福州：建科学技术出版社，2004"	"Pulvinaria aurantii(Cockerell)"	"op00442"	"柑橘绵蚧的防治应优先考虑利用天敌控制，天敌控制有困难时才辅之以药剂防治。橘园中有重要天敌存在时应加强保护，如缺少天敌可从外地引入，一般每公顷释放10 000头左右就能有效地控制为害。在柑橘绵蚧严重发生、天敌少、一时又难以从外地大量引入时，可考虑在春季发芽前和第一代初孵若虫盛期喷药防治。药剂种类和浓度参见褐圆蚧防治方法。"	"agridata/images/中国农业有害生物数据库/中国柑桔害虫数据库/柑橘绵蚧.jpg"
"40"		"柑橘木虱"	"成虫体长约3毫米，体灰青色且有灰褐色斑纹，被有白粉。头顶突出如剪刀状，复眼暗红色，单眼3个，橘红色。触角l0节，末端2节黑色。前翅半透明，边缘有不规则黑褐色斑纹或斑点散布，后翅无色透明。足腿节粗壮，跗节2节，具2爪。腹部背面灰黑色，腹面浅绿色。雌虫孕卵期腹部橘红色，腹末端尖，产卵鞘坚韧，产卵时将柑橘芽或嫩叶刺破，将卵柄插入。卵似芒果形，橘黄色，上尖下钝圆有卵柄，长0．3毫米。若虫刚孵化时体扁平，黄白色，2龄后背部逐渐隆起，体黄色，有翅芽露出。3龄带有褐色斑纹。5龄若虫土黄色或带灰绿色，翅芽粗，向前突出，中后胸背面、腹部前有黑色斑状块，头顶平，触角2节。复眼浅红色，体长1．59毫米。"	"主要分布区在广东、广西、福建、海南和台湾等省、自治区，浙江、江西、湖南、云南、贵州和四川的部分柑橘产区也有分布。"	"昆虫纲"	"同翅目"	"木虱科"	"为害芸香科植物，以柑橘属受害最重，黄皮、九里香和枸椽次之。"	"一年中的代数与柑橘抽发新梢次数有关，每代历期长短与气温相关。在周年有嫩梢的情况下，一年可发生11～14代。田间世代重叠。成虫产卵在露芽后的芽叶缝隙处，没有嫩芽不产卵。初孵的若虫吸取嫩芽汁液并在其上发育成长，直至5龄。成虫停息时尾部翘起，与停息面成45度角。在没有嫩芽时，停息在老叶的正面或背面。在8℃以下时，成虫静止不动，14℃时可飞能跳，18℃时开始产卵繁殖。木虱多分布在衰弱树上，这些树一般先发新芽，提供了食料和产卵场所。在一年中，秋梢受害最重，其次是夏梢，尤其是5月的早夏梢，被害后不可避免会爆发黄龙病。而春梢主要遭受越冬代的为害。10月中旬至11月上旬常有一次迟秋梢，木虱会发生一次高峰。"	"夏声广，唐启义主编．柑橘病虫害防治原色生态图谱．北京：中国农业出版社，2006 任伊森等编著．柑橘病虫害防治手册．北京：金盾出版社，2001 任伊森，蔡明段主编．柑橘病虫草害防治彩色图谱．北京：中国农业出版社，2004 陈福如主编．柑橘病虫害诊治图谱．福州：建科学技术出版社，2004"	"Diaphorina dtri(Kuwayama)"	"op00443"	"(1)做好冬季清园。冬季气温低，越冬的木虱成虫活动能力差，可通过喷药杀灭，能有效减少春季的虫口。 (2)在一个果园内种植的品种要求一致，便于落实统一的管理措施。 (3)加强肥水管理，使柑树长势壮旺，每次新梢发梢整齐，利于统一时间喷药防治木虱。而第一次喷药时间应在露芽期进行。 (4)选用农药防治。40％水胺硫磷乳油800倍液、50％乐果乳油800倍液、20％速灭杀丁乳油2 000～3 000倍液，或其他有机磷类和拟除虫菊酯类农药。"	"agridata/images/中国农业有害生物数据库/中国柑桔害虫数据库/柑橘木虱.jpg"
"41"		"柑橘潜叶甲"	"成虫椭圆形，背面中央隆起。头、前胸背板、足及触角为黑色，头向前倾 斜，背面中央隆起，翅鞘及腹部均为橘黄色，肩角黑色。前胸背板遍布小刻点，翅鞘上有纵 列刻点11行。卵椭圆形，黄色，横粘叶上，表面有六角形或多角形网状纹。老熟幼虫体长 4．7～7．0毫米，全体深黄色。前胸背板硬化，胸部各节两侧圆钝，从中胸起宽度渐减。各腹节前狭后宽，几成梯形。蛹淡黄至深黄色。头部向腹部弯曲，口器达前足基部，复眼肾脏形，触角弯曲。全体有刚毛多对，腹部端具臀叉，其端部黄褐色。"		"昆虫纲"	"鳞翅目"	"叶甲科"	"仅为害柑橘"	"在华南一年发生2代，浙江为1代，以成虫在土中或树皮下越冬。在浙江黄岩，3月下旬至4月上旬开始活动，4月上中旬产卵，4月上旬至5月中旬为幼虫为害期，5月上、中旬化蛹，5月中下旬成虫羽化，6月上旬开始蛰伏。成虫群居，喜跳跃，有假死习性，取食嫩芽嫩叶，卵产于嫩叶叶背或叶缘上。幼虫孵化后，即钻孔入叶，蜿蜒取食前进，新鲜的虫道中央有幼虫排泄物所形成的黑线l条。幼虫老熟后多随叶片落下，咬孔外出，在树干周围松土中作蛹室化蛹，入土深度一般3凰米左右。"	"夏声广，唐启义主编．柑橘病虫害防治原色生态图谱．北京：中国农业出版社，2006 任伊森等编著．柑橘病虫害防治手册．北京：金盾出版社，2001 任伊森，蔡明段主编．柑橘病虫草害防治彩色图谱．北京：中国农业出版社，2004 陈福如主编．柑橘病虫害诊治图谱．福州：建科学技术出版社，2004"	"Podagricomela nigricollis Chen"	"op00444"	"幼虫为害期及时摘除被害叶或扫除落叶加以烧毁，以杀灭叶内幼虫，化蛹盛期中耕松土以灭杀虫蛹。在越冬成虫恢复活动盛期和第一龄幼虫发生期喷药防治。药剂可参见恶性叶甲。"	"agridata/images/中国农业有害生物数据库/中国柑桔害虫数据库/柑橘潜叶甲.jpg"
