"id"	"入侵时间及地点"	"防治方法"	"别名"	"危害特点"	"中文名"	"生物学特征及发生消长规律"	"纲"	"目"	"科"	"属"	"英文名"	"传播途径"	"入侵地"	"门"	"原产地"	"形态特征"	"相关文献"	"拉丁学名"	"记录号"	"图片"
"11"					"包果菊"		"双子叶植物纲"	"菊目"	"菊科"		"Large-flowered leafcup"		"江苏植物所引种后逃逸"	"被子植物门"	"美洲"			"Polymnia uvedalia"	"PL00011"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/包果菊.jpg"
"12"	"1951年始见于江西南昌市。"		"毛车前"	"一般性杂草。为果园、旱田及草坪杂草，当种群密度大，花粉数量较多时，可能会导致花粉过敏症。杂草其种子多，繁殖能力极强，蔓延迅速，常入侵和危害草坪。"	"北美车前"	"一年生或越年生草本。 果园、旱地和草坪杂草。生于铁路沿线地区的路边、田梗、宅旁、疏林、果园、菜地、夏熟作物田和湖畔，自然植被受破坏或其原生环境改变后，北美车前入侵 。花果期4~7月，种子繁殖。"	"双子叶植物纲"	"菊目"	"车前科"	"车前属"	"Hoary Plantain"	"种子遇水产生粘液，借人和动物以及交通工具传播。"	"江西，浙江，上海，江苏，安徽，福建，四川，江西，湖南，广东"	"被子植物门"	"北美"	"直根系，全株被白色柔毛。叶基生，狭倒卵形或倒披针形，长（2~）3~18cm，宽0.5~4cm，边缘具浅波状齿，叶脉弧形，3~5条。穗状花序，苞片披针形或窄椭圆形，中脉有宽而厚的龙骨状突起。花冠4裂，白色至淡黄色。蒴果卵球形，于基部上方周裂。种子2枚，卵形或长卵形，长（1~）1.4~1.8mm，腹面凹陷成船形，黄褐色至红褐色。"	"中国植物志编辑委员会，2002年. 中国植物志. 70卷. P.332； 李振宇，解焱，2002. 中国外来入侵种. P.152 《安徽植物志》协作组编.安徽植物志,中国展望出版社，1986：第四卷，420~421，图2188"	"Plantago virginica L."	"PL00012"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/北美车前.jpg"
"13"	"1933年在湖北武昌采到标本"	"深翻耕地是减少农田中该种数量的有效方法之一，也可通过短时积水，降低它的生活力与竞争力。用化学方法防治时，常用克阔乐、莠去津、赛克津、百草枯、伴地农等除草剂，幼苗时化学防治效果较好。"		"北美独行菜是一种常见的、较耐旱的杂草，在小麦、玉米、大豆、花生、荞麦等农田中都有发生，特别在旱地上发生较为严重。其通过养分竞争、空间竞争和化感作用，影响作物的正常生长，造成减产。另外，北美独行菜也是棉蚜、麦蚜及甘蓝霜霉病和白菜病病毒等的中间寄主，有利于这些病虫害的越冬。"	"北美独行菜"	"一年生或二年生草本，通常生于路旁、荒地或农田中，十分耐旱，为常见杂草。花期4~5月，果期6~7月。种子繁殖。"	"双子叶植物纲"	"白花菜目"	"十字花科"	"独行菜属"	"Wild Peppergrass"		"安徽、福建、广东、广西、湖南、江苏、江西、吉林、辽宁、内蒙古、山东、台湾、云南、浙江、海南、贵州、湖北"	"被子植物门"	"美洲；现于欧洲和亚洲广泛归化。"	"高20~50cm；茎单一，直立，上部分枝，具柱状腺毛。基生叶倒披针形，羽状分裂或大头羽裂，裂片大小不等，边缘有锯齿，两面有短伏毛；茎生叶有短柄，倒披针形或线形。总状花序顶生，萼片椭圆形，长1mm；花瓣白色，倒卵形，和萼片等长或稍长。短角果近圆形，有狭翅，顶端微缺。种子卵形，红棕色，无毛，边缘有窄翅。"		"Lepidium virginicum"	"PL00013"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/北美独行菜.jpg"
"14"			"美苋"	"一般性杂草。有时侵入中耕旱作物田及菜园危害，但发生量很小。"	"北美苋"	"一年生草本。生于田野、路旁及荒地上，常在瘠薄干旱的沙质土壤上生长，有时侵入中耕旱作物田及菜园危害，但发生量很小，不常见。种子繁殖，花果期8~10月 。"	"双子叶植物纲"	"石竹目"	"苋科"	"苋属"	"Prostrate Amaranth"		"辽宁，河北、内蒙古"	"被子植物门"	"北美"	"成株高15~60cm。茎大部伏卧，基部分枝，绿白色，无毛。叶互生，密集，倒卵形或披针形，长0.5~2.5cm，宽3~10cm，顶端具细凸尖，全缘柄长0.5~1.5cm。花簇腋生，比叶柄短，有少数花。苞片和小苞片披针形，顶端具芒尖。花被4（5）；卵撰披针形，绿色，顶端有芒尖。柱头顶端卷曲。胞果椭圆形，环状裂，上面淡红色。种子卵形，黑色，有光泽。"	"李扬汉，1998. 中国杂草志. p.84；"	"Amaranthus blitoides S. Watson"	"PL00014"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/北美苋.jpg"
"15"	"1935年从日本作为花卉引入台北，后来上海、庐山相继引种，如今在上述地方已归化为杂草。"	"专家在清除一处现场时有意外发现，这里的几株“一枝黄花”神态“委靡”，没了“冷面杀手”的威风，叶子被虫啃得精光，其茎杆也已被蛀断甚至枯死。专家在检查其茎杆后发现了两条鲜活的幼虫和该虫过冬的蛹。现场专家认为这种虫子就是“一枝黄花”的天敌。这一能灭“一枝黄花”威风的克星到底是什么虫子？有没有可能将其作为歼灭“一枝黄花”的生物武器？专家表示还需要作进一步的分析研究。"		"在上海北美一枝黄花，现在蔓延到昆山至上海铁路沿线、浦东新区、青浦等郊县。北美一枝黄花除种子繁殖外，地下根茎横向扩展繁殖力旺盛，竞争力强，抑制其它植物的生长，最后形成这种杂草的单一群落。该种在城郊荒地、道路、河堤、工厂和住宅区广泛生长。在上海已开始进入农田、果园、及菜地的田边地头，并有向田内扩展蔓延的趋势（车晋滇等，1999）。加拿大一枝花黄花（S. canadensis）在上海、武汉和庐山也有引种和归化，有的学者将该种并入S. altissma。除上述两种外，庐山植物园引种的狭叶一枝黄花（S. graminifolia）等4种来自北美的同属植物也已在当地归化。"	"北美一枝黄"		"双子叶植物纲"	"菊目"	"菊科"	"一枝黄花属"	"Tall goldenrod"		"江西、上海、台湾"	"被子植物门"	"墨西哥、美国"			"Solidago altissima"	"PL00015"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/北美一枝黄.jpg"
"16"	"根据659年《唐本草》记载，蓖麻早年作为药用植物引入。"	"将逸生植株在结果前清除，必须带根拔出才能达到预期效果。而化学防治时，选用豆草隆、甲磺隆等叶吸收性的除草剂，并在苗期生长势差时使用效果较好。"		"20世纪50年代开始作为油脂作物推广栽培。种子容易混入其他作物种子中引进并扩散到新的区域。蓖麻逸生后成为一种高大的杂草，排挤本土植物或危害栽培植物；在南方，多年生的蓖麻也是多种病虫害的寄主，并为一些虫害越冬创造了有利条件。另外，蓖麻种子含有蓖麻毒蛋白及蓖麻碱，若误食种子，可造成中毒、甚至死亡。"	"蓖麻"	"一年生粗壮草本或草质灌木，常生于低海拔的村旁疏林、河岸和荒地。生长快，植株高大，具有很强的生态适应性与生存竞争力。花期几全年或6~9月。主要依靠种子繁殖。"	"双子叶植物纲"	"大戟目"	"大戟科"	"蓖麻属"	"Castor-oil Plant"		"除东北、内蒙古、新疆、青海、甘肃、宁夏之外的其他各省"	"被子植物门"	"非洲东北部；全世界热带至温暖带地区栽培归化。"	"高达1~5m，枝、叶和花序通常被有白霜，茎多液汁。叶盾状着生，轮廓近圆形，直径20~90cm，掌状5~11中裂，边缘有锯齿，网脉明显；叶柄粗而中空，基部具盘状腺体；托叶长三角形，早落。总状或圆锥花序，苞片宽三角形，花萼裂片卵状三角形。蒴果卵球形或近球形，具软刺，3室。种子椭圆形，平滑，斑纹淡褐色或灰白色，种阜大。"		"Ricinus communis"	"PL00016"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/蓖麻.jpg"
"17"				"一般性杂草。"	"臂形草"	"一年生草本。生长在轮作田、多年生作物田和水湿环境，危害轻。夏初抽穗,种子繁殖。"	"单子叶植物纲"	"禾本目"	"禾本科"	"臂形草属"	"Sweet Singnalgrass"		"福建，云南"	"被子植物门"	"泛热带地区"	"秆质硬纤细，基部斜，节着土后易生根，易分枝，高30厘米，节部常具白色柔毛，叶舌退化成一圈白色细毛。叶片线状披针形，边缘齿状粗糙，总状花序直立而贴生于主轴一侧，或有时斜生。小穗被短毛，单生，长2毫米，第一颖膜质，无脉，顶端下凹，第二颖具5脉而与小穗等长；第一小花外稃与第二颖同形，第2小花外稃长圆形有光泽，先端钝。"	"李扬汉，1998. 中国杂草志. p.1175；"	"Brachiaria eruciformis (J. E. Smith) Griseb."	"PL00017"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/臂形草.jpg"
"18"					"扁穗雀麦"	"短期多年生草本植物。喜温暖湿润气候，不耐寒，也不耐高温，耐盐碱能力较强，耐旱、不耐涝。适于温暖又无严冬酷暑的地区生长，在云贵高原，能在冬季生长。喜沃的粘质土壤。北方春播，夏季即可收到种子，收种后仍可再生。"	"单子叶植物纲"	"禾本目"	"禾本科"	"雀麦属"	"Rescuegrass"		"云南、青海、内蒙古、陕西、江苏"	"被子植物门"	"阿根廷、秘鲁"	"须根发达；茎粗大扁平，株高80-110cm；叶长20-30cm，稍有柔毛；圆锥花序，分枝，顶端着生2-5小穗，小穗含6-12朵小花，种子多，千粒重10g左右。"		"Bromus cartharticus Vahl."	"PL00018"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/扁穗雀麦.jpg"
"19"				"一般性杂草。"	"变色牵牛"	"多生于路旁、宅旁，或为栽培。为常见杂草，农田发生量少，危害轻。"	"双子叶植物纲"	"茄目"	"旋花科"	"牵牛属"	"Indian Pharbitis"		"台湾，广东东沙群岛及其它沿海岛屿"	"被子植物门"	"南美洲"	"植株各部均被柔毛，无刚毛状硬毛；叶卵形或圆形，全缘或3裂，背面密被灰白色短柔毛，叶面毛较少。花数朵聚生成伞形聚伞花序，花序梗长于叶柄，萼片外面被帖伏的柔毛而不象牵牛那样被刚毛。花冠蓝紫色，后变红紫色或红色，漏斗状。"	"中国植物志编辑委员会，1979c. 中国植物志. 64卷第1分册. p.105； 李扬汉，1998. 中国杂草志. p.412"	"Pharbitis indica (Burm.) R. C. Fang"	"PL00019"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/变色牵牛.jpg"
"20"			"牛眼菊"		"滨菊"	"分布于欧洲和澳大利亚，我国1种，阳性，耐寒，喜肥沃，排水好。"	"双子叶植物纲"	"菊目"	"菊科"	"牛眼菊属"	"Oxeye daisy"		"河南、甘肃、江西、江苏"	"被子植物门"	"欧洲"	"多年生草本；叶互生，全缘或具齿；头状花序大，单生于枝顶，异性，放射状；缘花1－2列，雌性，舌状，舌片开展，顶端具2－4齿；盘花两性，能育，花冠管顶端稍扩大而近钟形，5裂；花药基部箭形，耳短尖或尾状渐尖；总苞半球形，总苞片数列，外列的草质；雌花瘦果背部多少扁压，腹面有显著3棱；两性花瘦果近圆柱形或扁，腹面的棱有时近狭翅状；冠状冠毛顶端撕裂状或为毛状细齿。"		"Leucanthemum vulgare"	"PL00020"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/滨菊.jpg"
"21"			"欧毒麦"	"一般性杂草。"	"波斯黑麦草"	"一年生草本，种子繁殖，夏秋抽穗。 我国有引种作牧草，青海、云南有逸生者，成为田间杂草"	"单子叶植物纲"	"禾本目"	"禾本科"	"黑麦草属"	"Persian Darnel，Persian ryegrass"		"青海、云南等地"	"被子植物门"	"欧洲"	"秆较细弱，少数丛生，高约50厘米。叶鞘无毛；叶舌短小，叶片长10-13厘米，宽2-3毫米，扁平质薄，腹面粗糙，背面光滑无毛。穗状花序长9—10厘米，穗轴节间长10—20毫米；小穗长10—13毫米，有5—6小花；小穗轴节间长约0.5毫米，被微小刺毛，颖具5脉，长10毫米，外稃披针形，边缘膜质，具5脉，第一小花外稃长8--9毫米，顶端具细而微弯曲的芒；内稃约与外稃等长，两侧内折，脊上具纤毛。颖果长7毫米，宽3毫米，褐黄色至棕色，腹面具沟。"	"李扬汉，1998. 中国杂草志. p.1268"	"Lolium persicum Boiss.et Hohen."	"PL00021"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/波斯黑麦草.jpg"
"22"	"1933年采自湖北武昌。"	"由于该种处于作物的下层，通过作物的适度密植株，可在一定程度上控制这种草害；将旱旱轮作改为水旱轮作，可有效地控制这种杂草的发生；绿麦隆、绿磺隆、甲磺隆、杀草丹、除草醚等除草剂能够有效地杀灭该种；刺盘孢属（Colletotrichium）某些真菌可使该种染炭疽病。"		"生于路边、宅旁、旱地夏熟作物田，特别是麦田中，对作物造成严重危害，同时成为黄瓜花叶病毒、李痘病毒、蚜虫等多种微生物和害虫的寄主，分布在菠菜、甜菜、大麦等作物根部的病原菌（Aphanomyces cladogamus）同时也寄生在该种植株上。"	"波斯婆婆纳"	"越年生或一年生草本，花期3~5月。种子繁殖。"	"双子叶植物纲"	"玄参目"	"玄参科"	"婆婆纳属"	"Persian Speedwell"		"安徽、福建、贵州、河南、湖北、湖南、江苏、江西、上海、台湾、西藏、新疆、云南、浙江、重庆、四川、河北、广西、云南"	"被子植物门"	"西亚至伊朗；现广布温带及亚热带地区。"	"全株有毛。茎自基部分枝，下部倾卧，高15~45cm，茎基部叶对生，有柄或近于无柄，卵状长圆形，边缘有粗钝齿。花序顶生，苞叶与茎生叶同型，互生。花单生于苞腋，花梗明显长于苞叶；花萼4裂，花冠淡蓝色，有深蓝色脉纹。蒴果肾形，宽过于长，顶端凹口开角大于90°，宿存花柱明显超过凹口。种子表面有颗粒状的突起。"		"Veronica persica"	"PL00022"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/波斯婆婆纳.jpg"
"23"				"20世纪初在香港开始成为杂草。本种由于种子和营养繁殖能力都极强，常随带土苗木传播，在外界条件适宜的情况下，容易蔓延成片，成为优势群落，破坏生态系统的结构和功能，降低生物多样性的丰富度。目前，尽管草胡椒在我国只是一般性园圃杂草，没有对农业生产造成严重危害，但侵入潮湿的山谷、森林后，有可能大规模蔓延，因此应该防患于未然，及时加以防治。"	"草胡椒"	"一年生肉质草本，喜潮湿，常生长于林下湿地、石缝中、宅舍墙脚下或为园圃杂草。通常在每年的春季1月和秋季8月开花。该种生命力强，其花靠风媒传粉，种子极小，易于散布，其下部节上生有不定根，营养繁殖旺盛。"	"双子叶植物纲"	"胡椒目"	"胡椒科"	"草胡椒属"	"Shiny Peperomia"		"福建、广东、广西、云南各省南部"	"被子植物门"	"热带美洲；现广泛分布于全球热带地区。"	"茎直立或基部有时平卧，下部节上常生不定根；茎分枝、圆形，高5~40cm，淡绿色，粗1~2mm。叶互生，薄而易折，卵形，先端短尖或钝，基部阔，心形；长与宽1~3cm，淡绿色；叶柄长8~10mm。穗状花序顶生枝端，直立，淡绿色，长1~6cm。花小，两性，无花被，雄蕊2；子房椭圆形，柱头顶生。果极小，球形，先端尖，宽不过0.5mm。"		"Peperomia pellucida"	"PL00023"	"agridata/images/中国农业有害生物数据库/中国外来入侵植物数据库/草胡椒.jpg"
